Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 2993000000.0; 1011000000.0; 1982000000.0; ; 764000000.0; 567000000.0; 1511000000.0; 1482000000.0; -91000000.0; 1391000000.0; 340000000.0; 1051000000.0; ; 1051000000.0; ; 972000000.0; 1786000000.0; 1482000000.0; 338000000.0; 339300000.0; 2870000.0; 2860000.0
2022-03-31; 2389000000.0; 749000000.0; 1640000000.0; ; 958000000.0; 1347000000.0; 497000000.0; 1892000000.0; -25000000.0; 1867000000.0; 568000000.0; 1299000000.0; ; 1299000000.0; ; 1235000000.0; 2029000000.0; 1892000000.0; 275200000.0; 276300000.0; 4490000.0; 4470000.0
2021-12-31; 2088000000.0; 592000000.0; 1496000000.0; ; 557000000.0; 6000000.0; 1185000000.0; 903000000.0; -13000000.0; 890000000.0; 153000000.0; 737000000.0; ; 737000000.0; ; 674000000.0; 944000000.0; 903000000.0; 240800000.0; 241800000.0; 2800000.0; 2790000.0
2021-09-30; 2087000000.0; 543000000.0; 1544000000.0; ; 423000000.0; 3000000.0; 1004000000.0; 1083000000.0; -9000000.0; 1074000000.0; 213000000.0; 861000000.0; ; 861000000.0; ; 797000000.0; 1125000000.0; 1083000000.0; 240900000.0; 241700000.0; 3310000.0; 3300000.0
2021-06-30; 2106000000.0; 533000000.0; 1573000000.0; ; 374000000.0; ; 952000000.0; 1154000000.0; -10000000.0; 1144000000.0; 287000000.0; 857000000.0; ; 857000000.0; ; 798000000.0; 1199000000.0; 1154000000.0; 240800000.0; 241800000.0; 3310000.0; 3300000.0
2021-03-31; 2016000000.0; 527000000.0; 1489000000.0; ; 360000000.0; 2000000.0; 935000000.0; 1081000000.0; -25000000.0; 1056000000.0; 248000000.0; 808000000.0; ; 808000000.0; ; 755000000.0; 1131000000.0; 1081000000.0; 240600000.0; 241600000.0; 3140000.0; 3120000.0
2020-12-31; 1867000000.0; 566000000.0; 1301000000.0; ; 591000000.0; ; 1211000000.0; 656000000.0; -16000000.0; 640000000.0; 135000000.0; 505000000.0; ; 505000000.0; ; 453000000.0; 708000000.0; 656000000.0; 241000000.0; 242100000.0; 1890000.0; 1880000.0
2020-09-30; 1846000000.0; 517000000.0; 1329000000.0; ; 341000000.0; 8000000.0; 902000000.0; 944000000.0; -308000000.0; 636000000.0; 138000000.0; 498000000.0; ; 498000000.0; ; 455000000.0; 998000000.0; 944000000.0; 240600000.0; 241600000.0; 1890000.0; 1880000.0
2020-06-30; 1943000000.0; 493000000.0; 1450000000.0; ; 295000000.0; 1000000.0; 838000000.0; 1105000000.0; -30000000.0; 1075000000.0; 233000000.0; 842000000.0; ; 842000000.0; ; 792000000.0; 1156000000.0; 1105000000.0; 240900000.0; 241900000.0; 3290000.0; 3280000.0
2020-03-31; 1786000000.0; 518000000.0; 1268000000.0; ; 314000000.0; 7000000.0; 874000000.0; 912000000.0; -35000000.0; 877000000.0; 188000000.0; 689000000.0; ; 689000000.0; ; 639000000.0; 961000000.0; 912000000.0; 242100000.0; 243300000.0; 2640000.0; 2620000.0
2019-12-31; 1735000000.0; 552000000.0; 1183000000.0; ; 315000000.0; ; 918000000.0; 817000000.0; -86000000.0; 731000000.0; 145000000.0; 586000000.0; ; 586000000.0; ; 541000000.0; 868000000.0; 817000000.0; 245400000.0; 246900000.0; 2220000.0; 2210000.0
2019-09-30; 1689000000.0; 480000000.0; 1209000000.0; ; 318000000.0; 49000000.0; 798000000.0; 891000000.0; -40000000.0; 851000000.0; 189000000.0; 662000000.0; ; 662000000.0; ; 617000000.0; 940000000.0; 891000000.0; 245000000.0; 246500000.0; 2520000.0; 2500000.0
2019-06-30; 1704000000.0; 471000000.0; 1233000000.0; ; 368000000.0; ; 891000000.0; 813000000.0; -31000000.0; 782000000.0; 180000000.0; 602000000.0; ; 602000000.0; ; 555000000.0; 865000000.0; 813000000.0; 246100000.0; 247400000.0; 2250000.0; 2240000.0
2019-03-31; 1571000000.0; 473000000.0; 1098000000.0; ; 341000000.0; ; 866000000.0; 705000000.0; -139000000.0; 566000000.0; 113000000.0; 453000000.0; ; 453000000.0; ; 410000000.0; 757000000.0; 705000000.0; 246700000.0; 248300000.0; 1660000.0; 1650000.0
2018-12-31; 1536000000.0; 557000000.0; 979000000.0; ; 220000000.0; ; 833000000.0; 703000000.0; -32000000.0; 671000000.0; 120000000.0; 551000000.0; ; 551000000.0; ; 511000000.0; 758000000.0; 703000000.0; 250900000.0; 253200000.0; 2060000.0; 2029999.9999999998
2018-09-30; 1546000000.0; 410000000.0; 1136000000.0; ; 379000000.0; ; 842000000.0; 704000000.0; -32000000.0; 672000000.0; 137000000.0; 535000000.0; ; 535000000.0; ; 495000000.0; 758000000.0; 704000000.0; 251300000.0; 253500000.0; 1970000.0; 1950000.0
2018-06-30; 1609000000.0; 441000000.0; 1168000000.0; ; 444000000.0; ; 937000000.0; 672000000.0; -15000000.0; 657000000.0; 156000000.0; 501000000.0; ; 501000000.0; ; 461000000.0; 724000000.0; 672000000.0; 251100000.0; 253300000.0; 1830000.0; 1820000.0
2018-03-31; 1567000000.0; 430000000.0; 1137000000.0; ; 381000000.0; ; 856000000.0; 711000000.0; -30000000.0; 681000000.0; 147000000.0; 534000000.0; ; 534000000.0; ; 491000000.0; 756000000.0; 711000000.0; 252400000.0; 254400000.0; 1940000.0; 1930000.0
2017-12-31; 1588000000.0; 432000000.0; 1156000000.0; ; 483000000.0; ; 961000000.0; 627000000.0; -38000000.0; 589000000.0; 290000000.0; 299000000.0; ; 299000000.0; ; 262000000.0; 673000000.0; 627000000.0; 256300000.0; 258899999.99999997; 1050000.0; 1020000.0
2017-09-30; 1513000000.0; 419000000.0; 1094000000.0; ; 399000000.0; ; 864000000.0; 649000000.0; -28000000.0; 621000000.0; 169000000.0; 452000000.0; ; 452000000.0; ; 414000000.0; 695000000.0; 649000000.0; 255500000.0; 257899999.99999997; 1620000.0; 1610000.0
2017-06-30; 1509000000.0; 432000000.0; 1077000000.0; ; 364000000.0; ; 841000000.0; 668000000.0; -28000000.0; 640000000.0; 183000000.0; 457000000.0; ; 457000000.0; ; 421000000.0; 713000000.0; 668000000.0; 257300000.0; 259899999.99999997; 1630000.0; 1620000.0
2017-03-31; 1453000000.0; 411000000.0; 1042000000.0; ; 360000000.0; ; 814000000.0; 639000000.0; -28000000.0; 611000000.0; 181000000.0; 430000000.0; ; 430000000.0; ; 399000000.0; 682000000.0; 639000000.0; 258200000.0; 260800000.0; 1540000.0; 1530000.0
2016-12-31; 1399000000.0; 420000000.0; 979000000.0; ; 479000000.0; 379000000.0; 569000000.0; 830000000.0; -32000000.0; 798000000.0; 228000000.0; 570000000.0; ; 570000000.0; ; 537000000.0; 877000000.0; 830000000.0; 262800000.0; 265200000.0; 2069999.9999999998; 2040000.0
2016-09-30; 1439000000.0; 431000000.0; 1008000000.0; ; 337000000.0; 722000000.0; 91000000.0; 1348000000.0; -39000000.0; 1309000000.0; 386000000.0; 923000000.0; ; 923000000.0; ; 892000000.0; 1395000000.0; 1348000000.0; 262899999.99999997; 265300000.0; 3390000.0; 3360000.0
2016-06-30; 1482000000.0; 469000000.0; 1013000000.0; ; 317000000.0; ; 831000000.0; 651000000.0; -42000000.0; 609000000.0; 197000000.0; 412000000.0; ; 412000000.0; ; 383000000.0; 696000000.0; 651000000.0; 264500000.0; 266700000.0; 1450000.0; 1440000.0
2016-03-31; 1341000000.0; 453000000.0; 888000000.0; ; 334000000.0; ; 829000000.0; 512000000.0; -40000000.0; 472000000.0; 149000000.0; 323000000.0; ; 323000000.0; ; 294000000.0; 554000000.0; 512000000.0; 265000000.0; 267200000.0; 1110000.0; 1100000.0
2015-12-31; 1374000000.0; 477000000.0; 897000000.0; ; 419000000.0; ; 950000000.0; 424000000.0; -40000000.0; 384000000.0; 107000000.0; 277000000.0; ; 277000000.0; ; 248000000.0; 477000000.0; 424000000.0; 271600000.0; 274600000.0; 930000.0; 910000.0
2015-09-30; 1324000000.0; 419000000.0; 905000000.0; ; 458000000.0; ; 914000000.0; 410000000.0; -30000000.0; 380000000.0; 99000000.0; 281000000.0; ; 281000000.0; ; 252000000.0; 448000000.0; 410000000.0; 271300000.0; 274400000.0; 930000.0; 920000.0
2015-06-30; 1342000000.0; 412000000.0; 930000000.0; ; 326000000.0; 11000000.0; 760000000.0; 582000000.0; -16000000.0; 566000000.0; 185000000.0; 381000000.0; ; 381000000.0; ; 353000000.0; 615000000.0; 582000000.0; 273100000.0; 275700000.0; 1290000.0; 1280000.0
2015-03-31; 1273000000.0; 410000000.0; 863000000.0; ; 329000000.0; ; 772000000.0; 501000000.0; -16000000.0; 485000000.0; 156000000.0; 329000000.0; ; 329000000.0; ; 303000000.0; 534000000.0; 501000000.0; 273500000.0; 276300000.0; 1110000.0; 1100000.0
2014-12-31; 1290000000.0; 446000000.0; 844000000.0; ; 1959000000.0; ; 2439000000.0; -1149000000.0; -19000000.0; -1168000000.0; -184000000.0; -984000000.0; ; -984000000.0; 163000000.0; -845000000.0; -1115000000.0; -1149000000.0; 271500000.0; 271500000.0; -3110000.0; -3060000.0
2014-09-30; 1263000000.0; 402000000.0; 861000000.0; ; 462000000.0; ; 897000000.0; 366000000.0; -12000000.0; 354000000.0; 139000000.0; 215000000.0; ; 215000000.0; 2000000.0; 190000000.0; 400000000.0; 366000000.0; 270900000.0; 275400000.0; 700000.0; 690000.0
2014-06-30; 1302000000.0; 407000000.0; 895000000.0; ; 376000000.0; -9000000.0; 826000000.0; 476000000.0; -14000000.0; 462000000.0; 152000000.0; 310000000.0; ; 310000000.0; 6000000.0; 292000000.0; 509000000.0; 476000000.0; 271500000.0; 276100000.0; 1080000.0; 1060000.0
2014-03-31; 1196000000.0; 396000000.0; 800000000.0; ; 347000000.0; ; 776000000.0; 420000000.0; -14000000.0; 406000000.0; 138000000.0; 268000000.0; ; 268000000.0; 7000000.0; 248000000.0; 453000000.0; 420000000.0; 271800000.0; 277200000.0; 910000.0; 890000.0
2013-12-31; 1119000000.0; 424000000.0; 695000000.0; ; 376000000.0; -36000000.0; 870000000.0; 249000000.0; -14000000.0; 235000000.0; 66000000.0; 169000000.0; ; 169000000.0; 20000000.0; 172000000.0; 283000000.0; 249000000.0; 274500000.0; 279800000.0; 670000.0; 640000.0
2013-09-30; 1152000000.0; 371000000.0; 781000000.0; ; 377000000.0; 24000000.0; 757000000.0; 395000000.0; -14000000.0; 381000000.0; 123000000.0; 258000000.0; ; 258000000.0; -13000000.0; 215000000.0; 428000000.0; 395000000.0; 272800000.0; 278800000.0; 790000.0; 770000.0
2013-06-30; 1250000000.0; 395000000.0; 855000000.0; ; 384000000.0; 0.0; 814000000.0; 436000000.0; -16000000.0; 420000000.0; 147000000.0; 273000000.0; ; 273000000.0; 4000000.0; 254000000.0; 471000000.0; 436000000.0; 274300000.0; 278300000.0; 930000.0; 910000.0
