Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 1232600000.0; 649300000.0; 583300000.0; 156500000.0; 77000000.0; ; 906800000.0; 325800000.0; -11700000.0; 314100000.0; 46800000.0; 267300000.0; ; 267300000.0; ; 267300000.0; 489600000.0; 325800000.0; 160900000.0; 161500000.0; 1660000.0; 1660000.0
2022-03-31; 1335600000.0; 698000000.0; 637600000.0; 160700000.0; 83000000.0; ; 968300000.0; 367299900.0; -13200000.0; 354100000.0; 48300000.0; 305800000.0; ; 305800000.0; ; 305800000.0; 532700000.00000006; 367299900.0; 163700000.0; 164400000.0; 1870000.0; 1860000.0
2021-12-31; 1510400000.0; 795700000.0; 714700000.0; 151100000.0; 82000000.0; ; 1064500000.0; 445900000.0; -9800000.0; 436100000.0; 36200000.0; 399900000.0; ; 399900000.0; ; 399900000.0; 628400000.0; 445900000.0; 165100000.0; 166400000.0; 2420000.0; 2400000.0
2021-09-30; 1310900000.0; 697199900.0; 613700300.0; 149200000.0; 100600000.0; ; 983399800.0; 327500400.0; -11400000.0; 316100000.0; -10100000.0; 326199900.0; ; 326199900.0; ; 326200000.0; 498600400.0; 327500100.0; 165200000.0; 167000000.0; 1970000.0; 1950000.0
2021-06-30; 1116400000.0; 557800000.0; 558600000.0; 130800000.00000001; 85100000.0; ; 776600000.0; 339800000.0; -3600000.0; 336200000.0; -1600000.0; 337800000.0; ; 337800000.0; ; 337800000.0; 430800000.0; 339800000.0; 165100000.0; 167000000.0; 2049999.9999999998; 2020000.0
2021-03-31; 1171800000.0; 593400000.0; 578400000.0; 130699999.99999999; 70200000.0; ; 797100000.0; 374700000.0; 800000.0; 375500000.0; 50500000.0; 325000000.0; ; 325000000.0; ; 325000000.0; 464000000.0; 374700000.0; 165000000.0; 166800000.0; 1970000.0; 1950000.0
2020-12-31; 1510000000.0; 748300000.0; 761700000.0; 121600000.0; 66599999.99999999; ; 939299900.0; 570700100.0; 200000.0; 570900000.0; 61600000.0; 509300000.0; ; 509300000.0; ; 509300000.0; 657100100.0; 570700100.0; 165400000.0; 167000000.0; 3080000.0; 3050000.0
2020-09-30; 956700000.0; 497800100.0; 458899800.0; 126200000.0; 62400000.0; ; 689200100.0; 267499800.0; -1500000.0; 266000000.0; 19100000.0; 246900000.0; ; 246900000.0; ; 246900000.0; 358199800.0; 267499800.0; 168500000.0; 169900000.0; 1480000.0; 1470000.0
2020-06-30; 736800000.0; 402700000.0; 334100000.0; 117000000.0; 55000000.0; ; 589300000.0; 147500000.0; -3500000.0; 144000000.0; 14300000.0; 129699999.99999999; ; 129699999.99999999; ; 129699999.99999999; 238100000.0; 147500000.0; 167000000.0; 168300000.0; 780000.0; 770000.0
2020-03-31; 766100000.0; 390500000.0; 375600000.0; 113200000.0; 58600000.0; ; 566600000.0; 199500000.0; 3500000.0; 203000000.0; 21900000.0; 181100000.0; ; 181100000.0; ; 181100000.0; 291300000.0; 199500000.0; 170000000.0; 171100000.0; 1070000.0; 1060000.0
2019-12-31; 896100000.0; 451800000.0; 444300000.0; 107700000.0; 55400000.0; ; 618800000.0; 277300000.0; 1400000.0; 278700000.0; 21600000.0; 257100000.00000003; ; 257100000.00000003; ; 257100000.00000003; 368500000.0; 277300000.0; 170200000.0; 171600000.0; 1510000.0; 1500000.0
2019-09-30; 827400000.0; 421400000.0; 406000000.0; 106800000.0; 55800000.0; ; 593500100.0; 233899900.0; 100000.0; 234000000.0; 23400000.0; 210600000.0; ; 210600000.0; ; 210600000.0; 326799900.0; 233900000.0; 173500000.0; 174500000.0; 1250000.0; 1230000.0
2019-06-30; 767000000.0; 454500000.0; 312500000.0; 100600000.0; 46800000.0; ; 607400000.0; 159600000.0; 2300000.0; 161900000.0; 17800000.0; 144100000.0; ; 144100000.0; ; 144100000.0; 253300000.0; 159600000.0; 172600000.0; 173400000.0; 830000.0; 830000.0
2019-03-31; 810400000.0; 410200000.0; 400200000.0; 107500000.0; 47900000.0; ; 572800000.0; 237600000.0; 3700000.0; 241300000.0; 27300000.0; 214000000.0; ; 214000000.0; ; 214000000.0; 329600000.0; 237600000.0; 173800000.0; 174600000.0; 1230000.0; 1230000.0
2018-12-31; 972000000.0; 486900000.0; 485100000.0; 109200000.0; 47800000.0; ; 651100000.0; 320900000.0; 2900000.0; 323800000.0; 38900000.0; 284900000.0; ; 284900000.0; ; 284900000.0; 413900000.0; 320900000.0; 176600000.0; 177700000.0; 1610000.0; 1600000.0
2018-09-30; 1008400000.0; 504800100.0; 503599700.0; 103000000.0; 54400000.0; ; 668300200.0; 340099500.0; 3300000.0; 343400000.0; 57900000.0; 285500000.0; ; 285500000.0; ; 285500000.0; 423899600.0; 340099700.0; 181300000.0; 183200000.0; 1590000.0; 1560000.0
2018-06-30; 894300000.0; 442700000.0; 451600000.0; 96800000.0; 44600000.0; ; 588000000.0; 306300000.0; 4500000.0; 310800000.0; 24300000.0; 286500000.0; ; 286500000.0; ; 286500000.0; 381000000.0; 306300000.0; 181200000.0; 182800000.0; 1580000.0; 1570000.0
2018-03-31; 913400000.0; 454700000.0; 458700000.0; 106700000.0; 57500000.0; ; 624000000.0; 289400000.0; 2900000.0; 292300000.0; 16300000.0; 276000000.0; ; 276000000.0; ; 276000000.0; 361000000.0; 289400000.0; 182500000.0; 184300000.0; 1510000.0; 1500000.0
2017-12-31; 1051900000.0000001; 515100000.0; 536799999.99999994; 98000000.0; 51300000.0; ; 668400000.0; 383500100.0; 2100000.0; 385600000.0; 315200000.0; 70400000.0; ; 70400000.0; ; 70400000.0; 452600100.0; 383500100.0; 183100000.0; 185500000.0; 380000.0; 380000.0
2017-09-30; 984599900.0; 485699900.0; 498900000.0; 91800000.0; 56400000.0; ; 638700100.0; 345899800.0; 1800000.0; 347700000.0; 66400000.00000001; 281300000.0; ; 281300000.0; ; 281300000.0; 411299800.0; 345899900.0; 184300000.0; 186700000.0; 1530000.0; 1510000.0
2017-06-30; 900800000.0; 447200000.0; 453600000.0; 92000000.0; 49500000.0; ; 596000100.0; 304799900.0; 2000000.0; 306800000.0; 60600000.0; 246200000.0; ; 246200000.0; ; 246200000.0; 367499900.0; 304799900.0; 184200000.0; 186600000.0; 1340000.0; 1320000.0
2017-03-31; 851700000.0; 426300000.0; 425400000.0; 89400000.0; 47800000.0; ; 570500000.0; 281200000.0; 200000.0; 281400000.0; 56500000.0; 224900000.0; ; 224900000.0; ; 224900000.0; 344100000.0; 281200000.0; 184800000.0; 187100000.0; 1220000.0; 1200000.0
2016-12-31; 914300000.0; 450400000.0; 463900000.0; 82000000.0; 50900000.0; ; 592400000.0; 321900000.0; -800000.0; 321100000.0; 63300000.0; 257800000.0; ; 257800000.0; ; 257800000.0; 385700000.0; 321900000.0; 184800000.0; 187300000.0; 1390000.0; 1380000.0
2016-09-30; 835400100.0; 411000000.0; 424400100.0; 73200000.0; 53300000.0; ; 543500100.0; 291900000.0; -800000.0; 291099900.0; 44300000.0; 246800000.0; ; 246800000.0; ; 246800000.0; 353100000.0; 291900000.0; 188700000.0; 192100000.0; 1330000.0; 1310000.0
2016-06-30; 751700000.0; 373400000.0; 378300000.0; 77900000.0; 46900000.0; ; 513100000.0; 238600000.0; -2400000.0; 236200000.0; 51200000.0; 185000000.0; ; 185000000.0; ; 185000000.0; 303200000.0; 238600000.0; 188700000.0; 191700000.0; 980000.0; 970000.0
2016-03-31; 775100000.0; 384700000.0; 390400000.0; 79800000.0; 44000000.0; ; 517400000.0; 257700000.0; -2600000.0; 255100000.0; 47000000.0; 208100000.0; ; 208100000.0; ; 208100000.0; 319800000.0; 257700000.0; 190200000.0; 193300000.0; 1090000.0; 1080000.0
2015-12-31; 926800000.0; 454700000.0; 472100000.0; 81500000.0; 51700000.0; ; 596300000.0; 330500000.0; 87700000.0; 418200000.0; 62900000.0; 355300000.0; ; 355300000.0; ; 355300000.0; 390400000.0; 330500000.0; 190400000.0; 194700000.0; 1870000.0; 1820000.0
2015-09-30; 880799900.0; 444600000.0; 436200000.0; 82400000.0; 47400000.0; ; 583200100.0; 297599800.0; -1400000.0; 296200000.0; 67000000.0; 229200000.0; ; 229200000.0; ; 229200000.0; 351799800.0; 297599800.0; 189500000.0; 194900000.0; 1210000.0; 1180000.0
2015-06-30; 810000000.0; 416900000.0; 393100000.0; 76800000.0; 48600000.0; ; 551200000.0; 258800000.0; 600000.0; 259399999.99999997; 52000000.0; 207400000.0; ; 207400000.0; ; 207400000.0; 309100000.0; 258800000.0; 190000000.0; 195400000.0; 1090000.0; 1060000.0
2015-03-31; 762100000.0; 409900000.0; 352200000.0; 75500000.0; 47400000.0; ; 542200000.0; 219900000.0; 600000.0; 220500000.0; 54000000.0; 166500000.0; ; 166500000.0; ; 166500000.0; 267000000.0; 219900000.0; 189900000.0; 195200000.0; 880000.0; 850000.0
2014-12-31; 805500000.0; 432500000.0; 373000000.0; 68500000.0; 47900000.0; ; 558700000.0; 246800000.0; 700000.0; 247500000.0; 52300000.0; 195200000.0; ; 195200000.0; ; 195200000.0; 291000000.0; 246800000.0; 188700000.0; 194200000.0; 1030000.0; 1010000.0
2014-09-30; 718300000.0; 394200000.0; 324100000.0; 68000000.0; 50300000.0; ; 520200000.00000006; 198100000.0; ; 198200000.0; 23300000.0; 174900000.0; ; 174900000.0; ; 174900000.0; 235800000.0; 198099900.0; 187200000.0; 192600000.0; 930000.0; 910000.0
2014-06-30; 587000000.0; 322800000.0; 264200000.0; 64200000.0; 45800000.0; ; 438500000.0; 148500000.0; ; 148500000.0; 37100000.0; 111400000.0; ; 111400000.0; ; 111400000.0; 178300000.0; 148500000.0; 187500000.0; 193200000.0; 590000.0; 580000.0
