Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 4493000000.0; 1667000000.0; 2826000000.0; 351000000.0; 1539000000.0; -4000000.0; 3721000000.0; 772000000.0; -52000000.0; 720000000.0; 64000000.0; 656000000.0; ; 656000000.0; ; 656000000.0; 1025000000.0; 772000000.0; 378300000.0; 382200000.0; 1730000.0; 1720000.0
2022-03-31; 4275000000.0; 1541000000.0; 2734000000.0; 413000000.0; 1710000000.0; -14000000.0; 3828000000.0; 447000000.0; -61000000.0; 386000000.0; 63000000.0; 323000000.0; ; 323000000.0; ; 323000000.0; 689000000.0; 447000000.0; 377700000.0; 382700000.0; 860000.0; 840000.0
2021-12-31; 4701000000.0; 1656000000.0; 3045000000.0; 331000000.0; 1745000000.0; -5000000.0; 3882000000.0; 819000000.0; -62000000.0; 757000000.0; 95000000.0; 662000000.0; ; 662000000.0; ; 662000000.0; 1057000000.0; 819000000.0; 377000000.0; 382300000.0; 1750000.0; 1730000.0
2021-09-30; 4160000000.0; 1518000000.0; 2642000000.0; 306000000.0; 1602000000.0; -16000000.0; 3586000000.0; 574000000.0; -79000000.0; 495000000.0; 57000000.0; 438000000.0; ; 438000000.0; ; 438000000.0; 809000000.0; 574000000.0; 377100000.0; 382700000.0; 1170000.0; 1140000.0
2021-06-30; 4294000000.0; 1522000000.0; 2772000000.0; 310000000.0; 1505000000.0; -76000000.0; 3562000000.0; 732000000.0; -70000000.0; 662000000.0; 70000000.0; 592000000.0; ; 592000000.0; ; 592000000.0; 973000000.0; 732000000.0; 376900000.0; 382300000.0; 1570000.0; 1550000.0
2021-03-31; 3953000000.0; 1444000000.0; 2509000000.0; 288000000.0; 1575000000.0; -6000000.0; 3494000000.0; 459000000.0; -92000000.0; 367000000.0; 65000000.0; 302000000.0; ; 302000000.0; ; 302000000.0; 735000000.0; 459000000.0; 376300000.0; 381700000.0; 800000.0; 790000.0
2020-12-31; 4262000000.0; 1545000000.0; 2717000000.0; 255000000.0; 1562000000.0; -21000000.0; 3513000000.0; 749000000.0; -78000000.0; 671000000.0; 103000000.0; 568000000.0; ; 568000000.0; ; 568000000.0; 972000000.0; 749000000.0; 375500000.0; 380300000.0; 1500000.0; 1490000.0
2020-09-30; 3737000000.0; 1276000000.0; 2461000000.0; 242000000.0; 1244000000.0; -2000000.0; 2878000000.0; 859000000.0; -79000000.0; 780000000.0; 159000000.0; 621000000.0; ; 621000000.0; ; 621000000.0; 1057000000.0; 859000000.0; 375700000.0; 380200000.0; 1660000.0; 1630000.0
2020-06-30; 2764000000.0; 1216000000.0; 1548000000.0; 233000000.0; 1225000000.0; ; 2784000000.0; -20000000.0; -67000000.0; -87000000.0; -4000000.0; -83000000.0; ; -83000000.0; ; -83000000.0; 173000000.0; -20000000.0; 375500000.0; 375500000.0; -220000.0; -220000.0
2020-03-31; 3588000000.0; 1257000000.0; 2331000000.0; 254000000.0; 1330000000.0; 6000000.0; 2953000000.0; 635000000.0; -45000000.0; 590000000.0; 97000000.0; 493000000.0; ; 493000000.0; ; 493000000.0; 833000000.0; 635000000.0; 374800000.0; 379700000.0; 1320000.0; 1300000.0
2019-12-31; 4131000000.0; 1428000000.0; 2703000000.0; 254000000.0; 1380000000.0; -13000000.0; 3187000000.0; 944000000.0; -8000000.0; 936000000.0; 211000000.0; 725000000.0; ; 725000000.0; ; 725000000.0; 1139000000.0; 944000000.0; 374000000.0; 379900000.0; 1940000.0; 1900000.0
2019-09-30; 3587000000.0; 1257000000.0; 2330000000.0; 246000000.0; 1291000000.0; -49000000.0; 2959000000.0; 628000000.0; -47000000.0; 581000000.0; 115000000.0; 466000000.0; ; 466000000.0; ; 466000000.0; 822000000.0; 628000000.0; 374200000.0; 380300000.0; 1240000.0; 1230000.0
2019-06-30; 3650000000.0; 1270000000.0; 2380000000.0; 246000000.0; 1282000000.0; -117000000.0; 3037000000.0; 613000000.0; -48000000.0; 565000000.0; 85000000.0; 480000000.0; ; 480000000.0; ; 480000000.0; 812000000.0; 613000000.0; 373900000.0; 379500000.0; 1290000.0; 1260000.0
2019-03-31; 3516000000.0; 1233000000.0; 2283000000.0; 225000000.0; 1403000000.0; -13000000.0; 2988000000.0; 528000000.0; -48000000.0; 480000000.0; 68000000.0; 412000000.0; ; 412000000.0; ; 412000000.0; 718000000.0; 528000000.0; 373300000.0; 379300000.0; 1100000.0; 1090000.0
2018-12-31; 3796000000.0; 1340000000.0; 2456000000.0; 221000000.0; 1431000000.0; -13000000.0; 3098000000.0; 698000000.0; -41000000.0; 657000000.0; -1411000000.0; 2068000000.0; ; 2068000000.0; ; 2068000000.0; 874000000.0; 698000000.0; 374100000.0; 380300000.0; 5530000.0; 5440000.0
