Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 18957260000.0; 15512980000.0; 3444273000.0; ; ; -2677557000.0; 18190540000.0; 766714800.0; -124836000.0; 641878900.0; 131889999.99999999; 509988800.0; ; 509988800.0; ; 509988900.0; 999770800.0; 766717800.0; 510630600.0; 514005800.0; 990000.0; 990000.0
2022-03-31; 16902140000.0; 13888750000.0; 3013394000.0; ; ; -2517665000.0; 16406410000.0; 495728500.0; -110241000.0; 385488000.0; 82163000.0; 303325000.0; ; 303325000.0; ; 303325000.0; 722277500.0; 495728500.0; 508368200.0; 512238500.00000006; 600000.0; 590000.0
2021-12-31; 16320200000.0; 13429050000.0; 2891150000.0; ; ; -2446241000.0; 15875290000.0; 444909200.0; -232223000.0; 212686000.0; 45245000.0; 167441000.0; ; 167441000.0; ; 167441000.0; 668278200.0; 444909200.0; 511044400.0; 514574899.99999994; 330000.0; 330000.0
2021-09-30; 16456550000.0; 13484840000.0; 2971709000.0; ; ; -2340026000.0; 15824860000.0; 631683600.0; -124962000.0; 506720000.0; 128707000.0; 378013000.0; ; 378013000.0; ; 378013000.0; 851947600.0; 631683600.0; 512515999.99999994; 515783000.0; 740000.0; 730000.0
2021-06-30; 16136890000.0; 13221110000.0; 2915778000.0; ; ; -2346094000.0; 15567210000.0; 569682600.0; -427666000.0; 142018000.0; -9075000.0; 151093000.0; ; 151093000.0; ; 151093000.0; 804249600.0; 569683600.0; 510696400.0; 513555100.00000006; 300000.0; 300000.0
2021-03-31; 11824590000.0; 9701921000.0; 2122668000.0000002; ; ; -1886751000.0; 11588670000.0; 235917000.0; -133065000.0; 102852000.0; 13925000.0; 88927000.0; ; 88927000.0; ; 88927000.0; 445778000.0; 235917000.0; 511110700.0; 514585100.0; 170000.0; 170000.0
2020-12-31; 11558980000.0; 9460524000.0; 2098458000.0; ; ; -1886396000.0; 11346920000.0; 212062500.0; -130942000.0; 81120000.0; 13831000.0; 67289000.0; ; 67289000.0; ; 67289000.0; 431118500.0; 212062500.0; 510006700.0; 512742800.0; 130000.0; 130000.0
2020-09-30; 11777380000.0; 9557534000.0; 2219845000.0; ; ; -1800266000.0; 11357800000.0; 419579100.0; -160841000.0; 258738000.0; 41838000.0; 216900000.0; ; 216900000.0; ; 216900000.0; 634032100.0; 419579100.0; 509127000.0; 510739000.0; 430000.0; 420000.0
2020-06-30; 8866562000.0; 7300908000.0; 1565653000.0; ; ; -2097235000.0000002; 9398144000.0; -531582000.0; -204665000.0; -736245000.0; -117826000.0; -618418900.0; ; -618418900.0; ; -618419000.0; -117881000.0; -531582000.0; 510121100.0; 514025999.99999994; -1200000.0; -1180000.0
2020-03-31; 13698700000.0; 11134460000.0; 2564240000.0; ; ; -2503966000.0; 13638420000.0; 60274400.0; -89054000.0; -28780000.0; -25483000.0; -3297000.0; ; -3297000.0; ; -3297000.0; 350834400.0; 60274400.0; 508745000.0; 512658000.0; -10000.0; -10000.0
2019-12-31; 15025040000.0; 12196640000.0; 2828399000.0; ; ; -2275906000.0; 14472550000.0; 552493200.0; -75955000.0; 476538000.0; 93128000.0; 383410000.0; ; 383410000.0; ; 383410000.0; 768992200.0; 552493200.0; 509984700.0; 515517799.99999994; 750000.0; 740000.0
2019-09-30; 15303000000.0; 12359630000.0; 2943370000.0; ; ; -2275052000.0; 14634690000.0; 668318400.0; -86447000.0; 581871000.0; 128090000.0; 453781000.0; ; 453781000.0; ; 453781000.0; 887568400.0; 668318400.0; 513496000.0; 518760999.99999994; 880000.0; 870000.0
2019-06-30; 15474860000.0; 12495670000.0; 2979195000.0; ; ; -2258662000.0; 14754330000.0; 720531300.0; -38222000.0; 682308000.0; 146542000.0; 535765999.99999994; ; 535765999.99999994; ; 535765999.99999994; 913008200.0; 720532200.0; 516890999.99999994; 523381000.0; 1030000.0; 1030000.0
2019-03-31; 14658070000.0; 11903780000.0; 2754298000.0; ; ; -2224713000.0; 14128490000.0; 529585000.00000006; -98634000.0; 430951000.0; -9132000.0; 440083000.0; ; 440083000.0; ; 440083000.0; 719198000.0; 529585000.00000006; 514184999.99999994; 519821000.0; 860000.0; 850000.0
2018-12-31; 14765710000.0; 11994000000.0; 2771712000.0; ; ; -2319817000.0; 14313810000.0; 451894500.0; -97310000.0; 354585000.0; 87205000.0; 267380000.0; ; 267380000.0; ; 267380000.0; 661324500.0; 451894500.0; 517871000.0; 524601000.0; 520000.0; 510000.0
2018-09-30; 15215280000.0; 12311490000.0; 2903785000.0; ; ; -2275645000.0; 14587140000.0; 628140600.0; -90148000.0; 537992000.0; 106950000.0; 431042000.0; ; 431042000.0; ; 431042000.0; 821937600.0; 628140600.0; 520857000.0; 529034000.0; 830000.0; 810000.0
2018-06-30; 15315910000.0; 12399200000.0; 2916707000.0; ; ; -2232773000.0; 14631970000.0; 683933600.0; -90780000.0; 593155900.0; 144228000.0; 448928000.0; ; 448928000.0; ; 448928000.0; 893078600.0; 683933600.0; 522927000.0; 529090000.00000006; 860000.0; 840000.0
2018-03-31; 14349500000.0; 11673880000.0; 2675628000.0; ; ; -2193425000.0; 13867300000.0; 482203100.0; -117319000.0; 364884000.0; 34799000.0; 330085000.0; ; 330085000.0; ; 330085000.0; 682319100.0; 482203100.0; 521832999.99999994; 527991000.0; 630000.0; 630000.0
2017-12-31; 14411490000.0; 11712100000.0; 2699387000.0; ; ; -2170834000.0; 13882940000.0; 528552699.99999994; -76824000.0; 451728000.0; 167615000.0; 284113000.0; ; 284113000.0; ; 284113000.0; 726409700.0; 528552699.99999994; 521284000.0; 527250000.0; 550000.0; 540000.0
2017-09-30; 14650420000.0; 11856760000.0; 2793668000.0; ; ; -2174303000.0; 14031060000.0; 619365200.0; -72909000.0; 546456000.0; 178816000.0; 367640000.0; ; 367640000.0; ; 367640000.0; 806219200.0; 619365200.0; 527289999.99999994; 533063000.0; 700000.0; 690000.0
2017-06-30; 14421050000.0; 11661450000.0; 2759595000.0; ; ; -2200186000.0; 13861640000.0; 559407200.0; -75879000.0; 483525100.0; 178354000.0; 305170900.0; ; 305170900.0; ; 305171100.0; 800820200.0; 559406300.0; 543497000.0; 548545000.0; 580000.0; 560000.0
2017-03-31; 13524170000.0; 10990040000.0; 2534135000.0; ; ; -2098172999.9999998; 13088210000.0; 435961900.0; -76189000.0; 359773000.0; 121495000.0; 238278000.0; ; 238278000.0; ; 238278000.0; 666290900.0; 435961900.0; 539291600.0; 544068900.0; 440000.0; 440000.0
2016-12-31; 13457270000.0; 10885410000.0; 2571862000.0; ; ; -2079446000.0; 12964850000.0; 492416000.0; -69911000.0; 422506000.0; 147339000.0; 275167000.0; ; 275167000.0; ; 275167000.0; 736273100.0; 492416000.0; 545133000.0; 550372000.0; 500000.0; 500000.0
2016-09-30; 13968650000.0; 11276740000.0; 2691919000.0; ; ; -2125085999.9999998; 13401820000.0; 566833000.0; -66407000.0; 500426000.0; 176539000.0; 323887000.0; ; 323887000.0; ; 323887000.0; 785078000.0; 566833000.0; 555438000.0; 560954000.0; 580000.0; 580000.0
2016-06-30; 13647890000.0; 11145050000.0; 2502837000.0; ; ; -1956013000.0; 13101070000.0; 546822300.0; -215608000.0; 331217000.0; 115550000.0; 215667000.0; ; 215667000.0; ; 215667000.0; 757917300.0; 546824200.0; 573057000.0; 577391000.0; 390000.0; 370000.0
2016-03-31; 12002790000.0; 9859966000.0; 2142824999.9999998; ; ; -1765207000.0; 11625170000.0; 377618200.0; -50747000.0; 326871000.0; 109735000.0; 217136000.0; ; 217136000.0; ; 217136000.0; 579333200.0; 377618200.0; 566488000.0; 570815000.0; 380000.0; 380000.0
2015-12-31; 12153630000.0; 9996812000.0; 2156814000.0; ; ; -1724231000.0; 11721040000.0; 432583000.0; -39471000.0; 393112000.0; 120713000.0; 272399000.0; ; 272399000.0; ; 272399000.0; 585498000.0; 432583000.0; 566882000.0; 571452000.0; 480000.0; 480000.0
2015-09-30; 12562610000.0; 10324620000.0; 2237995000.0; ; ; -1744521000.0; 12069140000.0; 493474600.0; -111667000.0; 381807000.0; 137387000.0; 244420000.0; ; 244420000.0; ; 244420000.0; 635596600.0; 493474600.0; 596699000.0; 600790000.0; 410000.0; 410000.0
2015-06-30; 12401940000.0; 10181770000.0; 2220166000.0; ; ; -2099168999.9999998; 12280940000.0; 121001000.0; -52247000.0; 68748000.0; -4278000.0; 73026000.0; ; 73026000.0; ; 73026000.0; 266065900.0; 121001000.0; 592072000.0; 596849000.0; 120000.0; 110000.0
2015-03-31; 11746660000.0; 9689161000.0; 2057498000.0; ; ; -1730190000.0; 11419350000.0; 327307600.0; -60973000.0; 266334999.99999997; 89380000.0; 176955000.0; ; 176955000.0; ; 176955000.0; 468407600.0; 327307600.0; 594030000.0; 598921000.0; 300000.0; 300000.0
2014-12-31; 12087070000.0; 10001940000.0; 2085138000.0; ; ; -1769691000.0; 11771630000.0; 315446300.0; -79249000.0; 236197000.0; 78218000.0; 157979000.0; ; 157979000.0; ; 157979000.0; 472446300.0; 315446300.0; 590723000.0; 595912000.0; 270000.0; 270000.0
2014-09-30; 12445080000.0; 10256360000.0; 2188717000.0; ; ; -1723104000.0; 11979470000.0; 465612300.0; -28746000.0; 436867000.0; 158054000.0; 278813000.0; ; 278813000.0; ; 278813000.0; 603411300.0; 465612300.0; 588277000.0; 593310000.0; 470000.0; 470000.0
2014-06-30; 12286990000.0; 10131140000.0; 2155855000.0; ; ; -1731334000.0; 11862470000.0; 424521500.0; -23989000.0; 400533100.0; 146362000.0; 254171000.0; ; 254171000.0; ; 254171000.0; 571511500.0; 424521500.0; 585988000.0; 590216000.0; 430000.0; 430000.0
2014-03-31; 11277480000.0; 9282743000.0; 1994741000.0; ; ; -1662116000.0; 10944860000.0; 332625000.0; -35942000.0; 296683000.0; 115746000.0; 180937000.0; ; 180937000.0; ; 180937000.0; 470550000.0; 332625000.0; 585885000.0; 590470000.0; 310000.0; 310000.0
2013-12-31; 11237970000.0; 9273018000.0; 1964951000.0; ; ; -1613174000.0; 10886190000.0; 351777300.0; -25573000.0; 326204000.0; 115369000.0; 210835000.0; ; 210835000.0; ; 210835000.0; 489180400.0; 351777300.0; 584254000.0; 587926000.0; 360000.0; 360000.0
2013-09-30; 11714270000.0; 9648780000.0; 2065485999.9999998; ; ; -1587289000.0; 11236070000.0; 478197300.0; -25994000.0; 452204000.0; 166614000.0; 285590000.0; ; 285590000.0; ; 285590000.0; 611941300.0; 478197300.0; 587622000.0; 591459000.0; 490000.0; 480000.0
2013-06-30; 11601060000.0; 9528836000.0; 2072221000.0; ; ; -1612377000.0; 11141210000.0; 459842800.0; -21338000.0; 438505000.0; 155462000.0; 283043000.0; ; 283043000.0; ; 283043000.0; 592392800.0; 459845700.0; 589398000.0; 592675000.0; 470000.0; 460000.0
2013-03-31; 10926370000.0; 8983889000.0; 1942482000.0; ; ; -1605280000.0; 10589170000.0; 337202100.0; -30805000.0; 306397000.0; 104980000.0; 201417000.0; ; 201417000.0; ; 201417000.0; 467607100.0; 337202100.0; 589150000.0; 592904000.0; 340000.0; 340000.0
2012-12-31; 10796890000.0; 8844780000.0; 1952109000.0; ; ; -1569459000.0; 10414240000.0; 382650400.0; -30489000.0; 352162000.0; 130793000.0; 221369000.0; ; 221369000.0; ; 221369000.0; 511579400.0; 382650400.0; 587092000.0; 589752000.0; 380000.0; 380000.0
2012-09-30; 11086920000.0; 9057121000.0; 2029795000.0; ; ; -1551013000.0; 10608130000.0; 478782200.0; -28391000.0; 450391000.0; 163793000.0; 286598000.0; ; 286598000.0; ; 286598000.0; 599446200.0; 478782200.0; 587758000.0; 589839000.0; 490000.0; 490000.0
