Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 6471000000.0; 624000000.0; 5847000000.0; ; 3600000000.0; ; 4409000000.0; 2062000000.0; -62000000.0; 2000000000.0; 363000000.0; 1637000000.0; ; 1637000000.0; ; 1536000000.0; ; ; 1326539000.0; 1336659000.0; 1160000.0; 1150000.0
2022-06-30; 5921000000.0; 266000000.0; 5655000000.0; ; 3440000000.0; ; 3896000000.0; 2025000000.0; -121000000.0; 1904000000.0; 372000000.0; 1532000000.0; ; 1532000000.0; ; 1454000000.0; ; ; 1330160000.0; 1338864000.0; 1090000.0; 1090000.0
2022-03-31; 5499000000.0; 174000000.0; 5325000000.0; ; 3178000000.0; ; 3537000000.0; 1962000000.0; -216000000.0; 1746000000.0; 330000000.0; 1416000000.0; ; 1416000000.0; ; 1327000000.0; ; ; 1329037000.0; 1341563000.0; 1000000.0; 990000.0
2021-12-31; 5734000000.0; 168000000.0; 5566000000.0; ; 3196000000.0; ; 3553000000.0; 2181000000.0; -212000000.0; 1969000000.0; 367000000.0; 1602000000.0; ; 1602000000.0; ; 1524000000.0; ; ; 1337144000.0; 1349378000.0; 1150000.0; 1130000.0
2021-09-30; 5791000000.0; 193000000.0; 5598000000.0; ; 3107000000.0; ; 3492000000.0; 2299000000.0; -172000000.0; 2127000000.0; 423000000.0; 1704000000.0; ; 1704000000.0; ; 1616000000.0; ; ; 1334825000.0; 1346854000.0; 1210000.0; 1200000.0
2021-06-30; 5848000000.0; 198000000.0; 5650000000.0; ; 3091000000.0; ; 3478000000.0; 2370000000.0; -297000000.0; 2073000000.0; 415000000.0; 1658000000.0; ; 1658000000.0; ; 1559000000.0; ; ; 1338302000.0; 1349492000.0; 1160000.0; 1160000.0
2021-03-31; 5691000000.0; 209000000.0; 5482000000.0; ; 3323000000.0; ; 3726000000.0; 1965000000.0; -141000000.0; 1824000000.0; 351000000.0; 1473000000.0; ; 1473000000.0; ; 1334000000.0; ; ; 1345666000.0; 1358932000.0; 990000.0; 980000.0
2020-12-31; 5896000000.0; 245000000.0; 5651000000.0; ; 3476000000.0; ; 3947000000.0; 1949000000.0; -308000000.0; 1641000000.0; 311000000.0; 1330000000.0; ; 1330000000.0; ; 1228000000.0; ; ; 1347080000.0; 1358289000.0; 920000.0; 890000.0
2020-09-30; 5833000000.0; 261000000.0; 5572000000.0; ; 3714000000.0; ; 4201000000.0; 1632000000.0; -236000000.0; 1396000000.0; 255000000.0; 1141000000.0; ; 1141000000.0; ; 1068000000.0; ; ; 1347916000.0; 1358122000.0; 790000.0; 790000.0
2020-06-30; 6311000000.0; 440000000.0; 5871000000.0; ; 4258000000.0; ; 4953000000.0; 1358000000.0; -209000000.0; 1149000000.0; 191000000.0; 958000000.0; ; 958000000.0; ; 902000000.0; ; ; 1347512000.0; 1355834000.0; 670000.0; 670000.0
2020-03-31; 6387000000.0; 776000000.0; 5611000000.0; ; 3981000000.0; ; 4993000000.0; 1394000000.0; -107000000.0; 1287000000.0; 224000000.0; 1063000000.0; ; 1063000000.0; ; 986000000.0; ; ; 1344372000.0; 1357545000.0; 730000.0; 730000.0
