Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 1624900000.0; 505700000.0; 1119200000.0; ; 870700000.0; ; 1376400000.0; 248499800.0; -20000000.0; 228500000.0; 39700000.0; 188799900.0; ; 188799900.0; ; 188800000.0; 295699800.0; 248499800.0; 264300000.0; 270100000.0; 780000.0; 760000.0
2022-03-31; 1437500000.0; 432400000.0; 1005100000.0; ; 835600000.0; ; 1268000000.0; 169500000.0; -17800000.0; 151700000.0; 29000000.0; 122700000.0; ; 122700000.0; ; 122700000.0; 218000000.0; 169500000.0; 259899999.99999997; 265500000.0; 470000.0; 460000.0
2021-12-31; 2141199999.9999998; 683800000.0; 1457400000.0; ; 994600000.0; ; 1678400000.0; 462800000.0; -72700000.0; 390100000.0; 72200000.0; 317900000.0; ; 317900000.0; ; 317900000.0; 511600000.0; 462800000.0; 271100000.0; 277200000.0; 1170000.0; 1150000.0
2021-09-30; 1480900000.0; 412200000.0; 1068700000.0; ; 773700000.0; ; 1185900000.0; 295000000.0; -18300000.0; 276700000.0; 49800000.0; 226900000.0; ; 226900000.0; ; 226900000.0; 345800000.0; 295000000.0; 278200000.0; 285200000.0; 820000.0; 800000.0
2021-06-30; 1615400000.0; 449300000.0; 1166100000.0; ; 906399900.0; ; 1355700000.0; 259700400.0; -17500000.0; 242200000.0; 42400000.0; 199800000.0; ; 199800000.0; ; 199800000.0; 311200400.0; 259700000.0; 277900000.0; 283000000.0; 710000.0; 690000.0
2021-03-31; 1273300000.0; 361400000.0; 911900000.0; ; 795200000.0; ; 1156600000.0; 116700100.0; -21300000.0; 95400000.0; 3700000.0; 91700000.0; ; 91700000.0; ; 91700000.0; 181500100.0; 116700100.0; 278200000.0; 285600000.0; 330000.0; 320000.0
2020-12-31; 1685400000.0; 511700000.0; 1173700000.0; ; 784300000.0; ; 1296000000.0; 389400000.0; -15100000.0; 374300000.0; 63300000.0; 311000000.0; ; 311000000.0; ; 311000000.0; 440600000.0; 389400000.0; 277500000.0; 281000000.0; 1120000.0; 1110000.0
2020-09-30; 1172200000.0; 342000000.0; 830200000.0; ; 628000000.0; ; 970000000.0; 202200000.0; -16800000.0; 185400000.0; -46300000.0; 231700000.0; ; 231700000.0; ; 231700000.0; 253399900.0; 202200000.0; 276800000.0; 277900000.0; 840000.0; 830000.0
2020-06-30; 714799900.0; 215900000.0; 498899900.0; ; 301200000.0; ; 994800300.0; -280000400.0; -20800000.0; -300800000.0; -7000000.0; -293800000.0; ; -293800000.0; ; -293800000.0; -226600400.0; -280000400.0; 278600000.0; 278600000.0; -1040000.0; -1040000.0
2020-03-31; 1072700000.0; 456500000.0; 616200000.0; ; 1301700000.0; ; 1758200000.0; -685500000.0; -19500000.0; -705000000.0; -27900000.0; -677100000.0; ; -677100000.0; ; -677100000.0; -615600000.0; -685500000.0; 276100000.0; 276100000.0; -2450000.0; -2450000.0
2019-12-31; 1816000000.0; 606300000.0; 1209700000.0; ; 846600000.0; ; 1452900000.0; 363100100.0; -8100000.0; 355000000.0; 56200000.0; 298800000.0; ; 298800000.0; ; 298800000.0; 423900100.0; 363100100.0; 276000000.0; 276700000.0; 1080000.0; 1080000.0
2019-09-30; 1357900000.0; 443400000.0; 914500000.0; ; 862900000.0; ; 1306300000.0; 51600000.0; -25000000.0; 26600000.0; 6600000.0; 20000000.0; ; 20000000.0; ; 20000000.0; 115800000.0; 51600000.0; 284400000.0; 285700000.0; 70000.0; 70000.0
2019-06-30; 1513700000.0; 514500000.0; 999200200.0; ; 828099900.0; ; 1342600000.0; 171100500.0; -12200000.0; 158900000.0; 10000000.0; 148900000.0; ; 148900000.0; ; 148900000.0; 249500500.0; 171100200.0; 289400000.0; 290800000.0; 520000.0; 510000.0
2019-03-31; 1331400000.0; 415500000.0; 915900000.0; ; 806100000.0; ; 1221600000.0; 109800000.0; -14600000.0; 95200000.0; -22200000.0; 117400000.0; ; 117400000.0; ; 117400000.0; 173300000.0; 109800000.0; 290000000.0; 290900000.0; 400000.0; 400000.0
2018-12-31; 1800800000.0; 597300000.0; 1203500000.0; ; 827000000.0; ; 1424300000.0; 376500000.0; -9000000.0; 367500000.0; 112700000.0; 254800000.0; ; 254800000.0; ; 254800000.0; 441800000.0; 376500000.0; 289900000.0; 291000000.0; 880000.0; 880000.0
2018-09-30; 1381200000.0; 446100000.0; 935100000.0; ; 772800000.0; ; 1218900000.0; 162299900.0; -17700000.0; 144600000.0; 22300000.0; 122300000.0; ; 122300000.0; ; 122300000.0; 223299900.0; 162299900.0; 288800000.0; 292000000.0; 420000.0; 420000.0
2018-06-30; 1483700000.0; 481900000.0; 1001800000.0; ; 813399800.0; ; 1295300000.0; 188400000.0; -15600000.0; 172800000.0; -38900000.0; 211700000.0; ; 211700000.0; ; 211700000.0; 260100000.00000003; 188399800.0; 285400000.0; 288600000.0; 740000.0; 740000.0
2018-03-31; 1322400000.0; 414800000.0; 907600000.0; ; 748600000.0; ; 1163400000.0; 159000100.0; -16900000.0; 142100000.0; 1800000.0; 140300000.0; ; 140300000.0; ; 140300000.0; 221300100.0; 159000100.0; 286200000.0; 290100000.0; 490000.0; 480000.0
2017-12-31; 1785000000.0; 608800000.0; 1176200000.0; ; 829800000.0; ; 1438600000.0; 346400000.0; -22200000.0; 324200000.0; 261000000.0; 63200000.0; ; 63200000.0; ; 63200000.0; 407200000.0; 346400000.0; 284500000.0; 286400000.0; 220000.0; 220000.0
2017-09-30; 1288900000.0; 526000000.0; 762900000.0; ; 784700000.0; ; 1310700000.0; -21799900.0; -20500000.0; -42300000.0; -24600000.0; -17700000.0; ; -17700000.0; ; -17700000.0; 43700100.0; -21799900.0; 283200000.0; 286700000.0; -60000.0; -60000.0
2017-06-30; 1133800000.0; 379300000.0; 754500000.0; ; 561500100.0; ; 940799800.0; 193000100.0; -13600000.0; 179400000.0; 27700000.0; 151700000.0; ; 151700000.0; ; 151700000.0; 257100100.0; 192999900.0; 280600000.0; 282800000.0; 540000.0; 530000.0
2017-03-31; 995200000.0; 289500000.0; 705700000.0; ; 554600000.0; ; 844100000.0; 151100000.0; -4000000.0; 147100000.0; 24900000.0; 122200000.0; ; 122200000.0; ; 122200000.0; 199600000.0; 151100000.0; 280800000.0; 282900000.0; 440000.0; 430000.0
2016-12-31; 1321700000.0; 415500000.0; 906200000.0; ; 628800000.0; ; 1044300000.0; 277399900.0; -5100000.0; 272300000.0; 72600000.0; 199700000.0; ; 199700000.0; ; 199700000.0; 325299900.0; 277399900.0; 280500000.0; 281800000.0; 710000.0; 710000.0
2016-09-30; 1037599999.9999999; 322900000.0; 714700000.0; ; 548800000.0; ; 871700000.0; 165900000.0; -5700000.0; 160200000.0; 42800000.0; 117400000.0; ; 117400000.0; ; 117400000.0; 218200000.0; 165900000.0; 279500000.0; 281900000.0; 420000.0; 420000.0
2016-06-30; 1154600000.0; 371900000.0; 782699600.0; ; 665900100.0; ; 1037800000.0; 116799600.0; -7400000.0; 109400000.0; 27900000.0; 81500000.0; ; 81500000.0; ; 81500000.0; 170799600.0; 116799700.0; 277600000.0; 279300000.0; 300000.0; 290000.0
2016-03-31; 1033099999.9999999; 320100000.0; 713000000.0; ; 578700000.0; ; 898800000.0; 134299900.0; -6500000.0; 127800000.0; 15300000.0; 112500000.0; ; 112500000.0; ; 112500000.0; 183799900.0; 134299900.0; 277800000.0; 279500000.0; 400000.0; 400000.0
2015-12-31; 1273800000.0; 414700000.0; 859100000.0; ; 598100000.0; ; 1012800000.0; 261000099.99999997; -6300000.0; 254700000.0; 84600000.0; 170100000.0; ; 170100000.0; ; 170100000.0; 313700100.0; 261000099.99999997; 277600000.0; 278400000.0; 610000.0; 610000.0
2015-09-30; 1030300000.0; 333800000.0; 696500100.0; ; 555100000.0; ; 888900000.0; 141400100.0; -6700000.0; 134700000.0; 38300000.0; 96400000.0; ; 96400000.0; ; 96400000.0; 195800100.0; 141400100.0; 277100000.0; 278300000.0; 350000.0; 350000.0
2015-06-30; 1004100000.0; 316400100.0; 687700000.0; ; 648900100.0; ; 965300000.0; 38799900.0; -6300000.0; 32500000.0; 20800000.0; 11700000.0; ; 11700000.0; ; 11700000.0; 93399900.0; 38799900.0; 275700000.0; 277200000.0; 40000.0; 40000.0
2015-03-31; 929300000.0; 263800000.0; 665500000.0; ; 541500000.0; ; 805300000.0; 124000000.0; -1200000.0; 122800000.0; 34700000.0; 88100000.0; ; 88100000.0; ; 88100000.0; 171400000.0; 124000000.0; 275900000.0; 277400000.0; 320000.0; 320000.0
2014-12-31; 1219400000.0; 379400000.0; 840000000.0; ; 564600000.0; ; 944000000.0; 275400000.0; 400000.0; 275800000.0; 92300000.0; 183500000.0; ; 183500000.0; ; 183500000.0; 321900000.0; 275400000.0; 275600000.0; 276500000.0; 670000.0; 660000.0
2014-09-30; 1038800000.0; 323400000.0; 715400000.0; ; 535600000.0; ; 859000000.0; 179800000.0; 700000.0; 180500000.0; 61400000.0; 119100000.0; ; 119100000.0; ; 119100000.0; 223100100.0; 179800000.0; 275000000.0; 276400000.0; 430000.0; 430000.0
2014-06-30; 1136200000.0; 429799900.0; 706400100.0; ; 606599900.0; ; 1036400000.0000001; 99800100.0; 600000.0; 100400100.0; 25100000.0; 75300100.0; ; 75300100.0; ; 75300000.0; 151100000.0; 99800300.0; 277800000.0; 280400000.0; 280000.0; 280000.0
