Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3270804000.0; 2104989000.0; 1165815000.0; ; 772167000.0; ; 2964392000.0; 306411900.0; -6226000.0; 300186000.0; 66049000.00000001; 234137000.0; ; 234137000.0; ; 234137000.0; ; 306411900.0; 110861000.0; 111560000.0; 2110000.0; 2100000.0
2022-06-30; 3903406000.0; 2517151000.0; 1386255000.0; ; 777860000.0; ; 3378371000.0; 525034900.0; -7097000.0; 517938000.0; 121460000.0; 396478000.0; ; 396478000.0; ; 396478000.0; 608394900.0; 525034900.0; 111590000.0; 112318000.0; 3550000.0; 3530000.0
2022-03-31; 3024132000.0; 1967623000.0; 1056509000.0; ; 734577000.0; ; 2779846000.0; 244285900.0; -7069000.0; 237217000.0; 49990000.0; 187227000.0; ; 187227000.0; ; 187227000.0; 321931900.0; 244285900.0; 112531000.0; 113504000.0; 1660000.0; 1650000.0
2021-12-31; 3319285000.0; 2198706000.0; 1120579000.0; ; 752097100.0; ; 3026230000.0; 293054400.0; -6542000.0; 286512000.0; 65174000.00000001; 221338000.0; ; 221338000.0; ; 221338000.0; 368481400.0; 293054200.0; 114794000.0; 115824000.0; 1960000.0; 1920000.0
2021-09-30; 3017926000.0; 1932616000.0; 1085310000.0; ; 718261000.0; ; 2720701000.0; 297225100.0; -6146000.0; 291079000.0; 66679000.0; 224400000.0; ; 224400000.0; ; 224400000.0; 367049100.0; 297225100.0; 114223000.0; 115193000.0; 1960000.0; 1950000.0
2021-06-30; 3601559000.0; 2314074000.0; 1287485000.0; ; 736749000.0; ; 3115676000.0; 485883100.0; -6701000.0; 479182000.0; 109160000.0; 370022000.0; ; 370022000.0; ; 370022000.0; 550736100.0; 485883100.0; 115133000.0; 116091000.0; 3210000.0; 3190000.0
2021-03-31; 2792336000.0; 1808556000.0; 983779900.0; ; 693190000.0; ; 2561800000.0; 230535900.0; -7221000.0; 223315000.0; 41961000.0; 181354000.0; ; 181354000.0; ; 181354000.0; 290589900.0; 230535900.0; 116153000.0; 117227000.0; 1560000.0; 1550000.0
2020-12-31; 2878264000.0; 1882735000.0; 995528800.0; ; 683599900.0; ; 2693798000.0; 184466300.0; -8086000.0; 176381000.0; 40488000.0; 135893000.0; ; 135893000.0; ; 135893000.0; 242956300.0; 184466900.0; 116370000.0; 117436000.0; 1160000.0; 1150000.0
2020-09-30; 2606572000.0; 1658615000.0; 947957000.0; ; 641129000.0; ; 2354395000.0; 252177000.0; -7208000.0; 244969000.0; 54359000.0; 190610000.0; ; 190610000.0; ; 190610000.0; 306828000.0; 252177000.0; 116339000.0; 117745000.0; 1640000.0; 1620000.0
2020-06-30; 3176327000.0; 2019514000.0; 1156813000.0; ; 656520000.0; ; 2728581000.0; 447745800.0; -8438000.0; 439308000.0; 100630000.0; 338678000.0; ; 338678000.0; ; 338678000.0; 500292800.0; 447745800.0; 115912000.0; 116812000.0; 2920000.0; 2900000.0
2020-03-31; 1959188000.0; 1297939000.0; 661249000.0; ; 497275000.0; ; 1846650000.0; 112538000.0; -5049000.0; 107489000.0; 23712000.0; 83777000.0; ; 83777000.0; ; 83777000.0; 163974000.0; 112538000.0; 116738000.0; 117432000.0; 720000.0; 710000.0
2019-12-31; 2191785000.0; 1449984000.0; 741800900.0; ; 499969000.0; ; 2001347000.0; 190437900.0; -4837000.0; 185601000.0; 41422000.0; 144179000.0; ; 144179000.0; ; 144179000.0; 241831900.0; 190437700.0; 119727000.0; 120743000.0; 1220000.0; 1210000.0
