Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 21454000000.0; 16072000000.0; 5382000000.0; 733000000.0; 961000000.0; ; 17766000000.0; 3688000000.0; -52000000.0; 3636000000.0; 305000000.0; 3331000000.0; ; 3331000000.0; ; 3292000000.0; ; 3688000000.0; 3146000000.0; 3468000000.0; 1050000.0; 950000.0
2022-06-30; 16934000000.0; 12700000000.0; 4234000000.0; 667000000.0; 961000000.0; ; 14470000000.0; 2464000000.0; 10000000.0; 2474000000.0; 205000000.0; 2269000000.0; ; 2269000000.0; ; 2259000000.0; 3386000000.0; 2464000000.0; 3111000000.0; 3465000000.0; 726700.0; 650000.0
2022-03-31; 18756000000.0; 13296000000.0; 5460000000.0; 865000000.0; 992000000.0; ; 15153000000.0; 3603000000.0; 23000000.0; 3626000000.0; 346000000.0; 3280000000.0; ; 3280000000.0; ; 3318000000.0; 4483000000.0; 3603000000.0; 3102000000.0; 3471000000.0; 1066700.0; 953300.0
2021-12-31; 17719000000.0; 12872000000.0; 4847000000.0; 740000000.0; 1494000000.0; ; 15106000000.0; 2613000000.0; 22000000.0; 2635000000.0; 292000000.0; 2343000000.0; ; 2343000000.0; ; 2321000000.0; 3461000000.0; 2613000000.0; 2958000000.0; 3387000000.0; 780000.0; 683300.0
2021-09-30; 13757000000.0; 10097000000.0; 3660000000.0; 611000000.0; 994000000.0; ; 11753000000.0; 2004000000.0; -122000000.0; 1882000000.0; 223000000.0; 1659000000.0; ; 1659000000.0; ; 1618000000.0; 2765000000.0; 2004000000.0; 2994000000.0; 3369000000.0; 540000.0; 480000.0
2021-06-30; 11958000000.0; 9074000000.0; 2884000000.0; 576000000.0; 973000000.0; ; 10646000000.0; 1312000000.0; -19000000.0; 1293000000.0; 115000000.0; 1178000000.0; ; 1178000000.0; ; 1142000000.0; 1993000000.0; 1312000000.0; 2913000000.0; 3357000000.0; 393300.0; 340000.0
2021-03-31; 10389000000.0; 8174000000.0; 2215000000.0; 666000000.0; 1056000000.0; ; 9795000000.0; 594000000.0; -61000000.0; 533000000.0; 69000000.0; 464000000.0; ; 464000000.0; ; 438000000.0; 1215000000.0; 594000000.0; 2883000000.0; 3399000000.0; 153300.0; 130000.0
2020-12-31; 10744000000.0; 8678000000.0; 2066000000.0; 522000000.0; 969000000.0; ; 10169000000.0; 575000000.0; -196000000.0; 379000000.0; 83000000.0; 296000000.0; ; 296000000.0; ; 301000000.0; 1193000000.0; 575000000.0; 2799000000.0; 3249000000.0; 96700.0; 83300.0
2020-09-30; 8771000000.0; 6708000000.0; 2063000000.0; 366000000.0; 888000000.0; ; 7962000000.0; 809000000.0; -254000000.0; 555000000.0; 186000000.0; 369000000.0; ; 369000000.0; ; 300000000.0; 1393000000.0; 809000000.0; 2811000000.0; 3315000000.0; 106700.0; 90000.0
2020-06-30; 6036000000.0; 4769000000.0; 1267000000.0; 279000000.0; 661000000.0; ; 5709000000.0; 327000000.0; -177000000.0; 150000000.0; 21000000.0; 129000000.0; ; 129000000.0; ; 104000000.0; 894000000.0; 327000000.0; 2784000000.0; 3108000000.0; 36700.0; 33300.0
2020-03-31; 5985000000.0; 4751000000.0; 1234000000.0; 324000000.0; 627000000.0; ; 5702000000.0; 283000000.0; -213000000.0; 70000000.0; 2000000.0; 68000000.0; ; 68000000.0; ; 16000000.0; 836000000.0; 283000000.0; 2745000000.0; 2982000000.0; 6700.0; 6700.0
2019-12-31; 7384000000.0; 5993000000.0; 1391000000.0; 345000000.0; 699000000.0; ; 7025000000.0; 359000000.0; -185000000.0; 174000000.0; 42000000.0; 132000000.0; ; 132000000.0; ; 113000000.0; 798000000.0; 359000000.0; 2661000000.0; 2661000000.0; 47300.0; 47300.0
2019-09-30; 6303000000.0; 5112000000.0; 1191000000.0; 334000000.0; 596000000.0; ; 6042000000.0; 261000000.0; -85000000.0; 176000000.0; 26000000.0; 150000000.0; ; 150000000.0; ; 143000000.0; 847000000.0; 261000000.0; 2691000000.0; 2766000000.0; 53300.0; 53300.0
2019-06-30; 6350000000.0; 5429000000.0; 921000000.0; 324000000.0; 647000000.0; ; 6517000000.0; -167000000.0; -203000000.0; -370000000.0; 19000000.0; -389000000.0; ; -389000000.0; ; -408000000.0; 454000000.0; -167000000.0; 2655000000.0; 2655000000.0; -154000.0; -154000.0
2019-03-31; 4541000000.0; 3975000000.0; 566000000.0; 340000000.0; 704000000.0; ; 5063000000.0; -522000000.0; -123000000.0; -645000000.0; 23000000.0; -668000000.0; ; -668000000.0; ; -710000000.0; -14000000.0; -522000000.0; 2595000000.0; 2595000000.0; -273300.0; -273300.0
2018-12-31; 7226019000.0; 5783474000.0; 1442544000.0; 355775000.0; 667837000.0; ; 6811652000.0; 414366700.0; -182345000.0; 232021000.0; 21688000.0; 210332900.0; ; 210332900.0; ; 140090000.0; 949366700.0; 414366200.0; 2559000000.0; 2559000000.0; 59300.0; 64000.0
2018-09-30; 6824000000.0; 5300000000.0; 1524000000.0; 351000000.0; 730000000.0; ; 6408000000.0; 416000000.0; -145000000.0; 271000000.0; 17000000.0; 254000000.0; ; 254000000.0; ; 311000000.0; 965093000.0; 416000000.0; 2565000000.0; 2670000000.0; 121300.0; 116700.0
2018-06-30; 4002231000.0; 3383301000.0; 618929900.0; 386129000.0; 750759000.0; ; 4623623000.0; -621392100.0; -107607000.0; -728999000.0; 13707000.0; -742706000.0; ; -742706000.0; ; -717539000.0; -101063100.0; -621392100.0; 2549955000.0; 2549955000.0; -281300.0; -281300.0
2018-03-31; 3408751000.0; 2952225000.0; 456525900.0; 367096000.0; 686404000.0; ; 4005725000.0; -596974100.0; -182048000.0; -779022000.0; 5605000.0; -784627000.0; ; -784627000.0; ; -709551000.0; -141396100.0; -596974100.0; 2537190000.0; 2537190000.0; -279300.0; -279300.0
2017-12-31; 3288499000.0; 2849199000.0; 439299600.0; 354563900.0; 682789900.0; ; 3886553000.0; -598054400.0; -181814000.0; -779869000.0; -8640000.0; -771228900.0; ; -771228900.0; ; -675950100.0; -98064500.0; -598054700.0; 2490000000.0; 2490000000.0; -270000.0; -270000.0
2017-09-30; 2984675000.0; 2535535000.0; 449139900.0; 331622000.0; 652998000.0; ; 3520155000.0; -535480199.99999994; -135968000.0; -671448000.0; -285000.0; -671163000.0; ; -671163000.0; ; -619376000.0; -141648200.0; -535480199.99999994; 2509410000.0; 2509410000.0; -246700.0; -246700.0
