Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 1102400000.0; 435700000.0; 666700000.0; 172600000.0; 509200000.0; ; 1139800000.0; -37400000.0; -68900000.0; -106300000.0; -2300000.0; -104000000.0; ; -104000000.0; ; -104000000.0; 153800000.0; -37400000.0; 136500000.0; 136500000.0; -760000.0; -760000.0
2022-03-31; 930050100.0; 398640000.0; 531410200.00000006; 96102000.0; 289642000.0; ; 801212000.0; 128838100.0; -7053000.0; 121785000.0; 10857000.0; 110928000.0; ; 110928000.0; ; 110928000.0; 208300200.0; 128838000.0; 115485000.0; 116775000.0; 960000.0; 950000.0
2021-12-31; 903252000.0; 350379000.0; 552873000.0; 116656000.0; 265992000.00000003; ; 749146000.0; 154106000.0; -1967000.0; 152139000.0; 7642000.0; 144497000.0; ; 144497000.0; ; 144497000.0; 203018000.0; 154106000.0; 115269000.0; 116708000.0; 1250000.0; 1240000.0
2021-09-30; 858198000.0; 456682000.0; 401516000.0; 101508000.0; 263350000.00000003; ; 838047100.0; 20150900.0; -177000.0; 19974000.0; 9677000.0; 10297000.0; ; 10297000.0; ; 10297000.0; 125393900.0; 20150900.0; 115757000.0; 116803000.0; 90000.0; 90000.0
2021-06-30; 813300000.0; 329700000.0; 483600000.0; 92300000.0; 208300000.0; ; 642800000.0; 170500000.0; 1000000.0; 171500000.0; 19200000.0; 152300000.0; ; 152300000.0; ; 152300000.0; 222700000.0; 170500000.0; 115700000.0; 117100000.0; 1320000.0; 1300000.0
2021-03-31; 839431000.0; 279646900.0; 559784100.0; 83559000.0; 205062000.0; ; 583613900.0; 255817100.0; -2226000.0; 253591000.0; 34779000.0; 218812000.0; ; 218812000.0; ; 218812000.0; 312442100.0; 255817000.0; 114602000.0; 115744000.0; 1910000.0; 1890000.0
2020-12-31; 860889000.0; 346244000.0; 514645000.0; 86428000.0; 238530000.0; ; 684832000.0; 176057000.0; 40389000.0; 216446000.0; 34198000.0; 182248000.0; ; 182248000.0; ; 182248000.0; 241649000.0; 176057000.0; 115004000.0; 116117000.0; 1580000.0; 1570000.0
2020-09-30; 841142000.0; 432505000.0; 408637000.0; 74216000.0; 205124000.0; ; 725775000.0; 115367000.0; 2051000.0000000002; 117418000.0; 18097000.0; 99321000.0; ; 99321000.0; ; 99321000.0; 151238000.0; 115367000.0; 114444000.0; 115414000.0; 870000.0; 860000.0
2020-06-30; 831310000.0; 476689000.0; 354621000.0; 73108000.0; 186952000.0; ; 749167000.0; 82143000.0; 8218000.0; 90361000.0; 1856000.0; 88505000.0; ; 88505000.0; ; 88505000.0; 156868000.0; 82143000.0; 113862000.0; 114956000.0; 780000.0; 770000.0
2020-03-31; 760540800.0; 395640000.0; 364900800.0; 68718000.0; 162181000.0; ; 638656900.0; 121883900.0; 2750000.0; 124634000.0; 1912000.0; 122722000.0; ; 122722000.0; ; 122722000.0; 207357900.0; 121884100.0; 113096000.0; 114136000.0; 1100000.0; 1070000.0
