Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 662623000.0; ; 662623000.0; ; 11782000.0; -589962000.0; 602522900.0; 60100000.0; -117214000.0; -57114000.0; 1026999.9999999999; -58141000.0; ; -58141000.0; ; -57706000.0; 68711000.0; 60100000.0; 896546000.0; 896546000.0; -60000.0; -60000.0
2022-03-31; 416625000.0; ; 416625000.0; ; 9466000.0; -95246000.0; 105488000.0; 311137000.0; -68049000.0; 243088000.0; 400000.0; 242688000.0; ; 242688000.0; ; 240383000.0; 327890000.0; 311137000.0; 684341000.0; 687915000.0; 350000.0; 350000.0
2021-12-31; 383154000.0; ; 383154000.0; ; 9030000.0; -18404000.0; 28205000.0; 354949000.0; -70392000.0; 284557000.0; 759000.0; 283798000.0; ; 283798000.0; ; 281479000.0; 376449000.0; 354949000.0; 564467400.0; 577066300.0; 450000.0; 440000.0
2021-09-30; 375704000.0; ; 375704000.0; ; 8379000.0; -21287000.0; 30437000.0; 345267000.0; -180695000.0; 164572000.0; 388000.0; 164184000.0; ; 164184000.0; ; 161862000.0; 380136000.0; 345267000.0; 555154000.0; 571895000.0; 290000.0; 280000.0
2021-06-30; 376400000.0; ; 376400000.0; ; 7628000.0; 16094000.000000002; -7709000.0; 384109000.0; -79776000.0; 304333000.0; 1256000.0; 303077000.0; ; 303077000.0; ; 300709000.0; 394800000.0; 384109000.0; 536692000.0; 554439000.0; 560000.0; 540000.0
2021-03-31; 374310000.0; ; 374310000.0; ; 8085000.000000001; -15821000.0; 24698000.0; 349612000.0; -77029000.0; 272583000.0; 484000.0; 272099000.0; ; 272099000.0; ; 269801000.0; 357095000.0; 349612000.0; 536481000.0; 544802000.0; 500000.0; 500000.0
2020-12-31; 373017900.0; ; 373017900.0; ; 8101000.000000001; 4040000.0; 4802000.0; 368215900.0; -77368000.0; 290848000.0; 436000.0; 290412000.0; ; 290412000.0; ; 288010000.0; 373324900.0; 368215900.0; 506140600.0; 510908800.0; 590000.0; 590000.0
2020-09-30; 339653000.0; ; 339653000.0; ; 8047000.000000001; -191013000.0; 199970000.0; 139683000.0; 256166999.99999997; 395850000.0; -368000.0; 396218000.0; ; 396218000.0; ; 398274000.0; 144961000.0; 139683000.0; 533408000.0; 536179999.99999994; 750000.0; 740000.0
2020-06-30; 257902000.0; ; 257902000.0; ; 7498000.0; 59445000.0; -50734000.0; 308636000.0; -76684000.0; 231952000.0; 309000.0; 231643000.0; ; 231643000.0; ; 229402000.0; 314686000.0; 308636000.0; 489012000.0; 489213000.0; 470000.0; 470000.0
2020-03-31; 255001000.0; ; 255001000.0; ; 7015000.0; -159098000.0; 166980000.0; 88021000.0; -109632000.0; -21611000.0; 454000.0; -22065000.0; ; -22065000.0; ; -24012000.0; 95187000.0; 88021000.0; 465177000.0; 465177000.0; -50000.0; -50000.0
2019-12-31; 237537000.0; ; 237537000.0; ; 5109000.0; -4787000.0; 10779000.0; 226758000.0; -125438000.0; 101320000.0; 607000.0; 100713000.0; ; 100713000.0; ; 98631000.0; 242495000.0; 226758000.0; 435071100.0; 439153000.0; 200000.0; 190000.0
2019-09-30; 222513000.0; ; 222513000.0; ; 6717000.0; -6416000.0; 14133000.0; 208380000.0; -61841000.0; 146539000.0; 24000.0; 146515000.0; ; 146515000.0; ; 144435000.0; 224196000.0; 208380000.0; 460666000.0; 465772000.0; 310000.0; 310000.0
2019-06-30; 220746000.0; ; 220746000.0; ; 6518000.0; -7715000.0; 15251000.0; 205495000.0; -50815000.0; 154680000.0; 553000.0; 154127000.0; ; 154127000.0; ; 152049000.0; 208412000.0; 205495000.0; 412310000.0; 412821000.0; 370000.0; 370000.0
2019-03-31; 214002000.0; ; 214002000.0; ; 6225000.0; -4981000.0; 12136000.0; 201866000.0; -48419000.0; 153447000.0; 521000.0; 152926000.0; ; 152926000.0; ; 150849000.0; 204261000.0; 201866000.0; 405734000.0; 406035000.0; 370000.0; 370000.0
2018-12-31; 226039000.0; ; 226039000.0; ; 4283000.0; -25145000.0; 30357000.0; 195682000.0; -50494000.0; 145188000.0; 557000.0; 144631000.0; ; 144631000.0; ; 142541000.0; 198110000.0; 195682000.0; 367226400.0; 367316900.0; 370000.0; 370000.0
2018-09-30; 232687000.0; ; 232687000.0; ; 5678000.0; -41980000.0; 48587000.0; 184100000.0; -52024000.0; 132076000.0; 52000.0; 132024000.0; ; 132024000.0; ; 129912000.0; 186524000.0; 184100000.0; 369935000.0; 370127000.0; 350000.0; 350000.0
2018-06-30; 220975000.0; ; 220975000.0; ; 7160000.0; -23445000.0; 31527000.0; 189448000.0; -47641000.0; 141807000.0; 448000.0; 141359000.0; ; 141359000.0; ; 139044000.0; 191858000.0; 189448000.0; 369933000.0; 369992000.0; 380000.0; 380000.0
2018-03-31; 218276000.0; ; 218276000.0; ; 7308000.0; -21338000.0; 29552000.0; 188724000.0; -74237000.0; 114487000.0; 384000.0; 114103000.0; ; 114103000.0; ; 112122000.0; 191124000.0; 188724000.0; 342901000.0; 343057000.0; 330000.0; 330000.0
2017-12-31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.0
