Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 2052000000.0; 625000000.0; 1427000000.0; 135000000.0; 529000000.0; -2000000.0; 1382000000.0; 670000000.0; ; 670000000.0; 141000000.0; 529000000.0; ; 529000000.0; ; 529000000.0; 840000000.0; 723000000.0; 470000000.0; 471500000.0; 1130000.0; 1120000.0
2022-03-31; 1986000000.0; 569000000.0; 1417000000.0; 122000000.0; 465000000.0; -7000000.0; 1259000000.0; 727000000.0; ; 727000000.0; 133000000.0; 594000000.0; ; 594000000.0; ; 595000000.0; 894000000.0; 780000000.0; 472200000.0; 474100000.0; 1260000.0; 1260000.0
2021-12-31; 1967000000.0; 600000000.0; 1367000000.0; 138000000.0; 593000000.0; -32000000.0; 1461000000.0; 506000000.0; ; 506000000.0; 93000000.0; 413000000.0; ; 413000000.0; ; 414000000.0; 677000000.0; 560000000.0; 474348000.0; 476717000.0; 870000.0; 870000.0
2021-09-30; 1990000000.0; 586000000.0; 1404000000.0; 132000000.0; 504000000.0; -4000000.0; 1331000000.0; 659000000.0; ; 659000000.0; 107000000.0; 552000000.0; ; 552000000.0; ; 552000000.0; 825000000.0; 715000000.0; 474000000.0; 476300000.0; 1160000.0; 1160000.0
2021-06-30; 1948000000.0; 568000000.0; 1380000000.0; 120000000.0; 495000000.0; -10000000.0; 1312000000.0; 636000000.0; ; 636000000.0; 125000000.0; 511000000.0; ; 511000000.0; ; 512000000.0; 805000000.0; 693000000.0; 474800000.0; 477000000.0; 1080000.0; 1070000.0
2021-03-31; 1871000000.0; 549000000.0; 1322000000.0; 118000000.0; 409000000.0; -2000000.0; 1184000000.0; 687000000.0; ; 687000000.0; 129000000.0; 558000000.0; ; 558000000.0; ; 559000000.0; 853000000.0; 744000000.0; 475500000.0; 477900000.0; 1180000.0; 1170000.0
2020-12-31; 1807000000.0; 601000000.0; 1206000000.0; 133000000.0; 520000000.0; -32000000.0; 1387000000.0; 420000000.0; ; 420000000.0; 62000000.0; 358000000.0; ; 358000000.0; ; 359000000.0; 587000000.0; 478000000.0; 475502000.0; 478569000.0; 750000.0; 750000.0
2020-09-30; 1786000000.0; 546000000.0; 1240000000.0; 112000000.0; 424000000.0; ; 1189000000.0; 597000000.0; ; 597000000.0; 118000000.0; 479000000.0; ; 479000000.0; ; 479000000.0; 770000000.0; 659000000.0; 475500000.0; 478500000.0; 1010000.0; 1000000.0
2020-06-30; 1548000000.0; 451000000.0; 1097000000.0; 111000000.0; 393000000.0; -5000000.0; 1066000000.0; 482000000.0; ; 482000000.0; 106000000.0; 376000000.0; ; 376000000.0; ; 377000000.0; 651000000.0; 540000000.0; 475300000.0; 478100000.0; 790000.0; 790000.0
2020-03-31; 1534000000.0; 459000000.0; 1075000000.0; 107000000.0; 389000000.0; 20000000.0; 1037000000.0; 497000000.0; ; 497000000.0; 74000000.0; 423000000.0; ; 423000000.0; ; 423000000.0; 660000000.0; 550000000.0; 475600000.0; 479000000.0; 890000.0; 880000.0
2019-12-31; 1674000000.0; 530000000.0; 1144000000.0; 132000000.0; 472000000.0; 11000000.0; 1237000000.0; 437000000.0; ; 437000000.0; 53000000.0; 384000000.0; ; 384000000.0; ; 384000000.0; 602000000.0; 493000000.0; 478128000.0; 481787000.0; 810000.0; 790000.0
