Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 191.2; 845.67; 4926.58; 0.0; 199.07; 6162.52; 1663.94; 0.0; 1615.62; 64.36; 5969.56; 12132.08; 5442.9; 1187.92; 99.91; 3973.1; 9416.0; 0.01; 4726.82; -54.3; 0.0; 2716.07; 12132.08
2022-06-30; 240.55; 930.45; 4830.1; 0.0; 182.06; 6183.16; 1611.12; 0.0; 1626.66; 55.27; 5954.8; 12137.96; 5341.82; 1187.58; 98.7; 4001.34; 9343.15; 0.01; 4706.55; -20.79; 0.0; 2794.81; 12137.96
2022-03-31; 138.73; 957.8; 4778.85; 0.0; 182.4; 6057.78; 1567.99; 0.0; 1635.94; 53.19; 5944.7; 12002.48; 5052.57; 1187.17; 102.19; 4040.23; 9092.8; 0.01; 4653.04; -41.06; 0.0; 2909.68; 12002.48
2021-12-31; 601.43; 782.78; 4659.02; 0.0; 232.25; 6275.48; 1528.31; 0.0; 1644.96; 73.65; 5918.73; 12194.21; 5180.31; 1034.32; 103.03; 3885.61; 9065.92; 0.01; 4605.79; -22.63; 0.0; 3128.29; 12194.21
2021-09-30; 604.64; 931.76; 4450.45; 0.0; 174.41; 6161.26; 1483.25; 0.0; 1653.11; 52.18; 5702.91; 11864.17; 4955.23; 1034.0; 148.97; 3712.41; 8667.64; 0.01; 4586.9; -21.83; 0.0; 3196.53; 11864.17
2021-06-30; 809.29; 803.88; 4428.11; 0.0; 180.59; 6221.87; 1472.47; 0.0; 1659.33; 43.4; 5616.85; 11838.72; 4899.35; 1033.69; 146.98; 3637.82; 8537.16; 0.01; 4480.09; -23.28; 0.0; 3301.57; 11838.72
2021-03-31; 880.23; 804.83; 4476.66; 0.0; 149.0; 6310.72; 1463.99; 0.0; 1666.98; 47.83; 5557.77; 11868.49; 4792.42; 1033.37; 148.0; 3574.5; 8366.92; 0.01; 4300.82; -21.47; 0.0; 3501.57; 11868.49
2020-12-31; 834.99; 750.0; 4538.2; 0.0; 146.81; 6270.0; 1462.6; 0.0; 1674.72; 52.33; 5569.64; 11839.64; 4743.91; 1032.98; 146.28; 3536.21; 8280.12; 0.01; 4196.63; -26.76; 0.0; 3559.51; 11839.64
2020-09-30; 1068.2; 843.05; 4367.27; 0.0; 158.82; 6437.35; 1444.89; 0.0; 1677.71; 50.37; 5535.41; 11972.76; 4648.89; 1031.87; 171.71; 3561.21; 8210.1; 0.01; 4101.78; -38.71; 0.0; 3762.66; 11972.76
2020-06-30; 1141.5; 742.35; 4358.49; 0.0; 153.19; 6395.52; 1436.48; 0.0; 1682.88; 48.25; 5535.14; 11930.67; 4437.56; 1240.34; 146.76; 3766.59; 8204.15; 0.01; 3971.51; -43.94; 0.0; 3726.52; 11930.67
2020-03-31; 1279.84; 627.4; 4526.0; 0.0; 138.75; 6571.99; 1444.48; 0.0; 1687.14; 49.44; 5500.58; 12072.57; 4831.05; 1241.09; 133.98; 3704.49; 8535.54; 0.01; 3798.98; -51.53; 0.0; 3537.03; 12072.57
2019-12-31; 418.67; 689.47; 4432.17; 0.0; 155.24; 5695.54; 1433.21; 0.0; 1702.0; 52.45; 5552.98; 11248.53; 4477.7; 747.32; 123.25; 3221.74; 7699.44; 0.01; 3772.85; -34.57; 0.0; 3549.08; 11248.53
2019-09-30; 573.73; 721.34; 4391.09; 0.0; 140.49; 5826.65; 1389.09; 0.0; 1505.89; 49.45; 5280.15; 11106.8; 4463.91; 747.14; 124.78; 3187.95; 7651.86; 0.01; 3681.1; -38.86; 0.0; 3454.94; 11106.8
2019-06-30; 747.72; 713.06; 4374.93; 0.0; 126.76; 5962.47; 1381.39; 0.0; 1514.4; 49.67; 5305.48; 11267.95; 4372.4; 746.95; 131.03; 3224.24; 7596.64; 0.01; 3561.62; -33.48; 0.0; 3671.3; 11267.95
2019-03-31; 537.33; 684.42; 4433.98; 0.0; 126.11; 5781.84; 1363.13; 0.0; 1518.94; 46.24; 5299.67; 11081.51; 4298.88; 746.77; 124.07; 3235.41; 7534.29; 0.01; 3441.14; -40.04; 0.0; 3547.22; 11081.51
2018-12-31; 896.53; 624.97; 4362.55; 0.0; 198.41; 6082.45; 1368.98; 0.0; 1540.83; 48.38; 2958.19; 9040.65; 3885.95; 1045.72; 239.81; 1603.88; 5489.84; 0.01; 3326.16; -44.19; 0.0; 3550.81; 9040.65
2018-09-30; 970.01; 698.62; 4187.08; 0.0; 168.58; 6024.28; 1335.77; 0.0; 1555.46; 56.84; 2948.07; 8972.35; 3721.23; 1045.4; 225.93; 1591.48; 5312.72; 0.01; 3277.12; -32.08; 0.0; 3659.64; 8972.35
2018-06-30; 902.25; 664.15; 4159.76; 0.0; 151.66; 5877.82; 1338.93; 0.0; 1563.89; 54.92; 2957.74; 8835.56; 3598.22; 1045.08; 220.22; 1579.39; 5177.61; 0.01; 3165.7; -35.91; 0.0; 3657.95; 8835.56
2018-03-31; 639.14; 620.38; 4230.47; 0.0; 127.52; 5617.52; 1358.4; 0.0; 1576.81; 62.23; 2997.44; 8614.95; 3480.14; 1044.76; 232.75; 1588.19; 5068.33; 0.01; 3052.34; -28.81; 0.0; 3546.62; 8614.95
2017-12-31; 546.94; 606.36; 4168.49; 0.0; 105.11; 5426.89; 1394.14; 0.0; 1591.97; 69.3; 3055.41; 8482.3; 3480.1; 1044.33; 239.06; 1587.01; 5067.1; 0.01; 2920.1; -24.95; 0.0; 3415.2; 8482.3
2017-09-30; 363.3; 679.36; 4219.32; 0.0; 105.97; 5367.95; 1418.49; 0.0; 1602.93; 78.86; 3100.27; 8468.22; 3537.41; 1044.01; 226.83; 1700.03; 5237.44; 0.01; 2740.05; -24.5; 0.0; 3230.79; 8468.22
2017-06-30; 257.23; 680.5; 4293.37; 0.0; 95.11; 5326.22; 1431.29; 0.0; 1612.8; 67.11; 3111.2; 8437.41; 3598.33; 1043.69; 228.34; 1710.81; 5309.14; 0.01; 2648.51; -26.66; 0.0; 3128.28; 8437.41
2017-03-31; 126.09; 683.02; 4413.8; 0.0; 83.78; 5306.69; 1439.62; 0.0; 1617.67; 64.67; 3121.96; 8428.66; 3659.63; 1073.37; 225.85; 1745.35; 5404.98; 0.01; 2565.93; -40.57; 0.0; 3023.68; 8428.66
2016-12-31; 135.18; 641.25; 4325.87; 0.0; 70.47; 5172.76; 1446.34; 0.0; 1631.78; 64.15; 3142.27; 8315.03; 3676.05; 1042.95; 225.56; 1722.8; 5398.84; 0.01; 2462.93; -39.7; 0.0; 2916.19; 8315.03
2016-09-30; 119.49; 686.95; 4357.01; 0.0; 98.67; 5262.13; 1442.17; 0.0; 1643.75; 66.59; 3152.52; 8414.65; 3837.35; 1042.63; 223.59; 1721.57; 5558.92; 0.01; 2405.0; -37.5; 0.0; 2855.72; 8414.65
2016-06-30; 104.83; 657.48; 4421.27; 0.0; 96.2; 5279.78; 1431.92; 0.0; 1657.26; 68.57; 3157.74; 8437.53; 3841.23; 1169.7; 231.57; 1847.4; 5688.63; 0.01; 2295.6; -32.42; 0.0; 2748.9; 8437.53
2016-03-31; 103.71; 650.99; 4432.97; 0.0; 78.56; 5266.23; 1432.7; 0.0; 1670.17; 69.87; 3172.74; 8438.96; 3908.56; 1229.89; 229.08; 1901.26; 5809.82; 0.01; 2175.44; -27.82; 0.0; 2629.14; 8438.96
2015-12-31; 90.78; 597.79; 4174.77; 0.0; 77.41; 4940.75; 1434.58; 0.0; 1676.61; 75.77; 3186.95; 8127.7; 3797.48; 1206.3; 229.35; 1869.58; 5667.05; 0.01; 2021.08; -44.06; 0.0; 2460.65; 8127.7
2015-09-30; 105.35; 664.61; 4141.56; 0.0; 96.86; 5008.39; 1396.09; 0.0; 1695.3; 81.76; 3173.15; 8181.54; 3950.91; 1293.1; 524.44; 1817.55; 5768.46; 0.01; 1970.66; -32.05; 0.0; 2413.08; 8181.54
2015-06-30; 114.54; 653.31; 4119.59; 0.0; 90.49; 4977.93; 1400.34; 0.0; 1706.44; 83.16; 3189.95; 8167.88; 3879.76; 1453.04; 545.94; 1998.99; 5878.75; 0.01; 1854.61; -32.73; 0.0; 2289.13; 8167.88
2015-03-31; 123.82; 631.93; 4104.78; 0.0; 76.34; 4936.86; 1397.95; 0.0; 1723.04; 88.84; 3209.83; 8146.69; 3824.48; 1609.69; 565.94; 2175.63; 6000.11; 0.01; 1709.02; -19.98; 0.0; 2146.59; 8146.69
2014-12-31; 104.67; 579.83; 3936.95; 0.0; 119.59; 4741.04; 1432.03; 0.0; 1743.55; 45.74; 3221.32; 7962.36; 3654.42; 1636.31; 222.37; 2305.03; 5959.45; 0.01; 1565.34; -12.34; 0.0; 2002.91; 7962.36
