Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 3388.19; 18625.24; 15556.39; 487.87; 0.0; 39589.76; 2135.0; 0.0; 12836.62; 1761.66; 16970.86; 56560.62; 43477.95; 4632.36; 6758.61; 13011.39; 56489.34; 2.93; 2977.65; -1830.97; 0.0; 71.27; 56560.62
2022-06-30; 3034.23; 18752.08; 15823.36; 568.97; 0.0; 39744.53; 2104.76; 0.0; 13240.1; 1831.86; 17429.1; 57173.63; 43154.31; 4640.13; 7249.0; 13501.46; 56655.77; 2.92; 2779.36; -1421.3; 0.0; 517.86; 57173.63
2022-03-31; 2960.76; 18246.37; 15514.85; 845.2; 390.88; 39409.74; 2138.6; 0.0; 13686.3; 1806.31; 17898.41; 57308.15; 42797.58; 4646.71; 7265.45; 13604.51; 56402.09; 2.92; 2469.71; -1005.82; 0.0; 906.07; 57308.15
2021-12-31; 3168.88; 17329.29; 16293.93; 851.86; 373.09; 39378.89; 2129.7; 0.0; 14002.46; 1796.47; 18198.68; 57577.56; 41613.61; 6412.54; 7260.81; 15362.84; 56976.44; 2.92; 2019.08; -822.78; 0.0; 601.12; 57577.56
2021-09-30; 2547.14; 18389.05; 15368.35; 853.6; 372.91; 38802.61; 2162.96; 0.0; 14287.46; 1793.99; 18535.2; 57337.8; 41358.64; 6383.71; 7325.75; 15394.75; 56753.39; 2.91; 1670.51; -445.44; 0.0; 584.41; 57337.8
2021-06-30; 2553.22; 17949.23; 14996.36; 545.11; 0.0; 37259.77; 2143.08; 0.0; 14570.55; 1668.5; 18671.17; 55930.94; 39589.84; 6647.18; 7613.78; 15932.66; 55522.5; 2.9; 1325.42; -233.24; 0.0; 408.44; 55930.94
2021-03-31; 6641.18; 14465.62; 12954.68; 190.64; 0.0; 35469.15; 1482.75; 0.0; 8548.91; 1199.89; 11534.1; 47003.25; 32996.45; 6147.11; 7193.92; 14109.59; 47106.03; 2.9; 1124.98; -69.25; 0.0; -102.78; 47003.25
2020-12-31; 4890.92; 15203.91; 13178.96; 234.67; 0.0; 34700.22; 1477.04; 0.0; 8571.66; 771.03; 11146.55; 45846.77; 35044.45; 3640.74; 6969.48; 11313.87; 46358.32; 2.89; 780.97; -70.47; 0.0; -511.55; 45846.77
2020-09-30; 4597.75; 14334.73; 12589.28; 189.3; 0.0; 33055.7; 1484.81; 0.0; 8592.83; 779.85; 11219.13; 44274.83; 33853.08; 3618.26; 6956.64; 11261.39; 45114.46; 2.88; 518.34; -108.83; 0.0; -839.64; 44274.83
2020-06-30; 3420.27; 13144.42; 11849.2; 163.74; 0.0; 29918.57; 1455.01; 0.0; 8615.68; 800.45; 10871.13; 40789.7; 30631.57; 3620.64; 763.28; 6190.18; 36821.75; 2.88; 5451.22; -128.66; 0.0; 3967.95; 40789.7
2020-03-31; 3691.94; 14909.66; 11102.57; 175.37; 0.0; 31180.65; 1421.77; 0.0; 8639.58; 800.26; 10861.61; 42042.26; 32111.79; 3622.39; 759.06; 6225.36; 38337.15; 2.87; 5248.01; -132.81; 0.0; 3705.11; 42042.26
2019-12-31; 3232.6; 12568.82; 11686.47; 189.22; 0.0; 28954.82; 1442.38; 0.0; 8846.16; 773.38; 11061.92; 40016.74; 30630.46; 3636.11; 785.63; 6317.2; 36947.66; 2.86; 4375.18; -87.73; 0.0; 3069.08; 40016.74
2019-09-30; 3374.19; 12392.74; 11060.25; 157.38; 0.0; 28132.05; 1770.52; 0.0; 9000.34; 269.07; 11039.93; 39171.98; 29581.29; 4354.4; 382.89; 6597.48; 36178.77; 2.85; 4235.49; -111.97; 0.0; 2993.21; 39171.98
2019-06-30; 2999.56; 11989.03; 11247.78; 163.78; 0.0; 27401.78; 1767.43; 0.0; 9036.96; 272.37; 11076.76; 38478.54; 28788.87; 4339.93; 370.99; 6582.47; 35371.34; 2.85; 4186.78; -86.88; 0.0; 3107.2; 38478.54
2019-03-31; 2875.75; 12222.27; 11373.73; 172.57; 0.0; 27622.18; 1858.87; 0.0; 9055.68; 273.58; 11188.13; 38810.31; 29211.9; 4359.9; 342.98; 6560.08; 35771.98; 2.85; 3969.46; -85.14; 0.0; 3038.33; 38810.31
2018-12-31; 2540.16; 11979.38; 11800.18; 182.65; 0.0; 27476.21; 1896.94; 0.0; 9622.25; 272.43; 11791.62; 39267.82; 29351.74; 4516.58; 355.24; 6751.35; 36103.09; 2.84; 4027.22; -92.88; 0.0; 3164.73; 39267.82
2018-09-30; 2492.52; 11314.23; 11918.51; 169.12; 0.0; 25894.37; 1892.42; 0.0; 9612.1; 270.94; 11775.47; 37669.84; 27869.69; 4510.83; 409.95; 6750.19; 34619.88; 2.84; 3720.58; -79.25; 0.0; 3049.96; 37669.84
2018-06-30; 2388.93; 11764.61; 12074.35; 176.51; 0.0; 26404.4; 1903.36; 0.0; 9713.64; 288.19; 11905.19; 38309.59; 28099.67; 4569.76; 486.75; 6933.99; 35033.66; 2.83; 3569.37; -82.02; 0.0; 3275.93; 38309.59
2018-03-31; 2091.36; 11265.01; 12867.48; 173.36; 0.0; 26397.21; 1940.15; 0.0; 9759.89; 298.48; 11998.52; 38395.73; 28094.4; 4640.02; 489.63; 6937.73; 35032.14; 2.83; 3376.99; -43.51; 0.0; 3363.6; 38395.73
2017-12-31; 3037.75; 10127.78; 12020.66; 110.24; 0.0; 25296.43; 1829.12; 0.0; 8901.15; 334.82; 11065.08; 36361.51; 26740.29; 4617.26; 469.76; 6746.64; 33486.93; 2.81; 3173.52; -96.34; 0.0; 2874.58; 36361.51
2017-09-30; 2435.11; 10303.32; 11461.43; 103.43; 0.0; 24303.3; 1797.94; 0.0; 8877.56; 337.66; 11013.17; 35316.47; 26818.16; 3781.57; 159.66; 6433.84; 33252.01; 2.81; 2395.22; -95.85; 0.0; 2064.46; 35316.47
2017-06-30; 1311.47; 10553.26; 11669.53; 142.97; 0.0; 23677.22; 1749.91; 0.0; 8913.98; 312.89; 10976.79; 34654.01; 25751.08; 3781.79; 167.16; 6349.42; 32100.5; 2.8; 2819.91; -112.46; 0.0; 2553.51; 34654.01
2017-03-31; 2404.43; 9583.52; 11335.82; 170.15; 0.0; 23493.92; 1702.06; 0.0; 8876.65; 324.38; 10903.09; 34397.01; 25531.43; 3839.6; 164.65; 6336.3; 31867.72; 2.8; 2849.63; -123.49; 0.0; 2529.29; 34397.01
2016-12-31; 1791.13; 9696.2; 11414.77; 176.65; 0.0; 23078.76; 1630.74; 0.0; 8914.3; 295.48; 10840.52; 33919.27; 25542.76; 3871.58; 165.51; 6259.96; 31802.71; 2.78; 2518.08; -141.85; 0.0; 2116.56; 33919.27
2016-09-30; 2741.83; 9175.88; 10723.92; 210.22; 0.0; 22851.85; 1530.68; 0.0; 8959.35; 295.63; 10785.65; 33637.5; 25280.37; 3852.48; 160.47; 6227.73; 31508.1; 2.78; 2303.94; -114.31; 0.0; 2129.4; 33637.5
2016-06-30; 1865.2; 8984.53; 10492.56; 114.96; 0.0; 21457.26; 1165.66; 0.0; 8986.11; 305.22; 10456.99; 31914.24; 23997.26; 3794.04; 122.3; 6037.67; 30034.93; 2.77; 2250.87; -110.98; 0.0; 1879.32; 31914.24
2016-03-31; 2525.29; 8766.99; 10644.59; 133.2; 0.0; 22070.07; 1094.71; 0.0; 9028.49; 302.09; 10425.29; 32495.36; 23770.91; 4368.59; 123.51; 6533.28; 30304.19; 2.77; 1974.31; -102.18; 0.0; 2191.16; 32495.36
2015-12-31; 978.09; 8380.65; 10863.97; 138.96; 0.0; 20361.68; 1059.5; 0.0; 9052.84; 281.79; 10394.13; 30755.8; 24024.34; 4393.32; 105.83; 5431.44; 29455.78; 2.76; 1440.8; -115.81; 0.0; 1300.02; 30755.8
2015-09-30; 2167.44; 8222.95; 9755.09; 189.0; 0.0; 20334.49; 1192.51; 0.0; 6137.51; 298.47; 7628.49; 27962.98; 21578.23; 3739.22; 84.9; 5768.37; 27346.6; 2.75; 1164.49; -136.33; 0.0; 616.39; 27962.98
2015-06-30; 2555.18; 7596.56; 9639.96; 110.33; 0.0; 19902.03; 958.69; 0.0; 6115.5; 357.28; 7431.47; 27333.5; 21117.29; 3742.78; 897.81; 4640.59; 25757.88; 2.75; 879.2; -69.01; 0.0; 1575.62; 27333.5
2015-03-31; 2336.98; 7560.12; 9517.31; 142.41; 0.0; 19556.82; 955.56; 0.0; 6122.14; 371.01; 7448.71; 27005.53; 20225.91; 3942.52; 920.85; 4863.37; 25089.28; 2.74; 728.97; -75.58; 0.0; 1916.26; 27005.53
2014-12-31; 2298.76; 7144.03; 10628.34; 73.58; 0.0; 20144.71; 907.0; 0.0; 3501.05; 352.15; 4760.21; 24904.92; 20805.03; 1995.88; 335.65; 2331.54; 23136.57; 2.72; 1306.46; -60.73; 0.0; 1768.35; 24904.92
2014-09-30; 1808.51; 6312.88; 8593.85; 84.96; 0.0; 16800.21; 899.58; 0.0; 3481.74; 350.65; 4731.98; 21532.18; 17250.16; 1995.63; 88.29; 2325.12; 19575.28; 2.71; 1570.43; -52.05; 0.0; 1956.9; 21532.18
2014-06-30; 1261.86; 6133.23; 8421.98; 74.32; 0.0; 15891.39; 882.16; 0.0; 3489.32; 367.74; 4739.22; 20630.61; 16339.36; 1995.48; 309.41; 2304.89; 18644.25; 2.71; 1555.54; -39.38; 0.0; 1986.36; 20630.61
2014-03-31; 696.73; 6506.41; 8493.27; 63.62; 0.0; 15760.03; 850.85; 0.0; 3495.14; 255.23; 4601.22; 20361.25; 16499.93; 1396.95; 318.85; 1715.8; 18215.73; 2.69; 1621.48; -44.51; 0.0; 2145.51; 20361.25
2013-12-31; 347.46; 6214.19; 8602.81; 63.88; 0.0; 15228.34; 824.11; 0.0; 3501.34; 242.3; 4567.75; 19796.1; 15828.9; 1396.78; 322.62; 1719.39; 17548.29; 2.69; 1495.43; -41.08; 0.0; 2247.8; 19796.1
2013-09-30; 1231.01; 6051.92; 6981.49; 129.23; 0.0; 14393.65; 803.56; 0.0; 3499.71; 221.71; 4524.99; 18918.64; 14870.63; 1396.61; 331.65; 1728.26; 16598.89; 2.68; 1508.41; -35.48; 0.0; 2319.74; 18918.64
2013-06-30; 1567.59; 4585.49; 5895.09; 90.91; 0.0; 12139.07; 777.09; 0.0; 3504.8; 158.37; 4440.26; 16579.33; 12441.65; 1396.44; 323.05; 1719.49; 14161.14; 2.67; 1506.1; -55.1; 0.0; 2418.19; 16579.33
2013-03-31; 1347.3; 4180.45; 5662.56; 72.71; 461.77; 11724.78; 762.24; 0.0; 3512.0; 112.41; 4386.65; 16111.43; 12042.65; 1396.27; 326.23; 1722.5; 13765.15; 2.65; 1386.46; -56.24; 0.0; 2346.28; 16111.43
2012-12-31; 417.4; 4361.27; 5965.56; 54.32; 223.65; 11022.2; 800.34; 0.0; 3548.93; 124.06; 4473.33; 15495.53; 11435.74; 1396.11; 326.45; 1722.56; 13158.3; 2.64; 1389.44; -33.89; 0.0; 2337.24; 15495.53
2012-09-30; 1066.61; 3784.62; 5472.01; 72.37; 662.85; 11058.46; 743.68; 0.0; 3523.43; 116.68; 4383.79; 15442.26; 11265.59; 1395.93; 325.9; 1721.83; 12987.42; 2.62; 1270.42; -32.66; 0.0; 2454.84; 15442.26
2012-06-30; 1655.75; 3943.35; 5447.13; 124.2; 0.0; 11170.42; 865.05; 0.0; 3586.65; 125.47; 4577.17; 15747.59; 10951.36; 1483.73; 382.79; 1866.51; 12817.88; 2.62; 1139.61; -43.25; 0.0; 2929.72; 15747.59
2012-03-31; 2327.09; 3868.65; 5354.34; 53.56; 0.0; 11603.64; 803.42; 0.0; 3108.42; 129.56; 4041.39; 15645.04; 10915.0; 1489.97; 293.59; 1783.56; 12698.56; 2.61; 990.99; -37.36; 0.0; 2946.47; 15645.04
2011-12-31; 2370.34; 3724.46; 5824.36; 36.63; 0.0; 11955.78; 793.6; 0.0; 3103.01; 125.87; 4022.49; 15978.27; 11301.38; 1481.94; 290.35; 1772.29; 13073.67; 2.58; 812.61; -44.38; 0.0; 2904.6; 15978.27
2011-09-30; 1825.99; 3793.85; 5443.1; 86.66; 225.44; 11375.04; 672.86; 0.0; 2805.72; 129.05; 3607.63; 14982.67; 10875.26; 972.86; 267.69; 1240.55; 12115.81; 4.96; 4055.66; -50.87; 0.0; 2866.86; 14982.67
2011-06-30; 2000.45; 3907.11; 5157.8; 55.94; 0.0; 11121.3; 761.99; 0.0; 2843.93; 128.5; 3734.42; 14855.73; 10007.79; 1361.89; 282.98; 1644.86; 11652.65; 4.96; 3939.04; -22.49; 0.0; 3203.08; 14855.73
2011-03-31; 1912.44; 3802.24; 5195.95; 45.62; 0.0; 10956.25; 755.15; 0.0; 2846.21; 123.41; 3724.77; 14681.02; 9950.17; 1342.58; 255.23; 1597.81; 11547.99; 4.94; 3786.27; -26.71; 0.0; 3133.03; 14681.02
2010-12-31; 1400.89; 3551.32; 5440.75; 35.21; 0.0; 10428.17; 736.81; 0.0; 2845.42; 121.91; 3704.15; 14132.32; 9640.91; 1287.41; 242.0; 1529.41; 11170.31; 4.92; 3598.65; -35.83; 0.0; 2962.01; 14132.32
2010-09-30; 1658.18; 3827.48; 5210.1; 52.59; 0.0; 10748.35; 711.71; 0.0; 2845.34; 129.44; 3686.49; 14434.84; 9906.34; 1343.16; 231.04; 1574.2; 11480.55; 4.9; 3465.89; -42.54; 0.0; 2954.3; 14434.84
2010-06-30; 1310.72; 3887.83; 5096.6; 42.86; 0.0; 10338.0; 688.18; 0.0; 2846.3; 131.3; 3665.78; 14003.79; 9486.69; 1359.68; 226.23; 1585.91; 11072.59; 4.89; 3346.97; -50.16; 0.0; 2931.19; 14003.79
2010-03-31; 1199.87; 3948.48; 4980.9; 37.78; 0.0; 10167.03; 665.8; 0.0; 2854.64; 134.82; 3655.26; 13822.29; 9426.4; 1358.51; 205.46; 1563.97; 10990.37; 4.87; 3206.32; -38.29; 0.0; 2831.92; 13822.29
2009-12-31; 979.57; 3540.92; 5361.85; 33.79; 0.0; 9916.13; 641.91; 0.0; 2857.24; 140.99; 3640.14; 13556.27; 9243.45; 1375.26; 196.71; 1571.96; 10815.41; 4.85; 3047.92; -42.82; 0.0; 2740.86; 13556.27
2009-09-30; 1009.37; 3916.51; 4972.82; 55.06; 0.0; 9953.75; 619.24; 0.0; 2859.06; 140.69; 3618.99; 13572.74; 9479.61; 1176.93; 199.73; 1376.66; 10856.27; 4.83; 2919.76; -46.1; 0.0; 2716.47; 13572.74
2009-06-30; 912.92; 3746.64; 4424.23; 54.59; 0.0; 9138.38; 595.04; 0.0; 2855.76; 146.56; 3597.37; 12735.75; 8586.97; 1190.22; 174.23; 1364.46; 9951.43; 4.82; 2806.4; -20.98; 0.0; 2784.32; 12735.75
2009-03-31; 655.33; 3734.25; 4578.95; 36.85; 0.0; 9005.38; 576.64; 0.0; 2844.78; 122.91; 3544.34; 12549.72; 8478.11; 1159.35; 153.56; 1312.91; 9791.02; 2.41; 2702.72; -27.73; 0.0; 2758.7; 12549.72
