Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 4710.0; 655.0; 0.0; 0.0; 0.0; 5365.0; 488.0; 110502.0; 0.0; 3590.0; 122735.0; 128100.0; 86540.0; 7518.0; 8002.0; 17408.0; 103948.0; 135.0; 44892.0; -3511.0; 0.0; 24152.0; 128100.0
2022-06-30; 5173.0; 687.0; 0.0; 0.0; 0.0; 5860.0; 512.0; 116956.0; 0.0; 3843.0; 129769.0; 135629.0; 90618.0; 7416.0; 8933.0; 18624.0; 109242.0; 135.0; 43547.0; -548.0; 0.0; 26387.0; 135629.0
2022-03-31; 4275.0; 730.0; 0.0; 0.0; 0.0; 5005.0; 538.0; 129007.0; 0.0; 3414.0; 142041.0; 147046.0; 99643.0; 7768.0; 6605.0; 17876.0; 117519.0; 135.0; 42413.0; 3113.0; 0.0; 29527.0; 147046.0
2021-12-31; 5051.0; 693.0; 0.0; 0.0; 0.0; 5744.0; 538.0; 138664.0; 0.0; 3071.0; 151798.0; 157542.0; 105072.0; 7956.0; 6922.0; 19217.0; 124289.0; 135.0; 41381.0; 7393.0; 0.0; 33253.0; 157542.0
2021-09-30; 6208.0; 787.0; 0.0; 0.0; 0.0; 6995.0; 542.0; 140497.0; 0.0; 2849.0; 153602.0; 160597.0; 107443.0; 8066.0; 6959.0; 19602.0; 127045.0; 135.0; 40830.0; 7662.0; 0.0; 33552.0; 160597.0
2021-06-30; 5469.0; 788.0; 0.0; 0.0; 0.0; 6257.0; 563.0; 142001.0; 0.0; 2861.0; 155235.0; 161492.0; 108286.0; 8121.0; 6899.0; 19471.0; 127757.0; 135.0; 40162.0; 8019.0; 0.0; 33735.0; 161492.0
2021-03-31; 4990.0; 777.0; 0.0; 0.0; 0.0; 5767.0; 578.0; 139005.0; 0.0; 2972.0; 152390.0; 158157.0; 107905.0; 8088.0; 5711.0; 18149.0; 126054.0; 135.0; 39277.0; 6807.0; 0.0; 32103.0; 158157.0
2020-12-31; 5141.0; 796.0; 0.0; 0.0; 0.0; 5937.0; 601.0; 145392.0; 0.0; 2715.0; 159149.0; 165086.0; 114391.0; 7899.0; 4576.0; 17136.0; 131527.0; 135.0; 37984.0; 8934.0; 0.0; 33559.0; 165086.0
2020-09-30; 5563.0; 824.0; 0.0; 0.0; 0.0; 6387.0; 584.0; 141303.0; 0.0; 2362.0; 154568.0; 160955.0; 111587.0; 7825.0; 4786.0; 16889.0; 128476.0; 135.0; 37460.0; 7917.0; 0.0; 32479.0; 160955.0
2020-06-30; 5528.0; 894.0; 0.0; 0.0; 0.0; 6422.0; 584.0; 137487.0; 0.0; 2372.0; 150665.0; 157087.0; 109103.0; 7771.0; 5565.0; 18564.0; 127667.0; 135.0; 35204.0; 6750.0; 0.0; 29420.0; 157087.0
2020-03-31; 4148.0; 813.0; 0.0; 0.0; 0.0; 4961.0; 586.0; 133553.0; 0.0; 2352.0; 146655.0; 151616.0; 107552.0; 6758.0; 6294.0; 17662.0; 125214.0; 135.0; 34599.0; 4188.0; 0.0; 26402.0; 151616.0
2019-12-31; 4896.0; 828.0; 0.0; 0.0; 0.0; 5724.0; 581.0; 133967.0; 0.0; 2368.0; 147044.0; 152768.0; 106554.0; 6569.0; 5316.0; 17255.0; 123809.0; 135.0; 34291.0; 6615.0; 0.0; 28959.0; 152768.0
2019-09-30; 4216.0; 908.0; 0.0; 0.0; 0.0; 5124.0; 562.0; 136028.0; 0.0; 2275.0; 149013.0; 154137.0; 107530.0; 6233.0; 5199.0; 17169.0; 124699.0; 135.0; 33710.0; 7251.0; 0.0; 29438.0; 154137.0
2019-06-30; 3019.0; 883.0; 0.0; 0.0; 0.0; 3902.0; 562.0; 134363.0; 0.0; 2445.0; 147498.0; 151400.0; 106989.0; 6231.0; 4696.0; 16170.0; 123159.0; 135.0; 33130.0; 6364.0; 0.0; 28241.0; 151400.0
2019-03-31; 3892.0; 858.0; 0.0; 0.0; 0.0; 4750.0; 559.0; 128274.0; 0.0; 2204.0; 140929.0; 145679.0; 103680.0; 5900.0; 4868.0; 15950.0; 119630.0; 135.0; 32513.0; 4481.0; 0.0; 26049.0; 145679.0
2018-12-31; 4337.0; 851.0; 0.0; 0.0; 0.0; 5188.0; 443.0; 122679.0; 0.0; 2221.0; 135218.0; 140406.0; 103188.0; 5778.0; 3958.0; 13756.0; 116944.0; 135.0; 31788.0; 2151.0; 0.0; 23462.0; 140406.0
2018-09-30; 3429.0; 784.0; 0.0; 0.0; 0.0; 4213.0; 435.0; 121520.0; 0.0; 2151.0; 133728.0; 137941.0; 100584.0; 5279.0; 4957.0; 14123.0; 114707.0; 135.0; 31461.0; 1909.0; 0.0; 23234.0; 137941.0
2018-06-30; 3847.0; 892.0; 0.0; 0.0; 0.0; 4739.0; 448.0; 124843.0; 0.0; 2216.0; 137247.0; 141986.0; 102310.0; 5315.0; 6492.0; 15876.0; 118186.0; 135.0; 30809.0; 2852.0; 0.0; 23800.0; 141986.0
2018-03-31; 4080.0; 906.0; 0.0; 0.0; 0.0; 4986.0; 448.0; 129336.0; 0.0; 2653.0; 142370.0; 147356.0; 105399.0; 5372.0; 7891.0; 17670.0; 123069.0; 135.0; 30183.0; 3685.0; 0.0; 24287.0; 147356.0
2017-12-31; 3491.0; 827.0; 0.0; 0.0; 0.0; 4318.0; 434.0; 120937.0; 0.0; 2023.0; 132899.0; 137217.0; 99147.0; 5289.0; 3438.0; 13472.0; 112619.0; 135.0; 29895.0; 4028.0; 0.0; 24598.0; 137217.0
2017-09-30; 4927.0; 937.0; 0.0; 0.0; 0.0; 5864.0; 439.0; 118292.0; 0.0; 2075.0; 130219.0; 136083.0; 98713.0; 5248.0; 3950.0; 15393.0; 114106.0; 67.0; 27489.0; 3531.0; 0.0; 21977.0; 136083.0
2017-06-30; 4264.0; 871.0; 0.0; 0.0; 0.0; 5135.0; 442.0; 118392.0; 0.0; 2085.0; 130259.0; 135394.0; 98458.0; 5252.0; 4124.0; 15433.0; 113891.0; 67.0; 26942.0; 3401.0; 0.0; 21503.0; 135394.0
2017-03-31; 4205.0; 618.0; 0.0; 0.0; 0.0; 4823.0; 444.0; 117021.0; 0.0; 2107.0; 128827.0; 133650.0; 97624.0; 5250.0; 4810.0; 15686.0; 113310.0; 67.0; 26400.0; 2632.0; 0.0; 20340.0; 133650.0
2016-12-31; 4859.0; 669.0; 0.0; 0.0; 0.0; 5528.0; 433.0; 112256.0; 0.0; 2609.0; 124291.0; 129819.0; 93726.0; 5360.0; 4864.0; 15611.0; 109337.0; 67.0; 25981.0; 2630.0; 0.0; 20482.0; 129819.0
2016-09-30; 5270.0; 689.0; 0.0; 0.0; 0.0; 5959.0; 476.0; 124441.0; 0.0; 3466.0; 138142.0; 144101.0; 105556.0; 5765.0; 3748.0; 15760.0; 121316.0; 67.0; 25404.0; 5364.0; 0.0; 22785.0; 144101.0
2016-06-30; 3700.0; 758.0; 0.0; 0.0; 0.0; 4458.0; 467.0; 123089.0; 0.0; 3721.0; 136829.0; 141287.0; 103066.0; 5009.0; 3948.0; 15671.0; 118737.0; 67.0; 24944.0; 5432.0; 0.0; 22550.0; 141287.0
2016-03-31; 3449.0; 723.0; 0.0; 0.0; 0.0; 4172.0; 443.0; 111621.0; 0.0; 2601.0; 123594.0; 127766.0; 94128.0; 4984.0; 3527.0; 13617.0; 107745.0; 67.0; 24565.0; 2936.0; 0.0; 20021.0; 127766.0
