Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 2294.0; 87023.0; 0.0; 0.0; 0.0; 89317.0; 0.0; 308373.0; 0.0; 94170.0; 433615.0; 522932.0; 345120.0; 30432.0; 106379.0; 136811.0; 481931.0; 4766.0; 33009.0; -23793.0; 0.0; 41001.0; 522932.0
2022-06-30; 2378.0; 89477.0; 0.0; 0.0; 0.0; 91855.0; 0.0; 317294.0; 0.0; 100598.0; 447083.0; 538938.0; 348897.0; 28438.0; 114779.0; 143217.0; 492114.0; 4766.0; 30550.0; -17656.0; 0.0; 46824.0; 538938.0
2022-03-31; 2537.0; 90429.0; 0.0; 0.0; 0.0; 92966.0; 0.0; 340142.0; 0.0; 114055.0; 480547.0; 573513.0; 355322.0; 29938.0; 130150.0; 160088.0; 515410.0; 4766.0; 27764.0; -5900.0; 0.0; 58103.0; 573513.0
2021-12-31; 2198.0; 86693.0; 0.0; 0.0; 0.0; 88891.0; 0.0; 361531.0; 0.0; 123462.0; 507221.0; 596112.0; 359222.0; 30163.0; 137815.0; 167978.0; 527200.0; 4766.0; 23785.0; 6687.0; 0.0; 68912.0; 596112.0
2021-09-30; 2699.0; 88349.0; 0.0; 0.0; 0.0; 91048.0; 0.0; 357908.0; 0.0; 122852.0; 503752.0; 594800.0; 359349.0; 31550.0; 138242.0; 169792.0; 529141.0; 4766.0; 20320.0; 8606.0; 0.0; 65659.0; 594800.0
2021-06-30; 2760.0; 89739.0; 0.0; 0.0; 0.0; 92499.0; 0.0; 361827.0; 0.0; 120573.0; 505751.0; 598250.0; 358270.0; 35727.0; 137345.0; 173072.0; 531342.0; 4766.0; 18935.0; 10209.0; 0.0; 66908.0; 598250.0
2021-03-31; 2796.0; 90082.0; 0.0; 0.0; 0.0; 92878.0; 0.0; 350766.0; 0.0; 115912.0; 491512.0; 584390.0; 352039.0; 35648.0; 133143.0; 168791.0; 520830.0; 4766.0; 19121.0; 6466.0; 0.0; 63560.0; 584390.0
2020-12-31; 2827.0; 84874.0; 0.0; 0.0; 0.0; 87701.0; 0.0; 362939.0; 0.0; 113412.0; 498780.0; 586481.0; 354336.0; 37534.0; 127412.0; 164946.0; 519282.0; 4766.0; 15504.0; 13511.0; 0.0; 67199.0; 586481.0
2020-09-30; 3191.0; 86871.0; 0.0; 0.0; 0.0; 90062.0; 0.0; 358728.0; 0.0; 105306.0; 487168.0; 577230.0; 354086.0; 38237.0; 120300.0; 158537.0; 512623.0; 4766.0; 15838.0; 10978.0; 0.0; 64607.0; 577230.0
2020-06-30; 3408.0; 88041.0; 0.0; 0.0; 0.0; 91449.0; 0.0; 352445.0; 0.0; 102197.0; 477939.0; 569388.0; 349924.0; 39280.0; 117366.0; 156646.0; 506570.0; 4766.0; 15847.0; 9169.0; 0.0; 62818.0; 569388.0
