Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 781130.0; 0.0; 0.0; 0.0; 0.0; 1885134.0; 11117.0; 879958.0; 69022.0; 227722.0; 1187819.0; 3072953.0; 2484151.0; 269122.0; 50156.0; 319278.0; 2803429.0; 59460.0; 201957.0; -21027.0; 0.0; 269524.0; 3072953.0
2022-06-30; 771300.0; 0.0; 0.0; 0.0; 0.0; 1876640.0; 11016.0; 932910.0; 69022.0; 222018.0; 1234966.0; 3111606.0; 2528366.0; 275697.0; 38425.0; 314122.0; 2842488.0; 59499.0; 197159.0; -16674.0; 0.0; 269118.0; 3111606.0
2022-03-31; 895087.0; 0.0; 0.0; 0.0; 0.0; 1970020.0; 10820.0; 969880.0; 69022.0; 218481.0; 1268203.0; 3238223.0; 2648630.0; 278710.0; 44266.0; 322976.0; 2971606.0; 59968.0; 192929.0; -13417.0; 0.0; 266617.0; 3238223.0
2021-12-31; 853165.0; 0.0; 0.0; 0.0; 0.0; 1907800.0; 10833.0; 982627.0; 69022.0; 199213.0; 1261695.0; 3169495.0; 2581637.0; 280117.0; 37675.0; 317792.0; 2899429.0; 62398.0; 188064.0; -5104.0; 0.0; 270066.0; 3169495.0
2021-09-30; 836872.0; 0.0; 0.0; 0.0; 0.0; 1835866.0; 10684.0; 968617.0; 69023.0; 201256.0; 1249580.0; 3085446.0; 2496299.0; 278621.0; 38062.0; 316683.0; 2812982.0; 69612.0; 183007.0; -3596.0; 0.0; 272464.0; 3085446.0
2021-06-30; 827713.0; 0.0; 0.0; 0.0; 0.0; 1808790.0; 10747.0; 940314.0; 69023.0; 201020.0; 1221104.0; 3029894.0; 2439255.0; 274604.0; 38916.0; 313520.0; 2752775.0; 79242.0; 177499.0; -3063.0; 0.0; 277119.0; 3029894.0
2021-03-31; 869988.0; 0.0; 0.0; 0.0; 0.0; 1831207.0; 10803.0; 856912.0; 68951.0; 202119.0; 1138785.0; 2969992.0; 2402456.0; 251211.0; 42325.0; 293536.0; 2695992.0; 83071.0; 170082.0; -3472.0; 0.0; 274000.0; 2969992.0
2020-12-31; 889921.0; 0.0; 0.0; 0.0; 0.0; 1872444.0; 11000.0; 684850.0; 68951.0; 182382.0; 947183.0; 2819627.0; 2238243.0; 262934.0; 45526.0; 308460.0; 2546703.0; 85982.0; 164088.0; -1656.0; 0.0; 272924.0; 2819627.0
2020-09-30; 888339.0; 0.0; 0.0; 0.0; 0.0; 1890033.0; 10902.0; 584397.0; 68951.0; 184169.0; 848419.0; 2738452.0; 2172151.0; 255723.0; 41728.0; 297451.0; 2469602.0; 85954.0; 160447.0; -978.0; 0.0; 268850.0; 2738452.0
2020-06-30; 973061.0; 0.0; 0.0; 0.0; 0.0; 2015389.0; 10790.0; 471861.0; 68951.0; 174697.0; 726299.0; 2741688.0; 2171902.0; 261638.0; 42511.0; 304149.0; 2476051.0; 85794.0; 157578.0; -1162.0; 0.0; 265637.0; 2741688.0
2020-03-31; 757965.0; 0.0; 0.0; 0.0; 0.0; 1870084.0; 10792.0; 475852.0; 68951.0; 194275.0; 749870.0; 2619954.0; 2043666.0; 256712.0; 54658.0; 311370.0; 2355036.0; 85745.0; 155866.0; -120.0; 0.0; 264918.0; 2619954.0
2019-12-31; 673090.0; 0.0; 0.0; 0.0; 0.0; 1712195.0; 10561.0; 472197.0; 68951.0; 170175.0; 721884.0; 2434079.0; 1890184.0; 240856.0; 38229.0; 279085.0; 2169269.0; 91723.0; 156319.0; -6633.0; 0.0; 264810.0; 2434079.0
