Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 2985.0; 3003.0; 2664.0; 0.0; 1088.0; 9740.0; 2055.0; 1151.0; 10930.0; 207.0; 15610.0; 25350.0; 6013.0; 8670.0; 1737.0; 11874.0; 17887.0; 9.0; 5876.0; -2405.0; 0.0; 7463.0; 25350.0
2022-06-30; 3017.0; 2823.0; 2350.0; 0.0; 1086.0; 9276.0; 1805.0; 1671.0; 9525.0; 193.0; 14386.0; 23662.0; 5546.0; 8298.0; 1635.0; 11124.0; 16670.0; 9.0; 4564.0; -1775.0; 0.0; 6992.0; 23662.0
2022-03-31; 3604.0; 2599.0; 2358.0; 0.0; 1041.0; 9602.0; 1825.0; 1638.0; 9776.0; 202.0; 14591.0; 24193.0; 5531.0; 8305.0; 1694.0; 11232.0; 16763.0; 9.0; 4244.0; -1297.0; 0.0; 7430.0; 24193.0
2021-12-31; 2987.0; 2403.0; 1970.0; 0.0; 879.0; 11407.0; 1826.0; 1593.0; 9858.0; 242.0; 14765.0; 26172.0; 6627.0; 9513.0; 1677.0; 12451.0; 19078.0; 9.0; 2865.0; -989.0; 0.0; 7094.0; 26172.0
2021-09-30; 2671.0; 2669.0; 1926.0; 0.0; 886.0; 11300.0; 1764.0; 1619.0; 9718.0; 280.0; 14488.0; 25788.0; 6068.0; 9558.0; 1678.0; 12498.0; 18566.0; 9.0; 2774.0; -991.0; 0.0; 7222.0; 25788.0
2021-06-30; 2630.0; 3128.0; 1885.0; 0.0; 1111.0; 8754.0; 1837.0; 1572.0; 11350.0; 343.0; 16984.0; 25738.0; 5604.0; 9600.0; 1712.0; 13014.0; 18618.0; 9.0; 2305.0; -794.0; 0.0; 7120.0; 25738.0
2021-03-31; 2599.0; 2831.0; 1854.0; 0.0; 1044.0; 8328.0; 1777.0; 1530.0; 11079.0; 316.0; 16540.0; 24868.0; 5138.0; 9577.0; 1730.0; 12912.0; 18050.0; 9.0; 2027.0; -859.0; 0.0; 6818.0; 24868.0
2020-12-31; 3115.0; 2781.0; 1629.0; 0.0; 999.0; 8524.0; 1810.0; 1513.0; 11176.0; 279.0; 16569.0; 25093.0; 5110.0; 10036.0; 1724.0; 13405.0; 18515.0; 9.0; 1643.0; -745.0; 0.0; 6578.0; 25093.0
2020-09-30; 3848.0; 2872.0; 1581.0; 0.0; 1033.0; 9334.0; 1676.0; 1696.0; 10930.0; 256.0; 16394.0; 25728.0; 5182.0; 11751.0; 1738.0; 15109.0; 20291.0; 9.0; 932.0; -1172.0; 0.0; 5437.0; 25728.0
2020-06-30; 2704.0; 2665.0; 1639.0; 0.0; 1045.0; 8053.0; 1651.0; 1697.0; 10759.0; 233.0; 16123.0; 24176.0; 4789.0; 11728.0; 1698.0; 15021.0; 19810.0; 9.0; 191.0; -1479.0; 0.0; 4366.0; 24176.0
2020-03-31; 768.0; 2674.0; 1556.0; 0.0; 970.0; 5968.0; 1638.0; 1664.0; 10662.0; 277.0; 16033.0; 22001.0; 4451.0; 11029.0; 1170.0; 14524.0; 18975.0; 0.0; 0.0; -1736.0; 4433.0; 3026.0; 22001.0
2019-12-31; 952.0; 2726.0; 1332.0; 0.0; 949.0; 5959.0; 1663.0; 1739.0; 10967.0; 256.0; 16447.0; 22406.0; 4469.0; 82.0; 1183.0; 3502.0; 7971.0; 0.0; 0.0; -1253.0; 15355.0; 14435.0; 22406.0
2019-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2019-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2019-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-12-31; 1129.0; 2673.0; 1363.0; 0.0; 944.0; 6109.0; 0.0; 1770.0; 11063.0; 744.0; 13975.0; 21737.0; 4466.0; 0.0; 1722.0; 3002.0; 7468.0; 0.0; 0.0; 0.0; 14269.0; 14269.0; 21737.0
2017-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
