Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-08-31; 7071.0; 360.0; 420.0; 581.0; 0.0; 8432.0; 38137.0; 0.0; 1730.0; 2455.0; 43485.0; 51917.0; 12954.0; 28518.0; 989.0; 30583.0; 43538.0; 373.0; 1868.0; -2024.0; 0.0; 8379.0; 51917.0
2022-05-31; 7205.0; 359.0; 425.0; 566.0; 0.0; 8554.0; 39262.0; 0.0; 1746.0; 2221.0; 44434.0; 52988.0; 13380.0; 29263.0; 965.0; 31348.0; 44728.0; 372.0; 2649.0; -1742.0; 0.0; 8260.0; 52988.0
2022-02-28; 6929.0; 267.0; 392.0; 470.0; 0.0; 8057.0; 40183.0; 0.0; 1760.0; 2002.0; 45223.0; 53281.0; 10920.0; 29887.0; 973.0; 32050.0; 42970.0; 372.0; 4493.0; -1486.0; 0.0; 10311.0; 53281.0
2021-11-30; 9139.0; 246.0; 356.0; 392.0; 0.0; 10133.0; 38107.0; 0.0; 1760.0; 2011.0; 43211.0; 53344.0; 10408.0; 28509.0; 1043.0; 30791.0; 41200.0; 372.0; 6448.0; -1501.0; 0.0; 12144.0; 53344.0
2021-08-31; 7798.0; 281.0; 322.0; 508.0; 0.0; 8909.0; 38917.0; 0.0; 2000.0; 2323.0; 44606.0; 53514.0; 9491.0; 26831.0; 1061.0; 29161.0; 38651.0; 372.0; 9194.0; -1349.0; 0.0; 14863.0; 53514.0
2021-05-31; 9271.0; 218.0; 308.0; 400.0; 0.0; 10198.0; 39499.0; 0.0; 2016.0; 1936.0; 44866.0; 55064.0; 8754.0; 25968.0; 1149.0; 28434.0; 37188.0; 372.0; 12030.0; -1126.0; 0.0; 17876.0; 55064.0
2021-02-28; 11514.0; 250.0; 312.0; 382.0; 0.0; 12459.0; 39583.0; 0.0; 2009.0; 1821.0; 44767.0; 57226.0; 8619.0; 26522.0; 1017.0; 28795.0; 37413.0; 372.0; 14102.0; -1233.0; 0.0; 19813.0; 57226.0
2020-11-30; 9513.0; 273.0; 335.0; 443.0; 0.0; 10563.0; 38073.0; 0.0; 1993.0; 1594.0; 43030.0; 53593.0; 8686.0; 22130.0; 949.0; 24352.0; 33038.0; 372.0; 16075.0; -1436.0; 0.0; 20555.0; 53593.0
2020-08-31; 8176.0; 376.0; 349.0; 367.0; 0.0; 9268.0; 36926.0; 0.0; 1993.0; 1252.0; 41550.0; 50818.0; 10184.0; 18916.0; 934.0; 21131.0; 31315.0; 369.0; 18297.0; -1439.0; 0.0; 19503.0; 50818.0
2020-05-31; 6881.0; 604.0; 362.0; 374.0; 0.0; 8222.0; 37139.0; 0.0; 1958.0; 1086.0; 41596.0; 49817.0; 11858.0; 14870.0; 956.0; 17118.0; 28977.0; 367.0; 21155.0; -1962.0; 0.0; 20840.0; 49817.0
2020-02-29; 1354.0; 405.0; 440.0; 687.0; 0.0; 2885.0; 38023.0; 0.0; 3349.0; 1216.0; 44057.0; 46943.0; 10716.0; 9738.0; 887.0; 11937.0; 22653.0; 366.0; 25527.0; -2028.0; 0.0; 24290.0; 46943.0
2019-11-30; 518.0; 444.0; 427.0; 671.0; 0.0; 2059.0; 38131.0; 0.0; 4086.0; 783.0; 43000.0; 45058.0; 9127.0; 9675.0; 890.0; 10565.0; 19693.0; 365.0; 26653.0; -2066.0; 0.0; 25365.0; 45058.0
2019-08-31; 1153.0; 441.0; 482.0; 635.0; 0.0; 2712.0; 36466.0; 0.0; 4052.0; 771.0; 41289.0; 44001.0; 8932.0; 8893.0; 882.0; 9775.0; 18706.0; 365.0; 26576.0; -2183.0; 0.0; 25295.0; 44001.0
2019-05-31; 1202.0; 405.0; 501.0; 727.0; 0.0; 2835.0; 36814.0; 0.0; 4079.0; 785.0; 41678.0; 44512.0; 10377.0; 9080.0; 948.0; 10028.0; 20404.0; 365.0; 25138.0; -2076.0; 0.0; 24108.0; 44512.0
2019-02-28; 649.0; 406.0; 444.0; 603.0; 0.0; 2101.0; 37005.0; 0.0; 4124.0; 700.0; 41829.0; 43930.0; 9642.0; 9134.0; 912.0; 10046.0; 19689.0; 365.0; 25033.0; -1869.0; 0.0; 24241.0; 43930.0
2018-11-30; 982.0; 358.0; 450.0; 436.0; 0.0; 2225.0; 35336.0; 0.0; 4101.0; 738.0; 40175.0; 42401.0; 9204.0; 7897.0; 856.0; 8753.0; 17958.0; 365.0; 25066.0; -1949.0; 0.0; 24443.0; 42401.0
2018-08-31; 526.0; 366.0; 405.0; 458.0; 0.0; 1755.0; 35178.0; 0.0; 4131.0; 689.0; 39998.0; 41753.0; 8020.0; 8297.0; 783.0; 9080.0; 17099.0; 365.0; 24921.0; -1840.0; 0.0; 24654.0; 41753.0
2018-05-31; 1053.0; 342.0; 402.0; 481.0; 0.0; 2278.0; 35227.0; 0.0; 4133.0; 546.0; 39906.0; 42184.0; 9308.0; 8172.0; 771.0; 8943.0; 18251.0; 365.0; 23564.0; -1855.0; 0.0; 23933.0; 42184.0
2018-02-28; 453.0; 345.0; 394.0; 475.0; 0.0; 1667.0; 35027.0; 0.0; 4212.0; 535.0; 39774.0; 41441.0; 8851.0; 7445.0; 764.0; 8209.0; 17059.0; 365.0; 23360.0; -1486.0; 0.0; 24382.0; 41441.0
2017-11-30; 395.0; 312.0; 387.0; 502.0; 0.0; 1596.0; 34430.0; 0.0; 4167.0; 585.0; 39182.0; 40778.0; 8800.0; 6993.0; 769.0; 7762.0; 16562.0; 365.0; 23292.0; -1782.0; 0.0; 24216.0; 40778.0
2017-08-31; 489.0; 324.0; 357.0; 491.0; 0.0; 1661.0; 34172.0; 0.0; 4204.0; 606.0; 38982.0; 40643.0; 7969.0; 7723.0; 779.0; 8502.0; 16471.0; 365.0; 23066.0; -1845.0; 0.0; 24172.0; 40643.0
2017-05-31; 597.0; 319.0; 351.0; 507.0; 0.0; 1774.0; 33823.0; 0.0; 4239.0; 615.0; 38677.0; 40451.0; 9058.0; 7635.0; 794.0; 8429.0; 17487.0; 365.0; 22026.0; -2154.0; 0.0; 22964.0; 40451.0
2017-02-28; 437.0; 307.0; 361.0; 492.0; 0.0; 1597.0; 32328.0; 0.0; 4190.0; 588.0; 37106.0; 38703.0; 7465.0; 7796.0; 782.0; 8578.0; 16043.0; 365.0; 21939.0; -2440.0; 0.0; 22660.0; 38703.0
2016-11-30; 603.0; 298.0; 322.0; 466.0; 0.0; 1689.0; 32429.0; 0.0; 4185.0; 578.0; 37192.0; 38881.0; 7072.0; 8302.0; 910.0; 9212.0; 16284.0; 365.0; 21843.0; -2454.0; 0.0; 22597.0; 38881.0
2016-08-31; 462.0; 321.0; 314.0; 355.0; 102.0; 1554.0; 32864.0; 0.0; 4254.0; 660.0; 37778.0; 39332.0; 7100.0; 8320.0; 1012.0; 9332.0; 16432.0; 365.0; 21488.0; -2012.0; 0.0; 22900.0; 39332.0
2016-05-31; 519.0; 334.0; 315.0; 324.0; 108.0; 1600.0; 33244.0; 0.0; 4324.0; 683.0; 38251.0; 39851.0; 7841.0; 8183.0; 1036.0; 9219.0; 17060.0; 365.0; 20320.0; -1648.0; 0.0; 22791.0; 39851.0
2016-02-29; 778.0; 311.0; 333.0; 326.0; 112.0; 1860.0; 31677.0; 0.0; 4274.0; 635.0; 36586.0; 38446.0; 6664.0; 7990.0; 1167.0; 9157.0; 15821.0; 365.0; 19976.0; -1943.0; 0.0; 22625.0; 38446.0
2015-11-30; 1395.0; 303.0; 330.0; 423.0; 0.0; 2451.0; 31818.0; 0.0; 4318.0; 650.0; 36786.0; 39237.0; 6956.0; 7413.0; 1097.0; 8510.0; 15466.0; 365.0; 20060.0; -1741.0; 0.0; 23771.0; 39237.0
2015-08-31; 539.0; 328.0; 305.0; 321.0; 124.0; 1617.0; 32232.0; 0.0; 4299.0; 649.0; 37180.0; 38797.0; 6749.0; 6604.0; 1091.0; 7695.0; 14444.0; 365.0; 20023.0; -1378.0; 0.0; 24353.0; 38797.0
2015-05-31; 298.0; 380.0; 327.0; 298.0; 176.0; 1479.0; 32179.0; 0.0; 4288.0; 665.0; 37132.0; 38611.0; 7683.0; 6648.0; 1028.0; 7676.0; 15359.0; 365.0; 19041.0; -1479.0; 0.0; 23252.0; 38611.0
2015-02-28; 280.0; 329.0; 332.0; 322.0; 163.0; 1426.0; 32294.0; 0.0; 4307.0; 687.0; 37288.0; 38714.0; 7412.0; 6944.0; 1008.0; 7952.0; 15364.0; 365.0; 19013.0; -1339.0; 0.0; 23350.0; 38714.0
2014-11-30; 331.0; 332.0; 349.0; 322.0; 154.0; 1488.0; 32819.0; 0.0; 4397.0; 744.0; 37960.0; 39448.0; 6921.0; 7363.0; 960.0; 8323.0; 15244.0; 365.0; 19158.0; -616.0; 0.0; 24204.0; 39448.0
2014-08-31; 436.0; 355.0; 358.0; 330.0; 123.0; 1602.0; 33073.0; 0.0; 4491.0; 831.0; 38395.0; 39997.0; 7056.0; 6967.0; 817.0; 7784.0; 14840.0; 365.0; 19538.0; -28.0; 0.0; 25157.0; 39997.0
2014-05-31; 343.0; 288.0; 383.0; 312.0; 299.0; 1625.0; 33515.0; 0.0; 4524.0; 862.0; 38901.0; 40526.0; 7401.0; 7880.0; 880.0; 8760.0; 16161.0; 365.0; 18485.0; 243.0; 0.0; 24365.0; 40526.0
2014-02-28; 421.0; 258.0; 381.0; 316.0; 269.0; 1645.0; 32991.0; 0.0; 4522.0; 747.0; 38260.0; 39905.0; 6688.0; 7992.0; 755.0; 8747.0; 15435.0; 365.0; 18573.0; 273.0; 0.0; 24470.0; 39905.0
