Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 409.2; 155.4; 0.0; 107.3; 4335.3; 5007.2; 144.7; 0.0; 2560.2; 266.8; 2999.2; 8006.4; 4675.7; 1214.1; 23.1; 1279.5; 5955.2; 1.5; -367.4; -501.3; 0.0; 2051.2; 8006.4
2022-06-30; 372.2; 151.5; 0.0; 116.8; 5397.0; 6037.5; 141.4; 0.0; 2614.7; 258.0; 3044.8; 9082.3; 5699.2; 1214.7; 23.4; 1288.8; 6988.0; 1.5; -346.4; -430.7; 0.0; 2094.3; 9082.3
2022-03-31; 356.7; 144.5; 0.0; 112.6; 7364.2; 7978.0; 134.3; 0.0; 2666.9; 251.6; 3081.5; 11059.5; 7628.9; 1215.7; 22.8; 1289.8; 8918.7; 1.5; -326.6; -357.9; 0.0; 2140.8; 11059.5
2021-12-31; 369.4; 146.3; 0.0; 92.6; 3535.8; 4144.1; 128.2; 0.0; 2656.1; 208.4; 3022.1; 7166.2; 3741.9; 1124.4; 19.0; 1196.8; 4938.7; 1.5; -309.2; -324.8; 0.0; 2227.5; 7166.2
2021-09-30; 380.7; 116.6; 0.0; 86.0; 5380.3; 5963.6; 143.5; 0.0; 2650.5; 212.7; 3037.9; 9001.5; 5554.8; 36.5; 44.5; 1224.9; 6779.7; 1.5; -299.7; -285.7; 0.0; 2221.8; 9001.5
2021-06-30; 337.2; 118.2; 0.0; 84.9; 3215.4; 3755.7; 146.2; 0.0; 2670.7; 200.8; 3051.3; 6807.0; 3374.0; 1118.5; 50.7; 1233.2; 4607.2; 1.5; -278.8; -262.7; 0.0; 2199.8; 6807.0
2021-03-31; 341.6; 122.5; 0.0; 84.1; 4284.0; 4832.2; 142.2; 0.0; 2622.7; 166.3; 2966.6; 7798.8; 4420.5; 1115.4; 39.1; 1219.0; 5639.5; 1.5; -253.0; -274.5; 0.0; 2159.3; 7798.8
2020-12-31; 188.2; 101.1; 0.0; 73.9; 3759.4; 4122.6; 136.4; 0.0; 2226.8; 187.6; 2578.7; 6701.3; 3863.9; 660.6; 20.6; 739.2; 4603.1; 1.5; -233.8; -276.0; 0.0; 2098.2; 6701.3
2020-09-30; 554.6; 91.4; 0.0; 78.7; 2646.6; 3371.3; 132.2; 0.0; 2208.6; 168.4; 2546.7; 5918.0; 2741.4; 957.2; 40.8; 1140.3; 3881.7; 1.5; -216.5; -314.2; 0.0; 2036.3; 5918.0
2020-06-30; 526.9; 92.9; 0.0; 70.4; 2659.8; 3350.0; 129.6; 0.0; 2200.0; 136.7; 2503.9; 5853.9; 2744.5; 958.6; 19.5; 1123.7; 3868.2; 1.5; -215.7; -328.5; 0.0; 1985.7; 5853.9
2020-03-31; 255.3; 82.8; 0.0; 68.9; 3649.5; 4056.5; 124.6; 0.0; 2116.0; 138.2; 2413.6; 6470.1; 3752.7; 665.0; 20.1; 831.8; 4584.5; 1.4; -221.2; -367.6; 0.0; 1885.6; 6470.1
2019-12-31; 281.3; 80.4; 0.0; 57.9; 3204.1; 3623.7; 128.3; 0.0; 2151.4; 150.3; 2462.0; 6085.7; 3371.7; 666.3; 18.1; 831.7; 4203.4; 1.4; -229.8; -338.4; 0.0; 1882.3; 6085.7
2019-09-30; 270.9; 69.5; 0.0; 59.9; 2604.0; 3004.3; 108.8; 0.0; 2142.9; 143.4; 2431.9; 5436.2; 2743.2; 659.3; 19.7; 839.9; 3583.1; 1.4; -228.3; -348.3; 0.0; 1853.1; 5436.2
2019-06-30; 237.9; 67.8; 0.0; 59.4; 3986.7; 4351.8; 106.3; 0.0; 2132.7; 99.0; 2377.5; 6729.3; 4093.3; 660.7; 41.0; 878.9; 4972.2; 1.4; -291.0; -338.6; 0.0; 1757.1; 6729.3
2019-03-31; 206.3; 68.8; 0.0; 55.3; 4559.7; 4890.1; 103.9; 0.0; 2129.2; 96.0; 2369.0; 7259.1; 4683.7; 662.1; 42.7; 888.6; 5572.3; 1.4; -297.3; -369.0; 0.0; 1686.8; 7259.1
2018-12-31; 217.8; 63.9; 0.0; 48.9; 2603.5; 2934.1; 104.4; 0.0; 2114.9; 94.4; 2313.7; 5247.8; 2769.6; 663.5; 45.9; 862.7; 3632.3; 1.4; -335.6; -375.9; 0.0; 1615.5; 5247.8
2018-09-30; 188.0; 62.6; 0.0; 38.7; 3429.0; 3718.3; 100.6; 0.0; 2142.1; 1.8; 2244.5; 5962.8; 3596.3; 665.0; 38.4; 828.0; 4424.3; 1.4; -419.1; -341.1; 0.0; 1538.5; 5962.8
2018-06-30; 171.8; 63.9; 0.0; 42.0; 3706.6; 3984.3; 100.1; 0.0; 2139.2; 1.8; 2241.1; 6225.4; 3863.6; 666.4; 40.2; 848.0; 4711.6; 1.4; -423.5; -348.7; 0.0; 1513.8; 6225.4
2018-03-31; 62.2; 81.1; 0.0; 49.2; 4295.7; 4488.2; 103.4; 0.0; 2282.4; 5.5; 2391.3; 6879.5; 4454.4; 1120.5; 53.8; 1321.6; 5776.0; 0.7; -355.6; -337.7; 0.0; 1103.5; 6879.5
2017-12-31; 94.2; 66.6; 0.0; 36.4; 4105.0; 4458.4; 102.0; 0.0; 2167.5; 2.0; 2271.5; 6729.9; 4283.2; 1119.8; 45.5; 1317.7; 5600.9; 0.7; -348.2; -312.1; 0.0; 1129.0; 6729.9
2017-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2017-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2017-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2016-12-31; 131.4; 78.1; 0.0; 0.0; 3735.5; 3945.0; 319.3; 0.0; 2290.9; 3.2; 2613.4; 6326.0; 3879.0; 1139.8; 301.3; 1441.1; 5320.1; 0.7; -318.5; 0.0; -388.0; 1005.9; 6326.0
2015-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
