Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1026.05; 391.18; 114.28; 138.97; 0.0; 1670.48; 348.24; 0.0; 1702.41; 463.64; 3297.6; 4968.09; 1256.99; 647.8; 253.0; 1002.97; 2259.96; 2697.63; 3654.85; -122.13; 0.0; 2708.13; 4968.09
2022-06-30; 1029.54; 391.74; 106.37; 129.97; 0.0; 1657.62; 316.74; 0.0; 1140.24; 443.79; 2703.65; 4361.27; 1042.49; 348.0; 230.98; 693.55; 1736.05; 2590.89; 3468.54; -81.38; 0.0; 2625.23; 4361.27
2022-03-31; 1134.75; 361.79; 110.21; 128.14; 0.0; 1734.9; 310.69; 0.0; 1142.83; 419.54; 2660.17; 4395.07; 960.83; 347.79; 219.43; 674.06; 1634.88; 2552.21; 3281.62; -47.92; 0.0; 2760.18; 4395.07
2021-12-31; 1088.94; 337.6; 115.72; 173.51; 0.0; 1715.77; 305.91; 0.0; 1161.62; 439.23; 2670.53; 4386.3; 971.23; 347.59; 225.66; 674.4; 1645.62; 2467.7; 3046.29; -33.31; 0.0; 2740.68; 4386.3
2021-09-30; 1013.82; 327.19; 101.58; 100.43; 0.0; 1543.01; 303.31; 0.0; 1173.58; 427.94; 2670.86; 4213.88; 907.2; 347.38; 232.04; 675.42; 1582.61; 2411.79; 2869.71; -27.56; 0.0; 2631.26; 4213.88
2021-06-30; 847.16; 389.99; 90.48; 129.44; 0.0; 1457.07; 301.98; 0.0; 1194.31; 439.4; 2665.48; 4122.55; 926.72; 347.19; 233.5; 679.09; 1605.81; 2354.8; 2693.4; -21.79; 0.0; 2516.74; 4122.55
2021-03-31; 742.98; 388.67; 76.59; 141.49; 0.0; 1349.73; 305.09; 0.0; 1177.27; 437.57; 2649.23; 3998.96; 792.34; 346.99; 224.62; 664.19; 1456.53; 2307.97; 2537.5; -27.04; 0.0; 2542.43; 3998.96
2020-12-31; 928.43; 338.49; 75.96; 135.71; 0.0; 1478.59; 311.12; 0.0; 992.68; 436.11; 2472.2; 3950.78; 796.81; 346.79; 207.1; 660.96; 1457.77; 2217.94; 2350.33; -17.43; 0.0; 2493.02; 3950.78
2020-09-30; 1306.56; 300.41; 47.98; 81.53; 0.0; 1736.48; 288.16; 0.0; 1008.6; 384.26; 2403.67; 4140.15; 1117.89; 346.58; 195.31; 626.54; 1744.43; 2186.85; 2176.59; -33.62; 0.0; 2395.72; 4140.15
2020-06-30; 1189.19; 312.76; 43.92; 93.92; 0.0; 1639.78; 282.74; 0.0; 1021.4; 350.69; 2359.71; 3999.5; 1151.89; 346.39; 157.15; 590.98; 1742.87; 2143.02; 2014.96; -45.02; 0.0; 2256.63; 3999.5
2020-03-31; 946.28; 284.09; 60.58; 108.55; 0.0; 1399.51; 281.21; 0.0; 1037.61; 350.46; 2368.47; 3767.97; 1012.43; 346.2; 155.84; 597.55; 1609.98; 2099.43; 1883.68; -46.58; 0.0; 2157.99; 3767.97
2019-12-31; 705.21; 304.55; 55.8; 103.78; 0.0; 1169.34; 275.86; 0.0; 834.23; 345.43; 2187.88; 3357.22; 672.39; 346.02; 162.52; 581.94; 1254.33; 2046.24; 1761.69; -36.93; 0.0; 2102.89; 3357.22
2019-09-30; 655.22; 274.91; 66.75; 53.07; 0.0; 1049.95; 259.45; 0.0; 846.72; 504.88; 1612.25; 2662.2; 618.98; 345.83; 169.09; 562.95; 1181.94; 2007.27; 1102.01; -39.99; 0.0; 1480.26; 2662.2
