Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 8421.0; 0.0; 0.0; 0.0; 0.0; 164543.0; 827.0; 33549.0; 8160.0; 17605.0; 60141.0; 224684.0; 178829.0; 16286.0; 6423.0; 22709.0; 201538.0; 6.0; 8748.0; -4823.0; 0.0; 23146.0; 224684.0
2022-06-30; 6983.0; 0.0; 0.0; 0.0; 0.0; 164646.0; 885.0; 34528.0; 8081.0; 18572.0; 62066.0; 226712.0; 182688.0; 14440.0; 5256.0; 19696.0; 202384.0; 6.0; 8346.0; -3218.0; 0.0; 24328.0; 226712.0
2022-03-31; 10621.0; 0.0; 0.0; 0.0; 0.0; 142022.0; 793.0; 27375.0; 7232.0; 14675.0; 50075.0; 192097.0; 158801.0; 5894.0; 5328.0; 11222.0; 170023.0; 6.0; 8209.0; -2258.0; 0.0; 22074.0; 192097.0
2021-12-31; 9474.0; 0.0; 0.0; 0.0; 0.0; 139347.0; 768.0; 28309.0; 7116.0; 12869.0; 49062.0; 188409.0; 154435.0; 6932.0; 3622.0; 10554.0; 164989.0; 6.0; 7978.0; -665.0; 0.0; 23420.0; 188409.0
2021-09-30; 14005.0; 0.0; 0.0; 0.0; 0.0; 138738.0; 732.0; 27403.0; 7065.0; 13069.0; 48269.0; 187007.0; 152229.0; 6947.0; 3719.0; 11355.0; 163584.0; 6.0; 7648.0; -508.0; 0.0; 23423.0; 187007.0
2021-06-30; 13042.0; 0.0; 0.0; 0.0; 0.0; 137374.0; 735.0; 27294.0; 7050.0; 12651.0; 47730.0; 185104.0; 150698.0; 6957.0; 3530.0; 11207.0; 161905.0; 6.0; 7314.0; -381.0; 0.0; 23199.0; 185104.0
2021-03-31; 14968.0; 0.0; 0.0; 0.0; 0.0; 139348.0; 743.0; 27462.0; 7050.0; 12614.0; 47869.0; 187217.0; 151419.0; 8316.0; 4236.0; 13145.0; 164564.0; 6.0; 6866.0; -411.0; 0.0; 22653.0; 187217.0
2020-12-31; 13039.0; 0.0; 0.0; 0.0; 0.0; 137689.0; 759.0; 26177.0; 7050.0; 11674.0; 45660.0; 183349.0; 147407.0; 8346.0; 4294.0; 13269.0; 160676.0; 6.0; 6445.0; -60.0; 0.0; 22673.0; 183349.0
2020-09-30; 9544.0; 0.0; 0.0; 0.0; 0.0; 134787.0; 747.0; 26124.0; 7050.0; 10520.0; 44441.0; 179228.0; 143173.0; 9109.0; 3839.0; 13586.0; 156759.0; 6.0; 6189.0; 10.0; 0.0; 22469.0; 179228.0
2020-06-30; 7921.0; 0.0; 0.0; 0.0; 0.0; 136179.0; 751.0; 25657.0; 7050.0; 10237.0; 43695.0; 179874.0; 143873.0; 9202.0; 3672.0; 13583.0; 157456.0; 6.0; 6068.0; 94.0; 0.0; 22418.0; 179874.0
2020-03-31; 4338.0; 0.0; 0.0; 0.0; 0.0; 132956.0; 746.0; 26352.0; 7050.0; 9615.0; 43763.0; 176719.0; 134534.0; 16437.0; 3016.0; 20235.0; 154769.0; 6.0; 6011.0; 85.0; 0.0; 21950.0; 176719.0
2019-12-31; 3683.0; 0.0; 0.0; 0.0; 0.0; 124849.0; 761.0; 23815.0; 7044.0; 9264.0; 40884.0; 165733.0; 125587.0; 14047.0; 3032.0; 17945.0; 143532.0; 6.0; 6498.0; -411.0; 0.0; 22201.0; 165733.0
2019-09-30; 4000.0; 0.0; 0.0; 0.0; 0.0; 122632.0; 747.0; 25602.0; 7044.0; 8337.0; 41730.0; 164362.0; 125791.0; 12806.0; 3162.0; 16720.0; 142511.0; 6.0; 6229.0; -440.0; 0.0; 21851.0; 164362.0
2019-06-30; 3221.0; 0.0; 0.0; 0.0; 0.0; 121037.0; 740.0; 25898.0; 7040.0; 8034.0; 41712.0; 162749.0; 125445.0; 11538.0; 2982.0; 15287.0; 140732.0; 6.0; 5959.0; -488.0; 0.0; 22017.0; 162749.0
2019-03-31; 2603.0; 0.0; 0.0; 0.0; 0.0; 120225.0; 746.0; 25651.0; 7040.0; 7680.0; 41117.0; 161342.0; 124595.0; 11725.0; 2815.0; 15216.0; 139811.0; 6.0; 5672.0; -793.0; 0.0; 21531.0; 161342.0
2018-12-31; 4222.0; 0.0; 0.0; 0.0; 0.0; 120960.0; 791.0; 25075.0; 6923.0; 6769.0; 39558.0; 160518.0; 120892.0; 15925.0; 2311.0; 18809.0; 139701.0; 6.0; 5385.0; -1096.0; 0.0; 20817.0; 160518.0
2018-09-30; 4133.0; 0.0; 0.0; 0.0; 0.0; 118941.0; 753.0; 25485.0; 6946.0; 6473.0; 39657.0; 158598.0; 119455.0; 15639.0; 2798.0; 18867.0; 138322.0; 6.0; 5062.0; -1318.0; 0.0; 20276.0; 158598.0
2018-06-30; 3979.0; 0.0; 0.0; 0.0; 0.0; 116843.0; 720.0; 25513.0; 6887.0; 5468.0; 38588.0; 155431.0; 118898.0; 13641.0; 1969.0; 16066.0; 134964.0; 6.0; 4755.0; -1210.0; 0.0; 20467.0; 155431.0
2018-03-31; 4001.0; 0.0; 0.0; 0.0; 0.0; 114980.0; 687.0; 25433.0; 6887.0; 5466.0; 38473.0; 153453.0; 117539.0; 13486.0; 1894.0; 15855.0; 133394.0; 6.0; 4437.0; -1145.0; 0.0; 20059.0; 153453.0
2017-12-31; 3224.0; 0.0; 0.0; 0.0; 0.0; 113323.0; 685.0; 25733.0; 6887.0; 5708.0; 39013.0; 152336.0; 117760.0; 11765.0; 1970.0; 14306.0; 132066.0; 6.0; 4164.0; -820.0; 0.0; 20270.0; 152336.0
2017-09-30; 2407.0; 0.0; 0.0; 0.0; 0.0; 112558.0; 618.0; 25742.0; 6887.0; 5551.0; 38798.0; 151356.0; 115193.0; 13400.0; 1910.0; 16054.0; 131247.0; 6.0; 3442.0; -581.0; 0.0; 20109.0; 151356.0
2017-06-30; 4600.0; 0.0; 0.0; 0.0; 0.0; 113664.0; 600.0; 25115.0; 6887.0; 5141.0; 37743.0; 151407.0; 116046.0; 13154.0; 1403.0; 15297.0; 131343.0; 6.0; 3191.0; -593.0; 0.0; 20064.0; 151407.0
2017-03-31; 4344.0; 0.0; 0.0; 0.0; 0.0; 111900.0; 582.0; 25996.0; 6876.0; 4931.0; 38385.0; 150285.0; 115967.0; 11780.0; 1947.0; 14471.0; 130438.0; 6.0; 2944.0; -683.0; 0.0; 19847.0; 150285.0
2016-12-31; 4143.0; 0.0; 0.0; 0.0; 0.0; 111201.0; 601.0; 25610.0; 6876.0; 5232.0; 38319.0; 149520.0; 114163.0; 12790.0; 2106.0; 15610.0; 129773.0; 6.0; 2703.0; -668.0; 0.0; 19747.0; 149520.0
2016-09-30; 3635.0; 0.0; 0.0; 0.0; 0.0; 108388.0; 540.0; 25704.0; 6876.0; 5507.0; 38627.0; 147015.0; 111739.0; 11902.0; 2199.0; 15095.0; 126834.0; 6.0; 2483.0; -187.0; 0.0; 20181.0; 147015.0
2016-06-30; 4382.0; 0.0; 0.0; 0.0; 0.0; 107669.0; 551.0; 24398.0; 6876.0; 5689.0; 37514.0; 145183.0; 109744.0; 11810.0; 2442.0; 15213.0; 124957.0; 6.0; 2255.0; -159.0; 0.0; 20226.0; 145183.0
2016-03-31; 2389.0; 0.0; 0.0; 0.0; 0.0; 103068.0; 570.0; 24057.0; 6876.0; 5506.0; 37009.0; 140077.0; 106620.0; 10035.0; 2605.0; 13492.0; 120112.0; 6.0; 2076.0; -236.0; 0.0; 19965.0; 140077.0
2015-12-31; 3441.0; 0.0; 0.0; 0.0; 0.0; 101632.0; 595.0; 24075.0; 6876.0; 5030.0; 36576.0; 138208.0; 105971.0; 9886.0; 1975.0; 12591.0; 118562.0; 6.0; 1913.0; -387.0; 0.0; 19646.0; 138208.0
2015-09-30; 2119.0; 0.0; 0.0; 0.0; 0.0; 98769.0; 560.0; 24354.0; 6876.0; 4888.0; 36678.0; 135447.0; 109020.0; 4153.0; 2037.0; 6827.0; 115847.0; 6.0; 1745.0; -259.0; 0.0; 19600.0; 135447.0
2015-06-30; 3055.0; 0.0; 0.0; 0.0; 0.0; 100028.0; 580.0; 25095.0; 6876.0; 4672.0; 37223.0; 137251.0; 111161.0; 3890.0; 2056.0; 6504.0; 117665.0; 6.0; 1585.0; -359.0; 0.0; 19586.0; 137251.0
2015-03-31; 5619.0; 0.0; 0.0; 0.0; 0.0; 99287.0; 584.0; 25086.0; 6876.0; 4702.0; 37248.0; 136535.0; 110415.0; 3904.0; 2066.0; 6556.0; 116971.0; 6.0; 1448.0; -240.0; 0.0; 19564.0; 136535.0
2014-12-31; 3646.0; 0.0; 0.0; 0.0; 0.0; 96142.0; 595.0; 24704.0; 6876.0; 4540.0; 36715.0; 132857.0; 106236.0; 4642.0; 2218.0; 7353.0; 113589.0; 6.0; 1294.0; -372.0; 0.0; 19268.0; 132857.0
2014-09-30; 3181.0; 0.0; 0.0; 0.0; 0.0; 95004.0; 541.0; 24848.0; 6876.0; 4072.0; 36337.0; 131341.0; 105362.0; 2062.0; 4180.0; 6596.0; 111958.0; 6.0; 1152.0; -435.0; 0.0; 19383.0; 131341.0
2014-06-30; 5665.0; 0.0; 0.0; 0.0; 0.0; 93546.0; 560.0; 24823.0; 6876.0; 4474.0; 36733.0; 130279.0; 106165.0; 1732.0; 2382.0; 4517.0; 110682.0; 6.0; 1346.0; -358.0; 0.0; 19597.0; 130279.0
2014-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2013-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2013-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2013-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2012-12-31; 4289.0; 0.0; 0.0; 0.0; 0.0; 90286.0; 2388.0; 20063.0; 11311.0; 4750.0; 38512.0; 127053.0; 99250.0; 694.0; 2980.0; 3674.0; 102924.0; 6.0; 5846.0; 0.0; -312.0; 24129.0; 127053.0
2011-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
