Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 6129.0; 0.0; 0.0; 0.0; 0.0; 64279.0; 412.0; 19452.0; 0.0; 0.0; 19864.0; 84143.0; 76058.0; 3016.0; 0.0; 3016.0; 79074.0; 1141.0; 11005.0; -3587.0; 0.0; 5069.0; 84143.0
2022-06-30; 7693.0; 0.0; 0.0; 0.0; 0.0; 65638.0; 422.0; 20829.0; 0.0; 0.0; 21251.0; 86889.0; 77824.0; 2630.0; 0.0; 2630.0; 80454.0; 1141.0; 10752.0; -1954.0; 0.0; 6435.0; 86889.0
2022-03-31; 13731.0; 0.0; 0.0; 0.0; 0.0; 69911.0; 444.0; 18810.0; 0.0; 0.0; 19254.0; 89165.0; 79447.0; 2682.0; 0.0; 2682.0; 82129.0; 1141.0; 10585.0; -1173.0; 0.0; 7036.0; 89165.0
2021-12-31; 22876.0; 0.0; 0.0; 0.0; 0.0; 77176.0; 454.0; 16986.0; 0.0; 0.0; 17440.0; 94616.0; 83923.0; 2796.0; 0.0; 2796.0; 86719.0; 1141.0; 10494.0; -212.0; 0.0; 7897.0; 94616.0
2021-09-30; 23776.0; 0.0; 0.0; 0.0; 0.0; 77236.0; 447.0; 16846.0; 0.0; 0.0; 17293.0; 94529.0; 83889.0; 2837.0; 0.0; 2837.0; 86726.0; 1141.0; 10366.0; -207.0; 0.0; 7803.0; 94529.0
2021-06-30; 16684.0; 0.0; 0.0; 0.0; 0.0; 72064.0; 454.0; 15837.0; 0.0; 0.0; 16291.0; 88355.0; 77570.0; 2854.0; 0.0; 2854.0; 80424.0; 1141.0; 10202.0; -120.0; 0.0; 7931.0; 88355.0
2021-03-31; 15047.0; 0.0; 0.0; 0.0; 0.0; 70240.0; 456.0; 15595.0; 0.0; 0.0; 16051.0; 86291.0; 75287.0; 2852.0; 0.0; 2852.0; 78139.0; 1141.0; 9975.0; -105.0; 0.0; 8152.0; 86291.0
2020-12-31; 15939.0; 0.0; 0.0; 0.0; 0.0; 72642.0; 459.0; 15028.0; 0.0; 0.0; 15487.0; 88129.0; 74351.0; 5728.0; 0.0; 5728.0; 80079.0; 1141.0; 9727.0; 64.0; 0.0; 8050.0; 88129.0
2020-09-30; 11301.0; 0.0; 0.0; 0.0; 0.0; 68085.0; 456.0; 15090.0; 0.0; 0.0; 15546.0; 83631.0; 70003.0; 5754.0; 0.0; 5754.0; 75757.0; 1141.0; 9511.0; 116.0; 0.0; 7874.0; 83631.0
2020-06-30; 13464.0; 0.0; 0.0; 0.0; 0.0; 71188.0; 450.0; 12759.0; 0.0; 0.0; 13209.0; 84397.0; 70074.0; 6521.0; 0.0; 6521.0; 76595.0; 1141.0; 9404.0; 158.0; 0.0; 7802.0; 84397.0
2020-03-31; 4993.0; 0.0; 0.0; 0.0; 0.0; 62842.0; 454.0; 13041.0; 0.0; 0.0; 13495.0; 76337.0; 61501.0; 7434.0; 0.0; 7434.0; 68935.0; 1141.0; 9389.0; 174.0; 0.0; 7402.0; 76337.0
2019-12-31; 5973.0; 0.0; 0.0; 0.0; 0.0; 60547.0; 457.0; 12398.0; 0.0; 0.0; 12855.0; 73402.0; 58806.0; 7269.0; 0.0; 7269.0; 66075.0; 1141.0; 9538.0; -235.0; 0.0; 7327.0; 73402.0
2019-09-30; 4263.0; 0.0; 0.0; 0.0; 0.0; 59952.0; 467.0; 12429.0; 0.0; 0.0; 12896.0; 72848.0; 58337.0; 7311.0; 0.0; 7311.0; 65648.0; 1141.0; 9369.0; -336.0; 0.0; 7200.0; 72848.0
2019-06-30; 3721.0; 0.0; 0.0; 0.0; 0.0; 59729.0; 470.0; 12338.0; 0.0; 0.0; 12808.0; 72537.0; 58656.0; 6558.0; 0.0; 6558.0; 65214.0; 1141.0; 9176.0; -382.0; 0.0; 7323.0; 72537.0
2019-03-31; 3617.0; 0.0; 0.0; 0.0; 0.0; 58004.0; 474.0; 12212.0; 0.0; 0.0; 12686.0; 70690.0; 56433.0; 6848.0; 0.0; 6848.0; 63281.0; 1141.0; 8979.0; -513.0; 0.0; 7409.0; 70690.0
2018-12-31; 4695.0; 0.0; 0.0; 0.0; 0.0; 58298.0; 475.0; 12045.0; 0.0; 0.0; 12520.0; 70818.0; 56848.0; 6463.0; 0.0; 6463.0; 63311.0; 1141.0; 8781.0; -609.0; 0.0; 7507.0; 70818.0
2018-09-30; 5975.0; 0.0; 0.0; 0.0; 0.0; 59114.0; 472.0; 11862.0; 0.0; 0.0; 12334.0; 71448.0; 57244.0; 6418.0; 0.0; 6418.0; 63662.0; 1141.0; 8587.0; -611.0; 0.0; 7786.0; 71448.0
2018-06-30; 5794.0; 0.0; 0.0; 0.0; 0.0; 59605.0; 467.0; 11915.0; 0.0; 0.0; 12382.0; 71987.0; 58325.0; 5583.0; 0.0; 5583.0; 63908.0; 1141.0; 8374.0; -589.0; 0.0; 8079.0; 71987.0
2018-03-31; 6969.0; 0.0; 0.0; 0.0; 0.0; 59896.0; 468.0; 11971.0; 0.0; 0.0; 12439.0; 72335.0; 58741.0; 5594.0; 0.0; 5594.0; 64335.0; 1141.0; 8110.0; -553.0; 0.0; 8000.0; 72335.0
2017-12-31; 5941.0; 0.0; 0.0; 0.0; 0.0; 58897.0; 466.0; 12204.0; 0.0; 0.0; 12670.0; 71567.0; 58982.0; 4622.0; 0.0; 4622.0; 63604.0; 1141.0; 7887.0; -451.0; 0.0; 7963.0; 71567.0
2017-09-30; 6296.0; 0.0; 0.0; 0.0; 0.0; 59208.0; 467.0; 12342.0; 0.0; 0.0; 12809.0; 72017.0; 59346.0; 4637.0; 0.0; 4637.0; 63983.0; 1141.0; 7746.0; -359.0; 0.0; 8034.0; 72017.0
2017-06-30; 5721.0; 0.0; 0.0; 0.0; 0.0; 58589.0; 484.0; 12374.0; 0.0; 0.0; 12858.0; 71447.0; 58319.0; 5143.0; 0.0; 5143.0; 63462.0; 2110.0; 7580.0; -361.0; 0.0; 7985.0; 71447.0
2017-03-31; 8411.0; 0.0; 0.0; 0.0; 0.0; 60150.0; 488.0; 12338.0; 0.0; 0.0; 12826.0; 72976.0; 59893.0; 5153.0; 0.0; 5153.0; 65046.0; 1141.0; 7431.0; -379.0; 0.0; 7930.0; 72976.0
2016-12-31; 7310.0; 0.0; 0.0; 0.0; 0.0; 60108.0; 501.0; 12369.0; 0.0; 0.0; 12870.0; 72978.0; 60022.0; 5160.0; 0.0; 5160.0; 65182.0; 1141.0; 7331.0; -383.0; 0.0; 7796.0; 72978.0
2016-09-30; 8132.0; 0.0; 0.0; 0.0; 0.0; 61112.0; 528.0; 12484.0; 0.0; 0.0; 13012.0; 74124.0; 60507.0; 5890.0; 0.0; 5890.0; 66397.0; 1141.0; 7262.0; -292.0; 0.0; 7727.0; 74124.0
2016-06-30; 4210.0; 0.0; 0.0; 0.0; 0.0; 58217.0; 544.0; 12519.0; 0.0; 0.0; 13063.0; 71280.0; 57665.0; 5921.0; 0.0; 5921.0; 63586.0; 1141.0; 7157.0; -295.0; 0.0; 7694.0; 71280.0
2016-03-31; 3096.0; 0.0; 0.0; 0.0; 0.0; 55952.0; 541.0; 12514.0; 0.0; 0.0; 13055.0; 69007.0; 58254.0; 3109.0; 0.0; 3109.0; 61363.0; 1141.0; 7097.0; -328.0; 0.0; 7644.0; 69007.0
2015-12-31; 6260.0; 0.0; 0.0; 0.0; 0.0; 58827.0; 550.0; 12500.0; 0.0; 0.0; 13050.0; 71877.0; 61259.0; 3058.0; 0.0; 3058.0; 64317.0; 1141.0; 7084.0; -429.0; 0.0; 7560.0; 71877.0
2015-09-30; 7307.0; 0.0; 0.0; 0.0; 0.0; 59859.0; 541.0; 10612.0; 0.0; 0.0; 11153.0; 71012.0; 60290.0; 3100.0; 0.0; 3100.0; 63390.0; 1141.0; 7007.0; -345.0; 0.0; 7622.0; 71012.0
2015-06-30; 6084.0; 0.0; 0.0; 0.0; 0.0; 59185.0; 541.0; 10219.0; 0.0; 0.0; 10760.0; 69945.0; 59581.0; 2841.0; 0.0; 2841.0; 62422.0; 1141.0; 6908.0; -396.0; 0.0; 7523.0; 69945.0
2015-03-31; 6063.0; 0.0; 0.0; 0.0; 0.0; 58720.0; 531.0; 10085.0; 0.0; 0.0; 10616.0; 69336.0; 59150.0; 2686.0; 0.0; 2686.0; 61836.0; 1141.0; 6841.0; -370.0; 0.0; 7500.0; 69336.0
2014-12-31; 6170.0; 0.0; 0.0; 0.0; 0.0; 58603.0; 532.0; 10051.0; 0.0; 0.0; 10583.0; 69186.0; 59109.0; 2675.0; 0.0; 2675.0; 61784.0; 1141.0; 6744.0; -412.0; 0.0; 7402.0; 69186.0
2014-09-30; 7899.0; 0.0; 0.0; 0.0; 0.0; 58895.0; 524.0; 9468.0; 0.0; 0.0; 9992.0; 68887.0; 58785.0; 2669.0; 0.0; 2669.0; 61454.0; 1141.0; 6631.0; -317.0; 0.0; 7433.0; 68887.0
2014-06-30; 4003.0; 0.0; 0.0; 0.0; 0.0; 55229.0; 562.0; 9534.0; 0.0; 0.0; 10096.0; 65325.0; 55336.0; 2620.0; 0.0; 2620.0; 57956.0; 1141.0; 6520.0; -304.0; 0.0; 7369.0; 65325.0
2014-03-31; 5725.0; 0.0; 0.0; 0.0; 0.0; 55611.0; 583.0; 9487.0; 0.0; 0.0; 10070.0; 65681.0; 54864.0; 3534.0; 0.0; 3534.0; 58398.0; 1141.0; 6414.0; -325.0; 0.0; 7283.0; 65681.0
2013-12-31; 6563.0; 0.0; 0.0; 0.0; 0.0; 55323.0; 594.0; 9307.0; 0.0; 0.0; 9901.0; 65224.0; 54531.0; 3543.0; 0.0; 3543.0; 58074.0; 1141.0; 6318.0; -391.0; 0.0; 7150.0; 65224.0
2013-09-30; 7194.0; 0.0; 0.0; 0.0; 0.0; 54578.0; 604.0; 9488.0; 0.0; 0.0; 10092.0; 64670.0; 54136.0; 3565.0; 0.0; 3565.0; 57701.0; 1141.0; 6239.0; -541.0; 0.0; 6969.0; 64670.0
2013-06-30; 4044.0; 0.0; 0.0; 0.0; 0.0; 52712.0; 604.0; 9631.0; 0.0; 0.0; 10235.0; 62947.0; 52435.0; 3601.0; 0.0; 3601.0; 56036.0; 1141.0; 6127.0; -538.0; 0.0; 6911.0; 62947.0
2013-03-31; 5712.0; 0.0; 0.0; 0.0; 0.0; 53981.0; 618.0; 10286.0; 0.0; 0.0; 10904.0; 64885.0; 53198.0; 4699.0; 0.0; 4699.0; 57897.0; 1141.0; 6020.0; -410.0; 0.0; 6988.0; 64885.0
2012-12-31; 4659.0; 0.0; 0.0; 0.0; 0.0; 54150.0; 622.0; 10297.0; 0.0; 0.0; 10919.0; 65069.0; 53407.0; 4720.0; 0.0; 4720.0; 58127.0; 1141.0; 5931.0; -413.0; 0.0; 6942.0; 65069.0
2012-09-30; 4084.0; 0.0; 0.0; 0.0; 0.0; 52120.0; 625.0; 10569.0; 0.0; 0.0; 11194.0; 63314.0; 51490.0; 4740.0; 0.0; 4740.0; 56230.0; 1141.0; 5831.0; -253.0; 0.0; 7084.0; 63314.0
2012-06-30; 4311.0; 0.0; 0.0; 0.0; 0.0; 52043.0; 667.0; 9940.0; 0.0; 0.0; 10607.0; 62650.0; 50880.0; 4742.0; 0.0; 4742.0; 55622.0; 1141.0; 5744.0; -301.0; 0.0; 7028.0; 62650.0
2012-03-31; 4140.0; 0.0; 0.0; 0.0; 0.0; 51862.0; 670.0; 10061.0; 0.0; 0.0; 10731.0; 62593.0; 50689.0; 4919.0; 0.0; 4919.0; 55608.0; 1141.0; 5630.0; -326.0; 0.0; 6985.0; 62593.0
2011-12-31; 3705.0; 0.0; 0.0; 0.0; 0.0; 50229.0; 675.0; 10104.0; 0.0; 0.0; 10779.0; 61008.0; 49196.0; 4944.0; 0.0; 4944.0; 54140.0; 1141.0; 5546.0; -356.0; 0.0; 6868.0; 61008.0
2011-09-30; 5335.0; 0.0; 0.0; 0.0; 0.0; 50471.0; 685.0; 9732.0; 0.0; 0.0; 10417.0; 60888.0; 48928.0; 5009.0; 0.0; 5009.0; 53937.0; 1141.0; 5471.0; -230.0; 0.0; 6951.0; 60888.0
2011-06-30; 3590.0; 0.0; 0.0; 0.0; 0.0; 45963.0; 641.0; 7537.0; 0.0; 0.0; 8178.0; 54141.0; 42897.0; 5206.0; 0.0; 5206.0; 48103.0; 1019.0; 5395.0; -308.0; 0.0; 6038.0; 54141.0
