Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-10-31; 19784.0; 5439.0; 2664.0; 0.0; 4571.0; 36141.0; 1972.0; 0.0; 40520.0; 5912.0; 56913.0; 93054.0; 24896.0; 7629.0; 9816.0; 27886.0; 52782.0; 42984.0; -594.0; -2118.0; 0.0; 40272.0; 93054.0
2022-07-31; 19267.0; 6622.0; 2568.0; 0.0; 4355.0; 36717.0; 1997.0; 0.0; 40873.0; 5957.0; 57285.0; 94002.0; 25640.0; 8416.0; 9693.0; 28589.0; 54229.0; 42714.0; -1319.0; -1622.0; 0.0; 39773.0; 94002.0
2022-04-30; 20108.0; 5783.0; 2231.0; 0.0; 4055.0; 35981.0; 2046.0; 0.0; 41263.0; 5272.0; 56816.0; 92797.0; 24150.0; 8418.0; 9785.0; 28247.0; 52397.0; 42587.0; -724.0; -1463.0; 0.0; 40400.0; 92797.0
2022-01-31; 21113.0; 6003.0; 2059.0; 0.0; 3627.0; 36799.0; 2140.0; 0.0; 41758.0; 5272.0; 57463.0; 94262.0; 25915.0; 8969.0; 9837.0; 28851.0; 54766.0; 42291.0; -2006.0; -789.0; 0.0; 39496.0; 94262.0
2021-10-31; 23346.0; 5306.0; 1832.0; 0.0; 3034.0; 37588.0; 2238.0; 0.0; 42152.0; 5259.0; 58393.0; 95981.0; 23238.0; 8996.0; 10991.0; 30042.0; 53280.0; 42621.0; 553.0; -473.0; 0.0; 42701.0; 95981.0
2021-07-31; 24518.0; 5766.0; 1559.0; 0.0; 2889.0; 39112.0; 2338.0; 0.0; 41787.0; 5016.0; 58385.0; 97497.0; 26257.0; 9018.0; 10931.0; 29965.0; 56222.0; 42346.0; -654.0; -417.0; 0.0; 41275.0; 97497.0
2021-04-30; 23579.0; 4425.0; 1579.0; 0.0; 2829.0; 37060.0; 2367.0; 0.0; 41406.0; 3925.0; 56836.0; 93896.0; 24262.0; 9532.0; 10500.0; 29429.0; 53691.0; 41949.0; -1456.0; -288.0; 0.0; 40205.0; 93896.0
2021-01-31; 30588.0; 4307.0; 1436.0; 0.0; 2553.0; 43911.0; 2386.0; 0.0; 36195.0; 3900.0; 51690.0; 95601.0; 27268.0; 9554.0; 10364.0; 29212.0; 56480.0; 41690.0; -2351.0; -218.0; 0.0; 39121.0; 95601.0
2020-10-31; 30012.0; 3980.0; 1303.0; 0.0; 2589.0; 42989.0; 2412.0; 0.0; 36116.0; 3832.0; 52014.0; 95003.0; 26991.0; 9564.0; 11089.0; 29855.0; 56846.0; 41360.0; -2756.0; -447.0; 0.0; 38157.0; 95003.0
2020-07-31; 29419.0; 5472.0; 1282.0; 0.0; 2349.0; 43573.0; 2453.0; 0.0; 35382.0; 3741.0; 51280.0; 94853.0; 25331.0; 11578.0; 10984.0; 31602.0; 56933.0; 41202.0; -2763.0; -519.0; 0.0; 37920.0; 94853.0
2020-04-30; 28574.0; 4569.0; 1212.0; 0.0; 2249.0; 41307.0; 2535.0; 0.0; 35197.0; 3676.0; 50087.0; 91394.0; 25937.0; 11578.0; 10233.0; 29749.0; 55686.0; 40691.0; -3874.0; -1109.0; 0.0; 35708.0; 91394.0
2020-01-31; 27062.0; 4330.0; 1353.0; 0.0; 2481.0; 40053.0; 2621.0; 0.0; 35518.0; 3581.0; 50373.0; 90426.0; 22088.0; 14494.0; 10263.0; 32805.0; 54893.0; 40617.0; -4384.0; -700.0; 0.0; 35533.0; 90426.0
2019-10-31; 28035.0; 4878.0; 1344.0; 0.0; 2433.0; 41716.0; 2669.0; 0.0; 35685.0; 3628.0; 50776.0; 92492.0; 24597.0; 14497.0; 11019.0; 33472.0; 58069.0; 40321.0; -5083.0; -815.0; 0.0; 34423.0; 92492.0
2019-07-31; 33413.0; 5491.0; 1383.0; 0.0; 2373.0; 47755.0; 2789.0; 0.0; 35730.0; 2496.0; 50038.0; 97793.0; 31712.0; 14475.0; 10236.0; 32510.0; 64222.0; 40266.0; -5903.0; -792.0; 0.0; 33571.0; 97793.0
2019-04-30; 34643.0; 3795.0; 1513.0; 0.0; 2331.0; 47311.0; 2834.0; 0.0; 35942.0; 2315.0; 49976.0; 97287.0; 27913.0; 15921.0; 9310.0; 32570.0; 60483.0; 40577.0; -2877.0; -896.0; 0.0; 36804.0; 97287.0
2019-01-31; 40383.0; 3745.0; 1701.0; 0.0; 2231.0; 53117.0; 2931.0; 0.0; 35563.0; 2205.0; 49345.0; 102462.0; 29479.0; 15893.0; 9016.0; 32194.0; 61673.0; 41361.0; 538.0; -1110.0; 0.0; 40789.0; 102462.0
2018-10-31; 42593.0; 4536.0; 1572.0; 0.0; 2134.0; 55686.0; 2956.0; 0.0; 36102.0; 2081.0; 49743.0; 105429.0; 26414.0; 18323.0; 9667.0; 35167.0; 61581.0; 41897.0; 3169.0; -1218.0; 0.0; 43848.0; 105429.0
2018-07-31; 46548.0; 5554.0; 1846.0; 0.0; 2940.0; 61837.0; 3006.0; 0.0; 34258.0; 1582.0; 46947.0; 108784.0; 27035.0; 20331.0; 10019.0; 38545.0; 65580.0; 42820.0; 1233.0; -849.0; 0.0; 43204.0; 108784.0
2018-04-30; 54431.0; 4274.0; 1900.0; 0.0; 1668.0; 67141.0; 3082.0; 0.0; 34335.0; 1491.0; 46867.0; 114008.0; 28642.0; 20336.0; 10717.0; 38705.0; 67347.0; 43556.0; 3709.0; -604.0; 0.0; 46661.0; 114008.0
2018-01-31; 73683.0; 3963.0; 1896.0; 0.0; 1583.0; 86050.0; 3113.0; 0.0; 32865.0; 1472.0; 45460.0; 131510.0; 35364.0; 25625.0; 10853.0; 44164.0; 79528.0; 44535.0; 7364.0; 83.0; 0.0; 51982.0; 131510.0
2017-10-31; 71588.0; 4206.0; 1693.0; 0.0; 1555.0; 84080.0; 3202.0; 0.0; 32910.0; 1448.0; 46442.0; 130522.0; 29284.0; 25684.0; 2359.0; 35688.0; 64972.0; 44872.0; 20647.0; 31.0; 0.0; 65550.0; 130522.0
2017-07-31; 70492.0; 5146.0; 1616.0; 0.0; 1593.0; 83703.0; 3322.0; 0.0; 32305.0; 1511.0; 46115.0; 129818.0; 27583.0; 25725.0; 2700.0; 36098.0; 63681.0; 45253.0; 20838.0; 46.0; 0.0; 66137.0; 129818.0
2017-04-30; 67974.0; 4635.0; 1366.0; 0.0; 1348.0; 79962.0; 3395.0; 0.0; 32220.0; 1454.0; 45988.0; 125950.0; 22718.0; 28222.0; 2650.0; 37850.0; 60568.0; 45003.0; 20721.0; -342.0; 0.0; 65382.0; 125950.0
2017-01-31; 71845.0; 4458.0; 1264.0; 0.0; 1329.0; 83392.0; 3422.0; 0.0; 28939.0; 1538.0; 42856.0; 126248.0; 22708.0; 30471.0; 2408.0; 39722.0; 62430.0; 44585.0; 20027.0; -801.0; 0.0; 63818.0; 126248.0
2016-10-31; 70968.0; 4805.0; 1176.0; 0.0; 1651.0; 83141.0; 3499.0; 0.0; 29120.0; 1686.0; 43146.0; 126287.0; 23217.0; 30634.0; 2287.0; 39657.0; 62874.0; 44236.0; 19694.0; -524.0; 0.0; 63413.0; 126287.0
2016-07-31; 65756.0; 5847.0; 1217.0; 0.0; 1627.0; 78719.0; 3506.0; 0.0; 29126.0; 1844.0; 42933.0; 121652.0; 24911.0; 24483.0; 2356.0; 33156.0; 58067.0; 44516.0; 19396.0; -326.0; 0.0; 63585.0; 121652.0
2016-04-30; 63512.0; 4047.0; 1343.0; 0.0; 2230.0; 78571.0; 3529.0; 0.0; 29506.0; 3148.0; 40083.0; 118654.0; 24003.0; 24431.0; 2252.0; 32293.0; 56296.0; 44137.0; 18448.0; -227.0; 0.0; 62358.0; 118654.0
2016-01-31; 60375.0; 4302.0; 1362.0; 0.0; 1618.0; 75005.0; 3386.0; 0.0; 27280.0; 3068.0; 37637.0; 112642.0; 22799.0; 21591.0; 1985.0; 28965.0; 51764.0; 43857.0; 17821.0; -807.0; 0.0; 60878.0; 112642.0
2015-10-31; 59107.0; 4712.0; 1482.0; 0.0; 1433.0; 73946.0; 3346.0; 0.0; 27174.0; 3270.0; 37827.0; 111773.0; 22100.0; 21594.0; 2753.0; 29688.0; 51788.0; 43643.0; 16586.0; -252.0; 0.0; 59985.0; 111773.0
