Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1080.0; 506.0; 46.0; 304.0; 0.0; 1936.0; 14592.0; 96.0; 15861.0; 1109.0; 31658.0; 33594.0; 2426.0; 25422.0; 872.0; 27276.0; 29702.0; 0.0; -3161.0; 93.0; 0.0; 3892.0; 33594.0
2022-06-30; 1142.0; 494.0; 47.0; 291.0; 2926.0; 4900.0; 14606.0; 96.0; 15894.0; 1174.0; 31770.0; 36670.0; 4897.0; 26191.0; 891.0; 28062.0; 32959.0; 0.0; -3213.0; -20.0; 0.0; 3711.0; 36670.0
2022-03-31; 999.0; 450.0; 44.0; 313.0; 3314.0; 5120.0; 14637.0; 97.0; 15945.0; 1274.0; 31953.0; 37073.0; 5145.0; 26224.0; 929.0; 28082.0; 33227.0; 0.0; -3090.0; 16.0; 0.0; 3846.0; 37073.0
2021-12-31; 1389.0; 472.0; 42.0; 290.0; 3771.0; 5964.0; 14601.0; 158.0; 15996.0; 1312.0; 32067.0; 38031.0; 5297.0; 26146.0; 936.0; 28193.0; 33490.0; 0.0; -2410.0; 36.0; 0.0; 4541.0; 38031.0
2021-09-30; 1374.0; 438.0; 45.0; 256.0; 3812.0; 5925.0; 14529.0; 203.0; 16220.0; 2085.0; 33037.0; 38962.0; 4978.0; 26864.0; 970.0; 29031.0; 34009.0; 0.0; -1976.0; 22.0; 0.0; 4953.0; 38962.0
2021-06-30; 1365.0; 395.0; 41.0; 242.0; 4273.0; 6316.0; 14393.0; 526.0; 16411.0; 1170.0; 32500.0; 38816.0; 5452.0; 26212.0; 846.0; 28202.0; 33654.0; 0.0; -1743.0; 47.0; 0.0; 5162.0; 38816.0
2021-03-31; 3867.0; 324.0; 41.0; 236.0; 2094.0; 6562.0; 14083.0; 263.0; 13964.0; 1147.0; 29457.0; 36019.0; 2504.0; 26437.0; 1357.0; 28885.0; 31389.0; 0.0; -1814.0; 45.0; 0.0; 4630.0; 36019.0
2020-12-31; 3797.0; 342.0; 44.0; 253.0; 1627.0; 6063.0; 14735.0; 173.0; 14147.0; 1267.0; 30322.0; 36385.0; 2513.0; 14073.0; 1304.0; 28838.0; 31351.0; 0.0; -1391.0; 34.0; 0.0; 5034.0; 36385.0
2020-09-30; 3296.0; 385.0; 49.0; 265.0; 2303.0; 6298.0; 14630.0; 170.0; 13916.0; 1224.0; 29941.0; 36239.0; 2470.0; 27750.0; 1549.0; 30380.0; 32850.0; 0.0; -836.0; 15.0; 0.0; 3389.0; 36239.0
2020-06-30; 995.59; 44.3; 17.37; 33.1; 444.38; 1534.74; 2418.69; 134.94; 1866.62; 65.92; 4613.71; 6148.45; 476.0; 3646.53; 166.45; 4056.0; 4532.0; 0.0; 90.83; 0.38; 0.0; 1616.45; 6148.45
2020-03-31; 710.75; 43.69; 17.07; 27.74; 443.16; 1242.41; 2455.33; 135.9; 1873.36; 54.29; 4648.77; 5891.17; 771.01; 3753.81; 168.56; 4179.95; 4950.96; 0.0; 190.82; 0.38; 0.0; 940.21; 5891.17
2019-12-31; 210.0; 54.0; 18.0; 66.0; 257.0; 605.0; 2615.0; 136.0; 2021.0; 264.0; 5036.0; 5641.0; 688.0; 2325.0; 343.0; 3836.0; 4524.0; 0.0; 366.0; 0.0; 0.0; 1117.0; 5641.0
2019-09-30; 251.51; 48.15; 17.68; 37.43; 608.77; 963.54; 2635.11; 129.8; 2028.57; 78.88; 5117.7; 6081.24; 414.97; 3918.94; 166.38; 4539.49; 4954.46; 0.0; 379.68; 0.0; 0.0; 1126.78; 6081.24
2019-06-30; 230.54; 60.06; 19.02; 40.34; 352.69; 702.64; 2713.8; 131.38; 2186.78; 347.4; 5379.36; 6082.0; 383.24; 3983.66; 437.45; 4613.24; 4996.48; 0.0; 342.63; 0.0; 0.0; 1085.52; 6082.0
2019-03-31; 259.02; 65.6; 20.77; 34.46; 3.13; 382.99; 2870.12; 132.24; 2362.68; 366.49; 5731.53; 6114.52; 389.34; 4019.66; 438.23; 4661.91; 5051.25; 0.0; 323.69; 0.0; 0.0; 1063.26; 6114.52
2018-12-31; 272.6; 60.17; 20.59; 63.73; 156.1; 573.2; 2882.61; 1.89; 2370.32; 83.45; 5338.27; 5911.46; 402.18; 4221.11; 59.01; 4480.13; 4882.31; 0.0; 290.21; 0.0; 0.0; 1029.15; 5911.46
2018-09-30; 182.76; 42.0; 15.26; 30.08; 156.1; 426.21; 1488.87; 0.0; 1909.72; 634.5; 4050.97; 4477.17; 261.94; 2967.43; 17.16; 3179.09; 3441.02; 0.0; 290.33; 0.08; 0.0; 1036.15; 4477.17
2018-06-30; 223.76; 34.81; 14.85; 30.66; 201.33; 505.4; 1400.09; 0.0; 1635.19; 45.03; 3094.34; 3599.75; 217.69; 2190.75; 17.98; 2385.33; 2603.02; 0.0; 252.62; 0.08; 0.0; 996.72; 3599.75
2018-03-31; 204.03; 33.74; 15.21; 23.23; 199.1; 475.31; 1396.29; 0.0; 1636.37; 30.23; 3076.91; 3552.22; 217.29; 2190.11; 18.59; 2376.3; 2593.59; 0.0; 215.83; 0.08; 0.0; 958.63; 3552.22
2017-12-31; 155.49; 45.8; 16.87; 32.63; 0.24; 251.03; 1502.82; 0.0; 1743.92; 48.7; 3295.44; 3546.47; 223.75; 2189.58; 28.58; 2381.12; 2604.88; 0.0; 194.97; 0.08; 0.0; 941.6; 3546.47
2017-09-30; 173.67; 33.13; 16.5; 34.1; 143.57; 400.97; 1446.35; 0.0; 1701.44; 18.42; 3184.28; 3585.26; 225.07; 2224.05; 30.21; 2506.25; 2731.32; 0.0; 108.81; 0.01; 0.0; 853.93; 3585.26
