Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 11870.0; 0.0; 0.0; 0.0; 0.0; 109717.0; 1015.0; 6897.0; 255.0; 4002.0; 12169.0; 121886.0; 87423.0; 20177.0; 0.0; 20177.0; 107600.0; 6.0; 27585.0; -353.0; 0.0; 14286.0; 121886.0
2022-06-30; 11471.0; 0.0; 0.0; 0.0; 0.0; 104015.0; 984.0; 5536.0; 255.0; 3810.0; 10585.0; 114600.0; 82651.0; 18185.0; 0.0; 18185.0; 100836.0; 6.0; 26776.0; -251.0; 0.0; 13764.0; 114600.0
2022-03-31; 9643.0; 0.0; 0.0; 0.0; 0.0; 96467.0; 984.0; 5977.0; 255.0; 3729.0; 10945.0; 107412.0; 76847.0; 17132.0; 0.0; 17132.0; 93979.0; 6.0; 25833.0; -213.0; 0.0; 13433.0; 107412.0
2021-12-31; 11332.0; 0.0; 0.0; 0.0; 0.0; 98194.0; 983.0; 6904.0; 255.0; 3906.0; 12048.0; 110242.0; 78357.0; 18477.0; 0.0; 18477.0; 96834.0; 6.0; 24766.0; -94.0; 0.0; 13408.0; 110242.0
2021-09-30; 12748.0; 0.0; 0.0; 0.0; 0.0; 95429.0; 987.0; 8014.0; 256.0; 3858.0; 13115.0; 108544.0; 76765.0; 18516.0; 0.0; 18516.0; 95281.0; 6.0; 23846.0; -68.0; 0.0; 13263.0; 108544.0
2021-06-30; 16368.0; 0.0; 0.0; 0.0; 0.0; 97016.0; 986.0; 8841.0; 256.0; 3886.0; 13969.0; 110985.0; 78464.0; 19350.0; 0.0; 19350.0; 97814.0; 6.0; 22936.0; -39.0; 0.0; 13171.0; 110985.0
2021-03-31; 20674.0; 0.0; 0.0; 0.0; 0.0; 99674.0; 1021.0; 9432.0; 350.0; 3394.0; 14197.0; 113871.0; 80706.0; 21011.0; 0.0; 21011.0; 101717.0; 6.0; 21373.0; -7.0; 0.0; 12154.0; 113871.0
2020-12-31; 13589.0; 0.0; 0.0; 0.0; 0.0; 95812.0; 1027.0; 12114.0; 350.0; 3586.0; 17077.0; 112889.0; 80764.0; 21241.0; 0.0; 21241.0; 102005.0; 6.0; 19955.0; 45.0; 0.0; 10884.0; 112889.0
2020-09-30; 10089.0; 0.0; 0.0; 0.0; 0.0; 90523.0; 1121.0; 28902.0; 350.0; 3453.0; 33826.0; 124349.0; 92256.0; 21841.0; 0.0; 21841.0; 114097.0; 6.0; 19292.0; 93.0; 0.0; 10252.0; 124349.0
2020-06-30; 15167.0; 0.0; 0.0; 0.0; 0.0; 95910.0; 1115.0; 13034.0; 351.0; 3382.0; 17882.0; 113792.0; 80955.0; 23194.0; 0.0; 23194.0; 104149.0; 6.0; 18673.0; 122.0; 0.0; 9643.0; 113792.0
2020-03-31; 11211.0; 0.0; 0.0; 0.0; 0.0; 97261.0; 1070.0; 10782.0; 410.0; 3134.0; 15396.0; 112657.0; 76894.0; 26098.0; 0.0; 26098.0; 102992.0; 6.0; 19175.0; 134.0; 0.0; 9665.0; 112657.0
2019-12-31; 6964.0; 0.0; 0.0; 0.0; 0.0; 99475.0; 1057.0; 10595.0; 410.0; 2459.0; 14521.0; 113996.0; 76436.0; 25701.0; 0.0; 25701.0; 102137.0; 6.0; 21290.0; -119.0; 0.0; 11859.0; 113996.0
2019-09-30; 6112.0; 0.0; 0.0; 0.0; 0.0; 95306.0; 1028.0; 11649.0; 414.0; 2389.0; 15480.0; 110786.0; 74615.0; 24454.0; 0.0; 24454.0; 99069.0; 6.0; 20720.0; -74.0; 0.0; 11717.0; 110786.0
2019-06-30; 11353.0; 0.0; 0.0; 0.0; 0.0; 98380.0; 1008.0; 8581.0; 415.0; 2323.0; 12327.0; 110707.0; 74051.0; 25163.0; 0.0; 25163.0; 99214.0; 6.0; 20107.0; -83.0; 0.0; 11493.0; 110707.0
2019-03-31; 15213.0; 0.0; 0.0; 0.0; 0.0; 100822.0; 980.0; 6243.0; 415.0; 2260.0; 9898.0; 110720.0; 73185.0; 26276.0; 0.0; 26276.0; 99461.0; 6.0; 19484.0; -136.0; 0.0; 11259.0; 110720.0
2018-12-31; 15145.0; 0.0; 0.0; 0.0; 0.0; 102616.0; 936.0; 3370.0; 416.0; 2215.0; 6937.0; 109553.0; 71195.0; 27228.0; 0.0; 27228.0; 98423.0; 6.0; 18906.0; -156.0; 0.0; 11130.0; 109553.0
2018-09-30; 16609.0; 0.0; 0.0; 0.0; 0.0; 100576.0; 896.0; 1801.0; 417.0; 2152.0; 5266.0; 105842.0; 67828.0; 26998.0; 0.0; 26998.0; 94826.0; 6.0; 18354.0; -160.0; 0.0; 11016.0; 105842.0
2018-06-30; 15919.0; 0.0; 0.0; 0.0; 0.0; 97880.0; 874.0; 1522.0; 417.0; 2058.0; 4871.0; 102751.0; 65610.0; 26252.0; 0.0; 26252.0; 91862.0; 6.0; 17787.0; -162.0; 0.0; 10889.0; 102751.0
2018-03-31; 17098.0; 0.0; 0.0; 0.0; 0.0; 97106.0; 848.0; 1543.0; 417.0; 2053.0; 4861.0; 101967.0; 64852.0; 26244.0; 0.0; 26244.0; 91096.0; 6.0; 17211.0; -139.0; 0.0; 10871.0; 101967.0
2017-12-31; 13387.0; 0.0; 0.0; 0.0; 0.0; 95014.0; 825.0; 1568.0; 418.0; 2262.0; 5073.0; 100087.0; 62869.0; 26326.0; 0.0; 26326.0; 89195.0; 6.0; 16687.0; -152.0; 0.0; 10892.0; 100087.0
2017-09-30; 14528.0; 0.0; 0.0; 0.0; 0.0; 92440.0; 800.0; 1627.0; 418.0; 2323.0; 5168.0; 97608.0; 59684.0; 26737.0; 0.0; 26737.0; 86421.0; 6.0; 16452.0; -148.0; 0.0; 11187.0; 97608.0
