Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 920.57; 965.39; 570.54; 0.0; 485.36; 2941.86; 5000.48; 272.28; 608.69; 37666.49; 46061.16; 49003.02; 5939.92; 17853.87; 0.0; 26071.52; 32011.44; 5.31; 12153.33; -1.22; 0.0; 16991.59; 49003.02
2022-06-30; 2754.16; 1051.74; 585.76; 0.0; 448.79; 4840.44; 4470.14; 248.5; 600.08; 37416.54; 45017.34; 49857.78; 7619.61; 17864.82; 0.0; 25688.71; 33308.32; 5.3; 11741.1; 0.2; 0.0; 16549.46; 49857.78
2022-03-31; 3235.25; 1089.46; 536.89; 0.0; 433.72; 5295.32; 3866.05; 246.1; 635.63; 37186.09; 43906.33; 49201.65; 8047.59; 17852.18; 0.0; 25173.68; 33221.27; 5.29; 11218.27; 0.06; 0.0; 15980.38; 49201.65
2021-12-31; 5403.71; 942.56; 534.94; 0.0; 641.98; 7523.18; 3257.79; 5485.71; 674.68; 29566.96; 40478.54; 48001.73; 6515.89; 19355.21; 0.0; 25957.95; 32473.84; 5.29; 10785.62; 0.28; 0.0; 15527.89; 48001.73
2021-09-30; 5247.82; 1002.05; 470.83; 0.0; 557.84; 7278.54; 2733.8; 260.07; 706.55; 29382.14; 33935.7; 41214.24; 6309.34; 14138.06; 0.0; 19949.04; 26258.38; 5.29; 10233.29; 1.2; 0.0; 14955.85; 41214.24
2021-06-30; 4829.29; 977.28; 385.4; 0.0; 412.67; 6604.64; 2376.04; 400.3; 743.22; 29205.81; 33018.94; 39623.58; 4036.63; 16163.61; 0.0; 21233.26; 25269.89; 5.28; 9676.25; 0.76; 0.0; 14353.69; 39623.58
2021-03-31; 4573.15; 1087.13; 375.08; 0.0; 480.55; 6515.91; 2180.27; 261.02; 715.64; 29030.06; 32297.23; 38813.14; 5814.04; 14682.9; 0.0; 19336.18; 25150.21; 5.27; 9005.2; 0.48; 0.0; 13662.92; 38813.14
2020-12-31; 3733.05; 1104.2; 380.35; 0.0; 1804.56; 7022.16; 2182.33; 258.07; 760.13; 27912.98; 31217.79; 38239.95; 6084.75; 13616.41; 0.0; 18374.56; 24459.3; 5.26; 8374.98; -0.85; 0.0; 13780.64; 38239.95
2020-09-30; 2795.17; 1143.5; 516.22; 0.0; 550.59; 5005.47; 2226.42; 256.63; 802.29; 27696.7; 31094.97; 36100.44; 6530.13; 11989.76; 0.0; 16878.79; 23408.93; 5.26; 7642.34; -1.58; 0.0; 12691.51; 36100.44
2020-06-30; 2630.02; 531.83; 315.37; 0.0; 631.36; 4108.57; 2271.43; 209.21; 0.0; 26794.41; 29388.9; 33497.47; 5780.21; 10985.85; 0.0; 15557.73; 21337.93; 5.25; 7137.74; -2.66; 0.0; 12159.54; 33497.47
