Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 176.97; 861.12; 0.0; 0.0; 0.0; 1038.09; 22306.54; 0.0; 8728.1; 5332.9; 36923.74; 39215.22; 1621.41; 15758.51; 341.55; 18675.08; 21660.2; 2.85; -4336.2; -862.8; 0.0; 17555.02; 39215.22
2022-06-30; 99.23; 797.21; 0.0; 0.0; 0.0; 896.43; 20800.39; 0.0; 7545.11; 4849.14; 33748.65; 35956.06; 1619.22; 14294.31; 341.14; 15288.08; 18325.84; 2.82; -4211.69; -475.56; 0.0; 17630.22; 35956.06
2022-03-31; 157.96; 774.58; 0.0; 0.0; 0.0; 932.54; 20932.96; 0.0; 7802.44; 5104.99; 34386.06; 36680.54; 1572.36; 14388.22; 346.91; 15426.97; 18471.84; 2.82; -3916.85; -188.84; 0.0; 18208.71; 36680.54
2021-12-31; 142.7; 671.72; 0.0; 0.0; 0.0; 814.42; 20762.24; 0.0; 7937.44; 4902.63; 34149.7; 36369.56; 1882.35; 13448.21; 336.58; 14498.23; 17892.77; 2.82; -3631.93; -173.88; 0.0; 18476.79; 36369.56
2021-09-30; 116.0; 610.42; 0.0; 0.0; 0.0; 726.42; 20581.99; 0.0; 8062.91; 4480.81; 33678.57; 35847.64; 1341.86; 14087.54; 341.78; 15196.19; 18081.29; 2.82; -4359.03; -111.56; 0.0; 17766.36; 35847.64
2021-06-30; 120.48; 630.09; 0.0; 0.0; 0.0; 750.57; 20782.35; 0.0; 8185.93; 4440.36; 33948.02; 36151.22; 1367.24; 13927.82; 362.61; 15074.04; 17986.97; 2.81; -4153.41; 31.73; 0.0; 18164.25; 36151.22
2021-03-31; 221.14; 657.1; 0.0; 0.0; 0.0; 878.24; 20210.8; 0.0; 8125.71; 4307.68; 33168.39; 35542.49; 1305.92; 13256.84; 362.01; 14309.49; 17197.17; 2.79; -3952.5; -77.78; 0.0; 18345.32; 35542.49
2020-12-31; 108.5; 603.11; 0.0; 0.0; 0.0; 711.61; 20582.95; 0.0; 8331.0; 4535.59; 33977.72; 36076.29; 1744.55; 13304.72; 371.66; 14416.69; 17629.96; 2.79; -3997.94; 135.01; 0.0; 18446.34; 36076.29
2020-09-30; 971.3; 585.51; 0.0; 0.0; 0.0; 1556.81; 19402.54; 0.0; 8012.26; 4589.82; 32515.24; 35435.33; 2187.6; 12874.76; 489.17; 13405.19; 17036.85; 2.78; -3726.9; -123.62; 0.0; 18398.49; 35435.33
2020-06-30; 505.17; 542.75; 0.0; 0.0; 0.0; 1047.92; 18587.27; 0.0; 7791.52; 1435.67; 31439.29; 33862.64; 1828.29; 12371.62; 488.34; 12900.55; 16179.99; 2.67; -3386.53; -358.35; 0.0; 17682.65; 33862.64
