Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 2216.0; 8530.0; 7571.0; 0.0; 1460.0; 19777.0; 20032.0; 4517.0; 11007.0; 0.0; 39780.0; 59557.0; 12315.0; 12921.0; 7423.0; 28613.0; 40928.0; 8.0; 23068.0; -9582.0; 0.0; 18629.0; 59557.0
2022-06-30; 2367.0; 9717.0; 8225.0; 0.0; 1460.0; 21769.0; 20160.0; 4644.0; 11221.0; 0.0; 40374.0; 62143.0; 13309.0; 13065.0; 7533.0; 29327.0; 42636.0; 8.0; 22827.0; -9204.0; 0.0; 19507.0; 62143.0
2022-03-31; 3143.0; 9959.0; 7760.0; 0.0; 1303.0; 22165.0; 20347.0; 4888.0; 11477.0; 0.0; 41170.0; 63335.0; 13054.0; 14108.0; 7682.0; 30856.0; 43910.0; 8.0; 21672.0; -8796.0; 0.0; 19425.0; 63335.0
2021-12-31; 2988.0; 9554.0; 7372.0; 0.0; 934.0; 20848.0; 20555.0; 5238.0; 11645.0; 0.0; 42142.0; 62990.0; 13226.0; 14280.0; 7533.0; 31025.0; 44251.0; 8.0; 20623.0; -8977.0; 0.0; 18739.0; 62990.0
2021-09-30; 2911.0; 9409.0; 7111.0; 0.0; 962.0; 20393.0; 19648.0; 4963.0; 11763.0; 0.0; 41356.0; 61749.0; 12793.0; 14027.0; 7386.0; 31928.0; 44721.0; 8.0; 19357.0; -9665.0; 0.0; 17028.0; 61749.0
2021-06-30; 3491.0; 9106.0; 6952.0; 0.0; 803.0; 20352.0; 19864.0; 4518.0; 11926.0; 0.0; 41416.0; 61768.0; 12308.0; 15093.0; 7403.0; 33307.0; 45615.0; 8.0; 18200.0; -9676.0; 0.0; 16153.0; 61768.0
2021-03-31; 4133.0; 8265.0; 6157.0; 0.0; 608.0; 19163.0; 19897.0; 4056.0; 12018.0; 0.0; 41274.0; 60437.0; 11354.0; 16200.0; 7326.0; 34520.0; 45874.0; 8.0; 16829.0; -9913.0; 0.0; 14563.0; 60437.0
2020-12-31; 5104.0; 7390.0; 5701.0; 0.0; 889.0; 19084.0; 20239.0; 4102.0; 12260.0; 0.0; 42386.0; 61470.0; 11108.0; 16491.0; 7292.0; 37357.0; 48465.0; 8.0; 16361.0; -10855.0; 0.0; 13005.0; 61470.0
2020-09-30; 4549.0; 7072.0; 5609.0; 0.0; 559.0; 17789.0; 20413.0; 3464.0; 12296.0; 0.0; 42156.0; 59945.0; 10207.0; 16698.0; 8524.0; 36806.0; 47013.0; 8.0; 15472.0; -9941.0; 0.0; 12932.0; 59945.0
2020-06-30; 3726.0; 6881.0; 5784.0; 0.0; 606.0; 16997.0; 20618.0; 3482.0; 12333.0; 0.0; 42279.0; 59276.0; 9786.0; 16288.0; 8442.0; 36393.0; 46179.0; 8.0; 16017.0; -10225.0; 0.0; 13097.0; 59276.0
2020-03-31; 3634.0; 7611.0; 6324.0; 0.0; 569.0; 18138.0; 20806.0; 3371.0; 12416.0; 0.0; 42548.0; 60686.0; 11121.0; 16313.0; 7985.0; 36104.0; 47225.0; 8.0; 16763.0; -10529.0; 0.0; 13461.0; 60686.0
2019-12-31; 2367.0; 7555.0; 6214.0; 0.0; 679.0; 16815.0; 20996.0; 3992.0; 12555.0; 0.0; 43709.0; 60524.0; 10679.0; 15975.0; 7607.0; 35751.0; 46430.0; 8.0; 17045.0; -10246.0; 0.0; 14094.0; 60524.0
2019-09-30; 2834.0; 8808.0; 6416.0; 0.0; 891.0; 18949.0; 21003.0; 5744.0; 13644.0; 0.0; 45988.0; 64937.0; 11201.0; 17213.0; 7975.0; 35750.0; 46951.0; 7.0; 19873.0; -9219.0; 0.0; 17986.0; 64937.0
2019-06-30; 2466.0; 8569.0; 6841.0; 0.0; 761.0; 18637.0; 21250.0; 5526.0; 13848.0; 0.0; 46252.0; 64889.0; 11605.0; 17155.0; 6676.0; 34784.0; 46389.0; 7.0; 20110.0; -8988.0; 0.0; 18500.0; 64889.0
2019-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2017-12-31; 6192.0; 12049.0; 8376.0; 0.0; 627.0; 27244.0; 60426.0; 6252.0; 19487.0; 594.0; 89310.0; 79940.0; 14377.0; 19765.0; 18025.0; 38554.0; 52931.0; 0.0; 28050.0; 0.0; -7594.0; 27009.0; 79940.0
2016-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
