Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 2371.9; 564.1; 311.0; 151.5; 0.0; 3398.5; 1002.5; 0.0; 49.1; 33.7; 1500.7; 4899.2; 900.5; 1968.8; 123.3; 2174.2; 3074.7; 0.4; 388.1; -41.1; 0.0; 1824.5; 4899.2
2022-06-30; 2754.8; 560.8; 339.5; 153.6; 0.0; 3808.7; 942.9; 0.0; 53.6; 24.8; 1408.7; 5217.4; 807.0; 1967.3; 99.5; 2154.5; 2961.5; 0.4; 286.9; -23.0; 0.0; 2255.9; 5217.4
2022-03-31; 2688.2; 544.5; 342.2; 171.7; 0.0; 3746.6; 856.5; 0.0; 58.0; 22.8; 1310.4; 5057.0; 711.4; 1965.9; 97.1; 2156.3; 2867.7; 0.1; 236.0; -6.1; 0.0; 2189.3; 5057.0
2021-12-31; 2731.2; 514.3; 357.3; 81.6; 0.0; 3684.4; 801.8; 0.0; 58.0; 10.5; 1248.9; 4933.3; 720.8; 1981.8; 90.0; 2170.4; 2891.2; 0.4; 138.7; 0.5; 0.0; 2042.1; 4933.3
2021-09-30; 2697.9; 529.1; 351.3; 77.9; 0.0; 3656.2; 742.2; 0.0; 23.9; 46.0; 1119.7; 4775.9; 734.9; 1703.5; 98.5; 1904.9; 2639.8; 0.1; -28.0; 1.4; 0.0; 2136.1; 4775.9
2021-06-30; 2584.9; 483.5; 319.3; 86.5; 0.0; 3474.2; 676.0; 0.0; 19.1; 23.3; 1029.6; 4503.8; 600.7; 1710.7; 87.7; 1905.5; 2506.2; 0.1; -98.9; 2.8; 0.0; 1997.6; 4503.8
2021-03-31; 2632.6; 443.4; 289.7; 79.4; 0.0; 3445.1; 589.9; 0.0; 18.9; 20.4; 944.7; 4389.8; 604.1; 1688.8; 82.4; 1882.5; 2486.6; 0.1; -161.8; 2.9; 0.0; 1903.2; 4389.8
2020-12-31; 2707.7; 428.5; 234.7; 53.9; 0.0; 3424.8; 515.3; 0.0; 40.7; 0.0; 865.7; 4290.5; 614.1; 1667.2; 80.9; 1849.9; 2464.0; 0.1; -202.1; 3.2; 0.0; 1826.5; 4290.5
2020-09-30; 2603.8; 370.0; 200.7; 62.6; 0.0; 3237.1; 461.8; 0.0; 19.0; 21.0; 596.1; 3833.2; 506.4; 1645.8; 78.5; 1827.5; 2333.9; 0.1; -557.3; 2.8; 0.0; 1499.3; 3833.2
2020-06-30; 2508.8; 296.5; 165.3; 62.4; 0.0; 3033.0; 384.3; 0.0; 18.7; 14.2; 488.8; 3521.8; 400.1; 1658.8; 35.3; 1767.8; 2167.9; 0.1; -629.5; 3.5; 0.0; 1353.9; 3521.8
2020-03-31; 1510.5; 300.7; 141.9; 42.6; 0.0; 1995.7; 346.1; 0.0; 18.6; 13.7; 452.2; 2447.9; 342.8; 1072.4; 20.9; 1170.6; 1513.4; 0.1; -675.8; 3.7; 0.0; 934.5; 2447.9
2019-12-31; 1533.3; 286.3; 119.8; 30.0; 0.0; 1969.4; 321.3; 0.0; 18.6; 14.2; 425.6; 2395.0; 360.2; 1059.7; 20.1; 1152.2; 1512.4; 0.1; -695.7; 2.3; 0.0; 882.6; 2395.0
2019-09-30; 1429.9; 234.9; 120.4; 30.5; 0.0; 1815.7; 301.0; 0.0; 18.4; 16.0; 370.0; 2185.7; 322.4; 1047.1; 17.6; 1099.0; 1421.4; 0.1; -788.4; 1.0; 0.0; 764.3; 2185.7
2019-06-30; 1377.5; 217.3; 117.9; 31.5; 0.0; 1744.2; 253.2; 0.0; 18.7; 14.0; 321.7; 2065.9; 288.2; 1034.7; 17.5; 1089.4; 1377.6; 0.1; -834.2; 2.0; 0.0; 688.3; 2065.9
