Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 241.7; 845.0; 0.0; 141.2; 67.0; 1294.9; 1487.0; 0.0; 8256.5; 269.6; 10013.1; 11308.0; 2018.7; 4819.2; 170.8; 5513.7; 7532.4; 236.6; 5195.8; -596.2; -5.9; 3775.6; 11308.0
2022-06-30; 223.6; 892.9; 0.0; 153.9; 82.9; 1353.3; 1433.9; 0.0; 8161.0; 273.0; 9867.9; 11221.2; 2633.2; 4073.5; 176.8; 4767.0; 7400.2; 236.6; 5078.1; -414.4; -5.9; 3821.0; 11221.2
2022-03-31; 200.9; 856.8; 0.0; 147.7; 58.8; 1264.2; 1383.3; 0.0; 8380.9; 363.3; 10127.5; 11391.7; 2343.4; 4471.9; 188.8; 5197.2; 7540.6; 236.6; 4925.5; -217.7; -5.9; 3851.1; 11391.7
2021-12-31; 224.7; 727.6; 0.0; 108.4; 60.2; 1120.9; 1315.9; 0.0; 8251.0; 353.1; 9920.0; 11040.9; 2291.3; 4470.1; 190.0; 5148.4; 7439.7; 236.6; 4751.6; -295.4; -5.9; 3601.2; 11040.9
2021-09-30; 2025.5; 694.6; 0.0; 120.5; 49.7; 2890.3; 1252.9; 0.0; 6535.8; 404.3; 8193.0; 11083.3; 1886.9; 4969.4; 185.0; 5641.3; 7528.2; 236.6; 4677.4; -255.7; -5.9; 3555.1; 11083.3
2021-06-30; 458.1; 694.0; 0.0; 129.7; 47.7; 1329.5; 1215.6; 0.0; 6402.2; 393.0; 8010.8; 9340.3; 1875.2; 3280.9; 184.9; 3966.5; 5841.7; 236.6; 4505.7; -156.8; -5.9; 3498.6; 9340.3
2021-03-31; 765.9; 708.8; 0.0; 138.8; 51.5; 1665.0; 1174.8; 0.0; 6450.0; 379.6; 8004.4; 9669.4; 2341.7; 3279.1; 184.3; 3970.7; 6312.4; 236.6; 4342.0; -161.3; -5.9; 3357.0; 9669.4
2020-12-31; 1684.6; 630.6; 0.0; 104.1; 59.0; 2478.3; 1139.4; 0.0; 5588.5; 405.6; 7133.5; 9611.8; 2483.1; 3277.3; 178.1; 3918.4; 6401.5; 236.6; 4185.4; -171.4; -5.9; 3210.3; 9611.8
2020-09-30; 1535.6; 605.9; 0.0; 123.3; 46.8; 2311.6; 1070.6; 0.0; 5462.2; 405.4; 6938.2; 9249.8; 2391.0; 3275.3; 170.7; 3892.0; 6283.0; 236.6; 4423.1; -628.5; -5.9; 2966.8; 9249.8
2020-06-30; 1347.4; 592.5; 0.0; 121.1; 43.9; 2104.9; 1017.2; 0.0; 5430.4; 280.3; 6727.9; 8832.8; 1656.4; 3872.1; 171.5; 4442.1; 6098.5; 236.6; 4248.0; -681.7; -5.9; 2734.3; 8832.8
2020-03-31; 369.9; 605.5; 0.0; 119.9; 53.7; 1149.0; 962.1; 0.0; 5252.7; 259.0; 6473.8; 7622.8; 1143.8; 3505.1; 166.4; 4049.2; 5193.0; 236.6; 4196.9; -918.9; -5.9; 2429.8; 7622.8
2019-12-31; 401.3; 532.1; 0.0; 88.1; 187.9; 1209.4; 947.6; 0.0; 5447.8; 304.2; 6699.6; 7909.0; 1359.1; 3379.5; 180.6; 3927.0; 5286.1; 236.6; 3854.6; -354.4; -5.9; 2622.9; 7909.0
2019-09-30; 167.5; 516.6; 0.0; 92.7; 76.2; 853.0; 904.5; 0.0; 5374.1; 299.1; 6577.7; 7430.7; 1491.8; 2834.7; 164.2; 3379.8; 4871.6; 236.6; 4170.4; -717.5; -5.9; 2559.1; 7430.7
2019-06-30; 135.8; 502.6; 0.0; 97.9; 77.5; 813.8; 872.5; 0.0; 5481.5; 305.7; 6659.7; 7473.5; 1497.9; 2833.3; 170.1; 3387.7; 4885.6; 236.6; 4135.5; -640.0; -5.9; 2587.9; 7473.5
2019-03-31; 133.2; 514.0; 0.0; 107.0; 110.5; 864.7; 818.1; 0.0; 5348.6; 304.3; 6471.0; 7335.7; 1523.0; 2656.9; 178.8; 3201.8; 4724.8; 236.6; 4115.4; -585.9; -5.9; 2610.9; 7335.7
2018-12-31; 223.6; 469.1; 0.0; 100.0; 109.6; 902.3; 764.8; 0.0; 5323.7; 162.4; 6250.9; 7153.2; 826.8; 2630.6; 84.6; 3170.7; 3997.5; 236.6; 4717.8; -626.3; -5.9; 3155.7; 7153.2
2018-09-30; 253.4; 467.9; 0.0; 90.6; 75.6; 887.5; 695.2; 0.0; 5390.5; 160.8; 6246.5; 7134.0; 744.2; 2629.4; 84.6; 3148.3; 3892.5; 236.6; 4740.1; -561.4; -5.9; 3241.5; 7134.0
2018-06-30; 327.4; 473.5; 0.0; 87.7; 60.2; 948.8; 636.5; 0.0; 5385.6; 146.0; 6168.1; 7116.9; 677.6; 2628.4; 84.4; 3159.6; 3837.2; 236.6; 4748.3; -522.0; -5.9; 3279.7; 7116.9
