Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 232.0; 2259.0; 439.0; 278.0; 3233.0; 6441.0; 52599.0; 77.0; 0.0; 4186.0; 68738.0; 76709.0; 10820.0; 25145.0; 16026.0; 48596.0; 59416.0; 6167.0; 7295.0; -47.0; 0.0; 17293.0; 76709.0
2022-06-30; 122.0; 1547.0; 438.0; 50.0; 3496.0; 5653.0; 51695.0; 58.0; 0.0; 3974.0; 67641.0; 75045.0; 9262.0; 25143.0; 15461.0; 48108.0; 57370.0; 6129.0; 7716.0; -48.0; 0.0; 17675.0; 75045.0
2022-03-31; 231.0; 1312.0; 434.0; 258.0; 3038.0; 5273.0; 51000.0; 54.0; 0.0; 3943.0; 67598.0; 74720.0; 8342.0; 24967.0; 16256.0; 48746.0; 57088.0; 6090.0; 7716.0; -52.0; 0.0; 17632.0; 74720.0
2021-12-31; 390.0; 1398.0; 420.0; 258.0; 3025.0; 5491.0; 50700.0; 51.0; 0.0; 3919.0; 67322.0; 74745.0; 8609.0; 24170.0; 16591.0; 48347.0; 56956.0; 6071.0; 7894.0; -54.0; 0.0; 17789.0; 74745.0
2021-09-30; 524.0; 1612.0; 412.0; 327.0; 3153.0; 6028.0; 49754.0; 48.0; 0.0; 3400.0; 65463.0; 73023.0; 8962.0; 23342.0; 16745.0; 47319.0; 56281.0; 6033.0; 7636.0; -63.0; 0.0; 16742.0; 73023.0
2021-06-30; 84.0; 1314.0; 406.0; 57.0; 3060.0; 4921.0; 48983.0; 79.0; 0.0; 3430.0; 65188.0; 71162.0; 7815.0; 22891.0; 16155.0; 46034.0; 53849.0; 6013.0; 8229.0; -65.0; 0.0; 17313.0; 71162.0
2021-03-31; 389.0; 1696.0; 416.0; 163.0; 2664.0; 5328.0; 48284.0; 59.0; 0.0; 3457.0; 64106.0; 70505.0; 9497.0; 20165.0; 16736.0; 43785.0; 53282.0; 5989.0; 8163.0; -67.0; 0.0; 17223.0; 70505.0
2020-12-31; 87.0; 1838.0; 405.0; 281.0; 2450.0; 5061.0; 47839.0; 53.0; 0.0; 3378.0; 63223.0; 69372.0; 10277.0; 19632.0; 16710.0; 43146.0; 53423.0; 5962.0; 8155.0; -69.0; 0.0; 15949.0; 69372.0
2020-09-30; 92.0; 2314.0; 387.0; 338.0; 2724.0; 5855.0; 46470.0; 85.0; 0.0; 3938.0; 61589.0; 68556.0; 8616.0; 18958.0; 18629.0; 44291.0; 52907.0; 5930.0; 7881.0; -63.0; 0.0; 15649.0; 68556.0
2020-06-30; 524.0; 1044.0; 382.0; 49.0; 2797.0; 4796.0; 45553.0; 84.0; 0.0; 4852.0; 61583.0; 67051.0; 5899.0; 19238.0; 18910.0; 44706.0; 50605.0; 5908.0; 8410.0; -65.0; 0.0; 16446.0; 67051.0
2020-03-31; 1337.0; 926.0; 363.0; 158.0; 2127.0; 4911.0; 44820.0; 74.0; 0.0; 4977.0; 60432.0; 66026.0; 6248.0; 19125.0; 18663.0; 44234.0; 50482.0; 5085.0; 8333.0; -67.0; 0.0; 15544.0; 66026.0
2019-12-31; 68.0; 906.0; 364.0; 214.0; 2008.0; 3560.0; 44285.0; 64.0; 0.0; 5130.0; 60129.0; 64382.0; 5523.0; 17864.0; 19134.0; 43363.0; 48886.0; 4990.0; 8382.0; -69.0; 0.0; 15496.0; 64382.0
2019-09-30; 547.0; 1226.0; 348.0; 293.0; 2248.0; 4662.0; 43235.0; 89.0; 0.0; 5311.0; 58845.0; 64212.0; 6003.0; 17066.0; 19291.0; 42856.0; 48859.0; 4746.0; 8469.0; -55.0; 0.0; 15353.0; 64212.0
2019-06-30; 257.0; 922.0; 331.0; 407.0; 2019.0; 3936.0; 42414.0; 83.0; 0.0; 2456.0; 54843.0; 59521.0; 5665.0; 15883.0; 18706.0; 40943.0; 46608.0; 2555.0; 8222.0; -57.0; 0.0; 12913.0; 59521.0
2019-03-31; 328.0; 908.0; 312.0; 465.0; 1986.0; 3999.0; 41764.0; 76.0; 0.0; 2462.0; 53861.0; 58793.0; 5375.0; 15683.0; 18686.0; 40699.0; 46074.0; 2550.0; 8034.0; -58.0; 0.0; 12719.0; 58793.0
2018-12-31; 144.0; 921.0; 282.0; 148.0; 1864.0; 3359.0; 41348.0; 63.0; 0.0; 2445.0; 53356.0; 56715.0; 5395.0; 14632.0; 18591.0; 38668.0; 44063.0; 2545.0; 7964.0; -50.0; 0.0; 12652.0; 56715.0
2018-09-30; 71.0; 1211.0; 261.0; 188.0; 1652.0; 3383.0; 40412.0; 59.0; 0.0; 333.0; 50180.0; 53563.0; 4719.0; 14629.0; 13986.0; 34555.0; 39274.0; 2541.0; 9597.0; -42.0; 0.0; 14289.0; 53563.0
2018-06-30; 99.0; 954.0; 252.0; 247.0; 1705.0; 3257.0; 39831.0; 84.0; 0.0; 332.0; 49563.0; 52820.0; 4922.0; 13845.0; 14401.0; 33926.0; 38848.0; 2537.0; 9286.0; -44.0; 0.0; 13972.0; 52820.0
2018-03-31; 105.0; 760.0; 247.0; 164.0; 1716.0; 2992.0; 39235.0; 81.0; 0.0; 369.0; 48951.0; 51943.0; 4647.0; 13367.0; 14446.0; 33407.0; 38054.0; 2531.0; 9211.0; -46.0; 0.0; 13889.0; 51943.0
