Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 35901.0; 14206.0; 0.0; 0.0; 5496.0; 55603.0; 4197.0; 622.0; 34917.0; 7687.0; 47423.0; 103026.0; 41287.0; 21258.0; 1788.0; 25696.0; 66983.0; 2.0; 29604.0; -2784.0; 0.0; 36043.0; 103026.0
2022-06-30; 33793.0; 14201.0; 0.0; 0.0; 5661.0; 53655.0; 4090.0; 6001.0; 35129.0; 2002.0; 47222.0; 100877.0; 39308.0; 21165.0; 1694.0; 25702.0; 65010.0; 2.0; 28825.0; -2149.0; 0.0; 35867.0; 100877.0
2022-03-31; 34042.0; 14662.0; 0.0; 0.0; 5193.0; 53897.0; 3986.0; 5961.0; 34839.0; 1803.0; 46589.0; 100486.0; 39733.0; 19883.0; 1679.0; 24722.0; 64455.0; 2.0; 28058.0; -1236.0; 0.0; 36031.0; 100486.0
2021-12-31; 33028.0; 13440.0; 0.0; 0.0; 4654.0; 51122.0; 3919.0; 632.0; 34843.0; 6944.0; 46338.0; 97460.0; 34885.0; 21157.0; 1683.0; 26447.0; 61332.0; 2.0; 27088.0; -178.0; 0.0; 36128.0; 97460.0
2021-09-30; 33957.0; 12807.0; 0.0; 0.0; 5140.0; 51904.0; 3835.0; 5584.0; 34933.0; 1804.0; 46156.0; 98060.0; 35162.0; 21761.0; 1912.0; 27090.0; 62252.0; 2.0; 26700.0; -103.0; 0.0; 35808.0; 98060.0
2021-06-30; 32852.0; 12685.0; 0.0; 0.0; 4701.0; 50238.0; 3733.0; 5498.0; 34939.0; 1689.0; 45859.0; 96097.0; 33794.0; 22217.0; 1869.0; 27257.0; 61051.0; 2.0; 25874.0; -17.0; 0.0; 35046.0; 96097.0
2021-03-31; 37511.0; 12291.0; 0.0; 0.0; 4693.0; 54495.0; 3533.0; 5032.0; 31060.0; 1563.0; 41188.0; 95683.0; 34749.0; 22534.0; 1745.0; 27016.0; 61765.0; 2.0; 24793.0; -195.0; 0.0; 33918.0; 95683.0
2020-12-31; 30733.0; 10958.0; 0.0; 0.0; 4060.0; 45751.0; 3483.0; 4847.0; 31096.0; 1438.0; 40864.0; 86615.0; 29453.0; 19335.0; 1815.0; 23963.0; 53416.0; 3.0; 23802.0; 150.0; 0.0; 33199.0; 86615.0
2020-09-30; 29766.0; 11537.0; 0.0; 0.0; 4147.0; 45450.0; 3363.0; 4728.0; 31184.0; 1849.0; 41124.0; 86574.0; 28561.0; 19094.0; 1839.0; 24092.0; 52653.0; 3.0; 24678.0; -112.0; 0.0; 33921.0; 86574.0
2020-06-30; 31516.0; 10988.0; 0.0; 0.0; 4260.0; 46764.0; 3427.0; 4617.0; 31218.0; 1950.0; 41212.0; 87976.0; 28522.0; 19873.0; 1853.0; 24999.0; 53521.0; 3.0; 25346.0; -254.0; 0.0; 34455.0; 87976.0
