Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1547.82; 917.14; 0.0; 63.03; 0.0; 2527.99; 209.7; 0.0; 584.76; 50.72; 1207.62; 3735.6; 727.96; 28.2; 98.1; 249.0; 976.96; 0.06; 2093.91; -138.63; 0.0; 2758.64; 3735.6
2022-06-30; 1353.62; 929.22; 0.0; 76.84; 0.0; 2359.68; 211.12; 0.0; 610.3; 50.34; 1204.29; 3563.96; 684.7; 30.22; 94.14; 255.25; 939.96; 0.06; 1937.86; -76.36; 0.0; 2624.01; 3563.96
2022-03-31; 1276.46; 901.26; 0.0; 89.03; 0.0; 2266.75; 219.64; 0.0; 631.71; 52.66; 1240.82; 3507.57; 683.25; 30.55; 99.2; 270.56; 953.81; 0.06; 1919.25; -86.15; 0.0; 2553.76; 3507.57
2021-12-31; 1446.62; 768.93; 0.0; 53.93; 0.0; 2269.48; 236.21; 0.0; 631.87; 56.9; 1253.75; 3523.23; 763.42; 30.23; 90.93; 263.97; 1027.39; 0.06; 1829.53; -54.21; 0.0; 2495.84; 3523.23
2021-09-30; 1266.61; 755.59; 0.0; 69.99; 0.0; 2092.19; 176.88; 0.0; 461.08; 215.39; 1150.04; 3242.23; 632.55; 25.02; 95.99; 270.57; 903.11; 0.06; 1687.25; -41.9; 0.0; 2339.12; 3242.23
2021-06-30; 1283.23; 682.24; 0.0; 72.55; 0.0; 2038.02; 173.54; 0.0; 400.61; 56.76; 923.6; 2961.61; 522.95; 0.03; 73.98; 226.0; 748.95; 0.06; 1571.6; -29.07; 0.0; 2212.67; 2961.61
2021-03-31; 1372.83; 585.04; 0.0; 46.85; 0.0; 2004.72; 164.75; 0.0; 259.43; 54.11; 775.82; 2780.54; 463.76; 25.03; 65.8; 252.84; 716.6; 0.06; 1456.93; -40.75; 0.0; 2063.94; 2780.54
2020-12-31; 1382.15; 501.06; 0.0; 29.57; 0.0; 1912.78; 169.53; 0.0; 263.93; 53.96; 808.55; 2721.33; 465.95; 25.04; 66.72; 272.36; 738.31; 0.06; 1347.88; -25.51; 0.0; 1983.02; 2721.33
2020-09-30; 1221.15; 493.23; 0.0; 37.84; 0.0; 1752.22; 163.69; 0.0; 262.08; 54.58; 803.2; 2555.43; 414.83; 25.04; 71.39; 280.36; 695.19; 0.06; 1262.34; -50.67; 0.0; 1860.23; 2555.43
2020-06-30; 1053.75; 506.91; 0.0; 37.68; 0.0; 1598.34; 167.36; 0.0; 254.93; 55.65; 790.79; 2389.13; 365.58; 25.04; 63.71; 270.46; 636.04; 0.06; 1172.91; -50.37; 0.0; 1753.09; 2389.13
2020-03-31; 916.25; 542.7; 0.0; 48.79; 0.0; 1507.74; 164.67; 0.0; 257.21; 59.55; 804.14; 2311.88; 389.32; 25.05; 60.72; 275.08; 664.4; 0.06; 1106.29; -69.26; 0.0; 1647.48; 2311.88
