Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 6415.0; 2056.0; 0.0; 799.0; 0.0; 9270.0; 2169.0; 1122.0; 8332.0; 0.0; 12609.0; 21879.0; 11119.0; 6237.0; 445.0; 7047.0; 18166.0; 0.0; -1586.0; -317.0; 0.0; 3713.0; 21879.0
2022-06-30; 8350.0; 2278.0; 0.0; 1158.0; 0.0; 11786.0; 2163.0; 1151.0; 8441.0; 0.0; 12958.0; 24744.0; 13837.0; 6727.0; 420.0; 7526.0; 21363.0; 0.0; -2068.0; -240.0; 0.0; 3381.0; 24744.0
2022-03-31; 8135.0; 1829.0; 0.0; 1183.0; 0.0; 11147.0; 2169.0; 1468.0; 8534.0; 0.0; 13430.0; 24577.0; 12469.0; 7719.0; 414.0; 8541.0; 21010.0; 0.0; -1883.0; -161.0; 0.0; 3567.0; 24577.0
2021-12-31; 6005.0; 1349.0; 0.0; 827.0; 0.0; 8181.0; 2180.0; 1450.0; 8564.0; 0.0; 13367.0; 21548.0; 9450.0; 7715.0; 413.0; 8546.0; 17996.0; 0.0; -1761.0; -149.0; 0.0; 3552.0; 21548.0
2021-09-30; 6618.0; 1587.0; 0.0; 838.0; 0.0; 9043.0; 2264.0; 655.0; 8743.0; 0.0; 12901.0; 21944.0; 9751.0; 7712.0; 438.0; 8591.0; 18342.0; 0.0; -2147.0; -221.0; 0.0; 3602.0; 21944.0
2021-06-30; 8016.0; 1839.0; 0.0; 1258.0; 0.0; 11113.0; 2261.0; 663.0; 8827.0; 0.0; 13068.0; 24181.0; 11713.0; 8480.0; 465.0; 9375.0; 21088.0; 0.0; -2531.0; -186.0; 0.0; 3093.0; 24181.0
2021-03-31; 6286.0; 1399.0; 0.0; 1151.0; 0.0; 8836.0; 2241.0; 667.0; 8842.0; 0.0; 13030.0; 21866.0; 8774.0; 8464.0; 456.0; 9382.0; 18156.0; 0.0; -2359.0; -199.0; 0.0; 3710.0; 21866.0
2020-12-31; 4159.0; 821.0; 0.0; 654.0; 0.0; 5634.0; 2257.0; 671.0; 8895.0; 0.0; 13056.0; 18690.0; 5406.0; 8216.0; 462.0; 9258.0; 14664.0; 0.0; -1781.0; -178.0; 0.0; 4026.0; 18690.0
2020-09-30; 5101.0; 949.0; 0.0; 685.0; 0.0; 6735.0; 2303.0; 606.0; 8880.0; 0.0; 12944.0; 19679.0; 5636.0; 8826.0; 456.0; 9909.0; 15545.0; 0.0; -1398.0; -239.0; 0.0; 4134.0; 19679.0
2020-06-30; 6786.0; 1109.0; 0.0; 1049.0; 0.0; 8944.0; 2305.0; 618.0; 8930.0; 0.0; 12961.0; 21905.0; 7872.0; 8803.0; 388.0; 9808.0; 17680.0; 0.0; -1206.0; -273.0; 0.0; 4225.0; 21905.0
2020-03-31; 4912.0; 1497.0; 0.0; 1243.0; 0.0; 7652.0; 2297.0; 610.0; 8972.0; 0.0; 12765.0; 20417.0; 9608.0; 6080.0; 383.0; 7068.0; 16676.0; 0.0; -470.0; -301.0; 0.0; 3741.0; 20417.0
2019-12-31; 4620.0; 2594.0; 0.0; 521.0; 0.0; 7735.0; 2198.0; 796.0; 9931.0; 0.0; 13681.0; 21416.0; 10714.0; 4189.0; 389.0; 5166.0; 15880.0; 0.0; 879.0; -217.0; 0.0; 5536.0; 21416.0
2019-09-30; 4902.0; 2746.0; 0.0; 321.0; 0.0; 7969.0; 2090.0; 770.0; 9947.0; 0.0; 13412.0; 21381.0; 10582.0; 4170.0; 354.0; 5060.0; 15642.0; 0.0; 850.0; -258.0; 0.0; 5739.0; 21381.0
2019-06-30; 5508.0; 3021.0; 0.0; 295.0; 0.0; 8824.0; 1953.0; 815.0; 10005.0; 0.0; 13377.0; 22201.0; 11676.0; 3715.0; 343.0; 4618.0; 16294.0; 0.0; 508.0; -216.0; 0.0; 5907.0; 22201.0
