Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 231.5; 1110.6; 1678.1; 3.2; 172.2; 3195.6; 1008.5; 0.0; 0.0; 173.5; 1431.8; 4627.4; 802.6; 404.7; 4.8; 663.6; 1466.2; 5.8; 3239.7; -87.1; 0.0; 3161.2; 4627.4
2022-06-30; 247.9; 1103.9; 1665.2; 6.5; 129.2; 3152.7; 1008.7; 0.0; 0.0; 176.1; 1439.6; 4592.3; 849.0; 310.0; 0.0; 564.6; 1413.6; 5.8; 3171.6; -54.4; 0.0; 3178.7; 4592.3
2022-03-31; 234.2; 1071.6; 1600.8; 0.0; 127.4; 3034.0; 1008.4; 0.0; 0.0; 178.3; 1432.7; 4466.7; 745.5; 330.0; 0.0; 579.2; 1324.7; 5.8; 3063.0; -28.4; 0.0; 3142.0; 4466.7
2021-12-31; 236.2; 900.2; 1523.6; 8.5; 188.1; 2856.6; 1019.2; 0.0; 0.0; 180.9; 1442.4; 4299.0; 682.2; 330.0; 0.0; 574.6; 1256.8; 5.8; 2970.9; -30.7; 0.0; 3042.2; 4299.0
2021-09-30; 250.5; 949.4; 1401.1; 6.7; 162.6; 2770.3; 1019.2; 0.0; 0.0; 183.3; 1452.2; 4222.5; 662.5; 330.0; 0.0; 595.3; 1257.8; 2.9; 2900.8; -29.6; 0.0; 2964.7; 4222.5
2021-06-30; 321.8; 908.9; 1327.9; 0.0; 146.7; 2705.3; 1015.8; 0.0; 0.0; 185.9; 1461.3; 4166.6; 650.2; 365.0; 0.0; 635.6; 1285.8; 2.9; 2818.3; -18.8; 0.0; 2880.8; 4166.6
2021-03-31; 333.9; 851.0; 1305.3; 0.0; 124.0; 2614.2; 1022.0; 0.0; 0.0; 188.6; 1460.2; 4074.4; 661.2; 365.0; 0.0; 626.5; 1287.7; 2.9; 2739.4; -25.6; 0.0; 2786.7; 4074.4
2020-12-31; 245.7; 769.4; 1337.5; 6.7; 140.3; 2499.6; 1030.7; 0.0; 0.0; 191.4; 1465.1; 3964.7; 612.7; 365.0; 0.0; 618.8; 1231.5; 5.7; 2689.6; -21.2; 0.0; 2733.2; 3964.7
2020-09-30; 331.8; 834.5; 1342.6; 14.6; 123.2; 2646.7; 1023.7; 0.0; 0.0; 193.8; 1461.9; 4108.6; 603.0; 365.0; 0.0; 620.0; 1223.0; 2.9; 2866.7; -41.8; 0.0; 2885.6; 4108.6
2020-06-30; 201.5; 881.5; 1401.5; 0.0; 121.8; 2606.3; 1029.7; 0.0; 0.0; 196.4; 1478.9; 4085.2; 631.3; 405.0; 7.6; 670.9; 1302.2; 2.9; 2788.6; -52.9; 0.0; 2783.0; 4085.2
2020-03-31; 160.7; 833.9; 1345.5; 0.0; 124.2; 2464.3; 1027.7; 0.0; 0.0; 200.3; 1470.4; 3934.7; 580.4; 450.1; 0.0; 697.7; 1278.1; 2.9; 2692.9; -63.4; 0.0; 2656.6; 3934.7
2019-12-31; 174.9; 741.8; 1366.4; 16.7; 157.4; 2457.2; 1023.2; 0.0; 0.0; 76.3; 1342.7; 3799.9; 544.7; 342.0; 0.0; 589.6; 1134.3; 2.9; 2633.9; -38.4; 0.0; 2665.6; 3799.9
