Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 893.0; 17498.0; 0.0; 1484.0; 0.0; 19875.0; 1924.0; 2390.0; 48697.0; 1868.0; 55765.0; 75640.0; 18724.0; 20847.0; 1160.0; 25934.0; 44658.0; 8.0; 16594.0; -1539.0; 0.0; 30982.0; 75640.0
2022-06-30; 883.0; 17873.0; 0.0; 1525.0; 0.0; 20281.0; 1804.0; 2517.0; 49845.0; 1916.0; 56931.0; 77212.0; 19351.0; 20915.0; 1179.0; 26052.0; 45403.0; 8.0; 16113.0; -1005.0; 0.0; 31809.0; 77212.0
2022-03-31; 863.0; 16151.0; 0.0; 1429.0; 0.0; 18443.0; 1729.0; 2579.0; 49980.0; 1899.0; 57027.0; 75470.0; 17730.0; 20518.0; 1097.0; 25762.0; 43492.0; 8.0; 15515.0; -640.0; 0.0; 31978.0; 75470.0
2021-12-31; 835.0; 16512.0; 0.0; 1523.0; 0.0; 18870.0; 1742.0; 2561.0; 50442.0; 1823.0; 57379.0; 76249.0; 18295.0; 20729.0; 1103.0; 26282.0; 44577.0; 8.0; 14846.0; -745.0; 0.0; 31672.0; 76249.0
2021-09-30; 933.0; 2793.0; 0.0; 1455.0; 0.0; 18425.0; 1717.0; 2602.0; 50571.0; 1670.0; 57342.0; 75767.0; 17562.0; 20540.0; 968.0; 25881.0; 43443.0; 8.0; 14442.0; -649.0; 0.0; 32324.0; 75767.0
2021-06-30; 841.0; 2663.0; 0.0; 1278.0; 0.0; 17727.0; 1650.0; 2590.0; 51379.0; 1675.0; 58049.0; 75776.0; 17251.0; 20425.0; 983.0; 25993.0; 43244.0; 8.0; 14014.0; -323.0; 0.0; 32532.0; 75776.0
2021-03-31; 831.0; 14358.0; 0.0; 1251.0; 0.0; 16440.0; 1646.0; 3037.0; 51375.0; 1616.0; 58400.0; 74840.0; 15905.0; 20838.0; 963.0; 26349.0; 42254.0; 8.0; 13745.0; -536.0; 0.0; 32586.0; 74840.0
2020-12-31; 906.0; 14003.0; 0.0; 1310.0; 0.0; 16219.0; 1628.0; 2756.0; 51680.0; 1644.0; 58400.0; 74619.0; 15637.0; 20300.0; 964.0; 25912.0; 41549.0; 8.0; 13441.0; -387.0; 0.0; 33070.0; 74619.0
2020-09-30; 937.0; 2323.0; 0.0; 1362.0; 0.0; 14025.0; 1630.0; 2772.0; 51557.0; 1741.0; 58347.0; 72372.0; 13263.0; 20894.0; 994.0; 26680.0; 39943.0; 8.0; 13141.0; -831.0; 0.0; 32429.0; 72372.0
2020-06-30; 869.0; 2512.0; 0.0; 1114.0; 0.0; 17482.0; 1688.0; 2763.0; 52724.0; 1830.0; 59611.0; 77093.0; 16760.0; 21515.0; 1051.0; 27305.0; 44065.0; 8.0; 12877.0; -644.0; 0.0; 33028.0; 77093.0
