Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 10076.0; 0.0; 0.0; 0.0; 0.0; 129916.0; 2155.0; 51609.0; 6838.0; 14945.0; 75547.0; 205463.0; 169831.0; 11712.0; 7184.0; 18896.0; 188727.0; 2051.0; 21219.0; -5306.0; 0.0; 16736.0; 205463.0
2022-06-30; 11149.0; 0.0; 0.0; 0.0; 0.0; 130500.0; 2118.0; 53168.0; 6702.0; 14294.0; 76282.0; 206782.0; 170625.0; 10990.0; 6197.0; 17187.0; 187812.0; 2051.0; 20818.0; -2644.0; 0.0; 18970.0; 206782.0
2022-03-31; 23902.0; 0.0; 0.0; 0.0; 0.0; 140475.0; 2102.0; 49196.0; 6103.0; 13583.0; 70984.0; 211459.0; 173204.0; 10815.0; 7263.0; 18078.0; 191282.0; 2051.0; 20501.0; -1096.0; 0.0; 20177.0; 211459.0
2021-12-31; 38078.0; 0.0; 0.0; 0.0; 0.0; 152651.0; 2120.0; 38494.0; 5791.0; 12060.0; 58465.0; 211116.0; 172818.0; 11821.0; 4267.0; 16088.0; 188906.0; 2051.0; 20236.0; 1207.0; 0.0; 22210.0; 211116.0
2021-09-30; 38101.0; 0.0; 0.0; 0.0; 0.0; 149261.0; 2101.0; 38207.0; 5626.0; 12536.0; 58470.0; 207731.0; 168449.0; 11419.0; 5339.0; 16758.0; 185207.0; 2051.0; 19817.0; 1637.0; 0.0; 22524.0; 207731.0
2021-06-30; 36405.0; 0.0; 0.0; 0.0; 0.0; 147835.0; 2073.0; 38363.0; 5194.0; 11925.0; 57555.0; 205390.0; 165796.0; 12364.0; 4304.0; 16668.0; 182464.0; 2051.0; 19343.0; 1974.0; 0.0; 22926.0; 205390.0
2021-03-31; 38037.0; 0.0; 0.0; 0.0; 0.0; 150161.0; 2072.0; 37920.0; 5170.0; 11576.0; 56738.0; 206899.0; 165680.0; 14743.0; 3881.0; 18624.0; 184304.0; 2051.0; 18863.0; 1792.0; 0.0; 22595.0; 206899.0
2020-12-31; 37106.0; 0.0; 0.0; 0.0; 0.0; 148176.0; 2088.0; 37837.0; 5053.0; 11526.0; 56504.0; 204680.0; 163187.0; 14973.0; 3409.0; 18382.0; 181569.0; 2051.0; 18384.0; 2601.0; 0.0; 23111.0; 204680.0
2020-09-30; 34985.0; 0.0; 0.0; 0.0; 0.0; 145465.0; 2090.0; 37717.0; 5078.0; 11646.0; 56531.0; 201996.0; 160630.0; 15123.0; 3292.0; 18415.0; 179045.0; 2051.0; 18010.0; 2831.0; 0.0; 22951.0; 201996.0
2020-06-30; 31990.0; 0.0; 0.0; 0.0; 0.0; 145259.0; 2053.0; 38888.0; 5108.0; 11598.0; 57647.0; 202906.0; 161075.0; 16327.0; 3169.0; 19496.0; 180571.0; 2051.0; 17643.0; 2951.0; 0.0; 22335.0; 202906.0
2020-03-31; 10034.0; 0.0; 0.0; 0.0; 0.0; 127353.0; 2009.0; 39121.0; 5130.0; 11778.0; 58038.0; 185391.0; 143660.0; 16282.0; 3576.0; 19858.0; 163518.0; 2051.0; 17677.0; 2477.0; 0.0; 21873.0; 185391.0
2019-12-31; 5525.0; 0.0; 0.0; 0.0; 0.0; 115281.0; 1995.0; 36609.0; 5446.0; 10038.0; 54088.0; 169369.0; 130774.0; 14970.0; 2422.0; 17392.0; 148166.0; 2051.0; 18315.0; 1192.0; 0.0; 21203.0; 169369.0
2019-09-30; 6793.0; 0.0; 0.0; 0.0; 0.0; 116282.0; 2053.0; 37655.0; 5401.0; 9688.0; 54797.0; 171079.0; 132776.0; 14474.0; 2425.0; 16899.0; 149675.0; 2051.0; 17786.0; 1635.0; 0.0; 21404.0; 171079.0
2019-06-30; 6443.0; 0.0; 0.0; 0.0; 0.0; 115816.0; 2074.0; 36259.0; 5538.0; 9115.0; 52986.0; 168802.0; 128925.0; 15784.0; 3422.0; 19206.0; 148131.0; 2051.0; 17431.0; 1178.0; 0.0; 20671.0; 168802.0
2019-03-31; 6630.0; 0.0; 0.0; 0.0; 0.0; 116049.0; 2092.0; 35495.0; 5680.0; 8537.0; 51804.0; 167853.0; 129865.0; 15483.0; 2661.0; 18144.0; 148009.0; 2051.0; 17184.0; 409.0; 0.0; 19844.0; 167853.0
2018-12-31; 4793.0; 0.0; 0.0; 0.0; 0.0; 99562.0; 1861.0; 33300.0; 3456.0; 7890.0; 46507.0; 146069.0; 112895.0; 14426.0; 2498.0; 16924.0; 129819.0; 2051.0; 16578.0; -112.0; 0.0; 16250.0; 146069.0
2018-09-30; 3798.0; 0.0; 0.0; 0.0; 0.0; 96813.0; 1896.0; 32326.0; 3500.0; 7150.0; 44872.0; 141685.0; 108927.0; 14460.0; 2448.0; 16908.0; 125835.0; 2051.0; 16440.0; -775.0; 0.0; 15850.0; 141685.0
2018-06-30; 3968.0; 0.0; 0.0; 0.0; 0.0; 95606.0; 1915.0; 32455.0; 3451.0; 7268.0; 45089.0; 140695.0; 107697.0; 14321.0; 2425.0; 16746.0; 124443.0; 2051.0; 16143.0; -552.0; 0.0; 16252.0; 140695.0
2018-03-31; 4356.0; 0.0; 0.0; 0.0; 0.0; 95905.0; 1966.0; 32260.0; 3418.0; 7951.0; 45595.0; 141500.0; 108078.0; 14800.0; 2418.0; 17218.0; 125296.0; 2051.0; 15707.0; -389.0; 0.0; 16204.0; 141500.0
2017-12-31; 5759.0; 0.0; 0.0; 0.0; 0.0; 97025.0; 2003.0; 32214.0; 3330.0; 7509.0; 45056.0; 142081.0; 108813.0; 14904.0; 2144.0; 17048.0; 125861.0; 2051.0; 14957.0; 73.0; 0.0; 16220.0; 142081.0
2017-09-30; 6353.0; 0.0; 0.0; 0.0; 0.0; 97742.0; 2018.0; 31505.0; 3289.0; 7710.0; 44522.0; 142264.0; 109329.0; 14039.0; 2516.0; 16555.0; 125884.0; 2051.0; 14748.0; 185.0; 0.0; 16380.0; 142264.0
2017-06-30; 5208.0; 0.0; 0.0; 0.0; 0.0; 96194.0; 2041.0; 31849.0; 3290.0; 7693.0; 44873.0; 141067.0; 109003.0; 13456.0; 2162.0; 15618.0; 124621.0; 2051.0; 13862.0; 163.0; 0.0; 16446.0; 141067.0
2017-03-31; 4538.0; 0.0; 0.0; 0.0; 0.0; 95544.0; 2052.0; 31557.0; 3206.0; 7841.0; 44656.0; 140200.0; 107981.0; 13658.0; 2104.0; 15762.0; 123743.0; 2051.0; 13625.0; 68.0; 0.0; 16457.0; 140200.0
2016-12-31; 5556.0; 0.0; 0.0; 0.0; 0.0; 97152.0; 2065.0; 31209.0; 3169.0; 8582.0; 45025.0; 142177.0; 109288.0; 14388.0; 2269.0; 16657.0; 125945.0; 2051.0; 13441.0; 59.0; 0.0; 16232.0; 142177.0
2016-09-30; 5590.0; 0.0; 0.0; 0.0; 0.0; 98529.0; 2084.0; 30745.0; 3045.0; 8876.0; 44750.0; 143279.0; 107069.0; 16890.0; 2516.0; 19406.0; 126475.0; 2051.0; 13180.0; 755.0; 0.0; 16804.0; 143279.0
