Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 4950.0; 2268.0; 1020.0; 0.0; 257.0; 8495.0; 1681.0; 0.0; 6685.0; 2229.0; 13929.0; 22424.0; 2362.0; 7207.0; 1077.0; 8477.0; 10839.0; 5.0; 2795.0; -228.0; 0.0; 11585.0; 22424.0
2022-06-30; 5200.0; 2128.0; 791.0; 0.0; 162.0; 8281.0; 1682.0; 0.0; 6711.0; 2071.0; 13904.0; 22185.0; 2296.0; 7206.0; 1120.0; 8514.0; 10810.0; 6.0; 2461.0; -226.0; 0.0; 11375.0; 22185.0
2022-03-31; 4634.0; 2338.0; 786.0; 0.0; 158.0; 7916.0; 1646.0; 0.0; 6736.0; 2099.0; 14100.0; 22016.0; 2121.0; 7205.0; 1297.0; 8677.0; 10798.0; 6.0; 2300.0; -301.0; 0.0; 11218.0; 22016.0
2021-12-31; 4255.0; 2952.0; 1148.0; 0.0; 159.0; 8514.0; 1650.0; 0.0; 6763.0; 2276.0; 14364.0; 22878.0; 2870.0; 7204.0; 1342.0; 8718.0; 11588.0; 6.0; 2308.0; -304.0; 0.0; 11290.0; 22878.0
2021-09-30; 5411.0; 2192.0; 1135.0; 0.0; 137.0; 8875.0; 1656.0; 0.0; 6687.0; 2290.0; 14286.0; 23161.0; 2869.0; 7203.0; 1357.0; 8862.0; 11731.0; 6.0; 2409.0; -312.0; 0.0; 11430.0; 23161.0
2021-06-30; 5886.0; 2029.0; 729.0; 0.0; 105.0; 8749.0; 1708.0; 0.0; 6589.0; 2058.0; 14177.0; 22926.0; 3002.0; 7202.0; 1336.0; 8799.0; 11801.0; 6.0; 1982.0; -318.0; 0.0; 11125.0; 22926.0
2021-03-31; 5765.0; 2153.0; 685.0; 0.0; 91.0; 8694.0; 1626.0; 0.0; 6559.0; 2175.0; 14213.0; 22907.0; 2985.0; 7201.0; 1412.0; 8838.0; 11823.0; 6.0; 1912.0; -392.0; 0.0; 11084.0; 22907.0
2020-12-31; 4502.0; 2776.0; 1020.0; 0.0; 142.0; 8440.0; 1606.0; 0.0; 6578.0; 2167.0; 14314.0; 22754.0; 2213.0; 7949.0; 1469.0; 9620.0; 11833.0; 6.0; 1657.0; -401.0; 0.0; 10921.0; 22754.0
2020-09-30; 5061.0; 1997.0; 1271.0; 0.0; 134.0; 8463.0; 1539.0; 0.0; 6592.0; 1940.0; 14034.0; 22497.0; 2012.0; 7947.0; 1422.0; 9679.0; 11691.0; 6.0; 1525.0; -408.0; 0.0; 10806.0; 22497.0
2020-06-30; 4645.0; 1888.0; 856.0; 0.0; 97.0; 7486.0; 1498.0; 0.0; 6607.0; 1801.0; 14264.0; 21750.0; 1906.0; 7946.0; 1482.0; 9733.0; 11639.0; 6.0; 674.0; -417.0; 0.0; 10111.0; 21750.0
