Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 5660.0; 4354.0; 1463.0; 2077.0; 0.0; 13554.0; 5349.0; 1282.0; 37754.0; 4618.0; 49003.0; 62557.0; 10423.0; 24059.0; 3982.0; 31077.0; 41500.0; 1.0; 15756.0; 98.0; 0.0; 21057.0; 62557.0
2022-06-30; 5663.0; 4118.0; 1494.0; 1900.0; 0.0; 13175.0; 5299.0; 1337.0; 38199.0; 4860.0; 49695.0; 62870.0; 9220.0; 26183.0; 3888.0; 33435.0; 42655.0; 1.0; 15117.0; 87.0; 0.0; 20215.0; 62870.0
2022-03-31; 5325.0; 3787.0; 1482.0; 2035.0; 0.0; 12629.0; 5253.0; 1427.0; 38645.0; 5126.0; 50451.0; 63080.0; 8558.0; 26127.0; 4793.0; 34607.0; 43165.0; 1.0; 14986.0; 73.0; 0.0; 19915.0; 63080.0
2021-12-31; 6520.0; 4493.0; 1618.0; 2141.0; 0.0; 14772.0; 5121.0; 1309.0; 41787.0; 4963.0; 53180.0; 67952.0; 11610.0; 26155.0; 4767.0; 35278.0; 46888.0; 1.0; 16324.0; 83.0; 0.0; 21064.0; 67952.0
2021-09-30; 5738.0; 4566.0; 1676.0; 2011.0; 0.0; 13991.0; 5037.0; 1099.0; 42232.0; 4739.0; 53107.0; 67098.0; 10245.0; 26137.0; 4642.0; 35382.0; 45627.0; 1.0; 16903.0; 74.0; 0.0; 21471.0; 67098.0
2021-06-30; 6525.0; 4149.0; 1772.0; 1479.0; 0.0; 13925.0; 4996.0; 836.0; 42675.0; 5552.0; 54059.0; 67984.0; 10214.0; 27914.0; 5772.0; 38060.0; 48274.0; 1.0; 15392.0; 39.0; 0.0; 19710.0; 67984.0
2021-03-31; 5666.0; 3925.0; 1779.0; 1908.0; 0.0; 13278.0; 4990.0; 579.0; 43115.0; 5530.0; 54214.0; 67492.0; 9705.0; 29337.0; 5022.0; 38823.0; 48528.0; 1.0; 14821.0; 38.0; 0.0; 18964.0; 67492.0
2020-12-31; 7408.0; 4892.0; 1683.0; 2013.0; 0.0; 15996.0; 4967.0; 502.0; 41234.0; 5708.0; 52411.0; 68407.0; 11397.0; 29859.0; 5016.0; 38789.0; 50186.0; 1.0; 14381.0; -60.0; 0.0; 18221.0; 68407.0
2020-09-30; 23975.0; 3913.0; 1008.0; 2030.0; 0.0; 30926.0; 4810.0; 2074.0; 17056.0; 6012.0; 29952.0; 60878.0; 9509.0; 28878.0; 5020.0; 33898.0; 43407.0; 1.0; 13709.0; 23.0; 0.0; 17471.0; 60878.0
2020-06-30; 18914.0; 3194.0; 1052.0; 1483.0; 0.0; 24643.0; 4653.0; 2276.0; 17342.0; 7020.0; 31291.0; 55934.0; 10564.0; 22121.0; 5107.0; 27228.0; 37792.0; 1.0; 14445.0; 70.0; 0.0; 18142.0; 55934.0
2020-03-31; 20785.0; 3907.0; 986.0; 1272.0; 0.0; 26950.0; 4564.0; 3529.0; 17619.0; 7079.0; 32791.0; 59741.0; 8879.0; 22098.0; 6585.0; 28683.0; 37562.0; 1.0; 18709.0; 46.0; 0.0; 22179.0; 59741.0
2019-12-31; 24352.0; 3582.0; 922.0; 1440.0; 0.0; 30296.0; 4502.0; 1488.0; 17903.0; 7438.0; 31331.0; 61627.0; 9759.0; 23103.0; 6115.0; 29218.0; 38977.0; 1.0; 19388.0; 85.0; 0.0; 22650.0; 61627.0
2019-09-30; 22856.0; 3315.0; 882.0; 1308.0; 0.0; 28361.0; 4377.0; 2195.0; 18981.0; 5232.0; 30785.0; 59146.0; 9567.0; 22991.0; 5852.0; 28843.0; 38410.0; 1.0; 17616.0; 117.0; 0.0; 20736.0; 59146.0
2019-06-30; 27183.0; 3396.0; 884.0; 2264.0; 0.0; 33727.0; 4249.0; 3051.0; 19269.0; 2914.0; 29483.0; 63210.0; 8961.0; 25661.0; 5837.0; 31498.0; 40459.0; 1.0; 19829.0; 102.0; 0.0; 22751.0; 63210.0
2019-03-31; 27904.0; 3283.0; 898.0; 1939.0; 0.0; 34024.0; 4116.0; 2221.0; 19555.0; 2921.0; 28813.0; 62837.0; 9397.0; 24080.0; 7269.0; 31349.0; 40746.0; 1.0; 19326.0; 130.0; 0.0; 22091.0; 62837.0
