Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-10-31; 4163.0; 7623.0; 5161.0; 0.0; 3559.0; 20506.0; 5784.0; 2160.0; 18136.0; 0.0; 36617.0; 57123.0; 23174.0; 7853.0; 6187.0; 14040.0; 37214.0; 13.0; -5350.0; -3098.0; 0.0; 19909.0; 57123.0
2022-07-31; 3762.0; 6974.0; 5554.0; 0.0; 3231.0; 19521.0; 5626.0; 2267.0; 19114.0; 0.0; 38154.0; 57675.0; 21299.0; 9137.0; 6575.0; 15712.0; 37011.0; 13.0; -4891.0; -2862.0; 0.0; 20664.0; 57675.0
2022-04-30; 3027.0; 6777.0; 5322.0; 0.0; 3046.0; 18172.0; 5508.0; 2262.0; 19184.0; 0.0; 38152.0; 56324.0; 20190.0; 8905.0; 6647.0; 15552.0; 35742.0; 13.0; -5145.0; -2809.0; 0.0; 20582.0; 56324.0
2022-01-31; 3861.0; 7247.0; 5321.0; 0.0; 2913.0; 19342.0; 5498.0; 2250.0; 19255.0; 0.0; 38531.0; 57873.0; 20473.0; 10277.0; 6758.0; 17035.0; 37508.0; 13.0; -5239.0; -2878.0; 0.0; 20365.0; 57873.0
2021-10-31; 3996.0; 7911.0; 4511.0; 0.0; 2460.0; 18878.0; 5613.0; 2210.0; 19328.0; 0.0; 38821.0; 57699.0; 20687.0; 9896.0; 7099.0; 16995.0; 37682.0; 13.0; -5597.0; -2915.0; 0.0; 20017.0; 57699.0
2021-07-31; 5293.0; 7111.0; 3942.0; 0.0; 2399.0; 18745.0; 5510.0; 2286.0; 18984.0; 0.0; 37692.0; 56437.0; 19641.0; 12489.0; 7234.0; 19723.0; 39364.0; 13.0; -7994.0; -3631.0; 0.0; 17073.0; 56437.0
2021-04-30; 4625.0; 6781.0; 3117.0; 0.0; 2180.0; 16703.0; 5480.0; 2212.0; 18967.0; 0.0; 37429.0; 54132.0; 17980.0; 12296.0; 7245.0; 19541.0; 37521.0; 13.0; -8229.0; -3762.0; 0.0; 16611.0; 54132.0
2021-01-31; 4165.0; 6816.0; 2791.0; 0.0; 2300.0; 16072.0; 5573.0; 2211.0; 19010.0; 0.0; 37379.0; 53451.0; 17931.0; 11963.0; 7298.0; 19261.0; 37192.0; 13.0; -8332.0; -3896.0; 0.0; 16259.0; 53451.0
2020-10-31; 4233.0; 7180.0; 2674.0; 0.0; 2469.0; 16556.0; 5625.0; 2170.0; 19120.0; 0.0; 37459.0; 54015.0; 18738.0; 12186.0; 6995.0; 19181.0; 37919.0; 13.0; -8375.0; -3939.0; 0.0; 16096.0; 54015.0
2020-07-31; 8465.0; 6653.0; 3469.0; 0.0; 2796.0; 21383.0; 5709.0; 2269.0; 18276.0; 0.0; 36856.0; 58239.0; 21610.0; 13730.0; 6693.0; 20423.0; 42033.0; 13.0; -8377.0; -3756.0; 0.0; 16206.0; 58239.0
2020-04-30; 5131.0; 6240.0; 3476.0; 0.0; 3136.0; 17983.0; 5588.0; 2276.0; 18373.0; 0.0; 36532.0; 54515.0; 20197.0; 11553.0; 6507.0; 18060.0; 38257.0; 13.0; -8385.0; -3625.0; 0.0; 16258.0; 54515.0
2020-01-31; 3171.0; 6455.0; 2560.0; 0.0; 2565.0; 14751.0; 5711.0; 2290.0; 19313.0; 0.0; 37493.0; 52244.0; 18754.0; 9362.0; 6885.0; 16247.0; 35001.0; 13.0; -7411.0; -3700.0; 0.0; 17243.0; 52244.0
2019-10-31; 3753.0; 6529.0; 2387.0; 0.0; 2474.0; 15143.0; 6054.0; 2254.0; 19434.0; 0.0; 36660.0; 51803.0; 19159.0; 9395.0; 6100.0; 15495.0; 34654.0; 13.0; -7632.0; -3727.0; 0.0; 17149.0; 51803.0
2019-07-31; 3693.0; 6532.0; 2216.0; 0.0; 2676.0; 15117.0; 6000.0; 2346.0; 18205.0; 0.0; 35643.0; 50760.0; 17158.0; 10453.0; 5569.0; 16022.0; 33180.0; 13.0; -7959.0; -3150.0; 0.0; 17580.0; 50760.0
2019-04-30; 3585.0; 6596.0; 2182.0; 0.0; 2637.0; 15000.0; 6138.0; 2421.0; 18264.0; 0.0; 36140.0; 51140.0; 16077.0; 10332.0; 6490.0; 16822.0; 32899.0; 13.0; -7765.0; -3180.0; 0.0; 18241.0; 51140.0
2019-01-31; 3781.0; 6670.0; 2300.0; 0.0; 2681.0; 15432.0; 6141.0; 2413.0; 18334.0; 0.0; 36326.0; 51758.0; 16459.0; 10280.0; 6684.0; 16964.0; 33423.0; 14.0; -8034.0; -3294.0; 0.0; 18335.0; 51758.0
2018-10-31; 4880.0; 6659.0; 2447.0; 0.0; 3286.0; 17272.0; 6138.0; 2398.0; 18326.0; 0.0; 38221.0; 55493.0; 17198.0; 10136.0; 6885.0; 17021.0; 34219.0; 14.0; -5899.0; -3218.0; 0.0; 21274.0; 55493.0
2018-07-31; 5193.0; 6341.0; 2771.0; 0.0; 3162.0; 17467.0; 6184.0; 2513.0; 18486.0; 0.0; 40046.0; 57513.0; 17407.0; 9963.0; 6681.0; 16644.0; 34051.0; 15.0; -5021.0; -2906.0; 0.0; 23462.0; 57513.0
2018-04-30; 6986.0; 6602.0; 2848.0; 0.0; 3356.0; 19792.0; 6208.0; 2517.0; 18444.0; 0.0; 40084.0; 59876.0; 19084.0; 9970.0; 6856.0; 16826.0; 35910.0; 15.0; -5306.0; -2982.0; 0.0; 23966.0; 59876.0
2018-01-31; 7673.0; 6613.0; 2431.0; 0.0; 3782.0; 20499.0; 6338.0; 2561.0; 18481.0; 0.0; 41120.0; 61619.0; 19343.0; 10040.0; 8247.0; 18287.0; 37630.0; 16.0; -6057.0; -2955.0; 0.0; 23989.0; 61619.0
