Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 883.0; 118.0; 0.0; 0.0; 0.0; 1414.0; 9481.0; 0.0; 0.0; 714.0; 10195.0; 12167.0; 162.0; 4214.0; 239.0; 4618.0; 5350.0; 7.0; -856.0; -77.0; 0.0; 6817.0; 12167.0
2022-06-30; 699.0; 164.0; 0.0; 0.0; 0.0; 1276.0; 9538.0; 0.0; 0.0; 670.0; 10208.0; 12044.0; 113.0; 4212.0; 202.0; 4577.0; 5262.0; 7.0; -885.0; -74.0; 0.0; 6782.0; 12044.0
2022-03-31; 266.0; 125.0; 0.0; 0.0; 0.0; 391.0; 9596.0; 0.0; 0.0; 1279.0; 10875.0; 11829.0; 97.0; 4210.0; 219.0; 4632.0; 5304.0; 7.0; -1098.0; -69.0; 0.0; 6525.0; 11829.0
2021-12-31; 807.0; 113.0; 0.0; 0.0; 0.0; 920.0; 9994.0; 0.0; 0.0; 887.0; 10881.0; 12352.0; 85.0; 4891.0; 240.0; 5257.0; 5906.0; 7.0; -1192.0; -76.0; 0.0; 6446.0; 12352.0
2021-09-30; 1038.0; 58.0; 0.0; 0.0; 0.0; 1096.0; 10124.0; 0.0; 0.0; 933.0; 11057.0; 12712.0; 91.0; 5545.0; 259.0; 5923.0; 6586.0; 7.0; -1511.0; -75.0; 0.0; 6126.0; 12712.0
2021-06-30; 1450.0; 55.0; 0.0; 0.0; 0.0; 1505.0; 10071.0; 0.0; 0.0; 639.0; 10710.0; 12809.0; 80.0; 5542.0; 218.0; 5885.0; 6572.0; 7.0; -1392.0; -71.0; 0.0; 6237.0; 12809.0
2021-03-31; 2008.0; 26.0; 0.0; 0.0; 0.0; 2034.0; 9506.0; 0.0; 0.0; 585.0; 10091.0; 12721.0; 76.0; 5540.0; 222.0; 5886.0; 6571.0; 7.0; -1332.0; -77.0; 0.0; 6150.0; 12721.0
2020-12-31; 2335.0; 22.0; 0.0; 0.0; 0.0; 2357.0; 9416.0; 0.0; 0.0; 520.0; 9936.0; 12890.0; 71.0; 5541.0; 234.0; 5883.0; 6564.0; 7.0; -1180.0; -74.0; 0.0; 6326.0; 12890.0
2020-09-30; 2430.0; 19.0; 0.0; 0.0; 0.0; 2449.0; 9487.0; 0.0; 0.0; 535.0; 10022.0; 13071.0; 78.0; 5728.0; 166.0; 5974.0; 6664.0; 7.0; -1115.0; -79.0; 0.0; 6407.0; 13071.0
2020-06-30; 1578.0; 6.0; 0.0; 0.0; 0.0; 1584.0; 9613.0; 0.0; 0.0; 398.0; 10011.0; 12190.0; 68.0; 4543.0; 169.0; 4793.0; 5468.0; 7.0; -802.0; -74.0; 0.0; 6722.0; 12190.0
