Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 548.0; 2031.0; 3122.0; 793.0; 0.0; 6494.0; 4055.0; 0.0; 22691.0; 663.0; 28043.0; 34537.0; 3626.0; 10260.0; 472.0; 13990.0; 17616.0; 35.0; 1186.0; -3187.0; 0.0; 16921.0; 34537.0
2022-06-30; 573.0; 2180.0; 2993.0; 778.0; 1206.0; 7730.0; 4177.0; 0.0; 25938.0; 726.0; 31574.0; 39304.0; 4720.0; 10363.0; 462.0; 14291.0; 19011.0; 35.0; 3589.0; -2210.0; 0.0; 20293.0; 39304.0
2022-03-31; 661.0; 2160.0; 2795.0; 750.0; 1141.0; 7507.0; 4295.0; 0.0; 26548.0; 654.0; 32240.0; 39747.0; 4032.0; 10738.0; 426.0; 14750.0; 18782.0; 35.0; 3683.0; -1622.0; 0.0; 20965.0; 39747.0
2021-12-31; 715.0; 1906.0; 2516.0; 728.0; 1122.0; 6987.0; 4368.0; 0.0; 26920.0; 616.0; 32671.0; 39658.0; 3633.0; 10768.0; 462.0; 14908.0; 18541.0; 35.0; 3641.0; -1423.0; 0.0; 21117.0; 39658.0
2021-09-30; 794.0; 1975.0; 2401.0; 717.0; 1245.0; 7132.0; 4295.0; 0.0; 27549.0; 502.0; 33120.0; 40252.0; 3579.0; 10818.0; 478.0; 15200.0; 18779.0; 35.0; 3752.0; -1180.0; 0.0; 21473.0; 40252.0
2021-06-30; 942.0; 2059.0; 2464.0; 832.0; 0.0; 6297.0; 4566.0; 0.0; 28698.0; 518.0; 34567.0; 40864.0; 3227.0; 11354.0; 477.0; 15837.0; 19064.0; 34.0; 3759.0; -834.0; 0.0; 21800.0; 40864.0
2021-03-31; 879.0; 2023.0; 2589.0; 683.0; 0.0; 6174.0; 4587.0; 0.0; 28756.0; 497.0; 34643.0; 40817.0; 3261.0; 11330.0; 469.0; 15875.0; 19136.0; 34.0; 3922.0; -1102.0; 0.0; 21681.0; 40817.0
2020-12-31; 657.0; 929.0; 1132.0; 342.0; 0.0; 3060.0; 1458.0; 0.0; 8320.0; 418.0; 10495.0; 13555.0; 1904.0; 3779.0; 268.0; 5329.0; 7233.0; 16.0; 4156.0; -413.0; -285.0; 6322.0; 13555.0
2020-09-30; 482.68; 928.62; 1151.28; 383.62; 0.0; 2946.2; 1380.42; 0.0; 8102.96; 655.78; 10139.17; 13085.37; 1616.26; 3890.76; 517.3; 5378.8; 6995.06; 16.07; 4170.89; -939.42; 0.0; 6090.31; 13085.37
2020-06-30; 507.53; 961.57; 1165.86; 377.62; 0.0; 3012.59; 1355.62; 0.0; 8029.71; 591.22; 9976.55; 12989.13; 1344.17; 4181.7; 494.4; 5644.04; 6988.21; 16.07; 4168.38; -1017.47; 0.0; 6000.92; 12989.13
2020-03-31; 442.94; 943.11; 1075.91; 356.32; 0.0; 2818.29; 1339.12; 0.0; 7945.01; 586.65; 9870.78; 12689.08; 1426.99; 3946.91; 494.19; 5421.41; 6848.4; 16.07; 4162.35; -1164.21; 0.0; 5840.67; 12689.08
2019-12-31; 623.95; 876.2; 1123.07; 319.33; 0.0; 2942.54; 1386.92; 0.0; 8349.53; 608.42; 10344.87; 13287.41; 1552.19; 3997.44; 502.37; 5505.67; 7057.86; 16.07; 4117.8; -343.85; -373.04; 6229.55; 13287.41
2019-09-30; 504.05; 942.71; 1126.39; 325.41; 0.0; 2898.56; 1313.54; 0.0; 8211.38; 561.25; 10086.17; 12984.72; 1412.45; 4008.13; 530.97; 5505.29; 6917.74; 16.07; 4114.3; -867.55; 0.0; 6066.99; 12984.72
2019-06-30; 454.82; 1046.03; 1163.65; 325.52; 0.0; 2990.03; 1316.31; 0.0; 8450.98; 590.77; 10358.06; 13348.08; 1149.53; 4428.68; 514.8; 5988.56; 7138.1; 16.07; 4069.21; -668.36; 0.0; 6209.99; 13348.08
2019-03-31; 497.13; 1003.97; 1114.49; 310.24; 0.0; 2925.82; 1294.03; 0.0; 8408.18; 583.39; 10285.59; 13211.42; 1144.13; 4421.43; 492.03; 5912.81; 7056.94; 16.07; 4011.33; -657.35; 0.0; 6154.48; 13211.42
2018-12-31; 648.52; 937.76; 1078.54; 277.04; 0.0; 2941.86; 1241.15; 0.0; 8417.71; 288.67; 9947.53; 12889.39; 1128.31; 4504.42; 248.44; 5717.71; 6846.02; 16.07; 3956.22; -305.23; -397.0; 6043.37; 12889.39
2018-09-30; 5274.46; 701.11; 719.51; 251.75; 0.0; 6946.83; 874.82; 0.0; 1538.44; 167.98; 2668.72; 9615.54; 758.46; 4331.24; 235.33; 4819.14; 5577.59; 16.07; 4021.17; -715.11; 0.0; 4037.95; 9615.54
2018-06-30; 322.42; 723.86; 695.19; 285.11; 0.0; 2026.58; 867.63; 0.0; 1540.01; 157.02; 2646.86; 4673.44; 699.37; 1717.19; 238.63; 2217.87; 2917.24; 14.47; 3992.45; -692.5; 0.0; 1756.2; 4673.44
2018-03-31; 305.28; 734.38; 687.82; 242.87; 0.0; 1970.34; 887.48; 0.0; 1580.08; 155.14; 2710.93; 4681.28; 716.75; 1676.21; 245.48; 2185.56; 2902.31; 14.47; 3947.79; -620.58; 0.0; 1778.96; 4681.28
2017-12-31; 368.05; 663.66; 649.45; 215.39; 0.0; 1896.54; 880.58; 0.0; 1572.08; 249.73; 2702.38; 4598.93; 768.77; 1632.19; 191.29; 2140.86; 2909.63; 14.47; 3870.62; -340.07; -297.42; 1689.29; 4598.93
2017-09-30; 316.0; 691.24; 619.52; 222.99; 0.0; 1849.75; 828.59; 0.0; 1577.76; 106.25; 2670.69; 4520.44; 696.13; 1625.5; 156.78; 2061.82; 2757.95; 14.47; 3965.13; -656.65; 0.0; 1762.49; 4520.44
2017-06-30; 491.39; 665.51; 623.76; 213.27; 0.0; 1993.93; 811.83; 0.0; 1571.23; 91.53; 2624.95; 4618.88; 861.22; 1636.34; 151.54; 2077.57; 2938.79; 14.47; 3909.2; -676.2; 0.0; 1680.09; 4618.88
2017-03-31; 300.07; 637.52; 604.25; 169.59; 0.0; 1711.43; 791.92; 0.0; 1510.68; 89.97; 2540.83; 4252.26; 985.82; 1186.42; 158.85; 1634.92; 2620.74; 14.47; 3850.95; -681.47; 0.0; 1631.52; 4252.26
