Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-10-31; 2724.0; 472.0; 0.0; 324.0; 468.0; 4554.0; 926.0; 98.0; 20631.0; 331.0; 22531.0; 27085.0; 3325.0; 6486.0; 89.0; 7693.0; 11018.0; 18082.0; 13396.0; -87.0; 0.0; 16067.0; 27085.0
2022-07-31; 3281.0; 539.0; 0.0; 287.0; 431.0; 5047.0; 888.0; 98.0; 20797.0; 344.0; 22687.0; 27734.0; 3630.0; 6415.0; 87.0; 7663.0; 11293.0; 17725.0; 13581.0; -60.0; 0.0; 16441.0; 27734.0
2022-04-30; 3904.0; 744.0; 0.0; 671.0; 539.0; 5858.0; 858.0; 98.0; 20955.0; 312.0; 22656.0; 28514.0; 3591.0; 6853.0; 86.0; 7962.0; 11553.0; 17479.0; 13832.0; -53.0; 0.0; 16961.0; 28514.0
2022-01-31; 1414.0; 1130.0; 0.0; 571.0; 375.0; 3490.0; 831.0; 90.0; 21120.0; 325.0; 22813.0; 26303.0; 2968.0; 6732.0; 73.0; 7740.0; 10708.0; 17202.0; 12235.0; -34.0; 0.0; 15595.0; 26303.0
2021-10-31; 3250.0; 522.0; 0.0; 409.0; 306.0; 4487.0; 789.0; 84.0; 8808.0; 289.0; 10383.0; 14870.0; 2138.0; 2037.0; 51.0; 2999.0; 5137.0; 10718.0; 12333.0; -29.0; 0.0; 9733.0; 14870.0
2021-07-31; 3870.0; 514.0; 0.0; 184.0; 457.0; 5157.0; 780.0; 43.0; 8865.0; 283.0; 10359.0; 15516.0; 2655.0; 2034.0; 53.0; 2992.0; 5647.0; 3.0; 12296.0; -24.0; 0.0; 9869.0; 15516.0
2021-04-30; 4116.0; 558.0; 0.0; 305.0; 348.0; 5327.0; 791.0; 41.0; 8935.0; 287.0; 10431.0; 15758.0; 2712.0; 2033.0; 56.0; 3091.0; 5803.0; 10382.0; 12081.0; -24.0; 0.0; 9955.0; 15758.0
2021-01-31; 2738.0; 618.0; 0.0; 312.0; 426.0; 4094.0; 792.0; 41.0; 8982.0; 291.0; 10504.0; 14598.0; 2677.0; 2033.0; 49.0; 3053.0; 5730.0; 10212.0; 10783.0; -23.0; 0.0; 8868.0; 14598.0
2020-10-31; 5793.0; 128.0; 0.0; 246.0; 484.0; 6651.0; 743.0; 28.0; 1760.0; 233.0; 3056.0; 9707.0; 2152.0; 2032.0; 50.0; 2310.0; 4462.0; 6283.0; 10926.0; -35.0; 0.0; 5245.0; 9707.0
2020-07-31; 7050.0; 161.0; 0.0; 314.0; 455.0; 7980.0; 734.0; 19.0; 1682.0; 225.0; 2951.0; 10931.0; 3529.0; 2031.0; 42.0; 2296.0; 5825.0; 3.0; 10885.0; -32.0; 0.0; 5106.0; 10931.0
