Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 511.0; 3453.0; 1976.0; 0.0; 682.0; 6622.0; 10219.0; 926.0; 3116.0; 3061.0; 18243.0; 24865.0; 4805.0; 4766.0; 3201.0; 10572.0; 15377.0; 449.0; 10340.0; -1586.0; 0.0; 9488.0; 24865.0
2022-06-30; 977.0; 3462.0; 1897.0; 0.0; 710.0; 7046.0; 10234.0; 930.0; 3124.0; 2997.0; 18236.0; 25282.0; 4352.0; 5275.0; 3195.0; 11887.0; 16239.0; 449.0; 9557.0; -1489.0; 0.0; 9043.0; 25282.0
2022-03-31; 1410.0; 3363.0; 1746.0; 0.0; 665.0; 7184.0; 10336.0; 608.0; 3128.0; 2933.0; 17974.0; 25158.0; 4142.0; 5468.0; 3202.0; 12129.0; 16271.0; 449.0; 9218.0; -1694.0; 0.0; 8887.0; 25158.0
2021-12-31; 1540.0; 3232.0; 1814.0; 0.0; 510.0; 7096.0; 10441.0; 751.0; 3130.0; 2870.0; 18147.0; 25243.0; 4144.0; 5383.0; 3198.0; 12017.0; 16161.0; 449.0; 9029.0; -1666.0; 0.0; 9082.0; 25243.0
2021-09-30; 3621.0; 3549.0; 2053.0; 0.0; 673.0; 9896.0; 11360.0; 713.0; 3274.0; 2815.0; 19575.0; 29471.0; 4698.0; 8241.0; 3265.0; 15150.0; 19848.0; 449.0; 9103.0; -3314.0; 0.0; 9623.0; 29471.0
2021-06-30; 706.0; 3608.0; 1828.0; 0.0; 6084.0; 12226.0; 11553.0; 622.0; 3317.0; 2266.0; 19222.0; 31448.0; 8635.0; 7073.0; 3227.0; 14459.0; 23094.0; 449.0; 8442.0; -4094.0; 0.0; 8354.0; 31448.0
2021-03-31; 787.0; 3342.0; 1828.0; 0.0; 6210.0; 12167.0; 11667.0; 711.0; 3242.0; 2261.0; 19310.0; 31477.0; 8390.0; 7954.0; 3116.0; 15316.0; 23706.0; 449.0; 8214.0; -4453.0; 0.0; 7771.0; 31477.0
2020-12-31; 468.0; 2632.0; 1626.0; 0.0; 5460.0; 11236.0; 10945.0; 1178.0; 3115.0; 2257.0; 20482.0; 31718.0; 8284.0; 8042.0; 3060.0; 15566.0; 23850.0; 449.0; 8070.0; -4342.0; 0.0; 7868.0; 31718.0
2020-09-30; 678.0; 3034.0; 2007.0; 0.0; 5569.0; 11288.0; 12410.0; 1100.0; 3304.0; 2252.0; 20552.0; 31840.0; 8476.0; 8525.0; 3147.0; 16268.0; 24744.0; 449.0; 8122.0; -5132.0; 0.0; 7096.0; 31840.0
2020-06-30; 847.0; 3060.0; 2010.0; 0.0; 682.0; 6599.0; 12586.0; 1407.0; 3304.0; 7098.0; 25920.0; 32519.0; 8330.0; 9432.0; 3028.0; 17129.0; 25459.0; 449.0; 8123.0; -5149.0; 0.0; 7060.0; 32519.0
2020-03-31; 1239.0; 3226.0; 2002.0; 0.0; 748.0; 7215.0; 12691.0; 1370.0; 3304.0; 7093.0; 26000.0; 33215.0; 9342.0; 9561.0; 2723.0; 17012.0; 26354.0; 449.0; 8062.0; -5255.0; 0.0; 6861.0; 33215.0
2019-12-31; 511.0; 3280.0; 2208.0; 0.0; 640.0; 6639.0; 13004.0; 1721.0; 3347.0; 7088.0; 26832.0; 33471.0; 8646.0; 9597.0; 2725.0; 17107.0; 25753.0; 449.0; 8408.0; -4739.0; 0.0; 7718.0; 33471.0
2019-09-30; 697.0; 3305.0; 2194.0; 0.0; 855.0; 7051.0; 12845.0; 1651.0; 3412.0; 7084.0; 26797.0; 33848.0; 4729.0; 9957.0; 6870.0; 21663.0; 26392.0; 449.0; 8447.0; -5014.0; 0.0; 7456.0; 33848.0
2019-06-30; 787.0; 3477.0; 2224.0; 0.0; 900.0; 7388.0; 12962.0; 1646.0; 3441.0; 7079.0; 26959.0; 34347.0; 5049.0; 10050.0; 6893.0; 21799.0; 26848.0; 449.0; 8302.0; -4870.0; 0.0; 7499.0; 34347.0
2019-03-31; 641.0; 3493.0; 2301.0; 0.0; 627.0; 7062.0; 13071.0; 1770.0; 3393.0; 7074.0; 27116.0; 34178.0; 4953.0; 9965.0; 6889.0; 21756.0; 26709.0; 449.0; 8211.0; -4975.0; 0.0; 7469.0; 34178.0
2018-12-31; 589.0; 3521.0; 2241.0; 0.0; 645.0; 6996.0; 13067.0; 1648.0; 3374.0; 7070.0; 26580.0; 33576.0; 4694.0; 10015.0; 6858.0; 21499.0; 26193.0; 449.0; 7465.0; -4500.0; 0.0; 7383.0; 33576.0
2018-09-30; 1026.0; 3580.0; 2130.0; 0.0; 582.0; 7318.0; 13088.0; 1615.0; 3371.0; 7065.0; 26485.0; 33803.0; 4603.0; 10700.0; 6840.0; 22142.0; 26745.0; 449.0; 7353.0; -4887.0; 0.0; 7058.0; 33803.0
2018-06-30; 1073.0; 3526.0; 2050.0; 0.0; 623.0; 7272.0; 13193.0; 1538.0; 3378.0; 7061.0; 26524.0; 33796.0; 4618.0; 10805.0; 6852.0; 22314.0; 26932.0; 449.0; 6988.0; -4881.0; 0.0; 6864.0; 33796.0
2018-03-31; 1141.0; 3416.0; 2057.0; 0.0; 646.0; 7260.0; 13335.0; 1490.0; 3414.0; 7056.0; 26770.0; 34030.0; 4465.0; 10759.0; 6851.0; 22300.0; 26765.0; 449.0; 6783.0; -4530.0; 0.0; 7265.0; 34030.0
2017-12-31; 1018.0; 3287.0; 2313.0; 0.0; 1659.0; 8277.0; 13265.0; 390.0; 3411.0; 7051.0; 25626.0; 33903.0; 5102.0; 10846.0; 6858.0; 22260.0; 27362.0; 449.0; 6180.0; -4633.0; 0.0; 6541.0; 33903.0
2017-09-30; 998.0; 3343.0; 2465.0; 0.0; 405.0; 7211.0; 14065.0; 336.0; 3420.0; 7047.0; 26602.0; 33813.0; 4869.0; 11373.0; 6749.0; 24011.0; 28880.0; 449.0; 4918.0; -4949.0; 0.0; 4933.0; 33813.0
2017-06-30; 1041.0; 3283.0; 2361.0; 0.0; 552.0; 7237.0; 14040.0; 325.0; 3409.0; 7042.0; 26640.0; 33877.0; 5002.0; 10392.0; 6744.0; 24310.0; 29312.0; 449.0; 4717.0; -5108.0; 0.0; 4565.0; 33877.0
2017-03-31; 998.0; 3078.0; 2394.0; 0.0; 251.0; 6721.0; 14049.0; 311.0; 3402.0; 7037.0; 26580.0; 33301.0; 4267.0; 10823.0; 6732.0; 24440.0; 28707.0; 449.0; 4832.0; -5152.0; 0.0; 4594.0; 33301.0
2016-12-31; 1033.0; 2852.0; 2233.0; 0.0; 552.0; 6670.0; 13003.0; 360.0; 3364.0; 8051.0; 26423.0; 33093.0; 4069.0; 11075.0; 6733.0; 24665.0; 28734.0; 449.0; 4818.0; -5362.0; 0.0; 4359.0; 33093.0
2016-09-30; 2562.0; 2807.0; 2222.0; 0.0; 225.0; 8103.0; 12205.0; 325.0; 3362.0; 7028.0; 24498.0; 32601.0; 3541.0; 10823.0; 6706.0; 24831.0; 28372.0; 449.0; 4793.0; -5458.0; 0.0; 4229.0; 32601.0
2016-06-30; 1254.0; 2837.0; 2165.0; 0.0; 318.0; 6871.0; 12233.0; 279.0; 3367.0; 7023.0; 24521.0; 31392.0; 4082.0; 8820.0; 6710.0; 23264.0; 27346.0; 449.0; 4657.0; -5481.0; 0.0; 4046.0; 31392.0
2016-03-31; 1155.0; 2641.0; 2217.0; 0.0; 484.0; 6792.0; 12037.0; 287.0; 3354.0; 7019.0; 24251.0; 31043.0; 4098.0; 8824.0; 6713.0; 22685.0; 26783.0; 449.0; 4800.0; -5389.0; 0.0; 4260.0; 31043.0
2015-12-31; 1050.0; 2675.0; 2228.0; 0.0; 212.0; 6477.0; 11980.0; 228.0; 3335.0; 7014.0; 24054.0; 30531.0; 3924.0; 8844.0; 6711.0; 22698.0; 26622.0; 449.0; 4649.0; -5708.0; 0.0; 3909.0; 30531.0
2015-09-30; 1104.0; 2832.0; 2340.0; 0.0; 6152.0; 12754.0; 11832.0; 260.0; 3472.0; 2159.0; 19227.0; 31981.0; 9547.0; 8887.0; 2506.0; 17964.0; 27511.0; 449.0; 4656.0; -5358.0; 0.0; 4470.0; 31981.0
2015-06-30; 1590.0; 3140.0; 2424.0; 0.0; 243.0; 7727.0; 12561.0; 335.0; 3686.0; 2155.0; 20451.0; 28178.0; 5104.0; 9017.0; 2532.0; 18046.0; 23150.0; 449.0; 4604.0; -4886.0; 0.0; 5028.0; 28178.0
2015-03-31; 1576.0; 3074.0; 2437.0; 0.0; 240.0; 7660.0; 12488.0; 272.0; 3677.0; 2150.0; 20307.0; 27967.0; 4776.0; 8461.0; 2546.0; 18188.0; 22964.0; 449.0; 4548.0; -5042.0; 0.0; 5003.0; 27967.0
2014-12-31; 1881.0; 3083.0; 2424.0; 0.0; 240.0; 7959.0; 12728.0; 248.0; 3773.0; 2145.0; 20725.0; 28684.0; 4909.0; 8631.0; 2603.0; 18512.0; 23421.0; 449.0; 4409.0; -4646.0; 0.0; 5263.0; 28684.0
2014-09-30; 1718.0; 3293.0; 2493.0; 0.0; 301.0; 8139.0; 12897.0; 530.0; 3931.0; 2141.0; 21264.0; 29403.0; 4870.0; 8988.0; 2633.0; 17556.0; 22426.0; 449.0; 4446.0; -3065.0; 0.0; 6977.0; 29403.0
2014-06-30; 1293.0; 3969.0; 2798.0; 0.0; 384.0; 8751.0; 13204.0; 727.0; 4007.0; 2136.0; 22051.0; 30802.0; 5393.0; 8997.0; 2646.0; 17718.0; 23111.0; 448.0; 4235.0; -2628.0; 0.0; 7691.0; 30802.0
2014-03-31; 1341.0; 3933.0; 2809.0; 0.0; 347.0; 8733.0; 13194.0; 659.0; 3996.0; 2132.0; 21962.0; 30695.0; 5028.0; 8867.0; 2619.0; 17921.0; 22949.0; 448.0; 4193.0; -2778.0; 0.0; 7746.0; 30695.0
2013-12-31; 1802.0; 3756.0; 2825.0; 0.0; 340.0; 9025.0; 13672.0; 733.0; 3987.0; 2127.0; 22503.0; 31528.0; 5127.0; 8827.0; 2745.0; 18117.0; 23244.0; 447.0; 4446.0; -2759.0; 0.0; 8284.0; 31528.0
2013-09-30; 1946.0; 4024.0; 2841.0; 0.0; 243.0; 9475.0; 13697.0; 755.0; 4491.0; 2122.0; 23114.0; 32589.0; 5395.0; 8900.0; 3055.0; 19652.0; 25047.0; 447.0; 4212.0; -3812.0; 0.0; 7542.0; 32589.0
2013-06-30; 1205.0; 3946.0; 2745.0; 0.0; 1050.0; 9268.0; 13838.0; 730.0; 4437.0; 2118.0; 23277.0; 32545.0; 5677.0; 9057.0; 3107.0; 19843.0; 25520.0; 446.0; 3967.0; -4036.0; 0.0; 7025.0; 32545.0
2013-03-31; 934.0; 3869.0; 2793.0; 0.0; 1045.0; 8981.0; 14141.0; 810.0; 4527.0; 2113.0; 23717.0; 32698.0; 5257.0; 9495.0; 3127.0; 20307.0; 25564.0; 445.0; 3844.0; -3762.0; 0.0; 7134.0; 32698.0
2012-12-31; 1302.0; 3562.0; 2730.0; 0.0; 988.0; 8905.0; 13949.0; 887.0; 4315.0; 2108.0; 23248.0; 32153.0; 4998.0; 9696.0; 3212.0; 20519.0; 25517.0; 440.0; 3662.0; -3840.0; 0.0; 6636.0; 32153.0
2012-09-30; 1275.0; 3699.0; 2667.0; 0.0; 840.0; 8993.0; 13923.0; 870.0; 4406.0; 2103.0; 23568.0; 32561.0; 4997.0; 10048.0; 3329.0; 20219.0; 25216.0; 439.0; 3561.0; -2959.0; 0.0; 7345.0; 32561.0
2012-06-30; 1228.0; 3601.0; 2650.0; 0.0; 1304.0; 9281.0; 13956.0; 759.0; 4230.0; 2475.0; 23807.0; 33088.0; 5227.0; 10478.0; 3297.0; 20767.0; 25994.0; 439.0; 3440.0; -3124.0; 0.0; 7094.0; 33088.0
2012-03-31; 1288.0; 3802.0; 2748.0; 0.0; 906.0; 9212.0; 15159.0; 869.0; 4218.0; 2475.0; 24637.0; 33849.0; 5033.0; 10905.0; 3244.0; 21323.0; 26356.0; 439.0; 3423.0; -2702.0; 0.0; 7493.0; 33849.0
2011-12-31; 3994.0; 3486.0; 2320.0; 0.0; 360.0; 10456.0; 11817.0; 657.0; 2346.0; 0.0; 16562.0; 27018.0; 4738.0; 9189.0; 758.0; 15295.0; 20033.0; 439.0; 3355.0; -3005.0; 0.0; 6985.0; 27018.0
2011-09-30; 2722.0; 3830.0; 2326.0; 0.0; 507.0; 9935.0; 11401.0; 706.0; 2243.0; 0.0; 15899.0; 25834.0; 4747.0; 7801.0; 1011.0; 13425.0; 18172.0; 439.0; 3188.0; -2077.0; 0.0; 7662.0; 25834.0
2011-06-30; 2399.0; 3961.0; 2405.0; 0.0; 317.0; 9416.0; 11821.0; 684.0; 2344.0; 0.0; 16628.0; 26044.0; 4821.0; 7875.0; 621.0; 13254.0; 18075.0; 439.0; 2785.0; -1362.0; 0.0; 7969.0; 26044.0
2011-03-31; 2049.0; 3428.0; 2390.0; 0.0; 278.0; 8488.0; 11952.0; 1095.0; 2320.0; 0.0; 17107.0; 25595.0; 4497.0; 8156.0; 608.0; 13523.0; 18020.0; 439.0; 2675.0; -1611.0; 0.0; 7575.0; 25595.0
