Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 155.22; 1133.6; 0.0; 268.03; 0.0; 1556.85; 4730.44; 0.0; 6276.23; 574.94; 14137.87; 15694.72; 1725.91; 10228.85; 398.83; 13434.96; 15160.88; 2.91; -3330.21; -589.48; 0.0; 533.84; 15694.72
2022-06-30; 144.75; 1116.33; 0.0; 280.94; 0.0; 1542.02; 4618.17; 0.0; 6432.22; 517.54; 14080.3; 15622.32; 1782.27; 9993.13; 404.7; 13188.28; 14970.54; 2.91; -3340.99; -446.98; 0.0; 651.77; 15622.32
2022-03-31; 195.66; 1063.72; 0.0; 268.31; 0.0; 1527.69; 4670.65; 0.0; 6605.12; 480.89; 14100.28; 15627.98; 1700.53; 10143.01; 407.83; 13168.67; 14869.21; 2.91; -3359.88; -294.36; 0.0; 758.77; 15627.98
2021-12-31; 255.83; 961.42; 0.0; 224.02; 0.0; 1441.27; 4668.14; 0.0; 5644.57; 381.62; 13008.76; 14450.03; 2018.58; 8962.51; 144.05; 11574.38; 13592.96; 2.9; -3221.15; -338.35; 0.0; 857.07; 14450.03
2021-09-30; 161.44; 884.35; 0.0; 223.27; 0.0; 1269.05; 4588.62; 0.0; 5702.97; 365.71; 12965.34; 14234.39; 1826.31; 8815.27; 155.05; 11432.94; 13259.25; 2.9; -3101.81; -334.45; 0.0; 975.15; 14234.39
2021-06-30; 315.93; 852.45; 0.0; 222.23; 0.0; 1390.61; 4455.61; 0.0; 5764.94; 360.97; 12923.71; 14314.32; 1748.2; 8760.73; 169.55; 11418.37; 13166.57; 2.9; -2988.9; -258.65; 0.0; 1147.74; 14314.32
2021-03-31; 138.94; 814.98; 0.0; 220.56; 0.0; 1174.49; 4466.64; 0.0; 5792.38; 305.64; 12769.96; 13944.45; 1927.45; 8552.42; 191.0; 11057.29; 12984.74; 2.89; -3083.42; -306.91; 0.0; 959.71; 13944.45
2020-12-31; 205.06; 859.34; 0.0; 205.38; 0.0; 1269.79; 4502.44; 0.0; 5884.59; 295.95; 12879.48; 14149.27; 1995.69; 8509.56; 204.51; 11016.84; 13012.54; 2.88; -2950.34; -255.89; 0.0; 1136.73; 14149.27
2020-09-30; 151.97; 791.86; 0.0; 190.19; 0.0; 1134.03; 4459.07; 0.0; 5778.93; 347.62; 12548.63; 13682.66; 1890.9; 8618.86; 158.51; 10854.51; 12745.41; 2.88; -3018.14; -383.18; 0.0; 937.25; 13682.66
2020-06-30; 907.18; 805.9; 0.0; 184.29; 0.0; 1897.37; 4535.73; 0.0; 5767.34; 219.44; 12470.18; 14367.55; 2383.27; 8750.12; 159.8; 10959.95; 13343.22; 2.88; -2876.86; -427.52; 0.0; 1024.33; 14367.55
2020-03-31; 152.68; 831.51; 0.0; 214.87; 0.0; 1199.06; 4521.09; 0.0; 5736.45; 203.06; 12367.28; 13566.34; 1581.26; 8708.02; 153.26; 10861.23; 12442.5; 2.88; -2690.43; -493.25; 0.0; 1123.84; 13566.34
2019-12-31; 193.56; 850.7; 0.0; 192.08; 0.0; 1236.34; 4623.04; 0.0; 5878.39; 209.95; 12580.48; 13816.82; 1949.51; 8275.57; 143.02; 10403.08; 12352.59; 2.87; -2574.9; -262.58; 0.0; 1464.23; 13816.82
2019-09-30; 186.78; 821.93; 0.0; 195.19; 0.0; 1203.89; 4556.72; 0.0; 5837.28; 213.78; 12373.28; 13577.17; 1830.11; 8220.35; 130.29; 10235.21; 12065.32; 2.87; -2433.8; -346.2; 0.0; 1511.85; 13577.17
2019-06-30; 162.0; 852.33; 0.0; 200.78; 0.0; 1215.1; 4558.56; 0.0; 5940.45; 213.06; 12505.88; 13720.98; 1616.79; 8390.18; 131.91; 10445.21; 12062.0; 2.87; -2364.81; -261.82; 0.0; 1658.98; 13720.98
2019-03-31; 161.47; 837.52; 0.0; 210.85; 0.0; 1209.85; 4525.58; 0.0; 5960.72; 201.68; 12479.51; 13689.36; 1515.13; 8365.74; 127.13; 10413.5; 11928.63; 2.87; -2257.49; -250.96; 0.0; 1760.73; 13689.36
2018-12-31; 165.49; 846.89; 0.0; 195.74; 0.0; 1208.11; 4489.56; 0.0; 5947.55; 212.0; 10649.1; 11857.22; 1490.78; 8016.42; 111.33; 8503.98; 9994.75; 2.86; -2139.49; -265.66; 0.0; 1862.46; 11857.22
2018-09-30; 197.68; 847.45; 0.0; 170.85; 0.0; 1215.97; 4424.69; 0.0; 5995.61; 169.69; 10589.99; 11805.97; 1247.35; 8109.18; 116.76; 8619.74; 9867.09; 2.86; -2098.4; -228.26; 0.0; 1938.88; 11805.97
2018-06-30; 188.19; 867.04; 0.0; 189.1; 0.0; 1244.33; 4406.49; 0.0; 5997.18; 164.53; 10568.2; 11812.53; 1273.1; 7961.76; 119.09; 8481.98; 9755.09; 2.86; -1996.37; -207.45; 0.0; 2057.45; 11812.53
2018-03-31; 442.49; 859.11; 0.0; 223.28; 0.0; 1524.87; 4365.47; 0.0; 5917.97; 189.84; 10473.28; 11998.15; 1231.06; 8020.87; 96.73; 8505.81; 9736.87; 2.86; -1919.79; -74.08; 0.0; 2261.28; 11998.15
2017-12-31; 925.7; 835.74; 0.0; 188.87; 0.0; 1950.32; 3417.68; 0.0; 5470.81; 133.59; 9022.09; 10972.4; 1330.17; 6896.97; 73.04; 7343.39; 8673.56; 2.83; -1765.97; -103.99; 0.0; 2298.84; 10972.4
2017-09-30; 337.89; 784.88; 0.0; 205.45; 0.0; 1328.22; 3344.47; 0.0; 5455.8; 131.5; 8931.78; 10260.01; 1232.37; 6700.09; 87.48; 7158.99; 8391.36; 2.67; -1621.54; -115.34; 0.0; 1868.65; 10260.01
2017-06-30; 291.02; 730.37; 0.0; 184.49; 0.0; 1205.88; 3175.44; 0.0; 5285.78; 147.6; 8608.82; 9814.69; 1474.61; 6028.98; 85.95; 6482.79; 7957.4; 2.64; -1498.29; -153.59; 0.0; 1857.3; 9814.69
2017-03-31; 295.63; 721.03; 0.0; 181.98; 0.0; 1198.64; 3111.74; 0.0; 5233.99; 127.77; 8473.5; 9672.13; 1418.47; 5922.75; 86.58; 6349.89; 7768.36; 2.64; -1430.61; -161.24; 0.0; 1903.77; 9672.13
2016-12-31; 236.48; 691.25; 0.0; 184.37; 0.0; 1112.11; 3083.33; 0.0; 5157.54; 133.82; 8374.69; 9486.8; 1046.56; 6078.21; 99.54; 6503.57; 7550.13; 2.64; -1343.31; -212.57; 0.0; 1936.67; 9486.8
2016-09-30; 458.13; 700.24; 0.0; 169.99; 127.91; 1467.34; 3166.53; 0.0; 5167.82; 103.23; 8437.58; 9904.92; 1024.03; 6338.02; 88.79; 6730.64; 7754.66; 2.63; -1246.41; -138.45; 0.0; 2150.25; 9904.92
2016-06-30; 236.99; 710.53; 0.0; 192.7; 143.97; 1289.37; 3196.25; 0.0; 5150.9; 104.54; 8451.68; 9741.05; 982.03; 6103.06; 86.37; 6512.99; 7495.02; 2.63; -1124.92; -149.29; 0.0; 2246.03; 9741.05
2016-03-31; 117.94; 574.72; 0.0; 116.97; 0.0; 831.9; 2539.3; 0.0; 3019.06; 32.05; 5590.41; 6422.31; 748.49; 4931.3; 74.36; 5152.67; 5901.16; 2.12; -982.53; -152.16; 0.0; 521.14; 6422.31
2015-12-31; 128.38; 564.4; 0.0; 142.95; 0.0; 857.91; 2497.16; 0.0; 2964.29; 31.23; 5492.68; 6350.59; 841.83; 4757.61; 71.84; 4980.15; 5821.98; 2.11; -942.22; -174.92; 0.0; 528.61; 6350.59
2015-09-30; 492.9; 573.89; 0.0; 139.16; 0.0; 1228.3; 2428.72; 0.0; 2922.35; 24.58; 5441.52; 6669.82; 910.78; 4920.57; 74.59; 5139.27; 6050.05; 2.11; -844.67; -163.69; 0.0; 619.78; 6669.82
2015-06-30; 117.1; 596.25; 0.0; 139.77; 0.0; 874.73; 2493.01; 0.0; 2984.16; 26.84; 5547.85; 6422.58; 752.13; 4718.91; 79.12; 4948.22; 5700.35; 2.11; -766.85; -129.75; 0.0; 722.23; 6422.58
2015-03-31; 139.6; 590.03; 0.0; 136.79; 0.0; 887.47; 2476.8; 0.0; 2939.0; 23.12; 5483.98; 6371.45; 720.33; 4667.36; 72.36; 4894.62; 5614.95; 2.1; -719.0; -131.08; 0.0; 756.5; 6371.45
2014-12-31; 159.79; 604.26; 0.0; 139.47; 0.0; 917.72; 2550.73; 0.0; 3031.62; 23.2; 5605.55; 6523.27; 856.74; 4564.36; 73.51; 4796.57; 5653.31; 2.1; -659.55; -75.03; 0.0; 869.96; 6523.27
2014-09-30; 217.85; 619.0; 0.0; 128.91; 0.0; 976.39; 2560.7; 0.0; 3022.36; 25.93; 5659.95; 6636.34; 1598.31; 4331.69; 72.35; 4570.37; 6168.68; 1.94; -516.36; -47.23; 0.0; 467.66; 6636.34
2014-06-30; 179.2; 636.98; 0.0; 145.02; 0.0; 962.87; 2606.9; 0.0; 3096.98; 26.0; 5772.26; 6735.12; 901.71; 4297.94; 66.5; 4536.27; 5437.97; 1.93; 276.35; -2.33; 0.0; 1297.15; 6735.12
2014-03-31; 203.77; 626.12; 0.0; 131.77; 0.0; 987.63; 2561.79; 0.0; 3085.61; 27.65; 5718.99; 6706.62; 867.85; 4288.6; 69.94; 4787.6; 5655.45; 1.92; 63.3; -6.98; 0.0; 1051.17; 6706.62
2013-12-31; 154.39; 616.8; 0.0; 144.8; 0.0; 933.61; 2578.26; 0.0; 3068.84; 26.7; 5719.4; 6653.01; 969.1; 4119.14; 68.22; 4632.17; 5601.27; 1.91; 67.82; -8.66; 0.0; 1051.73; 6653.01
2013-09-30; 205.64; 614.65; 0.0; 106.36; 0.0; 942.48; 2505.98; 0.0; 2864.39; 20.91; 5438.3; 6380.78; 828.5; 3973.8; 70.79; 4480.11; 5308.61; 1.91; 78.86; -4.5; 0.0; 1072.17; 6380.78
2013-06-30; 292.48; 581.48; 0.0; 156.1; 0.0; 1045.98; 2452.31; 0.0; 2774.87; 20.74; 5288.84; 6334.82; 1072.92; 3614.02; 66.55; 4168.35; 5241.28; 1.91; 126.96; -21.7; 0.0; 1093.54; 6334.82
2013-03-31; 263.61; 571.4; 0.0; 166.12; 0.0; 1001.14; 2478.11; 0.0; 2755.01; 21.44; 5297.04; 6298.18; 844.58; 3757.85; 66.4; 4325.52; 5170.1; 1.91; 152.5; 5.35; 0.0; 1128.08; 6298.18
2012-12-31; 277.03; 572.2; 0.0; 164.71; 0.0; 1024.09; 2477.73; 0.0; 2790.88; 21.79; 5334.25; 6358.34; 904.95; 3732.12; 62.92; 4290.94; 5195.89; 1.9; 185.56; 20.31; 0.0; 1162.45; 6358.34
2012-09-30; 371.19; 576.5; 0.0; 113.9; 0.0; 1065.98; 2410.12; 0.0; 2779.52; 26.53; 5261.59; 6327.57; 772.62; 3668.05; 55.04; 4255.84; 5028.45; 1.72; 913.14; 18.27; 0.0; 1299.12; 6327.57
2012-06-30; 206.84; 572.38; 0.0; 97.49; 0.0; 891.15; 2376.35; 0.0; 2769.01; 17.8; 5196.06; 6087.21; 780.73; 3430.16; 61.5; 4056.16; 4836.89; 1.72; 906.81; -1.28; 0.0; 1250.32; 6087.21
2012-03-31; 213.41; 558.36; 0.0; 110.65; 0.0; 932.0; 2402.66; 0.0; 2698.94; 18.59; 5154.62; 6086.62; 778.14; 3390.45; 57.7; 4039.68; 4817.82; 1.71; 915.13; 25.29; 0.0; 1268.8; 6086.62
2011-12-31; 214.96; 543.47; 0.0; 105.54; 0.0; 914.45; 2407.08; 0.0; 2664.42; 19.51; 5126.81; 6041.26; 849.03; 3280.27; 53.17; 3937.97; 4787.0; 1.72; 902.57; -2.2; 0.0; 1254.26; 6041.26
2011-09-30; 515.99; 548.42; 0.0; 132.31; 0.0; 1259.94; 2395.97; 0.0; 2676.91; 21.45; 5131.5; 6391.44; 754.69; 3257.21; 52.7; 3923.05; 4677.74; 1.87; 924.09; 5.55; 0.0; 1713.7; 6391.44
2011-06-30; 306.53; 577.62; 0.0; 120.67; 0.0; 1069.65; 2478.2; 0.0; 2808.24; 22.51; 5341.05; 6410.7; 798.39; 2866.92; 85.73; 3550.2; 4348.59; 2.03; 933.63; 70.8; 0.0; 2062.11; 6410.7
2011-03-31; 224.92; 610.15; 0.0; 140.45; 0.0; 1018.6; 2526.66; 0.0; 2856.02; 41.91; 5451.5; 6470.1; 807.95; 2960.88; 85.74; 3634.17; 4442.12; 2.0; 731.57; 52.0; 0.0; 2027.99; 6470.1
2010-12-31; 293.8; 524.33; 0.0; 136.91; 0.0; 1212.46; 2468.24; 0.0; 2659.37; 27.69; 5203.93; 6416.39; 874.7; 2912.13; 86.61; 3588.82; 4463.53; 2.0; 685.31; 29.48; 0.0; 1952.87; 6416.39
2010-09-30; 219.28; 590.23; 0.0; 157.14; 0.0; 994.61; 2498.87; 0.0; 2756.88; 70.25; 5356.31; 6350.92; 747.17; 2972.97; 89.75; 3636.54; 4383.71; 2.0; 700.2; 22.32; 0.0; 1967.21; 6350.92
2010-06-30; 375.58; 581.18; 0.0; 142.72; 0.0; 1125.23; 2456.82; 0.0; 2960.17; 72.3; 5521.86; 6647.1; 731.65; 3129.15; 128.62; 3799.39; 4531.04; 2.02; 866.51; -23.96; 0.0; 2116.05; 6647.1
2010-03-31; 360.52; 582.6; 0.0; 115.95; 0.0; 1090.32; 2507.73; 0.0; 3022.23; 84.38; 5648.36; 6738.68; 725.91; 3183.35; 124.57; 3860.83; 4586.74; 2.03; 837.86; 8.18; 0.0; 2151.94; 6738.68
2009-12-31; 446.66; 585.38; 0.0; 141.47; 0.0; 1211.42; 2568.2; 0.0; 2973.53; 58.48; 5635.41; 6846.83; 814.71; 3211.22; 105.86; 3874.65; 4689.36; 2.04; 825.01; 27.66; 0.0; 2157.47; 6846.83
2009-09-30; 449.26; 596.43; 0.0; 126.73; 0.0; 1197.67; 2467.92; 0.0; 2946.37; 58.13; 5508.56; 6706.23; 721.5; 3275.93; 112.35; 3934.65; 4656.15; 2.03; 751.53; 4.82; 0.0; 2050.07; 6706.23
2009-06-30; 316.06; 589.16; 0.0; 169.41; 0.0; 1112.61; 2387.32; 0.0; 2881.9; 59.81; 5359.89; 6472.5; 676.77; 3208.38; 114.01; 3844.16; 4520.93; 2.03; 708.35; -34.56; 0.0; 1951.57; 6472.5
2009-03-31; 271.83; 562.66; 0.0; 100.15; 0.0; 973.94; 2336.35; 0.0; 2840.39; 62.04; 5270.63; 6244.56; 663.71; 3130.36; 114.46; 3762.81; 4426.53; 2.02; 620.71; -65.73; 0.0; 1818.04; 6244.56
