Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 31.97; 247.54; 0.0; 134.54; 0.0; 485.1; 208.31; 0.0; 1435.69; 300.92; 2093.36; 2578.46; 470.33; 245.0; 51.33; 646.99; 1117.32; 1.04; 2707.18; 0.0; 0.0; 1461.14; 2578.46
2022-06-30; 48.79; 361.89; 0.0; 125.54; 20.2; 613.52; 211.71; 0.0; 1193.06; 293.53; 1842.04; 2455.56; 543.83; 115.0; 51.0; 530.11; 1073.94; 1.04; 2636.34; 0.0; 0.0; 1381.62; 2455.56
2022-03-31; 39.8; 227.65; 0.0; 126.17; 20.2; 470.9; 215.33; 0.0; 1185.51; 263.94; 1801.2; 2272.1; 320.16; 225.0; 54.45; 623.33; 943.5; 1.04; 2591.61; 0.0; 0.0; 1328.61; 2272.1
2021-12-31; 29.12; 258.98; 0.0; 116.78; 0.0; 467.03; 241.41; 0.0; 1178.95; 260.19; 1813.77; 2280.8; 373.35; 240.03; 56.05; 635.45; 1008.81; 1.04; 2542.58; 0.0; 0.0; 1272.0; 2280.8
2021-09-30; 44.25; 273.99; 0.0; 111.29; 0.0; 490.96; 241.16; 0.0; 1168.88; 248.92; 1789.95; 2280.91; 430.04; 65.06; 57.21; 455.21; 885.25; 1.04; 2480.57; 0.0; 0.0; 1395.66; 2280.91
2021-06-30; 50.99; 336.81; 0.0; 109.72; 0.0; 543.74; 252.48; 0.0; 1163.52; 249.21; 1792.42; 2336.16; 520.86; 100.08; 59.31; 496.0; 1016.86; 1.04; 2412.5; 0.0; 0.0; 1319.29; 2336.16
2021-03-31; 70.12; 217.25; 0.0; 107.58; 0.0; 442.67; 248.04; 0.0; 1160.91; 234.84; 1768.83; 2211.5; 301.73; 200.12; 66.08; 594.33; 896.06; 1.04; 2369.66; 0.0; 0.0; 1315.44; 2211.5
2020-12-31; 147.76; 221.6; 0.0; 98.54; 0.0; 518.48; 257.88; 0.0; 1154.46; 233.87; 1768.22; 2286.71; 350.97; 0.15; 68.28; 390.56; 741.53; 1.04; 2332.51; 0.0; 0.0; 1545.18; 2286.71
2020-09-30; 195.32; 223.01; 0.0; 103.1; 0.0; 574.54; 263.71; 0.0; 1154.68; 225.15; 1760.54; 2335.08; 407.38; 0.17; 69.64; 383.95; 791.33; 1.04; 2293.23; 0.0; 0.0; 1543.75; 2335.08
2020-06-30; 213.34; 322.0; 0.0; 95.53; 0.0; 669.1; 273.43; 0.0; 1151.83; 220.59; 1759.37; 2428.47; 494.85; 0.21; 68.27; 383.94; 878.79; 1.04; 2235.32; 0.0; 0.0; 1549.69; 2428.47
2020-03-31; 109.51; 219.12; 0.0; 109.45; 0.0; 479.65; 277.09; 0.0; 1153.18; 213.11; 1749.77; 2229.42; 298.41; 55.17; 67.19; 417.15; 715.56; 1.04; 2206.91; 0.0; 0.0; 1513.86; 2229.42
2019-12-31; 72.51; 204.7; 0.0; 99.3; 6.36; 427.73; 278.69; 0.0; 1161.14; 218.56; 1759.71; 2187.44; 343.15; 0.0; 72.22; 357.54; 700.69; 1.04; 2166.04; 0.0; 0.0; 1486.75; 2187.44
2019-09-30; 96.68; 234.36; 0.0; 102.19; 6.55; 484.12; 274.53; 0.0; 1158.26; 212.25; 1741.86; 2225.98; 393.08; 0.0; 75.56; 356.24; 749.32; 1.03; 2124.67; 0.0; 0.0; 1476.66; 2225.98
2019-06-30; 93.63; 327.9; 0.0; 106.47; 6.36; 569.45; 272.47; 0.0; 1118.08; 134.74; 1615.38; 2184.83; 469.96; 0.0; 14.29; 285.85; 755.82; 1.03; 2066.07; 0.0; 0.0; 1429.01; 2184.83
2019-03-31; 35.4; 207.98; 0.0; 106.03; 0.0; 388.56; 279.95; 0.0; 1115.53; 133.64; 1614.32; 2002.88; 330.87; 0.0; 14.49; 246.01; 576.88; 1.03; 2035.86; 0.0; 0.0; 1426.0; 2002.88
2018-12-31; 26.16; 194.22; 0.0; 99.05; 0.0; 362.64; 283.45; 0.0; 1113.79; 129.56; 1609.14; 1971.78; 340.07; 0.0; 14.49; 239.75; 579.82; 1.03; 2007.47; 0.0; 0.0; 1391.95; 1971.78
2018-09-30; 114.87; 202.71; 0.0; 102.42; 0.0; 457.84; 286.5; 0.0; 1091.73; 119.5; 1575.26; 2033.1; 420.23; 0.0; 14.19; 244.31; 664.54; 1.03; 1967.92; 0.0; 0.0; 1368.56; 2033.1
2018-06-30; 31.44; 318.94; 0.0; 96.07; 1.3; 470.74; 285.55; 0.0; 1091.6; 110.3; 1562.32; 2033.06; 448.06; 0.0; 12.87; 262.16; 710.21; 1.03; 1912.93; 0.0; 0.0; 1322.84; 2033.06
2018-03-31; 57.4; 182.31; 0.0; 76.31; 0.0; 362.03; 261.22; 0.0; 1088.49; 99.89; 1543.34; 1905.37; 289.24; 105.0; 12.3; 393.05; 682.28; 1.03; 1800.23; 0.0; 0.0; 1223.09; 1905.37
2017-12-31; 57.72; 190.46; 0.0; 71.43; 0.0; 369.6; 272.09; 0.0; 1090.31; 90.64; 1547.48; 1917.08; 353.75; 100.0; 12.07; 389.32; 743.08; 1.03; 1756.42; 0.0; 0.0; 1174.0; 1917.08
2017-09-30; 104.04; 175.46; 0.0; 70.81; 0.0; 403.87; 273.83; 0.0; 940.15; 84.7; 1392.47; 1796.35; 414.74; 0.0; 7.84; 343.79; 758.53; 1.03; 1624.79; 0.0; 0.0; 1037.81; 1796.35
2017-06-30; 114.77; 297.06; 0.0; 66.89; 0.0; 520.03; 282.93; 0.0; 926.61; 82.53; 1388.91; 1908.94; 471.19; 50.0; 7.55; 405.7; 876.89; 1.03; 1585.28; 0.0; 0.0; 1032.05; 1908.94
2017-03-31; 42.92; 148.1; 0.0; 65.23; 0.0; 299.15; 285.02; 0.0; 926.75; 76.98; 1387.83; 1686.98; 269.88; 50.0; 7.63; 405.0; 674.87; 1.03; 1544.65; 0.0; 0.0; 1012.11; 1686.98
2016-12-31; 64.19; 155.91; 0.0; 60.84; 0.0; 323.74; 289.27; 0.0; 924.16; 76.77; 1394.36; 1718.1; 328.59; 50.0; 8.48; 418.1; 746.68; 1.03; 1508.67; 0.0; 0.0; 971.41; 1718.1
2016-09-30; 84.52; 151.42; 0.0; 61.66; 0.0; 342.9; 293.24; 0.0; 918.45; 75.1; 1389.35; 1732.25; 379.37; 0.0; 9.95; 380.29; 759.66; 1.03; 1471.58; 0.0; 0.0; 972.59; 1732.25
2016-06-30; 70.31; 269.56; 0.0; 56.59; 0.0; 431.93; 298.56; 0.0; 914.76; 70.46; 1383.58; 1815.51; 443.73; 0.0; 9.44; 375.57; 819.3; 1.03; 1431.19; 0.0; 0.0; 996.21; 1815.51
2016-03-31; 54.0; 145.64; 0.0; 70.08; 0.0; 309.97; 298.02; 0.0; 936.97; 58.94; 1392.65; 1702.62; 279.26; 100.0; 9.71; 474.49; 753.75; 1.03; 1369.0; 0.0; 0.0; 948.87; 1702.62
2015-12-31; 55.13; 150.21; 0.0; 74.94; 0.0; 320.02; 302.09; 0.0; 928.12; 57.36; 1388.85; 1708.87; 333.75; 100.0; 10.35; 462.64; 796.39; 1.03; 1337.18; 0.0; 0.0; 912.47; 1708.87
2015-09-30; 84.48; 149.45; 0.0; 71.81; 0.0; 345.43; 295.94; 0.0; 918.25; 52.65; 1368.77; 1714.2; 397.23; 0.0; 9.23; 362.69; 759.91; 1.03; 1297.61; 0.0; 0.0; 954.28; 1714.2
2015-06-30; 148.31; 248.14; 0.0; 69.1; 0.0; 493.5; 296.33; 0.0; 898.15; 52.43; 1343.34; 1836.84; 443.61; 50.1; 8.92; 401.69; 845.3; 1.03; 1266.44; 0.0; 0.0; 991.53; 1836.84
2015-03-31; 52.8; 137.43; 0.0; 73.55; 0.0; 294.53; 290.72; 0.0; 890.77; 48.21; 1323.61; 1618.14; 287.61; 70.2; 10.08; 373.92; 661.53; 1.03; 1226.13; 0.0; 0.0; 956.61; 1618.14
2014-12-31; 49.33; 150.0; 0.0; 73.69; 0.0; 306.78; 295.48; 0.0; 883.46; 46.41; 1314.19; 1620.97; 405.26; 0.92; 11.52; 293.65; 698.91; 1.03; 1195.64; 0.0; 0.0; 922.06; 1620.97
2014-09-30; 39.4; 161.73; 0.0; 73.93; 0.0; 310.32; 301.13; 0.0; 881.04; 128.3; 1310.47; 1620.8; 404.72; 1.04; 10.35; 281.6; 686.33; 1.03; 1159.68; 0.0; 0.0; 934.47; 1620.8
2014-06-30; 70.38; 231.98; 0.0; 61.07; 0.0; 390.51; 291.68; 0.0; 875.41; 44.66; 1290.2; 1680.7; 446.81; 3.73; 9.68; 266.51; 713.32; 1.02; 1131.63; 0.0; 0.0; 967.39; 1680.7
2014-03-31; 52.24; 141.07; 0.0; 85.67; 0.0; 278.99; 299.15; 0.0; 868.19; 68.14; 1235.49; 1514.47; 254.45; 3.62; 6.68; 145.48; 399.93; 1.02; 1170.28; 0.0; 0.0; 1114.54; 1514.47
2013-12-31; 155.5; 137.71; 0.0; 89.5; 0.0; 382.71; 299.02; 0.0; 835.04; 65.37; 1199.43; 1582.14; 289.55; 5.69; 6.32; 147.15; 436.7; 1.02; 1142.14; 0.0; 0.0; 1145.45; 1582.14
2013-09-30; 181.79; 155.31; 0.0; 93.36; 0.0; 430.46; 295.63; 0.0; 829.61; 59.43; 1184.68; 1615.14; 365.24; 6.54; 5.83; 145.12; 510.36; 1.02; 1105.26; 0.0; 0.0; 1104.78; 1615.14
2013-06-30; 127.91; 237.37; 0.0; 60.84; 0.0; 456.12; 300.51; 0.0; 822.45; 35.47; 1216.27; 1672.39; 434.2; 7.37; 5.59; 222.37; 656.57; 1.02; 1016.17; 0.0; 0.0; 1015.82; 1672.39
2013-03-31; 182.05; 129.59; 0.0; 81.12; 0.0; 392.76; 291.33; 0.0; 822.4; 56.95; 1170.68; 1563.44; 260.79; 95.06; 5.48; 222.81; 483.6; 1.02; 1042.05; 0.0; 0.0; 1079.84; 1563.44
2012-12-31; 192.85; 132.15; 0.0; 83.93; 0.0; 408.94; 286.42; 0.0; 821.41; 52.74; 1160.57; 1569.51; 299.76; 98.93; 4.33; 223.19; 522.95; 1.02; 1007.25; 0.0; 0.0; 1046.56; 1569.51
2012-09-30; 223.69; 138.54; 0.0; 88.5; 0.0; 450.73; 279.06; 0.0; 821.37; 51.53; 1151.95; 1602.68; 355.37; 101.23; 7.16; 231.3; 586.67; 1.02; 976.64; 0.0; 0.0; 1016.01; 1602.68
2012-06-30; 157.31; 226.78; 0.0; 84.56; 0.0; 468.65; 276.73; 0.0; 822.25; 51.87; 1150.84; 1619.49; 402.24; 106.17; 7.0; 234.19; 636.44; 1.01; 944.08; 0.0; 0.0; 983.06; 1619.49
2012-03-31; 89.77; 125.66; 0.0; 77.54; 0.0; 292.96; 273.11; 0.0; 823.51; 54.45; 1151.07; 1444.04; 221.71; 112.48; 11.42; 243.54; 465.24; 1.01; 910.72; 0.0; 0.0; 978.79; 1444.04
2011-12-31; 96.2; 133.47; 0.0; 79.1; 0.0; 308.77; 278.23; 0.0; 825.11; 51.48; 1154.83; 1463.6; 277.36; 118.11; 10.55; 241.79; 519.15; 1.01; 884.05; 0.0; 0.0; 944.45; 1463.6
2011-09-30; 109.06; 139.99; 0.0; 73.93; 0.0; 322.97; 279.75; 0.0; 829.65; 49.41; 1158.8; 1481.78; 327.8; 124.15; 10.28; 244.82; 572.62; 1.01; 854.62; 0.0; 0.0; 909.16; 1481.78
