Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 928.0; 1472.0; 1438.0; 487.0; 0.0; 4325.0; 2483.0; 76.0; 43323.0; 1196.0; 47115.0; 51440.0; 7233.0; 11561.0; 1800.0; 19106.0; 26339.0; 14.0; 3367.0; -9.0; 0.0; 25101.0; 51440.0
2022-06-30; 554.0; 1326.0; 1239.0; 652.0; 0.0; 3771.0; 2446.0; 78.0; 43937.0; 1159.0; 47657.0; 51428.0; 6761.0; 11555.0; 1714.0; 19276.0; 26037.0; 14.0; 3471.0; 205.0; 0.0; 25391.0; 51428.0
2022-03-31; 594.0; 1214.0; 1045.0; 637.0; 0.0; 3490.0; 2436.0; 29.0; 44132.0; 1119.0; 47754.0; 51244.0; 6448.0; 11584.0; 1647.0; 19285.0; 25733.0; 14.0; 3518.0; 215.0; 0.0; 25511.0; 51244.0
2021-12-31; 568.0; 1148.0; 894.0; 447.0; 0.0; 3057.0; 2494.0; 30.0; 44038.0; 937.0; 47541.0; 50598.0; 6485.0; 11578.0; 1577.0; 19141.0; 25626.0; 14.0; 3199.0; -26.0; 0.0; 24972.0; 50598.0
2021-09-30; 203.0; 1138.0; 972.0; 490.0; 0.0; 2803.0; 2425.0; 85.0; 44076.0; 901.0; 47527.0; 50330.0; 6795.0; 11727.0; 1463.0; 19130.0; 25925.0; 14.0; 2621.0; 6.0; 0.0; 24405.0; 50330.0
2021-06-30; 170.0; 1075.0; 897.0; 474.0; 0.0; 2616.0; 2420.0; 86.0; 44255.0; 926.0; 47728.0; 50344.0; 6917.0; 11721.0; 1491.0; 19184.0; 26101.0; 14.0; 2357.0; 128.0; 0.0; 24243.0; 50344.0
2021-03-31; 349.0; 1065.0; 841.0; 410.0; 0.0; 2665.0; 2261.0; 88.0; 44158.0; 1187.0; 47738.0; 50403.0; 7225.0; 11715.0; 1367.0; 19107.0; 26332.0; 14.0; 2174.0; 164.0; 0.0; 24071.0; 50403.0
2020-12-31; 255.0; 1048.0; 762.0; 323.0; 0.0; 2388.0; 2212.0; 88.0; 44152.0; 894.0; 47391.0; 49779.0; 7694.0; 11143.0; 1119.0; 18255.0; 25949.0; 14.0; 2061.0; 77.0; 0.0; 23830.0; 49779.0
2020-09-30; 218.0; 1051.0; 824.0; 323.0; 0.0; 2416.0; 2092.0; 90.0; 43863.0; 889.0; 46965.0; 49381.0; 7329.0; 11707.0; 1103.0; 18755.0; 26084.0; 14.0; 1845.0; -217.0; 0.0; 23297.0; 49381.0
2020-06-30; 177.0; 1010.0; 747.0; 306.0; 0.0; 2240.0; 2071.0; 102.0; 43753.0; 831.0; 46786.0; 49026.0; 7298.0; 11849.0; 1034.0; 18805.0; 26103.0; 14.0; 1613.0; -328.0; 0.0; 22923.0; 49026.0
2020-03-31; 223.0; 1037.0; 682.0; 335.0; 0.0; 2277.0; 2017.0; 105.0; 43604.0; 811.0; 46566.0; 48843.0; 6858.0; 12431.0; 997.0; 19345.0; 26203.0; 14.0; 1527.0; -480.0; 0.0; 22640.0; 48843.0
2019-12-31; 101.0; 1115.0; 654.0; 403.0; 0.0; 2273.0; 2028.0; 151.0; 44289.0; 748.0; 47245.0; 49518.0; 6474.0; 12827.0; 930.0; 19787.0; 26261.0; 14.0; 1582.0; 104.0; 0.0; 23257.0; 49518.0
2019-09-30; 102.0; 1090.0; 751.0; 326.0; 0.0; 2269.0; 2236.0; 164.0; 44143.0; 561.0; 47131.0; 49400.0; 6550.0; 13147.0; 767.0; 19936.0; 26486.0; 14.0; 1388.0; -27.0; 0.0; 22914.0; 49400.0
2019-06-30; 150.0; 1068.0; 686.0; 317.0; 0.0; 2221.0; 2290.0; 170.0; 44267.0; 572.0; 47326.0; 49547.0; 6695.0; 13164.0; 771.0; 19969.0; 26664.0; 14.0; 1294.0; 51.0; 0.0; 22883.0; 49547.0
2019-03-31; 129.0; 1016.0; 663.0; 354.0; 0.0; 2162.0; 2282.0; 172.0; 44065.0; 584.0; 47129.0; 49291.0; 6656.0; 13246.0; 775.0; 19961.0; 26617.0; 14.0; 1192.0; -37.0; 0.0; 22674.0; 49291.0
2018-12-31; 129.0; 1150.0; 626.0; 254.0; 0.0; 2159.0; 2310.0; 186.0; 43978.0; 259.0; 46759.0; 48918.0; 5702.0; 14201.0; 559.0; 20683.0; 26385.0; 14.0; 1178.0; -130.0; 0.0; 22533.0; 48918.0
2018-09-30; 112.0; 1196.0; 720.0; 357.0; 0.0; 2385.0; 2345.0; 193.0; 43727.0; 315.0; 46673.0; 49058.0; 5967.0; 14580.0; 244.0; 20798.0; 26765.0; 14.0; 1122.0; 137.0; 0.0; 22293.0; 49058.0
2018-06-30; 89.0; 866.0; 265.0; 196.0; 0.0; 1416.0; 1183.0; 34.0; 7339.0; 214.0; 8830.0; 10246.0; 1526.0; 4126.0; 206.0; 5998.0; 7524.0; 2.0; 2920.0; -200.0; 0.0; 2722.0; 10246.0
2018-03-31; 29.0; 749.0; 243.0; 225.0; 0.0; 1246.0; 1198.0; 36.0; 7348.0; 286.0; 8933.0; 10179.0; 1624.0; 4135.0; 273.0; 6069.0; 7693.0; 2.0; 2667.0; -183.0; 0.0; 2486.0; 10179.0
2017-12-31; 95.0; 483.0; 384.0; 94.0; 0.0; 1056.0; 790.0; 97.0; 13653.0; 121.0; 14688.0; 15744.0; 2018.0; 4976.0; 56.0; 6328.0; 8346.0; 8.0; 914.0; 99.0; 0.0; 7398.0; 15744.0
2017-09-30; 155.0; 706.0; 261.0; 144.0; 0.0; 1266.0; 1129.0; 24.0; 7345.0; 215.0; 8773.0; 10039.0; 1359.0; 4399.0; 204.0; 6551.0; 7910.0; 2.0; 2311.0; -184.0; 0.0; 2129.0; 10039.0
2017-06-30; 375.0; 748.0; 267.0; 165.0; 0.0; 1555.0; 1120.0; 23.0; 7352.0; 208.0; 8764.0; 10319.0; 1580.0; 4391.0; 248.0; 6584.0; 8164.0; 2.0; 2346.0; -193.0; 0.0; 2155.0; 10319.0
2017-03-31; 160.0; 661.0; 246.0; 180.0; 0.0; 1247.0; 1125.0; 23.0; 7344.0; 206.0; 8761.0; 10008.0; 1147.0; 4467.0; 258.0; 6668.0; 7815.0; 2.0; 2336.0; -206.0; 0.0; 2193.0; 10008.0
2016-12-31; 1787.0; 646.0; 202.0; 101.0; 0.0; 2736.0; 1138.0; 23.0; 5649.0; 183.0; 7055.0; 9791.0; 1051.0; 4468.0; 209.0; 6606.0; 7657.0; 2.0; 2266.0; -229.0; 0.0; 2134.0; 9791.0
