Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 6681.0; 0.0; 0.0; 0.0; 0.0; 132311.0; 629.0; 49435.0; 2858.0; 4351.0; 57740.0; 190051.0; 158504.0; 18257.0; 0.0; 18257.0; 176761.0; 1257.0; 15450.0; -6257.0; 0.0; 13290.0; 190051.0
2022-06-30; 3943.0; 0.0; 0.0; 0.0; 0.0; 127069.0; 638.0; 51592.0; 2870.0; 4343.0; 59939.0; 187008.0; 155964.0; 16617.0; 0.0; 16617.0; 172581.0; 1257.0; 15118.0; -4166.0; 0.0; 14427.0; 187008.0
2022-03-31; 5413.0; 0.0; 0.0; 0.0; 0.0; 121622.0; 647.0; 51274.0; 2812.0; 4340.0; 59599.0; 181221.0; 155099.0; 10814.0; 0.0; 10814.0; 165913.0; 1257.0; 14793.0; -2929.0; 0.0; 15308.0; 181221.0
2021-12-31; 12624.0; 0.0; 0.0; 0.0; 0.0; 124411.0; 681.0; 53542.0; 2823.0; 4327.0; 61935.0; 186346.0; 156881.0; 12042.0; 0.0; 12042.0; 168923.0; 1257.0; 14553.0; -586.0; 0.0; 17423.0; 186346.0
2021-09-30; 21273.0; 0.0; 0.0; 0.0; 0.0; 129007.0; 678.0; 49624.0; 2817.0; 4312.0; 58028.0; 187035.0; 156360.0; 13165.0; 0.0; 13165.0; 169525.0; 1257.0; 14133.0; -45.0; 0.0; 17510.0; 187035.0
2021-06-30; 22103.0; 0.0; 0.0; 0.0; 0.0; 131116.0; 785.0; 41448.0; 2832.0; 4304.0; 49999.0; 181115.0; 149963.0; 13211.0; 0.0; 13211.0; 163174.0; 1257.0; 13689.0; 150.0; 0.0; 17941.0; 181115.0
2021-03-31; 17125.0; 0.0; 0.0; 0.0; 0.0; 126256.0; 737.0; 41401.0; 2846.0; 4296.0; 49947.0; 176203.0; 146070.0; 12499.0; 0.0; 12499.0; 158569.0; 1257.0; 13166.0; 103.0; 0.0; 17634.0; 176203.0
2020-12-31; 18020.0; 0.0; 0.0; 0.0; 0.0; 125974.0; 753.0; 35772.0; 2852.0; 4286.0; 44362.0; 170336.0; 138646.0; 13709.0; 0.0; 13709.0; 152355.0; 1257.0; 12751.0; 738.0; 0.0; 17981.0; 170336.0
2020-09-30; 15837.0; 0.0; 0.0; 0.0; 0.0; 125996.0; 765.0; 35899.0; 2867.0; 4274.0; 44544.0; 170540.0; 140133.0; 12685.0; 0.0; 12685.0; 152818.0; 1257.0; 12375.0; 867.0; 0.0; 17722.0; 170540.0
2020-06-30; 15740.0; 0.0; 0.0; 0.0; 0.0; 129174.0; 776.0; 33330.0; 2882.0; 4251.0; 42018.0; 171192.0; 139916.0; 13734.0; 0.0; 13734.0; 153650.0; 1257.0; 12154.0; 936.0; 0.0; 17542.0; 171192.0
2020-03-31; 5733.0; 0.0; 0.0; 0.0; 0.0; 116319.0; 791.0; 31124.0; 2900.0; 4243.0; 39878.0; 156197.0; 125054.0; 13732.0; 0.0; 13732.0; 138786.0; 1257.0; 12174.0; 814.0; 0.0; 17411.0; 156197.0
2019-12-31; 3044.0; 0.0; 0.0; 0.0; 0.0; 103618.0; 814.0; 32515.0; 2917.0; 4233.0; 41370.0; 144988.0; 115502.0; 12448.0; 0.0; 12448.0; 127950.0; 1257.0; 12469.0; 26.0; 0.0; 17038.0; 144988.0
2019-09-30; 4950.0; 0.0; 0.0; 0.0; 0.0; 104296.0; 815.0; 33488.0; 2936.0; 4216.0; 42395.0; 146691.0; 115105.0; 14470.0; 0.0; 14470.0; 129575.0; 1257.0; 12209.0; 159.0; 0.0; 17116.0; 146691.0
2019-06-30; 4055.0; 0.0; 0.0; 0.0; 0.0; 102525.0; 829.0; 33038.0; 2962.0; 4201.0; 42020.0; 144545.0; 113262.0; 14312.0; 0.0; 14312.0; 127574.0; 1257.0; 12005.0; -2.0; 0.0; 16971.0; 144545.0
2019-03-31; 4101.0; 0.0; 0.0; 0.0; 0.0; 99886.0; 849.0; 32734.0; 2816.0; 4184.0; 41629.0; 141515.0; 111421.0; 14168.0; 0.0; 14168.0; 125589.0; 1257.0; 11771.0; -530.0; 0.0; 15926.0; 141515.0
2018-12-31; 4089.0; 0.0; 0.0; 0.0; 0.0; 99015.0; 882.0; 31613.0; 2832.0; 4171.0; 40598.0; 139613.0; 110285.0; 13732.0; 0.0; 13732.0; 124017.0; 1257.0; 11556.0; -818.0; 0.0; 15596.0; 139613.0
2018-09-30; 3549.0; 0.0; 0.0; 0.0; 0.0; 97926.0; 891.0; 30891.0; 2854.0; 5086.0; 40879.0; 138805.0; 109746.0; 13849.0; 0.0; 13849.0; 123595.0; 1257.0; 11262.0; -1166.0; 0.0; 15210.0; 138805.0
2018-06-30; 4263.0; 0.0; 0.0; 0.0; 0.0; 97398.0; 892.0; 30353.0; 2877.0; 5050.0; 40394.0; 137792.0; 108837.0; 13853.0; 0.0; 13853.0; 122690.0; 1257.0; 10970.0; -1085.0; 0.0; 15102.0; 137792.0
2018-03-31; 3056.0; 0.0; 0.0; 0.0; 0.0; 96147.0; 916.0; 30792.0; 2925.0; 4980.0; 40902.0; 137049.0; 108354.0; 13749.0; 0.0; 13749.0; 122103.0; 1257.0; 10624.0; -991.0; 0.0; 14946.0; 137049.0
2017-12-31; 5954.0; 0.0; 0.0; 0.0; 0.0; 96826.0; 930.0; 30695.0; 2954.0; 4953.0; 40872.0; 137698.0; 108340.0; 14333.0; 0.0; 14333.0; 122673.0; 1257.0; 10335.0; -779.0; 0.0; 15025.0; 137698.0
