Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-10-31; 2042.0; 905.0; 858.0; 0.0; 429.0; 4234.0; 690.0; 62.0; 1771.0; 454.0; 3864.0; 8098.0; 1407.0; 1793.0; 296.0; 2530.0; 3937.0; 2.0; 4554.0; -454.0; 0.0; 4161.0; 8098.0
2022-07-31; 1847.0; 882.0; 837.0; 0.0; 395.0; 3961.0; 668.0; 73.0; 1822.0; 442.0; 3891.0; 7852.0; 1312.0; 1792.0; 305.0; 2620.0; 3932.0; 2.0; 4255.0; -500.0; 0.0; 3920.0; 7852.0
2022-04-30; 1886.0; 803.0; 810.0; 0.0; 387.0; 3886.0; 664.0; 81.0; 1833.0; 419.0; 3878.0; 7764.0; 1360.0; 1792.0; 320.0; 2625.0; 3985.0; 2.0; 3917.0; -474.0; 0.0; 3779.0; 7764.0
2022-01-31; 1977.0; 708.0; 804.0; 0.0; 319.0; 3808.0; 672.0; 65.0; 1873.0; 397.0; 3920.0; 7728.0; 1257.0; 1791.0; 343.0; 2661.0; 3918.0; 2.0; 3659.0; -451.0; 0.0; 3810.0; 7728.0
2021-10-31; 2052.0; 735.0; 777.0; 0.0; 270.0; 3834.0; 650.0; 70.0; 1900.0; 389.0; 3947.0; 7781.0; 1309.0; 1791.0; 352.0; 2688.0; 3997.0; 2.0; 3430.0; -442.0; 0.0; 3784.0; 7781.0
2021-07-31; 2153.0; 677.0; 770.0; 0.0; 229.0; 3829.0; 616.0; 68.0; 1893.0; 428.0; 3975.0; 7804.0; 1199.0; 1791.0; 341.0; 2855.0; 4054.0; 2.0; 3148.0; -528.0; 0.0; 3750.0; 7804.0
2021-04-30; 1993.0; 676.0; 774.0; 0.0; 275.0; 3718.0; 598.0; 65.0; 1924.0; 433.0; 3968.0; 7686.0; 1288.0; 1790.0; 333.0; 2853.0; 4141.0; 2.0; 2894.0; -511.0; 0.0; 3545.0; 7686.0
2021-01-31; 1887.0; 654.0; 760.0; 0.0; 265.0; 3566.0; 597.0; 62.0; 1944.0; 410.0; 3928.0; 7494.0; 1124.0; 1790.0; 332.0; 2834.0; 3958.0; 2.0; 2708.0; -536.0; 0.0; 3536.0; 7494.0
2020-10-31; 1756.0; 606.0; 757.0; 0.0; 255.0; 3374.0; 595.0; 61.0; 1898.0; 368.0; 3844.0; 7218.0; 1081.0; 1789.0; 365.0; 2840.0; 3921.0; 2.0; 2536.0; -599.0; 0.0; 3297.0; 7218.0
2020-07-31; 1697.0; 569.0; 778.0; 0.0; 234.0; 3278.0; 584.0; 62.0; 1929.0; 375.0; 3883.0; 7161.0; 980.0; 1789.0; 358.0; 2827.0; 3807.0; 2.0; 2319.0; -520.0; 0.0; 3354.0; 7161.0
2020-04-30; 1841.0; 485.0; 756.0; 0.0; 211.0; 3293.0; 575.0; 57.0; 1599.0; 354.0; 3464.0; 6757.0; 949.0; 1788.0; 300.0; 2723.0; 3672.0; 2.0; 2143.0; -567.0; 0.0; 3085.0; 6757.0
2020-01-31; 1691.0; 670.0; 737.0; 0.0; 228.0; 3326.0; 578.0; 48.0; 1650.0; 347.0; 3515.0; 6841.0; 982.0; 1788.0; 290.0; 2732.0; 3714.0; 2.0; 2072.0; -561.0; 0.0; 3127.0; 6841.0
2019-10-31; 1598.0; 668.0; 705.0; 0.0; 244.0; 3215.0; 576.0; 46.0; 1699.0; 332.0; 3408.0; 6623.0; 1003.0; 1788.0; 295.0; 2616.0; 3619.0; 2.0; 1909.0; -578.0; 0.0; 3004.0; 6623.0
2019-07-31; 1394.0; 618.0; 696.0; 0.0; 227.0; 2935.0; 568.0; 46.0; 1755.0; 341.0; 3413.0; 6348.0; 1432.0; 1292.0; 297.0; 1978.0; 3410.0; 2.0; 1714.0; -460.0; 0.0; 2938.0; 6348.0
2019-04-30; 1277.0; 660.0; 660.0; 0.0; 227.0; 2824.0; 563.0; 42.0; 1717.0; 317.0; 3366.0; 6190.0; 1485.0; 1292.0; 251.0; 1907.0; 3392.0; 2.0; 1555.0; -461.0; 0.0; 2798.0; 6190.0
2019-01-31; 1098.0; 580.0; 641.0; 0.0; 225.0; 2544.0; 558.0; 52.0; 1775.0; 308.0; 3434.0; 5978.0; 1400.0; 1291.0; 284.0; 1920.0; 3320.0; 2.0; 1402.0; -449.0; 0.0; 2658.0; 5978.0
2018-10-31; 913.0; 624.0; 619.0; 0.0; 222.0; 2378.0; 555.0; 46.0; 1816.0; 279.0; 3446.0; 5824.0; 1462.0; 1291.0; 287.0; 1929.0; 3391.0; 2.0; 1212.0; -488.0; 0.0; 2433.0; 5824.0
2018-07-31; 742.0; 597.0; 609.0; 0.0; 234.0; 2182.0; 549.0; 54.0; 2590.0; 285.0; 3664.0; 5846.0; 900.0; 1790.0; 201.0; 2333.0; 3233.0; 2.0; 1326.0; -449.0; 0.0; 2613.0; 5846.0
2018-04-30; 784.0; 579.0; 597.0; 0.0; 229.0; 2189.0; 546.0; 59.0; 2645.0; 281.0; 3734.0; 5923.0; 953.0; 1789.0; 230.0; 2447.0; 3400.0; 2.0; 1205.0; -419.0; 0.0; 2523.0; 5923.0
2018-01-31; 980.0; 454.0; 609.0; 0.0; 232.0; 2275.0; 539.0; 61.0; 2701.0; 270.0; 3775.0; 6050.0; 886.0; 2028.0; 232.0; 2680.0; 3566.0; 2.0; 1141.0; -412.0; 0.0; 2484.0; 6050.0
2017-10-31; 818.0; 547.0; 588.0; 0.0; 224.0; 2177.0; 530.0; 63.0; 2737.0; 240.0; 3756.0; 5933.0; 819.0; 2038.0; 356.0; 2804.0; 3623.0; 2.0; 1041.0; -457.0; 0.0; 2310.0; 5933.0
2017-07-31; 876.0; 521.0; 561.0; 0.0; 200.0; 2158.0; 546.0; 60.0; 2726.0; 134.0; 3682.0; 5840.0; 784.0; 2047.0; 327.0; 2837.0; 3621.0; 2.0; 1079.0; -572.0; 0.0; 2219.0; 5840.0
2017-04-30; 1023.0; 518.0; 585.0; 0.0; 188.0; 2314.0; 545.0; 60.0; 2620.0; 130.0; 3700.0; 6014.0; 876.0; 2156.0; 345.0; 2966.0; 3842.0; 2.0; 1097.0; -595.0; 0.0; 2172.0; 6014.0
2017-01-31; 896.0; 395.0; 479.0; 0.0; 162.0; 1932.0; 494.0; 60.0; 918.0; 123.0; 1937.0; 3869.0; 596.0; 1093.0; 74.0; 1625.0; 2221.0; 2.0; 1048.0; -611.0; 0.0; 1648.0; 3869.0
2016-10-31; 783.0; 437.0; 474.0; 0.0; 160.0; 1854.0; 512.0; 55.0; 944.0; 39.0; 1942.0; 3796.0; 644.0; 1093.0; 69.0; 1639.0; 2283.0; 2.0; 949.0; -618.0; 0.0; 1513.0; 3796.0
2016-07-31; 664.0; 415.0; 479.0; 0.0; 153.0; 1711.0; 522.0; 56.0; 955.0; 114.0; 1964.0; 3675.0; 601.0; 1100.0; 69.0; 1477.0; 2078.0; 2.0; 857.0; -433.0; 0.0; 1597.0; 3675.0
2016-04-30; 620.0; 408.0; 475.0; 0.0; 159.0; 1737.0; 531.0; 58.0; 957.0; 108.0; 1918.0; 3655.0; 652.0; 1100.0; 84.0; 1503.0; 2155.0; 2.0; 766.0; -437.0; 0.0; 1500.0; 3655.0
2016-01-31; 572.0; 361.0; 481.0; 0.0; 138.0; 1626.0; 514.0; 56.0; 929.0; 100.0; 1855.0; 3481.0; 602.0; 1099.0; 81.0; 1497.0; 2099.0; 2.0; 678.0; -497.0; 0.0; 1382.0; 3481.0
2015-10-31; 483.0; 398.0; 487.0; 0.0; 137.0; 1579.0; 518.0; 70.0; 946.0; 100.0; 1929.0; 3508.0; 686.0; 1099.0; 80.0; 1520.0; 2206.0; 2.0; 614.0; -479.0; 0.0; 1302.0; 3508.0
2015-07-31; 1000.0; 313.0; 478.0; 0.0; 119.0; 1983.0; 462.0; 70.0; 384.0; 86.0; 1114.0; 3097.0; 620.0; 1099.0; 52.0; 1372.0; 1992.0; 2.0; 337.0; -376.0; 0.0; 1105.0; 3097.0
2015-04-30; 894.0; 353.0; 476.0; 0.0; 131.0; 1927.0; 460.0; 67.0; 392.0; 89.0; 1134.0; 3061.0; 631.0; 1099.0; 58.0; 1394.0; 2025.0; 2.0; 267.0; -357.0; 0.0; 1036.0; 3061.0
2015-01-31; 887.0; 310.0; 477.0; 0.0; 136.0; 1892.0; 455.0; 59.0; 397.0; 91.0; 1137.0; 3029.0; 700.0; 1099.0; 59.0; 1411.0; 2111.0; 2.0; 171.0; -369.0; 0.0; 918.0; 3029.0
2014-10-31; 810.0; 380.0; 498.0; 0.0; 79.0; 1850.0; 470.0; 63.0; 410.0; 94.0; 1200.0; 3050.0; 769.0; 1099.0; 131.0; 1512.0; 2281.0; 2.0; 101.0; -336.0; 0.0; 769.0; 3050.0
2014-07-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2014-04-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2014-01-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2013-10-31; 0.0; 340.0; 502.0; 0.0; 130.0; 972.0; 1235.0; 44.0; 439.0; 16.0; 1822.0; 2028.0; 560.0; 0.0; 129.0; 223.0; 783.0; 1214.0; 0.0; 0.0; 31.0; 1245.0; 2028.0
2012-10-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
