Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 123.53; 0.0; 0.0; 0.0; 0.0; 393.42; 14754.58; 0.0; 0.0; 2632.14; 17386.72; 17915.57; 0.0; 7210.12; 737.41; 7960.8; 8075.72; 6.18; 78.79; 6.69; 0.0; 9839.85; 17915.57
2022-06-30; 296.8; 0.0; 0.0; 0.0; 0.0; 556.94; 14843.36; 0.0; 0.0; 2653.18; 17496.54; 18197.57; 0.0; 7403.1; 688.02; 8104.4; 8225.83; 6.18; 163.21; 6.48; 0.0; 9971.74; 18197.57
2022-03-31; 370.32; 0.0; 0.0; 0.0; 0.0; 624.0; 14956.06; 0.0; 0.0; 2817.73; 17773.79; 18543.58; 0.0; 7489.45; 702.88; 8205.81; 8328.42; 6.18; 412.66; 2.22; 0.0; 10215.16; 18543.58
2021-12-31; 334.66; 0.0; 0.0; 0.0; 0.0; 589.34; 15041.57; 0.0; 0.0; 2680.83; 17722.4; 18459.2; 0.0; 7475.7; 736.06; 8225.24; 8349.02; 6.17; 299.12; 2.22; 0.0; 10110.18; 18459.2
2021-09-30; 483.47; 0.0; 0.0; 0.0; 0.0; 718.55; 14783.98; 0.0; 0.0; 2938.78; 17722.77; 18590.52; 0.0; 7516.68; 777.62; 8310.08; 8435.1; 6.16; 328.61; 0.0; 0.0; 10155.42; 18590.52
2021-06-30; 230.06; 0.0; 0.0; 0.0; 0.0; 430.18; 9269.21; 0.0; 0.0; 1759.6; 11028.81; 11558.92; 0.0; 5215.51; 460.93; 5692.22; 5786.71; 4.33; -68.27; 0.0; 0.0; 5772.22; 11558.92
2021-03-31; 253.85; 0.0; 0.0; 0.0; 0.0; 454.51; 9415.71; 0.0; 0.0; 1728.05; 11143.76; 11699.7; 0.0; 5341.48; 516.07; 5875.4; 5971.23; 4.33; -104.91; 0.0; 0.0; 5728.47; 11699.7
2020-12-31; 293.19; 0.0; 0.0; 0.0; 0.0; 512.44; 9351.71; 0.0; 0.0; 1512.01; 10999.69; 11614.5; 146.46; 5355.48; 329.9; 5701.17; 5944.24; 4.33; -162.81; 0.0; 0.0; 5670.25; 11614.5
2020-09-30; 324.98; 0.0; 0.0; 0.0; 0.0; 564.84; 9379.21; 0.0; 0.0; 1485.34; 10864.54; 11524.19; 0.0; 5357.38; 522.55; 5897.87; 5986.77; 4.33; -288.49; 0.0; 0.0; 5537.43; 11524.19
2020-06-30; 201.69; 0.0; 0.0; 0.0; 0.0; 451.84; 9402.72; 0.0; 0.0; 1608.98; 11011.7; 11559.97; 0.0; 5350.38; 482.91; 5851.23; 5941.6; 4.33; -200.49; 0.0; 0.0; 5618.37; 11559.97
2020-03-31; 451.8; 0.0; 0.0; 0.0; 0.0; 672.01; 9410.16; 0.0; 0.0; 1125.18; 10535.33; 11305.13; 0.0; 5708.53; 614.64; 6341.12; 6432.66; 4.33; -942.03; 0.0; 0.0; 4872.47; 11305.13
