Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 723.0; 1873.0; 715.0; 0.0; 508.0; 3819.0; 35534.0; 7465.0; 21840.0; 0.0; 66173.0; 69992.0; 6148.0; 29107.0; 2160.0; 31709.0; 37857.0; 23.0; -10593.0; -363.0; 0.0; 32135.0; 69992.0
2022-06-30; 417.0; 2063.0; 690.0; 0.0; 438.0; 3608.0; 35530.0; 7470.0; 21471.0; 0.0; 65782.0; 69390.0; 6892.0; 28552.0; 2125.0; 30873.0; 37765.0; 23.0; -10540.0; -592.0; 0.0; 31625.0; 69390.0
2022-03-31; 348.0; 1661.0; 591.0; 0.0; 433.0; 3033.0; 35557.0; 7545.0; 21532.0; 0.0; 66102.0; 69135.0; 6450.0; 28759.0; 2219.0; 30978.0; 37428.0; 23.0; -10544.0; -674.0; 0.0; 31707.0; 69135.0
2021-12-31; 1147.0; 1611.0; 562.0; 0.0; 509.0; 3829.0; 35653.0; 7578.0; 21592.0; 0.0; 66587.0; 70416.0; 5821.0; 30674.0; 2000.0; 32674.0; 38495.0; 23.0; -10595.0; -411.0; 0.0; 31921.0; 70416.0
2021-09-30; 279.0; 1433.0; 457.0; 0.0; 517.0; 2686.0; 35576.0; 7620.0; 21777.0; 0.0; 66954.0; 69640.0; 5825.0; 30002.0; 2160.0; 32823.0; 38648.0; 23.0; -10617.0; -642.0; 0.0; 30992.0; 69640.0
2021-06-30; 1969.0; 1416.0; 396.0; 0.0; 502.0; 4283.0; 34570.0; 7650.0; 21436.0; 0.0; 65892.0; 70175.0; 5059.0; 31077.0; 2216.0; 33976.0; 39035.0; 23.0; -10496.0; -609.0; 0.0; 31140.0; 70175.0
2021-03-31; 1423.0; 1425.0; 389.0; 0.0; 497.0; 3734.0; 35605.0; 7693.0; 22247.0; 0.0; 67474.0; 71208.0; 4618.0; 31061.0; 2221.0; 33987.0; 38605.0; 23.0; -9124.0; -487.0; 0.0; 32603.0; 71208.0
2020-12-31; 1209.0; 1293.0; 348.0; 0.0; 353.0; 3203.0; 35836.0; 7917.0; 22304.0; 0.0; 68770.0; 71973.0; 5074.0; 32131.0; 2202.0; 35061.0; 40135.0; 23.0; -9936.0; -407.0; 0.0; 31838.0; 71973.0
2020-09-30; 699.0; 1142.0; 317.0; 0.0; 514.0; 2672.0; 35958.0; 8014.0; 22361.0; 0.0; 69149.0; 71821.0; 4376.0; 32660.0; 2093.0; 35500.0; 39876.0; 23.0; -9945.0; -255.0; 0.0; 31945.0; 71821.0
2020-06-30; 546.0; 1073.0; 336.0; 0.0; 535.0; 2490.0; 36027.0; 7892.0; 22418.0; 0.0; 69294.0; 71784.0; 5202.0; 31441.0; 2249.0; 34458.0; 39660.0; 23.0; -9802.0; -199.0; 0.0; 32124.0; 71784.0
