Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-11-30; 1155.14; 246.79; 3414.94; 0.0; 167.14; 4984.02; 3375.0; 0.0; 141.26; 580.79; 20954.92; 25938.94; 1937.05; 17640.68; 364.53; 18514.31; 20451.37; 79.01; 3654.08; 57.42; 0.0; 5487.57; 25938.94
2022-08-31; 590.02; 402.45; 4671.69; 0.0; 208.3; 5872.46; 3312.61; 0.0; 141.26; 559.67; 20598.08; 26470.54; 2132.19; 18046.22; 365.37; 18924.13; 21056.32; 79.02; 3618.8; 32.0; 0.0; 5414.23; 26470.54
2022-05-31; 626.66; 610.59; 4691.09; 0.0; 189.64; 6117.97; 3258.61; 0.0; 141.26; 523.59; 20220.73; 26338.69; 2251.75; 17787.98; 378.51; 18686.31; 20938.06; 79.81; 3636.77; 5.89; 0.0; 5400.64; 26338.69
2022-02-28; 650.82; 560.98; 5124.57; 0.0; 212.92; 6549.29; 3209.07; 0.0; 141.26; 490.66; 19788.97; 26338.26; 2047.46; 18175.02; 357.08; 19055.37; 21102.82; 80.53; 3524.07; -46.42; 0.0; 5235.44; 26338.26
2021-11-30; 615.09; 563.13; 4659.46; 0.0; 117.39; 5955.07; 3175.58; 0.0; 141.26; 458.12; 19620.15; 25575.22; 2056.85; 17458.86; 419.89; 18408.57; 20465.42; 80.94; 3456.43; -100.3; 0.0; 5109.8; 25575.22
2021-08-31; 628.66; 517.26; 4105.46; 0.0; 119.92; 5371.3; 3128.9; 0.0; 150.34; 475.6; 19082.03; 24453.32; 1958.96; 16630.12; 410.77; 17579.18; 19538.14; 81.23; 3293.22; -112.34; 0.0; 4915.18; 24453.32
2021-05-31; 927.53; 413.22; 3248.85; 0.0; 101.0; 4690.6; 3076.17; 0.0; 0.0; 314.73; 18142.28; 22832.89; 2093.39; 15161.0; 428.53; 16036.02; 18129.41; 81.4; 3209.96; -115.75; 0.0; 4703.48; 22832.89
2021-02-28; 628.73; 239.07; 3157.16; 0.0; 91.83; 4116.8; 3055.56; 0.0; 0.65; 282.8; 17424.75; 21541.54; 1698.55; 14619.92; 434.84; 15478.38; 17176.93; 81.59; 2887.9; -118.69; 0.0; 4364.61; 21541.54
2020-11-30; 729.25; 168.98; 2780.2; 0.0; 58.66; 3737.1; 3043.34; 0.0; 0.0; 286.76; 17195.75; 20932.85; 1437.79; 14481.0; 454.52; 15366.58; 16804.37; 81.52; 2737.75; -152.92; 0.0; 4128.48; 20932.85
2020-08-31; 1232.44; 203.16; 2824.96; 0.0; 67.31; 4327.86; 3044.77; 0.0; 0.0; 282.66; 16918.45; 21246.31; 1598.94; 14797.77; 431.92; 15664.8; 17263.75; 82.08; 2600.61; -160.43; 0.0; 3982.56; 21246.31
2020-05-31; 1138.59; 145.02; 1899.43; 0.0; 100.7; 3283.73; 3064.74; 0.0; 0.0; 266.7; 16688.8; 19972.53; 1151.01; 14416.18; 391.71; 15243.22; 16394.22; 81.38; 2303.91; -165.41; 0.0; 3578.31; 19972.53
2020-02-29; 539.25; 191.09; 2846.42; 0.0; 86.93; 3663.69; 3069.1; 0.0; 0.0; 258.75; 17418.49; 21082.18; 1534.71; 14944.06; 393.87; 15778.6; 17313.31; 81.54; 2488.42; -150.07; 0.0; 3768.88; 21082.18
2019-11-30; 515.08; 142.74; 2682.57; 0.0; 109.86; 3450.24; 3036.66; 0.0; 0.0; 201.8; 17036.99; 20487.23; 1421.04; 14604.25; 317.58; 15368.14; 16789.18; 81.9; 2376.6; -82.01; 0.0; 3698.05; 20487.23
