Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 529.0; 1182.0; 1339.0; 22.0; 3359.0; 6431.0; 2092.0; 0.0; 23408.0; 604.0; 26950.0; 33381.0; 5853.0; 5967.0; 1501.0; 9089.0; 14942.0; 191.0; 2768.0; -366.0; 15744.0; 18439.0; 33381.0
2022-06-30; 420.0; 1238.0; 1241.0; 8.0; 3281.0; 6188.0; 2042.0; 0.0; 24464.0; 580.0; 27950.0; 34138.0; 4884.0; 6782.0; 1494.0; 10064.0; 14948.0; 192.0; 3312.0; -232.0; 15814.0; 19190.0; 34138.0
2022-03-31; 402.0; 1337.0; 1090.0; 58.0; 3362.0; 6249.0; 2078.0; 0.0; 24680.0; 571.0; 28195.0; 34444.0; 4737.0; 6795.0; 1580.0; 10341.0; 15078.0; 193.0; 3128.0; -150.0; 16089.0; 19366.0; 34444.0
2021-12-31; 941.0; 1143.0; 982.0; 48.0; 3245.0; 6359.0; 2101.0; 0.0; 24829.0; 566.0; 28350.0; 34709.0; 4551.0; 7048.0; 1679.0; 10839.0; 15390.0; 194.0; 2917.0; -146.0; 16248.0; 19319.0; 34709.0
2021-09-30; 1126.0; 1178.0; 1024.0; 50.0; 3248.0; 6626.0; 2044.0; 0.0; 25003.0; 478.0; 28392.0; 35018.0; 4313.0; 7053.0; 1973.0; 11111.0; 15424.0; 197.0; 2743.0; -303.0; 16847.0; 19594.0; 35018.0
2021-06-30; 2029.0; 1246.0; 872.0; 66.0; 3376.0; 7589.0; 2026.0; 0.0; 25192.0; 477.0; 28475.0; 36064.0; 4464.0; 7061.0; 2810.0; 11624.0; 16088.0; 202.0; 2633.0; -835.0; 17863.0; 19976.0; 36064.0
2021-03-31; 976.0; 1295.0; 904.0; 0.0; 4363.0; 7538.0; 2136.0; 0.0; 25517.0; 499.0; 29052.0; 36590.0; 4231.0; 7066.0; 2856.0; 11877.0; 16108.0; 205.0; 2529.0; -854.0; 18487.0; 20482.0; 36590.0
2020-12-31; 1276.0; 1639.0; 973.0; 61.0; 2718.0; 6667.0; 2102.0; 0.0; 26784.0; 522.0; 30293.0; 36960.0; 4240.0; 6943.0; 2965.0; 11879.0; 16119.0; 208.0; 2347.0; -839.0; 19008.0; 20841.0; 36960.0
2020-09-30; 1341.0; 1325.0; 894.0; 0.0; 2833.0; 6393.0; 2047.0; 0.0; 27164.0; 547.0; 30752.0; 37145.0; 4666.0; 6261.0; 2640.0; 11040.0; 15706.0; 210.0; 2383.0; -590.0; 19310.0; 21439.0; 37145.0
2020-06-30; 1947.0; 1351.0; 859.0; 0.0; 2769.0; 6926.0; 2015.0; 0.0; 27351.0; 550.0; 30926.0; 37852.0; 4587.0; 6273.0; 2527.0; 11039.0; 15626.0; 216.0; 2250.0; -624.0; 20260.0; 22226.0; 37852.0
2020-03-31; 663.0; 1483.0; 990.0; 0.0; 4075.0; 7211.0; 2032.0; 0.0; 27436.0; 530.0; 30894.0; 38105.0; 5123.0; 6294.0; 2530.0; 10955.0; 16078.0; 216.0; 2151.0; -651.0; 20182.0; 22027.0; 38105.0
2019-12-31; 824.0; 1418.0; 1219.0; 0.0; 2851.0; 6312.0; 2117.0; 0.0; 28459.0; 509.0; 32024.0; 38336.0; 4009.0; 6694.0; 2627.0; 11583.0; 15592.0; 218.0; 2183.0; -508.0; 20694.0; 22744.0; 38336.0
2019-09-30; 1001.0; 1566.0; 1339.0; 0.0; 3121.0; 7027.0; 2073.0; 0.0; 28265.0; 524.0; 31920.0; 38947.0; 4718.0; 6307.0; 2974.0; 11304.0; 16022.0; 222.0; 2019.0; -756.0; 21288.0; 22925.0; 38947.0
2019-06-30; 530.0; 648.0; 360.0; 0.0; 1040.0; 2578.0; 894.0; 0.0; 6210.0; 262.0; 7539.0; 10117.0; 2268.0; 2763.0; 1711.0; 4486.0; 6754.0; 119.0; 2173.0; -707.0; 1778.0; 3363.0; 10117.0
2019-03-31; 334.0; 530.0; 433.0; 0.0; 988.0; 2285.0; 904.0; 0.0; 6273.0; 239.0; 7507.0; 9792.0; 1606.0; 3412.0; 1108.0; 4579.0; 6185.0; 118.0; 1986.0; -217.0; 1720.0; 3607.0; 9792.0
2018-12-31; 343.0; 596.0; 425.0; 0.0; 947.0; 2311.0; 901.0; 0.0; 6300.0; 241.0; 7541.0; 9852.0; 1822.0; 3411.0; 1147.0; 4618.0; 6440.0; 118.0; 1824.0; -211.0; 1681.0; 3412.0; 9852.0
2018-09-30; 305.0; 583.0; 413.0; 0.0; 987.0; 2288.0; 898.0; 0.0; 6333.0; 253.0; 7601.0; 9889.0; 1956.0; 3410.0; 1195.0; 4689.0; 6645.0; 118.0; 1680.0; -202.0; 1648.0; 3244.0; 9889.0
2018-06-30; 288.0; 640.0; 411.0; 0.0; 885.0; 2224.0; 900.0; 0.0; 6361.0; 247.0; 7627.0; 9851.0; 1850.0; 3408.0; 1236.0; 4723.0; 6573.0; 118.0; 1648.0; -202.0; 1714.0; 3278.0; 9851.0
2018-03-31; 443.0; 892.0; 963.0; 0.0; 116.0; 2414.0; 879.0; 0.0; 6396.0; 232.0; 7656.0; 10070.0; 2146.0; 3391.0; 1347.0; 4787.0; 6933.0; 119.0; 1543.0; -249.0; 1724.0; 3137.0; 10070.0
2017-12-31; 422.0; 666.0; 942.0; 0.0; 102.0; 2132.0; 878.0; 0.0; 6422.0; 215.0; 7724.0; 9856.0; 1741.0; 3391.0; 1696.0; 5121.0; 6862.0; 119.0; 1424.0; -254.0; 1705.0; 2994.0; 9856.0
2017-09-30; 388.0; 730.0; 896.0; 0.0; 113.0; 2127.0; 890.0; 0.0; 6453.0; 220.0; 7972.0; 10099.0; 1918.0; 3395.0; 1764.0; 5194.0; 7112.0; 119.0; 1387.0; -250.0; 1731.0; 2987.0; 10099.0
2017-06-30; 484.0; 647.0; 841.0; 0.0; 101.0; 2073.0; 904.0; 0.0; 6470.0; 234.0; 8017.0; 10090.0; 1926.0; 3396.0; 1806.0; 5236.0; 7162.0; 120.0; 1343.0; -276.0; 1741.0; 2928.0; 10090.0
2017-03-31; 302.0; 782.0; 894.0; 0.0; 106.0; 2876.0; 895.0; 0.0; 6503.0; 221.0; 8231.0; 11107.0; 1732.0; 3859.0; 2591.0; 6461.0; 8193.0; 122.0; 1554.0; -461.0; 1699.0; 2914.0; 11107.0
2016-12-31; 361.0; 773.0; 1001.0; 0.0; 133.0; 2612.0; 908.0; 0.0; 7285.0; 263.0; 9006.0; 11618.0; 1665.0; 4087.0; 2704.0; 6795.0; 8460.0; 124.0; 1495.0; -523.0; 2061.0; 3158.0; 11618.0
2016-09-30; 284.0; 997.0; 962.0; 0.0; 182.0; 2425.0; 988.0; 0.0; 7495.0; 260.0; 9353.0; 11778.0; 1856.0; 4087.0; 2776.0; 6868.0; 8724.0; 124.0; 1384.0; -497.0; 2042.0; 3054.0; 11778.0
2016-06-30; 487.0; 749.0; 867.0; 0.0; 124.0; 2624.0; 924.0; 0.0; 6583.0; 252.0; 9385.0; 12009.0; 1981.0; 4120.0; 2802.0; 6971.0; 8952.0; 125.0; 1330.0; -495.0; 2096.0; 3057.0; 12009.0
2016-03-31; 302.0; 1198.0; 992.0; 0.0; 360.0; 2866.0; 1007.0; 0.0; 7516.0; 149.0; 9034.0; 11900.0; 2012.0; 4319.0; 2194.0; 6521.0; 8533.0; 124.0; 1232.0; -70.0; 2080.0; 3367.0; 11900.0
2015-12-31; 511.0; 1091.0; 1070.0; 0.0; 122.0; 2835.0; 1102.0; 0.0; 7632.0; 152.0; 9262.0; 12097.0; 2139.0; 4443.0; 2252.0; 6706.0; 8845.0; 124.0; 1127.0; -66.0; 2066.0; 3252.0; 12097.0
2015-09-30; 320.0; 1108.0; 1107.0; 0.0; 132.0; 3053.0; 1150.0; 0.0; 8050.0; 146.0; 9511.0; 12564.0; 1871.0; 4901.0; 2315.0; 7230.0; 9101.0; 124.0; 1342.0; -48.0; 2044.0; 3463.0; 12564.0
2015-06-30; 481.0; 1255.0; 1015.0; 0.0; 165.0; 3183.0; 1165.0; 0.0; 8123.0; 154.0; 9944.0; 13127.0; 2274.0; 5053.0; 2386.0; 7451.0; 9725.0; 124.0; 1258.0; -16.0; 2031.0; 3402.0; 13127.0
2015-03-31; 487.7; 668.1; 635.7; 0.0; 113.8; 2022.1; 705.5; 0.0; 1872.2; 163.5; 2812.4; 4834.5; 1047.6; 1575.8; 370.7; 1946.5; 2994.1; 104.2; 1363.1; -139.1; 512.5; 1840.4; 4834.5
2014-12-31; 469.5; 603.6; 649.6; 0.0; 107.0; 1946.0; 724.5; 0.0; 1900.4; 158.4; 2852.2; 4798.2; 1027.9; 1575.8; 383.1; 1958.9; 2986.8; 104.1; 1286.5; -77.9; 498.9; 1811.4; 4798.2
2014-09-30; 449.1; 617.7; 648.3; 0.0; 96.6; 1924.6; 730.5; 0.0; 1939.3; 158.5; 2912.0; 4836.6; 1082.2; 1575.8; 382.6; 1958.4; 3040.6; 104.6; 1231.4; -35.6; 495.7; 1796.0; 4836.6
2014-06-30; 561.0; 594.2; 618.7; 0.0; 105.2; 1991.3; 728.1; 0.0; 1968.7; 155.8; 2939.9; 4931.2; 1114.6; 1575.8; 415.4; 1991.2; 3105.8; 105.5; 1226.3; -14.9; 509.1; 1825.4; 4931.2
2014-03-31; 349.6; 826.5; 674.0; 0.0; 89.8; 2053.3; 685.5; 0.0; 1974.4; 157.5; 2905.3; 4958.6; 1175.9; 1575.8; 411.9; 1987.7; 3163.6; 106.5; 1199.0; -32.1; 522.0; 1795.0; 4958.6
2013-12-31; 334.4; 737.9; 688.8; 0.0; 92.2; 1972.4; 668.9; 0.0; 1987.9; 155.4; 2911.7; 4884.1; 1150.8; 1577.1; 443.0; 2020.1; 3170.9; 106.7; 1146.9; -38.9; 498.9; 1713.2; 4884.1
2013-09-30; 337.2; 702.0; 656.3; 0.0; 78.7; 1889.5; 651.9; 0.0; 2000.4; 143.6; 2891.2; 4780.7; 1136.5; 1577.1; 437.0; 2014.1; 3150.6; 106.8; 1090.2; -34.2; 467.5; 1630.1; 4780.7
2013-06-30; 321.0; 733.0; 668.7; 0.0; 77.2; 1948.1; 653.2; 0.0; 2000.1; 132.2; 2910.3; 4858.4; 1297.4; 1577.1; 422.7; 1999.8; 3297.2; 106.9; 1079.9; -58.6; 433.1; 1561.2; 4858.4
2013-03-31; 459.0; 740.6; 646.3; 0.0; 89.8; 2125.3; 666.9; 0.0; 2050.9; 163.5; 2951.0; 5076.3; 1441.6; 1576.1; 382.4; 1958.5; 3400.1; 109.2; 1163.7; -43.3; 443.8; 1676.2; 5076.3
2012-12-31; 328.1; 737.8; 624.5; 0.0; 77.7; 2259.2; 666.6; 0.0; 2089.5; 144.1; 2982.1; 5241.3; 1163.2; 1879.2; 372.8; 2252.0; 3415.2; 112.4; 1222.2; 10.1; 478.1; 1826.1; 5241.3
2012-09-30; 326.8; 681.9; 646.8; 0.0; 83.1; 2358.4; 668.6; 0.0; 2115.4; 139.5; 2995.9; 5354.3; 1255.3; 1882.9; 362.8; 2245.7; 3501.0; 113.0; 1251.3; 14.8; 467.3; 1853.3; 5354.3
2012-06-30; 356.0; 762.2; 617.8; 0.0; 71.2; 2600.4; 659.4; 0.0; 2117.0; 135.7; 2992.4; 5592.8; 1414.4; 1883.0; 349.3; 2232.3; 3646.7; 112.1; 1416.6; -22.6; 432.8; 1946.1; 5592.8
2012-03-31; 299.0; 937.7; 743.0; 0.0; 73.2; 2208.6; 701.7; 0.0; 2443.6; 164.5; 3440.3; 5648.9; 1503.9; 1883.2; 360.5; 2243.7; 3747.6; 112.6; 1343.6; 11.5; 425.7; 1901.3; 5648.9
