Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-10-31; 3656.0; 0.0; 19817.0; 0.0; 1518.0; 24991.0; 17275.0; 63.0; 0.0; 831.0; 21982.0; 46973.0; 20876.0; 32904.0; 829.0; 38965.0; 59841.0; 305.0; -13313.0; 140.0; 0.0; -12868.0; 46973.0
2022-07-31; 1932.0; 0.0; 19329.0; 0.0; 1406.0; 22667.0; 18713.0; 56.0; 0.0; 1027.0; 24058.0; 46725.0; 20366.0; 28763.0; 800.0; 34801.0; 55167.0; 316.0; -8895.0; 137.0; 0.0; -8442.0; 46725.0
2022-04-30; 3782.0; 0.0; 20239.0; 0.0; 1590.0; 25611.0; 18890.0; 76.0; 0.0; 984.0; 24114.0; 49725.0; 21831.0; 28776.0; 797.0; 34771.0; 56602.0; 326.0; -7367.0; 164.0; 0.0; -6877.0; 49725.0
2022-01-31; 1404.0; 0.0; 17605.0; 0.0; 1051.0; 20060.0; 19071.0; 199.0; 0.0; 1038.0; 24580.0; 44640.0; 19668.0; 23859.0; 781.0; 29788.0; 49456.0; 335.0; -5115.0; -36.0; 0.0; -4816.0; 44640.0
2021-10-31; 6673.0; 0.0; 16685.0; 0.0; 1491.0; 24849.0; 18925.0; 213.0; 0.0; 1032.0; 24551.0; 49400.0; 20834.0; 23881.0; 1006.0; 30142.0; 50976.0; 343.0; -1913.0; -6.0; 0.0; -1576.0; 49400.0
2021-07-31; 6255.0; 0.0; 17322.0; 0.0; 1506.0; 25083.0; 19031.0; 225.0; 0.0; 1024.0; 24321.0; 49404.0; 21664.0; 21967.0; 1010.0; 27915.0; 49579.0; 350.0; -460.0; -65.0; 0.0; -175.0; 49404.0
2021-04-30; 7146.0; 0.0; 18382.0; 0.0; 1288.0; 26816.0; 19059.0; 197.0; 0.0; 1029.0; 24384.0; 51200.0; 22892.0; 21906.0; 982.0; 27863.0; 50755.0; 358.0; 98.0; -11.0; 0.0; 445.0; 51200.0
2021-01-31; 5196.0; 0.0; 16193.0; 0.0; 937.0; 22326.0; 19155.0; 200.0; 0.0; 882.0; 24409.0; 46735.0; 18730.0; 20668.0; 991.0; 26568.0; 45298.0; 366.0; 1117.0; -136.0; 0.0; 1437.0; 46735.0
2020-10-31; 10101.0; 0.0; 15712.0; 0.0; 1103.0; 26916.0; 18798.0; 202.0; 0.0; 900.0; 23964.0; 50880.0; 19564.0; 21185.0; 1144.0; 27243.0; 46807.0; 376.0; 3942.0; -245.0; 0.0; 4073.0; 50880.0
2020-07-31; 12726.0; 0.0; 13831.0; 0.0; 1160.0; 27717.0; 18734.0; 326.0; 0.0; 921.0; 24046.0; 51763.0; 21370.0; 20197.0; 1000.0; 26037.0; 47407.0; 378.0; 4134.0; -285.0; 0.0; 4356.0; 51763.0
2020-04-30; 6156.0; 0.0; 14283.0; 0.0; 1487.0; 21926.0; 18629.0; 300.0; 0.0; 886.0; 23906.0; 45832.0; 18325.0; 20200.0; 761.0; 25791.0; 44116.0; 377.0; 1722.0; -393.0; 0.0; 1716.0; 45832.0
2020-01-31; 876.0; 0.0; 13179.0; 0.0; 1263.0; 15318.0; 18769.0; 372.0; 0.0; 905.0; 24153.0; 39471.0; 15182.0; 16768.0; 712.0; 22317.0; 37499.0; 381.0; 1727.0; -136.0; 0.0; 1972.0; 39471.0
2019-10-31; 921.0; 0.0; 13716.0; 0.0; 1025.0; 15662.0; 18371.0; 363.0; 0.0; 1016.0; 24102.0; 39764.0; 15063.0; 16635.0; 791.0; 22243.0; 37306.0; 384.0; 2238.0; -164.0; 0.0; 2458.0; 39764.0
2019-07-31; 2071.0; 0.0; 13730.0; 0.0; 995.0; 16796.0; 18203.0; 179.0; 0.0; 1038.0; 23899.0; 40695.0; 15835.0; 16538.0; 759.0; 22220.0; 38055.0; 388.0; 2439.0; -187.0; 0.0; 2640.0; 40695.0
2019-04-30; 3163.0; 0.0; 15026.0; 0.0; 1146.0; 19335.0; 18150.0; 235.0; 0.0; 1078.0; 23884.0; 43219.0; 17781.0; 16542.0; 759.0; 22202.0; 39983.0; 397.0; 3095.0; -256.0; 0.0; 3236.0; 43219.0
2019-01-31; 729.0; 0.0; 12561.0; 0.0; 938.0; 14228.0; 18432.0; 256.0; 303.0; 995.0; 20280.0; 34508.0; 14497.0; 14391.0; 1149.0; 16367.0; 30864.0; 401.0; 3452.0; -209.0; 0.0; 3644.0; 34508.0
2018-10-31; 1876.0; 0.0; 12365.0; 0.0; 897.0; 15138.0; 18923.0; 290.0; 1272.0; 805.0; 21575.0; 36713.0; 15069.0; 14460.0; 963.0; 16250.0; 31319.0; 403.0; 5156.0; -165.0; 0.0; 5394.0; 36713.0
2018-07-31; 2642.0; 0.0; 11885.0; 0.0; 956.0; 15483.0; 19172.0; 87.0; 1271.0; 843.0; 21622.0; 37105.0; 14581.0; 14937.0; 978.0; 16743.0; 31324.0; 406.0; 5517.0; -142.0; 0.0; 5781.0; 37105.0
2018-04-30; 1770.0; 0.0; 13204.0; 0.0; 1059.0; 16033.0; 19500.0; 321.0; 1288.0; 896.0; 22204.0; 38237.0; 15774.0; 14948.0; 962.0; 16718.0; 32492.0; 411.0; 5405.0; -71.0; 0.0; 5745.0; 38237.0
2018-01-31; 690.0; 0.0; 11393.0; 0.0; 689.0; 12772.0; 19721.0; 408.0; 1307.0; 915.0; 22519.0; 35291.0; 12096.0; 15564.0; 955.0; 17322.0; 29418.0; 415.0; 5425.0; 11.0; 0.0; 5873.0; 35291.0
2017-10-31; 828.0; 0.0; 12393.0; 0.0; 788.0; 14009.0; 19818.0; 370.0; 1327.0; 912.0; 22774.0; 36783.0; 13738.0; 15570.0; 939.0; 17303.0; 31041.0; 415.0; 5289.0; 38.0; 0.0; 5742.0; 36783.0
2017-07-31; 1815.0; 0.0; 11407.0; 0.0; 811.0; 14033.0; 19762.0; 360.0; 1255.0; 930.0; 22635.0; 36668.0; 13625.0; 15788.0; 929.0; 17507.0; 31132.0; 419.0; 5253.0; -136.0; 0.0; 5536.0; 36668.0
2017-04-30; 2047.0; 0.0; 12254.0; 0.0; 975.0; 15276.0; 19748.0; 477.0; 1081.0; 759.0; 22337.0; 37613.0; 14686.0; 15770.0; 857.0; 17396.0; 32082.0; 426.0; 5346.0; -241.0; 0.0; 5531.0; 37613.0
2017-01-31; 658.0; 0.0; 10458.0; 0.0; 884.0; 12000.0; 19949.0; 366.0; 1082.0; 789.0; 22408.0; 34408.0; 11974.0; 14394.0; 843.0; 16000.0; 27974.0; 433.0; 6241.0; -240.0; 0.0; 6434.0; 34408.0
2016-10-31; 1083.0; 0.0; 10990.0; 0.0; 655.0; 12728.0; 20037.0; 436.0; 1034.0; 804.0; 22642.0; 35370.0; 12633.0; 14395.0; 889.0; 16029.0; 28662.0; 437.0; 6376.0; -214.0; 0.0; 6708.0; 35370.0
2016-07-31; 2156.0; 0.0; 10604.0; 0.0; 591.0; 13351.0; 20274.0; 604.0; 1074.0; 918.0; 23120.0; 36471.0; 13183.0; 14618.0; 904.0; 16266.0; 29449.0; 440.0; 6839.0; -366.0; 0.0; 7022.0; 36471.0
2016-04-30; 4735.0; 0.0; 11055.0; 0.0; 683.0; 16473.0; 19463.0; 400.0; 154.0; 533.0; 20704.0; 37177.0; 14121.0; 14322.0; 796.0; 15844.0; 29965.0; 447.0; 7074.0; -309.0; 0.0; 7212.0; 37177.0
2016-01-31; 712.0; 0.0; 9458.0; 0.0; 391.0; 10561.0; 19577.0; 222.0; 154.0; 511.0; 20705.0; 31266.0; 10492.0; 11545.0; 846.0; 13120.0; 23612.0; 455.0; 7593.0; -394.0; 0.0; 7654.0; 31266.0
2015-10-31; 1385.0; 0.0; 10434.0; 0.0; 321.0; 12140.0; 19655.0; 382.0; 154.0; 1018.0; 21504.0; 33644.0; 12162.0; 11530.0; 843.0; 13104.0; 25266.0; 459.0; 8298.0; -379.0; 0.0; 8378.0; 33644.0
2015-07-31; 1089.0; 0.0; 9704.0; 0.0; 322.0; 11115.0; 19751.0; 412.0; 154.0; 1050.0; 21621.0; 32736.0; 12141.0; 10336.0; 833.0; 11908.0; 24049.0; 464.0; 8533.0; -310.0; 0.0; 8687.0; 32736.0
2015-04-30; 1529.0; 0.0; 10614.0; 0.0; 393.0; 12536.0; 19892.0; 384.0; 0.0; 1343.0; 21779.0; 34315.0; 12970.0; 10324.0; 817.0; 11868.0; 24838.0; 473.0; 9085.0; -81.0; 0.0; 9477.0; 34315.0
2015-01-31; 591.0; 0.0; 8911.0; 0.0; 349.0; 9851.0; 20034.0; 354.0; 0.0; 1349.0; 21870.0; 31721.0; 9348.0; 10806.0; 869.0; 12405.0; 21753.0; 480.0; 9591.0; -103.0; 0.0; 9968.0; 31721.0
2014-10-31; 1773.0; 0.0; 9762.0; 0.0; 334.0; 12130.0; 20180.0; 395.0; 0.0; 1327.0; 21902.0; 34032.0; 10804.0; 10806.0; 864.0; 12498.0; 23302.0; 487.0; 10271.0; -28.0; 0.0; 10730.0; 34032.0
2014-07-31; 1129.0; 0.0; 9315.0; 0.0; 355.0; 11075.0; 20368.0; 382.0; 0.0; 1312.0; 22062.0; 33137.0; 10013.0; 10063.0; 891.0; 11884.0; 21897.0; 496.0; 10749.0; -5.0; 0.0; 11240.0; 33137.0
2014-04-30; 768.0; 0.0; 10515.0; 0.0; 386.0; 11952.0; 20617.0; 360.0; 0.0; 1300.0; 22277.0; 34229.0; 10814.0; 10080.0; 862.0; 11933.0; 22747.0; 506.0; 10985.0; -9.0; 0.0; 11482.0; 34229.0
2014-01-31; 576.0; 0.0; 9127.0; 0.0; 341.0; 10296.0; 20834.0; 279.0; 0.0; 1323.0; 22436.0; 32732.0; 8876.0; 10086.0; 896.0; 12003.0; 20879.0; 515.0; 11355.0; -17.0; 0.0; 11853.0; 32732.0
2013-10-31; 1216.0; 0.0; 9593.0; 0.0; 336.0; 11365.0; 20973.0; 439.0; 0.0; 1300.0; 22712.0; 34077.0; 9403.0; 10090.0; 881.0; 12023.0; 21426.0; 525.0; 12103.0; 23.0; 0.0; 12651.0; 34077.0
2013-07-31; 1274.0; 0.0; 9106.0; 0.0; 309.0; 10913.0; 20969.0; 306.0; 0.0; 1220.0; 22495.0; 33408.0; 9340.0; 9015.0; 868.0; 11006.0; 20346.0; 532.0; 12504.0; 26.0; 0.0; 13062.0; 33408.0
2013-04-30; 1199.0; 0.0; 10274.0; 0.0; 313.0; 12014.0; 21257.0; 272.0; 0.0; 1188.0; 22717.0; 34731.0; 10439.0; 9026.0; 857.0; 11040.0; 21479.0; 544.0; 12618.0; 52.0; 0.0; 13252.0; 34731.0
2013-01-31; 666.0; 0.0; 8600.0; 0.0; 301.0; 9784.0; 21477.0; 271.0; 0.0; 1134.0; 22882.0; 32666.0; 7708.0; 9030.0; 901.0; 11101.0; 18809.0; 555.0; 13224.0; 52.0; 0.0; 13857.0; 32666.0
2012-10-31; 1300.0; 0.0; 8995.0; 0.0; 300.0; 10830.0; 21591.0; 350.0; 0.0; 1182.0; 23123.0; 33953.0; 8614.0; 9004.0; 904.0; 11114.0; 19728.0; 561.0; 13602.0; 53.0; 0.0; 14225.0; 33953.0
2012-07-31; 2296.0; 0.0; 8699.0; 0.0; 325.0; 11599.0; 21734.0; 485.0; 0.0; 1214.0; 23433.0; 35032.0; 9022.0; 9008.0; 872.0; 11186.0; 20208.0; 576.0; 14199.0; 47.0; 0.0; 14824.0; 35032.0
2012-04-30; 3233.0; 0.0; 9786.0; 0.0; 330.0; 13628.0; 21821.0; 710.0; 0.0; 1049.0; 23580.0; 37208.0; 10996.0; 9018.0; 863.0; 11009.0; 22005.0; 594.0; 14557.0; 52.0; 0.0; 15203.0; 37208.0
2012-01-31; 1300.0; 0.0; 8355.0; 0.0; 234.0; 10072.0; 21970.0; 504.0; 0.0; 1013.0; 23487.0; 33559.0; 7891.0; 7035.0; 865.0; 9135.0; 17026.0; 621.0; 15852.0; 46.0; 0.0; 16533.0; 33559.0
2011-10-31; 969.0; 0.0; 8990.0; 0.0; 227.0; 10423.0; 21888.0; 705.0; 0.0; 850.0; 23443.0; 33866.0; 9156.0; 6025.0; 867.0; 7901.0; 17057.0; 630.0; 16109.0; 46.0; 0.0; 16809.0; 33866.0
2011-07-31; 908.0; 0.0; 8825.0; 0.0; 213.0; 10168.0; 22195.0; 857.0; 0.0; 825.0; 23877.0; 34045.0; 8677.0; 6581.0; 856.0; 8589.0; 17266.0; 630.0; 16060.0; 82.0; 0.0; 16779.0; 34045.0
