Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 41776.0; 11227.0; 0.0; 5312.0; 0.0; 58315.0; 73738.0; 6528.0; 21143.0; 5529.0; 120579.0; 178894.0; 22687.0; 9922.0; 7504.0; 32113.0; 54800.0; 0.0; 67056.0; -5054.0; 0.0; 124094.0; 178894.0
2022-06-30; 40489.0; 11525.0; 0.0; 3973.0; 0.0; 55987.0; 67588.0; 6536.0; 21194.0; 4344.0; 113792.0; 169779.0; 22217.0; 0.0; 7003.0; 21795.0; 44012.0; 0.0; 69249.0; -3411.0; 0.0; 125767.0; 169779.0
2022-03-31; 43890.0; 11390.0; 0.0; 3985.0; 0.0; 59265.0; 61582.0; 6775.0; 20833.0; 3522.0; 104953.0; 164218.0; 21086.0; 0.0; 7010.0; 19904.0; 40990.0; 0.0; 67712.0; -1996.0; 0.0; 123228.0; 164218.0
2021-12-31; 47998.0; 14039.0; 0.0; 4629.0; 0.0; 66666.0; 57809.0; 6775.0; 19831.0; 2751.0; 99321.0; 165987.0; 21135.0; 0.0; 7227.0; 19973.0; 41108.0; 0.0; 69761.0; -693.0; 0.0; 124879.0; 165987.0
2021-09-30; 58075.0; 12088.0; 0.0; 5258.0; 0.0; 75421.0; 53726.0; 6758.0; 19430.0; 3187.0; 94164.0; 169585.0; 17812.0; 0.0; 6859.0; 18413.0; 36225.0; 0.0; 79233.0; -207.0; 0.0; 133360.0; 169585.0
2021-06-30; 64080.0; 11698.0; 0.0; 4919.0; 0.0; 80697.0; 50909.0; 6393.0; 19733.0; 2352.0; 89912.0; 170609.0; 14874.0; 0.0; 6552.0; 17508.0; 32382.0; 0.0; 85097.0; 285.0; 0.0; 138227.0; 170609.0
2021-03-31; 64219.0; 10276.0; 0.0; 2827.0; 0.0; 77322.0; 47720.0; 6342.0; 19561.0; 2376.0; 86201.0; 163523.0; 12717.0; 0.0; 6575.0; 17149.0; 29866.0; 0.0; 82343.0; 154.0; 0.0; 133657.0; 163523.0
2020-12-31; 61954.0; 11335.0; 0.0; 2381.0; 0.0; 75670.0; 45633.0; 6234.0; 19673.0; 2758.0; 83646.0; 159316.0; 14981.0; 0.0; 6414.0; 16045.0; 31026.0; 0.0; 77345.0; 927.0; 0.0; 128290.0; 159316.0
2020-09-30; 55620.0; 8024.0; 0.0; 2155.0; 0.0; 65799.0; 42291.0; 6164.0; 19775.0; 2969.0; 80638.0; 146437.0; 11944.0; 0.0; 7121.0; 16762.0; 28706.0; 0.0; 68513.0; 308.0; 0.0; 117731.0; 146437.0
2020-06-30; 58240.0; 7483.0; 0.0; 2407.0; 0.0; 68130.0; 39006.0; 0.0; 19888.0; 3238.0; 71561.0; 139691.0; 11308.0; 0.0; 8303.0; 17936.0; 29244.0; 0.0; 62784.0; -142.0; 0.0; 110447.0; 139691.0
2020-03-31; 60289.0; 7289.0; 0.0; 1771.0; 0.0; 69349.0; 37127.0; 0.0; 19649.0; 2887.0; 69022.0; 138371.0; 15069.0; 0.0; 8489.0; 17998.0; 33067.0; 0.0; 59160.0; -544.0; 0.0; 105304.0; 138371.0
2019-12-31; 54855.0; 9518.0; 0.0; 1852.0; 0.0; 66225.0; 35323.0; 86.0; 19609.0; 2673.0; 67151.0; 133376.0; 15053.0; 0.0; 7745.0; 17269.0; 32322.0; 0.0; 55692.0; -489.0; 0.0; 101054.0; 133376.0
2019-09-30; 52269.0; 7673.0; 0.0; 2137.0; 0.0; 62079.0; 32284.0; 0.0; 19191.0; 2461.0; 62339.0; 124418.0; 13328.0; 0.0; 8735.0; 17091.0; 30419.0; 0.0; 49789.0; -849.0; 0.0; 93999.0; 124418.0
2019-06-30; 48596.0; 7513.0; 0.0; 1852.0; 0.0; 57961.0; 29999.0; 0.0; 19328.0; 2446.0; 59045.0; 117006.0; 12979.0; 0.0; 8143.0; 15265.0; 28244.0; 0.0; 44968.0; -483.0; 0.0; 88762.0; 117006.0
2019-03-31; 45243.0; 6475.0; 0.0; 1582.0; 0.0; 53300.0; 27345.0; 0.0; 19483.0; 2602.0; 56177.0; 109477.0; 9908.0; 6565.0; 6488.0; 13053.0; 22961.0; 0.0; 43764.0; -781.0; 0.0; 86516.0; 109477.0
2018-12-31; 41114.0; 7587.0; 0.0; 1779.0; 0.0; 50480.0; 24683.0; 0.0; 19595.0; 2576.0; 46854.0; 97334.0; 7017.0; 0.0; 6190.0; 6190.0; 13207.0; 0.0; 41981.0; -760.0; 0.0; 84127.0; 97334.0
2018-09-30; 41206.0; 6058.0; 0.0; 1883.0; 0.0; 49147.0; 21112.0; 0.0; 19755.0; 2438.0; 43305.0; 92452.0; 5462.0; 0.0; 6648.0; 6648.0; 12110.0; 0.0; 38767.0; -777.0; 0.0; 80342.0; 92452.0
2018-06-30; 42309.0; 5590.0; 0.0; 1934.0; 0.0; 49833.0; 18357.0; 0.0; 19836.0; 2265.0; 40458.0; 90291.0; 4670.0; 0.0; 6239.0; 6239.0; 10909.0; 0.0; 38237.0; -687.0; 0.0; 79382.0; 90291.0
2018-03-31; 43956.0; 5115.0; 0.0; 1341.0; 0.0; 50412.0; 16211.0; 0.0; 20003.0; 2319.0; 38533.0; 88945.0; 5086.0; 0.0; 6239.0; 6239.0; 11325.0; 0.0; 36780.0; -294.0; 0.0; 77620.0; 88945.0
2017-12-31; 41711.0; 5832.0; 0.0; 1020.0; 0.0; 48563.0; 13721.0; 0.0; 20105.0; 2135.0; 35961.0; 84524.0; 3760.0; 0.0; 6417.0; 6417.0; 10177.0; 0.0; 33990.0; -227.0; 0.0; 74347.0; 84524.0
2017-09-30; 38289.0; 4424.0; 0.0; 1490.0; 0.0; 44203.0; 12158.0; 0.0; 20263.0; 2374.0; 34795.0; 78998.0; 3305.0; 0.0; 4485.0; 4485.0; 7790.0; 0.0; 31209.0; -200.0; 0.0; 71208.0; 78998.0
2017-06-30; 35452.0; 3897.0; 0.0; 1455.0; 0.0; 40804.0; 10628.0; 0.0; 20315.0; 2096.0; 33039.0; 73843.0; 3315.0; 0.0; 4047.0; 4047.0; 7362.0; 0.0; 27560.0; -370.0; 0.0; 66481.0; 73843.0
2017-03-31; 32306.0; 3415.0; 0.0; 1209.0; 0.0; 36930.0; 9462.0; 0.0; 20486.0; 1836.0; 31784.0; 68714.0; 2928.0; 0.0; 3598.0; 3598.0; 6526.0; 0.0; 24175.0; -626.0; 0.0; 62188.0; 68714.0
2016-12-31; 29449.0; 3993.0; 0.0; 959.0; 0.0; 34401.0; 8591.0; 0.0; 20657.0; 1312.0; 30560.0; 64961.0; 2875.0; 0.0; 2892.0; 2892.0; 5767.0; 0.0; 21670.0; -703.0; 0.0; 59194.0; 64961.0
2016-09-30; 26140.0; 3070.0; 0.0; 1118.0; 0.0; 30328.0; 7899.0; 0.0; 20787.0; 660.0; 29346.0; 59674.0; 2595.0; 0.0; 2964.0; 2964.0; 5559.0; 0.0; 15731.0; -372.0; 0.0; 54115.0; 59674.0
2016-06-30; 23293.0; 2801.0; 0.0; 916.0; 0.0; 27010.0; 7104.0; 0.0; 20922.0; 703.0; 28729.0; 55739.0; 2211.0; 0.0; 3145.0; 3145.0; 5356.0; 0.0; 13352.0; -374.0; 0.0; 50383.0; 55739.0
2016-03-31; 20621.0; 2348.0; 0.0; 843.0; 0.0; 23812.0; 6467.0; 0.0; 21096.0; 700.0; 28263.0; 52075.0; 1809.0; 0.0; 3116.0; 3116.0; 4925.0; 0.0; 11297.0; -276.0; 0.0; 47150.0; 52075.0
2015-12-31; 18434.0; 2559.0; 0.0; 659.0; 0.0; 21652.0; 5687.0; 0.0; 21272.0; 796.0; 27755.0; 49407.0; 1925.0; 107.0; 3157.0; 3264.0; 5189.0; 0.0; 9787.0; -455.0; 0.0; 44218.0; 49407.0
2015-09-30; 15834.0; 2010.0; 0.0; 1295.0; 0.0; 19139.0; 5335.0; 0.0; 21461.0; 534.0; 27330.0; 46469.0; 1792.0; 109.0; 3148.0; 3257.0; 5049.0; 0.0; 8226.0; -380.0; 0.0; 41420.0; 46469.0
2015-06-30; 14125.0; 1815.0; 0.0; 1011.0; 0.0; 16951.0; 4955.0; 0.0; 21630.0; 594.0; 27179.0; 44130.0; 1881.0; 110.0; 2687.0; 2797.0; 4678.0; 0.0; 7330.0; -357.0; 0.0; 39452.0; 44130.0
2015-03-31; 12413.0; 1508.0; 0.0; 1083.0; 0.0; 15004.0; 4619.0; 0.0; 21779.0; 605.0; 27003.0; 42007.0; 1746.0; 113.0; 2647.0; 2760.0; 4506.0; 0.0; 6611.0; -447.0; 0.0; 37501.0; 42007.0
2014-12-31; 11199.0; 1678.0; 0.0; 513.0; 0.0; 13390.0; 3967.0; 0.0; 21910.0; 699.0; 26576.0; 39966.0; 1424.0; 119.0; 2327.0; 2446.0; 3870.0; 0.0; 6099.0; -228.0; 0.0; 36096.0; 39966.0
2014-09-30; 14250.0; 1363.0; 0.0; 502.0; 0.0; 16115.0; 3703.0; 0.0; 3929.0; 441.0; 8073.0; 24188.0; 1234.0; 129.0; 1587.0; 1716.0; 2950.0; 0.0; 5398.0; -109.0; 0.0; 21238.0; 24188.0
2014-06-30; 13956.0; 1190.0; 0.0; 411.0; 0.0; 15557.0; 3334.0; 0.0; 1672.0; 206.0; 5212.0; 20769.0; 1214.0; 153.0; 1056.0; 1209.0; 2423.0; 0.0; 4592.0; -5.0; 0.0; 18346.0; 20769.0
2014-03-31; 12629.0; 1006.0; 0.0; 425.0; 0.0; 14060.0; 3074.0; 0.0; 1682.0; 212.0; 4968.0; 19028.0; 1037.0; 191.0; 1063.0; 1254.0; 2291.0; 0.0; 3801.0; 15.0; 0.0; 16737.0; 19028.0
2013-12-31; 11449.0; 1109.0; 0.0; 512.0; 0.0; 13070.0; 2882.0; 0.0; 1722.0; 221.0; 4825.0; 17895.0; 1100.0; 237.0; 1088.0; 1325.0; 2425.0; 0.0; 3159.0; 14.0; 0.0; 15470.0; 17895.0
2013-09-30; 9328.0; 879.0; 0.0; 342.0; 0.0; 10549.0; 2685.0; 0.0; 1609.0; 90.0; 4384.0; 14933.0; 984.0; 287.0; 614.0; 901.0; 1885.0; 0.0; 2636.0; 13.0; 0.0; 13048.0; 14933.0
2013-06-30; 10252.0; 782.0; 0.0; 387.0; 0.0; 11421.0; 2577.0; 0.0; 1631.0; 95.0; 4303.0; 15724.0; 1080.0; 1851.0; 444.0; 2295.0; 3375.0; 0.0; 2211.0; -29.0; 0.0; 12349.0; 15724.0
2013-03-31; 9472.0; 1085.0; 0.0; 485.0; 0.0; 11042.0; 2533.0; 0.0; 1501.0; 87.0; 4121.0; 15163.0; 1063.0; 1920.0; 356.0; 2276.0; 3339.0; 0.0; 1878.0; -15.0; 0.0; 11824.0; 15163.0
