Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-08-31; 343.9; 565.8; 1379.5; 123.6; 0.0; 2412.8; 1139.1; 0.0; 8606.3; 782.8; 10528.2; 12941.0; 3140.4; 3904.8; 472.8; 5193.9; 8334.3; 2130.9; 3048.4; -590.0; 0.0; 4606.7; 12941.0
2022-05-31; 325.8; 493.1; 1344.6; 161.2; 0.0; 2324.7; 1136.1; 0.0; 8719.9; 777.2; 10633.2; 12957.9; 3133.0; 3920.3; 478.5; 5209.8; 8342.8; 2119.2; 2933.6; -454.6; 0.0; 4615.1; 12957.9
2022-02-28; 338.4; 516.7; 1244.2; 139.7; 0.0; 2239.0; 1135.9; 0.0; 8777.1; 788.8; 10701.8; 12940.8; 3076.7; 3964.5; 488.9; 5249.9; 8326.6; 2091.3; 2922.4; -416.0; 0.0; 4614.2; 12940.8
2021-11-30; 351.7; 549.5; 1182.3; 112.3; 0.0; 2195.8; 1140.3; 0.0; 8788.3; 781.4; 10710.0; 12905.8; 3223.8; 3973.3; 490.9; 5256.5; 8480.3; 2055.1; 2782.4; -426.5; 0.0; 4425.5; 12905.8
2021-08-31; 312.6; 541.0; 1202.4; 104.9; 0.0; 2160.9; 1113.5; 0.0; 8857.8; 752.2; 10723.5; 12884.4; 3161.3; 3985.0; 582.4; 5320.0; 8481.3; 2042.1; 2780.0; -435.6; 0.0; 4403.1; 12884.4
2021-05-31; 291.8; 500.4; 1147.8; 112.6; 0.0; 2052.6; 1112.8; 0.0; 8923.3; 721.8; 10757.9; 12810.5; 2381.2; 4735.9; 609.8; 6088.5; 8469.7; 2027.1; 2660.5; -362.3; 0.0; 4340.8; 12810.5
2021-02-28; 256.1; 515.9; 1073.4; 109.3; 0.0; 1954.7; 1070.8; 0.0; 8897.9; 761.7; 10730.4; 12685.1; 2423.7; 4739.2; 618.0; 6096.7; 8520.4; 1998.4; 2573.6; -422.5; 0.0; 4164.7; 12685.1
2020-11-30; 423.6; 528.5; 1032.6; 98.9; 0.0; 2083.6; 1028.4; 0.0; 8225.7; 752.0; 10006.1; 12089.7; 3046.5; 3753.8; 622.2; 5103.2; 8149.7; 1981.3; 2415.6; -470.8; 0.0; 3940.0; 12089.7
2020-08-31; 221.0; 496.5; 942.1; 100.0; 0.0; 1759.6; 960.9; 0.0; 7417.4; 722.8; 9101.1; 10860.7; 1953.5; 3737.5; 519.3; 4961.2; 6914.7; 1971.6; 2391.0; -429.9; 0.0; 3946.0; 10860.7
2020-05-31; 185.0; 494.3; 831.3; 105.1; 0.0; 1615.7; 927.0; 0.0; 7318.3; 715.1; 8960.4; 10576.1; 1582.3; 4113.6; 516.6; 5331.5; 6913.8; 1938.9; 2288.7; -577.7; 0.0; 3662.3; 10576.1
2020-02-29; 170.8; 409.9; 835.6; 108.1; 0.0; 1524.4; 936.0; 0.0; 7337.0; 694.3; 8967.3; 10491.7; 2072.4; 3627.9; 517.4; 4844.7; 6917.1; 1901.5; 2179.9; -519.5; 0.0; 3574.6; 10491.7
2019-11-30; 155.4; 502.9; 801.2; 90.7; 0.0; 1550.2; 952.6; 0.0; 7352.2; 507.1; 8811.9; 10362.1; 2154.4; 3625.8; 427.6; 4751.0; 6905.4; 1888.6; 2055.8; -500.2; 0.0; 3456.7; 10362.1
2019-08-31; 162.9; 494.6; 846.9; 85.0; 0.0; 1589.4; 910.0; 0.0; 7346.8; 519.8; 8776.6; 10366.0; 2030.4; 3843.1; 310.7; 4855.0; 6885.4; 1877.2; 2019.8; -428.3; 0.0; 3480.6; 10366.0
2019-05-31; 139.4; 429.0; 816.5; 88.2; 0.0; 1473.1; 917.4; 0.0; 7371.5; 474.7; 8763.6; 10236.7; 1860.1; 3977.5; 310.1; 4994.0; 6854.1; 1835.0; 1918.6; -382.7; 0.0; 3382.6; 10236.7
2019-02-28; 102.3; 435.7; 807.3; 82.7; 0.0; 1428.0; 934.6; 0.0; 7407.7; 457.6; 8799.9; 10227.9; 1829.1; 4034.0; 317.7; 5056.1; 6885.2; 1780.5; 1877.9; -327.4; 0.0; 3342.7; 10227.9
2018-11-30; 96.6; 518.1; 786.3; 78.9; 0.0; 1479.9; 941.5; 0.0; 7401.2; 433.8; 8776.5; 10256.4; 2001.7; 4052.9; 313.1; 5072.5; 7074.2; 1770.6; 1760.2; -359.9; 0.0; 3182.2; 10256.4
2018-08-31; 73.0; 511.7; 806.3; 83.2; 0.0; 1474.2; 961.0; 407.7; 7435.1; 0.0; 8803.8; 10278.0; 1855.1; 4269.8; 373.4; 5310.9; 7166.0; 1732.1; 1723.7; -354.1; 0.0; 3112.0; 10278.0
2018-05-31; 202.6; 473.9; 797.6; 90.1; 0.0; 1564.2; 947.7; 401.6; 7470.3; 0.0; 8819.6; 10383.8; 1846.7; 4456.2; 380.7; 5496.8; 7343.5; 1705.3; 1631.6; -308.4; 0.0; 3040.3; 10383.8
2018-02-28; 179.6; 502.0; 827.7; 96.7; 0.0; 1606.0; 823.1; 400.8; 7533.1; 0.0; 8757.0; 10363.0; 1871.5; 4378.6; 378.2; 5419.1; 7290.6; 1692.2; 1592.3; -224.3; 0.0; 3072.4; 10363.0
2017-11-30; 186.8; 555.1; 793.3; 81.8; 0.0; 1617.0; 809.1; 398.5; 7561.2; 0.0; 8768.8; 10385.8; 1947.3; 4443.9; 329.2; 5867.6; 7814.9; 1672.9; 1166.5; -279.5; 0.0; 2570.9; 10385.8
2017-08-31; 166.1; 556.2; 835.8; 84.5; 0.0; 1642.6; 765.4; 378.9; 7594.8; 0.0; 8739.1; 10381.7; 1734.2; 4702.3; 305.6; 6114.2; 7848.4; 1663.6; 1123.9; -265.9; 0.0; 2533.3; 10381.7
2017-05-31; 130.0; 429.7; 779.8; 86.4; 0.0; 1425.9; 703.8; 358.6; 2383.8; 0.0; 3446.2; 4872.1; 1801.4; 804.3; 330.6; 1261.3; 3062.7; 1103.2; 1074.2; -379.3; 0.0; 1809.4; 4872.1
2017-02-28; 125.7; 404.4; 767.2; 87.8; 0.0; 1385.1; 682.8; 351.7; 2331.5; 0.0; 3366.0; 4751.1; 1738.4; 803.5; 354.7; 1281.1; 3019.5; 1091.1; 1073.1; -445.0; 0.0; 1731.6; 4751.1
2016-11-30; 118.4; 465.2; 756.3; 81.9; 0.0; 1421.8; 669.4; 348.4; 2196.3; 0.0; 3214.1; 4635.9; 1422.7; 1054.0; 441.2; 1575.1; 2997.8; 1084.2; 1056.8; -514.4; 0.0; 1638.1; 4635.9
2016-08-31; 134.2; 445.3; 760.3; 80.4; 0.0; 1420.2; 641.1; 370.1; 2246.9; 0.0; 3258.1; 4678.3; 1340.4; 1056.7; 383.9; 1563.3; 2903.7; 1082.9; 1074.7; -400.2; 0.0; 1774.6; 4678.3
2016-05-31; 131.5; 399.6; 739.6; 81.4; 0.0; 1352.1; 637.1; 371.1; 2247.3; 0.0; 3255.5; 4607.6; 1269.5; 1054.0; 510.6; 1564.6; 2834.1; 1074.4; 1069.8; -387.7; 0.0; 1773.5; 4607.6
2016-02-29; 111.8; 371.2; 702.2; 72.9; 0.0; 1258.1; 609.1; 363.7; 2134.1; 0.0; 3106.9; 4365.0; 1090.6; 1055.0; 492.5; 1547.5; 2638.1; 1047.6; 1086.3; -423.7; 0.0; 1726.9; 4365.0
2015-11-30; 112.6; 455.2; 710.8; 78.8; 0.0; 1357.4; 618.4; 365.4; 2131.4; 0.0; 3115.2; 4472.6; 1238.6; 1051.4; 495.7; 1547.1; 2785.7; 1039.6; 1036.7; -406.1; 0.0; 1686.9; 4472.6
