Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 11248.0; 9482.0; 5614.0; 0.0; 7217.0; 33561.0; 20424.0; 984.0; 42528.0; 9584.0; 73520.0; 107081.0; 22998.0; 28482.0; 8660.0; 39559.0; 62557.0; 1788.0; 59928.0; -4743.0; 0.0; 44524.0; 107081.0
2022-06-30; 10128.0; 9643.0; 5535.0; 0.0; 6810.0; 32116.0; 20059.0; 238.0; 43710.0; 10972.0; 74979.0; 107095.0; 23168.0; 28684.0; 8951.0; 40609.0; 63777.0; 1788.0; 58437.0; -4327.0; 0.0; 43318.0; 107095.0
2022-03-31; 8928.0; 9828.0; 5774.0; 0.0; 6654.0; 31184.0; 19747.0; 316.0; 44280.0; 11141.0; 75484.0; 106668.0; 22316.0; 30586.0; 9742.0; 43399.0; 65715.0; 1788.0; 56252.0; -4369.0; 0.0; 40953.0; 106668.0
2021-12-31; 8096.0; 9230.0; 5953.0; 0.0; 6987.0; 30266.0; 19279.0; 370.0; 44197.0; 11582.0; 75428.0; 105694.0; 23872.0; 30690.0; 9434.0; 43565.0; 67437.0; 1788.0; 53696.0; -4429.0; 0.0; 38257.0; 105694.0
2021-09-30; 10016.0; 8571.0; 5603.0; 0.0; 6868.0; 31058.0; 18565.0; 435.0; 32246.0; 11190.0; 62436.0; 93494.0; 23728.0; 22907.0; 9469.0; 33903.0; 57631.0; 1788.0; 51691.0; -4590.0; 0.0; 35863.0; 93494.0
2021-06-30; 8575.0; 7843.0; 5499.0; 0.0; 6748.0; 28665.0; 18064.0; 411.0; 32495.0; 11053.0; 62023.0; 90688.0; 21906.0; 24033.0; 9872.0; 35394.0; 57300.0; 1788.0; 48777.0; -4628.0; 0.0; 33388.0; 90688.0
2021-03-31; 6981.0; 8235.0; 6402.0; 0.0; 5291.0; 26909.0; 18295.0; 544.0; 34613.0; 10486.0; 63938.0; 90847.0; 26361.0; 24002.0; 12241.0; 37447.0; 63808.0; 1788.0; 48888.0; -6622.0; 0.0; 27039.0; 90847.0
2020-12-31; 8050.0; 6803.0; 5554.0; 0.0; 4674.0; 27764.0; 17000.0; 785.0; 32983.0; 9881.0; 63824.0; 91588.0; 27327.0; 25360.0; 12306.0; 38857.0; 66184.0; 1788.0; 47362.0; -6634.0; 0.0; 25404.0; 91588.0
2020-09-30; 7356.0; 8422.0; 6128.0; 0.0; 4671.0; 26577.0; 16919.0; 1372.0; 36925.0; 8007.0; 63223.0; 89800.0; 20405.0; 26321.0; 12027.0; 40125.0; 60530.0; 1788.0; 51107.0; -6383.0; 0.0; 29270.0; 89800.0
2020-06-30; 11103.0; 7577.0; 6056.0; 0.0; 4607.0; 29343.0; 15789.0; 1251.0; 36633.0; 7599.0; 61272.0; 90615.0; 22178.0; 26156.0; 12446.0; 40693.0; 62871.0; 1788.0; 49724.0; -6393.0; 0.0; 27744.0; 90615.0
