Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 867.11; 525.36; 0.0; 134.44; 0.0; 1526.91; 54.34; 215.37; 2791.72; 29.47; 3250.62; 4777.53; 1067.25; 4504.29; 98.97; 4787.67; 5854.92; 1.34; 3358.89; -74.01; 0.0; -1077.39; 4777.53
2022-06-30; 842.3; 586.82; 0.0; 59.97; 0.0; 1489.08; 59.39; 216.55; 2807.52; 68.47; 3344.27; 4833.35; 1120.28; 4505.34; 97.84; 4739.52; 5859.8; 1.34; 3243.65; -64.7; 0.0; -1026.45; 4833.35
2022-03-31; 679.32; 592.33; 0.0; 60.78; 0.0; 1332.42; 64.68; 218.13; 2820.26; 68.36; 3359.41; 4691.83; 1160.43; 4162.47; 104.89; 4410.59; 5571.02; 1.34; 3117.66; -60.82; 0.0; -879.19; 4691.83
2021-12-31; 1421.45; 664.51; 0.0; 57.45; 0.0; 2143.41; 66.72; 218.76; 2829.73; 63.38; 3363.29; 5506.7; 1250.94; 4161.42; 104.13; 4419.23; 5670.17; 1.33; 2976.52; -58.8; 0.0; -163.47; 5506.7
2021-09-30; 1284.66; 496.73; 0.0; 65.96; 0.0; 1847.35; 70.54; 186.5; 2828.05; 27.67; 3295.32; 5142.67; 1016.93; 4160.38; 91.58; 4405.77; 5422.69; 1.33; 2869.13; -61.67; 0.0; -280.02; 5142.67
2021-06-30; 1972.0; 488.57; 0.0; 97.97; 0.0; 2558.54; 71.43; 187.45; 1775.09; 24.8; 2232.53; 4791.08; 950.67; 3963.62; 90.96; 4208.21; 5158.88; 1.33; 2785.73; -59.01; 0.0; -367.81; 4791.08
2021-03-31; 1747.15; 506.85; 0.0; 52.64; 0.0; 2306.64; 75.71; 187.89; 1796.14; 24.31; 2258.89; 4565.53; 1425.33; 3369.47; 88.61; 3621.78; 5047.11; 1.33; 2685.17; -59.82; 0.0; -481.58; 4565.53
2020-12-31; 1300.52; 558.57; 0.0; 66.51; 0.0; 1925.6; 80.45; 190.9; 1800.77; 23.98; 2273.05; 4198.65; 1021.77; 3366.78; 88.22; 3620.11; 4641.88; 1.33; 2554.3; -58.86; 0.0; -443.23; 4198.65
2020-09-30; 1302.86; 429.8; 0.0; 110.43; 0.0; 1843.09; 78.97; 190.21; 1803.23; 18.72; 2268.63; 4111.72; 834.85; 3365.78; 81.01; 3663.45; 4498.31; 1.33; 2463.11; -65.3; 0.0; -386.59; 4111.72
2020-06-30; 1384.98; 466.1; 0.0; 58.8; 0.0; 1909.87; 83.26; 190.86; 1806.43; 17.92; 2277.55; 4187.42; 845.0; 3364.79; 77.31; 3653.35; 4498.35; 1.33; 2346.58; -71.07; 0.0; -310.93; 4187.42
2020-03-31; 1066.86; 481.99; 0.0; 70.93; 0.0; 1619.77; 86.28; 190.82; 1812.82; 18.46; 2292.03; 3911.8; 798.28; 3170.06; 77.85; 3467.85; 4266.13; 1.33; 2288.82; -72.2; 0.0; -354.33; 3911.8
2019-12-31; 1506.57; 499.27; 0.0; 75.94; 0.0; 2081.78; 90.71; 0.0; 1824.36; 20.28; 2122.66; 4204.44; 900.79; 3071.93; 77.66; 3380.37; 4281.15; 1.32; 2199.29; -62.58; 0.0; -76.71; 4204.44
2019-09-30; 881.15; 409.52; 0.0; 95.42; 0.0; 1386.09; 86.42; 0.0; 1806.02; 19.69; 2093.65; 3479.74; 744.52; 2578.16; 68.39; 2883.08; 3627.6; 1.32; 2134.69; -62.1; 0.0; -147.86; 3479.74
2019-06-30; 771.12; 438.31; 0.0; 113.65; 0.0; 1323.08; 85.88; 0.0; 1813.82; 18.51; 2102.01; 3425.09; 766.96; 2577.27; 68.43; 2889.93; 3656.89; 1.32; 2055.88; -57.76; 0.0; -231.8; 3425.09
2019-03-31; 642.78; 427.1; 0.0; 108.05; 0.0; 1177.93; 86.09; 0.0; 1821.54; 19.23; 2117.64; 3295.57; 720.8; 2576.39; 66.8; 2891.27; 3612.07; 1.32; 1979.8; -57.2; 0.0; -316.51; 3295.57
2018-12-31; 904.18; 473.43; 0.0; 57.48; 0.0; 1435.09; 90.88; 0.0; 1826.56; 20.52; 1952.86; 3387.95; 809.01; 2575.5; 87.93; 2745.44; 3554.45; 1.3; 1856.95; -58.4; 0.0; -166.49; 3387.95
2018-09-30; 1398.4; 378.7; 0.0; 61.25; 19.0; 1857.35; 82.75; 0.0; 1834.45; 20.01; 1949.06; 3806.41; 675.05; 2574.62; 107.67; 2752.91; 3427.96; 1.3; 1755.73; -58.21; 0.0; 378.44; 3806.41
2018-06-30; 1367.6; 394.89; 0.0; 57.01; 0.0; 1819.49; 81.0; 0.0; 1855.32; 18.33; 1966.31; 3785.8; 685.68; 2573.73; 106.42; 2753.7; 3439.38; 1.3; 1684.16; -54.88; 0.0; 346.42; 3785.8
2018-03-31; 849.83; 462.58; 0.0; 35.95; 0.0; 1348.36; 86.31; 0.0; 1878.92; 19.03; 1996.14; 3344.49; 655.88; 2078.82; 111.66; 2267.24; 2923.12; 1.3; 1601.58; -44.34; 0.0; 421.37; 3344.49
2017-12-31; 889.5; 327.6; 0.0; 50.03; 0.0; 1267.13; 94.44; 0.0; 1882.46; 19.63; 2008.54; 3275.67; 607.67; 2078.09; 110.86; 2266.99; 2874.66; 1.29; 1505.2; -48.35; 0.0; 401.01; 3275.67
2017-09-30; 799.01; 309.2; 0.0; 44.87; 0.0; 1153.08; 85.68; 0.0; 1888.49; 16.12; 2001.39; 3154.47; 563.52; 2077.37; 68.84; 2230.64; 2794.16; 1.29; 1475.35; -50.08; 0.0; 360.31; 3154.47
2017-06-30; 750.58; 289.23; 0.0; 43.63; 0.0; 1083.44; 88.83; 0.0; 1891.05; 16.79; 2006.66; 3090.1; 552.4; 2076.65; 66.43; 2230.5; 2782.9; 1.29; 1424.96; -53.37; 0.0; 307.2; 3090.1
2017-03-31; 696.97; 262.29; 0.0; 29.39; 0.0; 988.65; 93.16; 0.0; 1895.56; 18.08; 2016.49; 3005.14; 496.35; 2075.92; 62.18; 2229.95; 2726.3; 1.29; 1369.41; -57.86; 0.0; 278.84; 3005.14
2016-12-31; 791.83; 221.5; 0.0; 42.33; 0.0; 1055.67; 95.58; 0.0; 1903.49; 18.3; 2026.91; 3082.58; 536.57; 2075.2; 59.13; 2228.4; 2764.97; 1.29; 1322.22; -60.73; 0.0; 317.61; 3082.58
2016-09-30; 974.06; 235.8; 0.0; 52.5; 0.0; 1262.36; 99.26; 0.0; 1916.86; 18.81; 2044.72; 3307.08; 516.78; 2074.48; 61.81; 2238.79; 2755.57; 1.29; 1280.5; -50.9; 0.0; 551.52; 3307.08
2016-06-30; 404.61; 247.5; 0.0; 84.95; 0.0; 737.06; 97.81; 0.0; 1928.8; 18.08; 2053.93; 2790.99; 509.7; 1580.52; 60.61; 1746.13; 2255.83; 1.29; 1242.15; -48.16; 0.0; 535.15; 2790.99
2016-03-31; 445.01; 260.17; 0.0; 58.63; 0.0; 763.81; 96.01; 0.0; 1945.05; 18.26; 2067.82; 2831.63; 468.47; 1579.96; 61.55; 1747.51; 2215.98; 1.29; 1196.78; -35.74; 0.0; 615.66; 2831.63
2015-12-31; 777.71; 208.24; 0.0; 77.33; 0.0; 1063.27; 98.93; 0.0; 1957.11; 18.5; 2083.72; 3146.99; 498.12; 1579.4; 57.04; 1747.38; 2245.5; 1.28; 1158.46; -35.74; 0.0; 901.49; 3146.99
2015-09-30; 993.49; 208.24; 0.0; 70.53; 0.0; 1286.36; 94.96; 0.0; 1963.03; 22.44; 2080.43; 3366.79; 490.96; 1578.85; 54.86; 1756.72; 2247.69; 1.28; 1121.86; -31.32; 0.0; 1119.11; 3366.79
2015-06-30; 455.02; 214.49; 0.0; 90.55; 0.0; 776.78; 93.29; 0.0; 1975.65; 29.91; 2098.85; 2875.63; 458.63; 800.0; 54.92; 983.28; 1441.91; 1.28; 1081.67; -24.86; 0.0; 1433.71; 2875.63
2015-03-31; 537.75; 184.83; 0.0; 48.26; 0.0; 788.63; 97.5; 0.0; 1979.46; 30.93; 2107.89; 2896.53; 451.76; 800.0; 52.27; 989.07; 1440.83; 1.27; 1046.1; -31.57; 0.0; 1455.7; 2896.53
2014-12-31; 508.8; 178.72; 0.0; 59.73; 0.0; 769.46; 94.07; 0.0; 1998.53; 16.52; 2113.07; 2882.53; 472.91; 788.36; 50.59; 976.79; 1449.7; 1.27; 1022.7; -24.97; 0.0; 1432.83; 2882.53
2014-09-30; 448.19; 191.81; 0.0; 66.47; 0.0; 758.59; 93.79; 0.0; 2012.48; 15.43; 2121.69; 2880.28; 498.64; 773.17; 40.25; 985.11; 1483.74; 1.27; 978.36; -12.28; 0.0; 1396.53; 2880.28
2014-06-30; 683.24; 213.43; 0.0; 64.2; 0.0; 1006.89; 94.8; 0.0; 2015.64; 15.89; 2126.34; 3133.24; 475.49; 778.12; 40.71; 991.07; 1466.56; 1.26; 947.03; -1.54; 0.0; 1666.68; 3133.24
2014-03-31; 260.45; 191.91; 0.0; 44.9; 415.67; 988.86; 79.76; 0.0; 2009.52; 15.68; 2104.96; 3093.82; 546.65; 783.07; 41.23; 983.44; 1530.09; 1.26; 850.65; -0.02; 0.0; 1563.73; 3093.82
2013-12-31; 358.43; 169.49; 0.0; 43.46; 0.0; 624.27; 85.59; 0.0; 2408.87; 17.39; 2511.84; 3136.11; 503.04; 788.01; 46.07; 1068.73; 1571.77; 1.26; 758.98; -0.65; 0.0; 1564.35; 3136.11
2013-09-30; 283.75; 179.92; 0.0; 76.04; 0.0; 590.1; 73.81; 0.0; 2404.99; 12.7; 2491.49; 3081.59; 531.95; 753.28; 44.33; 1027.49; 1559.44; 1.25; 723.0; -2.7; 0.0; 1522.15; 3081.59
2013-06-30; 334.7; 160.1; 0.0; 69.37; 0.0; 617.52; 65.98; 0.0; 2409.14; 12.46; 2487.58; 3105.1; 496.47; 775.07; 42.67; 1052.8; 1549.27; 1.25; 667.69; -6.78; 0.0; 1555.83; 3105.1
2013-03-31; 263.03; 166.91; 0.0; 39.65; 0.0; 523.33; 64.61; 0.0; 2430.84; 13.08; 2508.53; 3031.86; 482.85; 785.86; 39.91; 1060.27; 1543.12; 1.25; 606.64; -5.72; 0.0; 1488.74; 3031.86
2012-12-31; 254.21; 153.56; 0.0; 57.52; 0.0; 514.84; 67.42; 0.0; 2424.48; 12.9; 2504.8; 3019.64; 509.94; 811.62; 38.59; 1084.46; 1594.41; 1.24; 547.7; -2.8; 0.0; 1425.23; 3019.64
