Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 822.0; 1368.0; 1157.0; 0.0; 1360.0; 4707.0; 866.0; 146.0; 4028.0; 552.0; 6918.0; 11625.0; 3768.0; 6012.0; 1937.0; 8251.0; 12019.0; 2.0; 989.0; -2638.0; 0.0; -394.0; 11625.0
2022-06-30; 717.0; 1284.0; 1071.0; 0.0; 1339.0; 4411.0; 1039.0; 162.0; 4128.0; 562.0; 7261.0; 11672.0; 3801.0; 6011.0; 1982.0; 8301.0; 12102.0; 2.0; 936.0; -2491.0; 0.0; -430.0; 11672.0
2022-03-31; 878.0; 1151.0; 952.0; 0.0; 1299.0; 4280.0; 1080.0; 183.0; 4168.0; 552.0; 7369.0; 11649.0; 3886.0; 5689.0; 2052.0; 8061.0; 11947.0; 2.0; 1002.0; -2384.0; 0.0; -298.0; 11649.0
2021-12-31; 1874.0; 1386.0; 788.0; 0.0; 1364.0; 5412.0; 1042.0; 209.0; 3670.0; 558.0; 6777.0; 12189.0; 4063.0; 5688.0; 2148.0; 8149.0; 12212.0; 2.0; 1350.0; -2379.0; 0.0; -23.0; 12189.0
2021-09-30; 1653.0; 1196.0; 604.0; 0.0; 1282.0; 4735.0; 1021.0; 214.0; 3583.0; 530.0; 6687.0; 11422.0; 3429.0; 5687.0; 2233.0; 8241.0; 11670.0; 2.0; 1201.0; -2416.0; 0.0; -248.0; 11422.0
2021-06-30; 1921.0; 1169.0; 559.0; 0.0; 1011.0; 4660.0; 1028.0; 181.0; 3342.0; 509.0; 6471.0; 11131.0; 3184.0; 5686.0; 2265.0; 8291.0; 11475.0; 2.0; 1151.0; -2388.0; 0.0; -344.0; 11131.0
2021-03-31; 1320.0; 1090.0; 530.0; 0.0; 1002.0; 3942.0; 1028.0; 168.0; 3401.0; 481.0; 6481.0; 10423.0; 3095.0; 5164.0; 2286.0; 7806.0; 10901.0; 2.0; 1080.0; -2410.0; 0.0; -478.0; 10423.0
2020-12-31; 1254.0; 1390.0; 508.0; 0.0; 1175.0; 4327.0; 1022.0; 158.0; 3453.0; 482.0; 6549.0; 10876.0; 3489.0; 5163.0; 2363.0; 7928.0; 11417.0; 2.0; 1127.0; -2446.0; 0.0; -541.0; 10876.0
2020-09-30; 1007.0; 1155.0; 489.0; 0.0; 1320.0; 3971.0; 976.0; 154.0; 3475.0; 437.0; 6390.0; 10361.0; 3312.0; 5162.0; 2226.0; 7789.0; 11101.0; 2.0; 1008.0; -2433.0; 0.0; -740.0; 10361.0
2020-06-30; 1341.0; 1134.0; 449.0; 0.0; 1162.0; 4086.0; 965.0; 157.0; 3365.0; 417.0; 6288.0; 10374.0; 3480.0; 5111.0; 2213.0; 7709.0; 11189.0; 2.0; 1017.0; -2475.0; 0.0; -815.0; 10374.0
2020-03-31; 1672.0; 1122.0; 442.0; 0.0; 1245.0; 4481.0; 932.0; 154.0; 3317.0; 393.0; 6235.0; 10716.0; 3879.0; 5111.0; 2198.0; 7767.0; 11646.0; 2.0; 1074.0; -2566.0; 0.0; -930.0; 10716.0
2019-12-31; 1001.0; 1412.0; 447.0; 0.0; 1318.0; 4178.0; 992.0; 159.0; 3394.0; 422.0; 6464.0; 10642.0; 3439.0; 5113.0; 2276.0; 7886.0; 11325.0; 2.0; 1239.0; -2440.0; 0.0; -683.0; 10642.0
2019-09-30; 1140.0; 1295.0; 460.0; 0.0; 1259.0; 4154.0; 963.0; 159.0; 3337.0; 333.0; 6219.0; 10373.0; 3656.0; 5112.0; 2190.0; 7801.0; 11457.0; 2.0; 1220.0; -2759.0; 0.0; -1084.0; 10373.0
2019-06-30; 964.0; 1206.0; 424.0; 0.0; 1237.0; 3831.0; 940.0; 175.0; 3184.0; 364.0; 6143.0; 9974.0; 2876.0; 5315.0; 2233.0; 8052.0; 10928.0; 2.0; 1051.0; -2737.0; 0.0; -954.0; 9974.0
2019-03-31; 897.0; 1150.0; 425.0; 0.0; 1242.0; 3714.0; 937.0; 163.0; 3276.0; 357.0; 6279.0; 9993.0; 2979.0; 5287.0; 2264.0; 8104.0; 11083.0; 2.0; 963.0; -2724.0; 0.0; -1090.0; 9993.0
2018-12-31; 1257.0; 1293.0; 356.0; 0.0; 1366.0; 4272.0; 895.0; 169.0; 2744.0; 344.0; 5137.0; 9409.0; 3096.0; 5289.0; 2300.0; 7589.0; 10685.0; 2.0; 1051.0; -2765.0; 0.0; -1276.0; 9409.0
