Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 352.0; 638.0; 129.0; 0.0; 9732.0; 10851.0; 518.0; 0.0; 10529.0; 595.0; 11642.0; 22941.0; 11335.0; 4573.0; 223.0; 5722.0; 17057.0; 5.0; 7064.0; -2092.0; 0.0; 5884.0; 22941.0
2022-06-30; 645.0; 652.0; 0.0; 0.0; 8921.0; 10218.0; 514.0; 0.0; 10821.0; 581.0; 11916.0; 22596.0; 10871.0; 4696.0; 244.0; 5874.0; 16745.0; 2.0; 6869.0; -1905.0; 0.0; 5851.0; 22596.0
2022-03-31; 742.0; 621.0; 0.0; 0.0; 6815.0; 8178.0; 511.0; 0.0; 11089.0; 575.0; 12175.0; 20823.0; 8851.0; 4800.0; 241.0; 5950.0; 14801.0; 2.0; 6660.0; -1670.0; 0.0; 6022.0; 20823.0
2021-12-31; 422.0; 588.0; 208.0; 0.0; 6205.0; 7423.0; 509.0; 0.0; 11246.0; 571.0; 12326.0; 20115.0; 7872.0; 4812.0; 234.0; 5838.0; 13710.0; 5.0; 6465.0; -1587.0; 0.0; 6405.0; 20115.0
2021-09-30; 517.0; 552.0; 0.0; 0.0; 4427.0; 5496.0; 495.0; 0.0; 11395.0; 628.0; 12518.0; 18397.0; 5595.0; 5447.0; 207.0; 6447.0; 12042.0; 2.0; 6296.0; -1511.0; 0.0; 6355.0; 18397.0
2021-06-30; 665.0; 559.0; 0.0; 0.0; 3793.0; 5017.0; 493.0; 0.0; 11528.0; 562.0; 12583.0; 17983.0; 4895.0; 5480.0; 203.0; 6417.0; 11312.0; 2.0; 6098.0; -1452.0; 0.0; 6671.0; 17983.0
2021-03-31; 1027.0; 574.0; 0.0; 0.0; 4053.0; 5654.0; 482.0; 0.0; 11475.0; 483.0; 12440.0; 18490.0; 5556.0; 5455.0; 197.0; 6600.0; 12156.0; 2.0; 5845.0; -1505.0; 0.0; 6334.0; 18490.0
2020-12-31; 2977.0; 566.0; 0.0; 0.0; 4117.0; 7660.0; 475.0; 0.0; 9105.0; 358.0; 9938.0; 17979.0; 4924.0; 5541.0; 187.0; 6619.0; 11543.0; 2.0; 5628.0; -1368.0; 0.0; 6436.0; 17979.0
2020-09-30; 794.0; 504.0; 0.0; 0.0; 3512.0; 4810.0; 435.0; 0.0; 8818.0; 381.0; 9634.0; 14831.0; 4161.0; 3571.0; 175.0; 4656.0; 8817.0; 2.0; 5484.0; -1632.0; 0.0; 6014.0; 14831.0
2020-06-30; 947.0; 523.0; 0.0; 0.0; 3246.0; 4716.0; 396.0; 0.0; 8703.0; 339.0; 9438.0; 14559.0; 4249.0; 3482.0; 162.0; 4553.0; 8802.0; 2.0; 5301.0; -1715.0; 0.0; 5757.0; 14559.0
2020-03-31; 1298.0; 568.0; 0.0; 0.0; 3404.0; 5270.0; 375.0; 0.0; 8526.0; 303.0; 9204.0; 14798.0; 5450.0; 2962.0; 171.0; 3950.0; 9400.0; 2.0; 5140.0; -1909.0; 0.0; 5398.0; 14798.0
2019-12-31; 653.0; 422.0; 0.0; 0.0; 3215.0; 4290.0; 384.0; 0.0; 8615.0; 289.0; 9288.0; 13924.0; 4227.0; 2996.0; 179.0; 4058.0; 8285.0; 2.0; 5027.0; -1686.0; 0.0; 5639.0; 13924.0
