Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-10-31; 3033.0; 910.0; 244.0; 0.0; 416.0; 4603.0; 661.0; 0.0; 2982.0; 1534.0; 5177.0; 9780.0; 3395.0; 2387.0; 737.0; 5183.0; 8578.0; 765.0; 499.0; -62.0; 0.0; 1202.0; 9780.0
2022-07-31; 3439.0; 865.0; 232.0; 0.0; 386.0; 4922.0; 622.0; 0.0; 2999.0; 1001.0; 4622.0; 9544.0; 3575.0; 2387.0; 843.0; 5312.0; 8887.0; 705.0; 0.0; -48.0; 0.0; 657.0; 9544.0
2022-04-30; 4134.0; 1230.0; 204.0; 0.0; 377.0; 5945.0; 602.0; 0.0; 2488.0; 991.0; 4081.0; 10026.0; 3953.0; 2386.0; 788.0; 5235.0; 9188.0; 760.0; 122.0; -44.0; 0.0; 838.0; 10026.0
2022-01-31; 4201.0; 799.0; 167.0; 0.0; 346.0; 5513.0; 575.0; 0.0; 2480.0; 932.0; 3987.0; 9500.0; 3552.0; 2385.0; 775.0; 5066.0; 8618.0; 709.0; 214.0; -41.0; 0.0; 882.0; 9500.0
2021-10-31; 4548.0; 647.0; 155.0; 0.0; 319.0; 5669.0; 549.0; 0.0; 2137.0; 867.0; 3553.0; 9222.0; 3195.0; 2634.0; 735.0; 5268.0; 8463.0; 603.0; 194.0; -38.0; 0.0; 759.0; 9222.0
2021-07-31; 4547.0; 655.0; 108.0; 0.0; 321.0; 5631.0; 533.0; 0.0; 2147.0; 845.0; 3525.0; 9156.0; 3103.0; 2633.0; 784.0; 5333.0; 8436.0; 550.0; 204.0; -34.0; 0.0; 720.0; 9156.0
2021-04-30; 4596.0; 945.0; 114.0; 0.0; 346.0; 6001.0; 525.0; 0.0; 2140.0; 694.0; 3359.0; 9360.0; 3452.0; 2632.0; 650.0; 5223.0; 8675.0; 504.0; 211.0; -30.0; 0.0; 685.0; 9360.0
2021-01-31; 3894.0; 799.0; 106.0; 0.0; 315.0; 5114.0; 731.0; 0.0; 2149.0; 692.0; 3572.0; 8686.0; 3050.0; 2632.0; 651.0; 5158.0; 8208.0; 456.0; 56.0; -34.0; 0.0; 478.0; 8686.0
2020-10-31; 3646.0; 796.0; 116.0; 0.0; 263.0; 4821.0; 737.0; 0.0; 2164.0; 698.0; 3599.0; 8420.0; 2920.0; 2631.0; 663.0; 5130.0; 8050.0; 372.0; 30.0; -32.0; 0.0; 370.0; 8420.0
2020-07-31; 3773.0; 604.0; 136.0; 0.0; 304.0; 4817.0; 737.0; 0.0; 2178.0; 684.0; 3599.0; 8416.0; 2976.0; 2630.0; 720.0; 5156.0; 8132.0; 323.0; 0.0; -39.0; 0.0; 284.0; 8416.0
2020-04-30; 2882.0; 973.0; 145.0; 0.0; 274.0; 4274.0; 727.0; 0.0; 1822.0; 699.0; 3248.0; 7522.0; 3616.0; 1146.0; 714.0; 3664.0; 7280.0; 284.0; 0.0; -42.0; 0.0; 242.0; 7522.0
2020-01-31; 3008.0; 821.0; 113.0; 0.0; 276.0; 4218.0; 740.0; 0.0; 1813.0; 712.0; 3265.0; 7483.0; 3529.0; 1146.0; 748.0; 3672.0; 7201.0; 321.0; 0.0; -39.0; 0.0; 282.0; 7483.0
2019-10-31; 2987.0; 780.0; 111.0; 0.0; 313.0; 4191.0; 746.0; 0.0; 1821.0; 714.0; 3281.0; 7472.0; 3204.0; 1145.0; 837.0; 3732.0; 6936.0; 572.0; 0.0; -36.0; 0.0; 536.0; 7472.0
2019-07-31; 3532.0; 542.0; 116.0; 0.0; 326.0; 4516.0; 754.0; 0.0; 1832.0; 709.0; 3295.0; 7811.0; 3175.0; 1145.0; 882.0; 3773.0; 6948.0; 902.0; 0.0; -39.0; 0.0; 863.0; 7811.0
2019-04-30; 3899.0; 1216.0; 131.0; 0.0; 364.0; 5610.0; 759.0; 0.0; 1782.0; 590.0; 3131.0; 8741.0; 3867.0; 1144.0; 797.0; 3784.0; 7651.0; 1133.0; 0.0; -43.0; 0.0; 1090.0; 8741.0
2019-01-31; 4049.0; 872.0; 100.0; 0.0; 340.0; 5361.0; 763.0; 0.0; 1798.0; 496.0; 3057.0; 8418.0; 3430.0; 1144.0; 898.0; 3758.0; 7188.0; 1298.0; 0.0; -68.0; 0.0; 1230.0; 8418.0
2018-10-31; 4299.0; 765.0; 86.0; 0.0; 321.0; 5471.0; 770.0; 0.0; 1811.0; 499.0; 3080.0; 8551.0; 3310.0; 1144.0; 899.0; 3711.0; 7021.0; 1605.0; 0.0; -75.0; 0.0; 1530.0; 8551.0
2018-07-31; 4811.0; 616.0; 97.0; 0.0; 329.0; 5853.0; 768.0; 0.0; 1820.0; 464.0; 3052.0; 8905.0; 2840.0; 1542.0; 964.0; 4143.0; 6983.0; 1992.0; 0.0; -70.0; 0.0; 1922.0; 8905.0
2018-04-30; 5391.0; 1047.0; 122.0; 0.0; 392.0; 6952.0; 756.0; 0.0; 1833.0; 450.0; 3039.0; 9991.0; 3531.0; 1541.0; 992.0; 4184.0; 7715.0; 2355.0; -9.0; -70.0; 0.0; 2276.0; 9991.0
2018-01-31; 5619.0; 754.0; 98.0; 0.0; 295.0; 6766.0; 741.0; 0.0; 1845.0; 435.0; 3021.0; 9787.0; 3548.0; 1540.0; 973.0; 4063.0; 7611.0; 2707.0; -489.0; -42.0; 0.0; 2176.0; 9787.0
2017-10-31; 5965.0; 584.0; 108.0; 0.0; 363.0; 7020.0; 795.0; 0.0; 1859.0; 634.0; 3288.0; 10308.0; 4214.0; 1540.0; 255.0; 3317.0; 7531.0; 2779.0; 17.0; -19.0; 0.0; 2777.0; 10308.0
2017-07-31; 5321.0; 518.0; 143.0; 0.0; 316.0; 6298.0; 799.0; 0.0; 1825.0; 677.0; 3301.0; 9599.0; 4287.0; 745.0; 250.0; 2544.0; 6831.0; 2771.0; 10.0; -13.0; 0.0; 2768.0; 9599.0
2017-04-30; 4921.0; 731.0; 163.0; 0.0; 383.0; 6198.0; 799.0; 0.0; 1815.0; 681.0; 3295.0; 9493.0; 4122.0; 744.0; 249.0; 2591.0; 6713.0; 2769.0; 40.0; -29.0; 0.0; 2780.0; 9493.0
2017-01-31; 4639.0; 605.0; 125.0; 0.0; 277.0; 5646.0; 892.0; 0.0; 1821.0; 696.0; 3409.0; 9055.0; 3844.0; 744.0; 238.0; 2517.0; 6361.0; 2731.0; 0.0; -37.0; 0.0; 2694.0; 9055.0
2016-10-31; 4357.0; 547.0; 97.0; 0.0; 219.0; 5220.0; 949.0; 0.0; 1834.0; 759.0; 3542.0; 8762.0; 2528.0; 1492.0; 407.0; 3445.0; 5973.0; 2830.0; 0.0; -41.0; 0.0; 2789.0; 8762.0
2016-07-31; 4421.0; 501.0; 81.0; 0.0; 220.0; 5223.0; 942.0; 0.0; 1845.0; 777.0; 3564.0; 8787.0; 2524.0; 1491.0; 404.0; 3471.0; 5995.0; 2823.0; 0.0; -31.0; 0.0; 2792.0; 8787.0
2016-04-30; 5303.0; 813.0; 98.0; 0.0; 234.0; 6448.0; 937.0; 0.0; 1856.0; 796.0; 3589.0; 10037.0; 3662.0; 1490.0; 413.0; 3494.0; 7156.0; 2912.0; 0.0; -31.0; 0.0; 2881.0; 10037.0
2016-01-31; 5023.0; 585.0; 102.0; 0.0; 354.0; 6064.0; 873.0; 0.0; 1064.0; 784.0; 2721.0; 8785.0; 2476.0; 1490.0; 269.0; 3200.0; 5676.0; 3099.0; 51.0; -41.0; 0.0; 3109.0; 8785.0
2015-10-31; 4814.0; 587.0; 125.0; 0.0; 555.0; 6081.0; 1004.0; 0.0; 1078.0; 472.0; 2554.0; 8635.0; 2453.0; 1489.0; 269.0; 3195.0; 5648.0; 3022.0; 0.0; -35.0; 0.0; 2987.0; 8635.0
2015-07-31; 4950.0; 415.0; 193.0; 0.0; 561.0; 6119.0; 1011.0; 0.0; 1091.0; 476.0; 2578.0; 8697.0; 2480.0; 1488.0; 302.0; 3217.0; 5697.0; 3065.0; -31.0; -34.0; 0.0; 3000.0; 8697.0
2015-04-30; 5326.0; 779.0; 146.0; 0.0; 522.0; 6773.0; 1030.0; 0.0; 1117.0; 481.0; 2628.0; 9401.0; 2709.0; 1487.0; 318.0; 3278.0; 5987.0; 3385.0; 53.0; -24.0; 0.0; 3414.0; 9401.0
2015-01-31; 5252.5; 666.3; 117.8; 0.0; 518.0; 6554.6; 1050.7; 0.0; 1136.3; 493.1; 2680.1; 9234.7; 2491.3; 1494.7; 310.4; 3235.4; 5726.7; 0.3; 69.8; -14.3; 0.0; 3508.0; 9234.7
2014-10-31; 5269.4; 632.7; 107.6; 0.0; 479.4; 6489.1; 1081.7; 0.0; 1080.6; 526.1; 2688.4; 9177.5; 2491.0; 1494.4; 315.9; 3225.2; 5716.2; 0.3; 0.0; 0.6; 0.0; 3461.3; 9177.5
2014-07-31; 5564.2; 585.4; 104.2; 0.0; 494.3; 6748.1; 1098.0; 0.0; 1095.1; 531.2; 2724.3; 9472.4; 2400.9; 1494.1; 320.8; 3234.8; 5635.7; 0.3; 36.1; 9.1; 0.0; 3836.7; 9472.4
2014-04-30; 5003.3; 855.9; 122.4; 0.0; 489.7; 6471.3; 1108.8; 0.0; 1109.6; 524.1; 2742.5; 9213.8; 2694.6; 990.1; 296.2; 2732.7; 5427.3; 0.3; 1.1; 9.1; 0.0; 3786.5; 9213.8
2014-01-31; 5069.3; 584.3; 118.2; 0.0; 457.6; 6229.4; 1128.6; 0.0; 1124.2; 518.4; 2771.2; 9000.6; 2423.8; 995.2; 272.7; 2660.9; 5084.7; 0.3; 0.0; 6.7; 0.0; 3915.9; 9000.6
2013-10-31; 5272.7; 590.4; 115.9; 0.0; 441.0; 6420.0; 1142.9; 0.0; 1139.0; 495.5; 2777.4; 9197.4; 2408.7; 995.0; 267.2; 2668.3; 5077.0; 0.3; 115.5; 6.3; 0.0; 4120.4; 9197.4
2013-07-31; 5084.0; 533.3; 116.5; 0.0; 467.8; 6201.6; 1163.4; 0.0; 1153.8; 499.1; 2816.3; 9017.9; 2330.1; 994.8; 262.8; 2669.8; 4999.9; 0.4; 2313.3; -1.3; 0.0; 4018.0; 9017.9
2013-04-30; 6952.6; 800.9; 139.5; 0.0; 525.2; 8418.2; 1170.9; 0.0; 1168.7; 484.6; 2824.2; 11242.4; 3830.6; 994.6; 253.5; 2694.3; 6524.9; 0.5; 2896.8; 8.7; 0.0; 4717.5; 11242.4
2013-01-31; 6723.9; 633.8; 172.9; 0.0; 518.0; 8048.6; 1189.2; 0.0; 1171.9; 456.2; 2817.3; 10865.9; 3621.0; 994.3; 226.9; 2619.9; 6240.9; 0.5; 2849.6; 8.6; 0.0; 4625.0; 10865.9
2012-10-31; 5571.0; 615.0; 213.2; 0.0; 488.5; 6887.7; 1132.4; 0.0; 1098.3; 435.5; 2666.2; 9553.9; 3573.7; 0.0; 216.3; 1578.0; 5151.7; 0.5; 2735.0; 8.2; 0.0; 4402.2; 9553.9
2012-07-31; 5441.1; 584.2; 203.7; 0.0; 511.8; 6740.8; 1139.1; 0.0; 1119.8; 406.3; 2665.2; 9406.0; 3459.9; 0.0; 207.3; 1570.4; 5030.3; 0.5; 2765.7; 5.2; 0.0; 4375.7; 9406.0
2012-04-30; 5398.5; 830.9; 161.5; 0.0; 435.6; 6826.5; 1137.2; 0.0; 1141.2; 427.4; 2705.8; 9532.3; 3519.8; 62.6; 206.9; 1718.9; 5238.7; 0.5; 2805.3; 4.9; 0.0; 4293.6; 9532.3
2012-01-31; 4866.1; 685.4; 153.8; 0.0; 462.4; 6167.7; 1081.8; 0.0; 1162.7; 409.4; 2653.9; 8821.6; 2157.5; 1188.8; 197.3; 2622.6; 4780.1; 0.5; 2624.6; 4.6; 0.0; 4041.5; 8821.6
2011-10-31; 4641.6; 625.2; 163.3; 0.0; 399.9; 5830.0; 1046.1; 0.0; 1183.1; 444.9; 2674.1; 8504.1; 2122.3; 1175.8; 211.1; 2578.8; 4701.1; 0.5; 2512.0; 7.0; 0.0; 3803.0; 8504.1
2011-07-31; 4714.1; 597.0; 138.2; 0.0; 388.3; 5837.6; 993.3; 60.1; 1204.8; 350.0; 2608.2; 8445.8; 3171.2; 101.9; 206.1; 1449.7; 4620.9; 0.5; 2652.4; 15.2; 0.0; 3824.9; 8445.8
2011-04-30; 5174.7; 742.6; 108.5; 0.0; 339.4; 6365.2; 911.6; 0.0; 813.3; 408.7; 2133.6; 8498.8; 3372.8; 114.6; 192.9; 1395.8; 4768.6; 0.5; 2674.0; 12.8; 0.0; 3730.2; 8498.8
2011-01-31; 4755.6; 541.5; 97.2; 0.0; 204.4; 5598.7; 862.2; 69.2; 772.4; 460.9; 2164.7; 7763.4; 1942.4; 1137.7; 203.5; 2307.6; 4250.0; 0.5; 2479.8; 7.2; 0.0; 3513.4; 7763.4
2010-10-31; 4381.5; 446.6; 84.7; 0.0; 218.3; 5131.1; 845.3; 0.0; 775.8; 485.6; 2106.7; 7237.8; 1834.5; 1125.4; 204.1; 2195.9; 4030.4; 0.5; 2307.3; 11.0; 0.0; 3207.4; 7237.8
2010-07-31; 3920.9; 372.5; 90.4; 0.0; 210.4; 4594.2; 825.4; 0.0; 780.2; 446.0; 2051.6; 6645.8; 1665.4; 1113.4; 196.1; 2130.5; 3795.9; 0.5; 2142.7; 4.8; 0.0; 2849.9; 6645.8
2010-04-30; 3724.0; 471.5; 112.9; 0.0; 228.7; 4537.1; 804.4; 0.0; 706.1; 446.8; 1957.3; 6494.4; 1911.0; 1101.5; 171.9; 2052.9; 3963.9; 0.5; 2000.9; 2.8; 0.0; 2530.5; 6494.4
