Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 636.0; 1502.0; 2527.0; 483.0; 0.0; 5148.0; 1124.0; 0.0; 6169.0; 874.0; 9530.0; 14678.0; 4108.0; 4762.0; 872.0; 6794.0; 10902.0; 439.0; -2133.0; -1050.0; 0.0; 3776.0; 14678.0
2022-06-30; 323.0; 1562.0; 2522.0; 350.0; 0.0; 4757.0; 1138.0; 0.0; 6427.0; 777.0; 9691.0; 14448.0; 4630.0; 3793.0; 864.0; 5871.0; 10501.0; 439.0; -2164.0; -956.0; 0.0; 3947.0; 14448.0
2022-03-31; 344.0; 1421.0; 2297.0; 349.0; 0.0; 4411.0; 1144.0; 0.0; 6532.0; 725.0; 9793.0; 14204.0; 3183.0; 4880.0; 910.0; 7041.0; 10224.0; 441.0; -2368.0; -854.0; 0.0; 3980.0; 14204.0
2021-12-31; 440.0; 1500.0; 1997.0; 325.0; 0.0; 4262.0; 1204.0; 0.0; 6874.0; 467.0; 9917.0; 14179.0; 3317.0; 4883.0; 983.0; 6771.0; 10088.0; 450.0; -2602.0; -882.0; 0.0; 4091.0; 14179.0
2021-09-30; 494.0; 1686.0; 2098.0; 338.0; 0.0; 4616.0; 1155.0; 0.0; 6977.0; 427.0; 9904.0; 14520.0; 3709.0; 4884.0; 1024.0; 6754.0; 10463.0; 450.0; -2698.0; -907.0; 0.0; 4057.0; 14520.0
2021-06-30; 637.0; 1717.0; 2016.0; 285.0; 0.0; 4655.0; 1158.0; 0.0; 7033.0; 426.0; 9965.0; 14620.0; 3776.0; 4885.0; 1079.0; 6833.0; 10609.0; 450.0; -2888.0; -873.0; 0.0; 4011.0; 14620.0
2021-03-31; 682.0; 1530.0; 1901.0; 272.0; 0.0; 4385.0; 1151.0; 0.0; 7031.0; 417.0; 9955.0; 14340.0; 3363.0; 5135.0; 1085.0; 7116.0; 10479.0; 450.0; -3085.0; -914.0; 0.0; 3861.0; 14340.0
2020-12-31; 981.0; 1678.0; 1638.0; 331.0; 0.0; 4628.0; 1176.0; 0.0; 7117.0; 411.0; 10072.0; 14700.0; 3621.0; 5141.0; 1152.0; 7179.0; 10800.0; 448.0; -3174.0; -880.0; 0.0; 3900.0; 14700.0
2020-09-30; 858.0; 1814.0; 1718.0; 314.0; 0.0; 4704.0; 1115.0; 0.0; 7090.0; 386.0; 10016.0; 14720.0; 3108.0; 5794.0; 1120.0; 7862.0; 10970.0; 448.0; -3301.0; -988.0; 0.0; 3750.0; 14720.0
2020-06-30; 619.0; 1641.0; 1714.0; 312.0; 0.0; 4286.0; 1118.0; 0.0; 7057.0; 383.0; 9971.0; 14257.0; 2917.0; 5781.0; 1078.0; 7824.0; 10741.0; 448.0; -3605.0; -1006.0; 0.0; 3516.0; 14257.0
2020-03-31; 476.0; 1398.0; 1700.0; 343.0; 0.0; 3917.0; 1123.0; 0.0; 7050.0; 379.0; 9986.0; 13903.0; 2951.0; 5375.0; 1097.0; 7473.0; 10424.0; 448.0; -3683.0; -1055.0; 0.0; 3479.0; 13903.0
2019-12-31; 349.0; 1842.0; 1606.0; 313.0; 0.0; 4110.0; 1155.0; 0.0; 8625.0; 361.0; 11532.0; 15642.0; 2978.0; 5391.0; 1111.0; 7668.0; 10646.0; 447.0; -2404.0; -920.0; 0.0; 4996.0; 15642.0
2019-09-30; 465.4; 1872.8; 1877.2; 286.3; 966.7; 5468.4; 1057.1; 0.0; 8289.3; 333.3; 10541.8; 16010.2; 3684.2; 5691.7; 1151.3; 8157.5; 11841.7; 446.9; -3198.0; -1038.1; 0.0; 4168.5; 16010.2
2019-06-30; 624.5; 1769.0; 1845.2; 277.3; 2545.7; 7061.7; 923.1; 0.0; 8462.3; 339.1; 10604.6; 17666.3; 3135.8; 6707.8; 1220.5; 9525.9; 12661.7; 446.9; -2572.2; -921.3; 0.0; 5004.6; 17666.3
2019-03-31; 364.1; 1606.1; 1799.0; 290.8; 3456.1; 7516.1; 930.7; 0.0; 8494.7; 329.3; 10590.0; 18106.1; 3551.6; 6694.6; 1328.5; 9571.4; 13123.0; 446.5; -2662.0; -936.5; 0.0; 4983.1; 18106.1
2018-12-31; 495.7; 2163.5; 1760.7; 294.8; 1243.8; 5958.5; 1226.1; 0.0; 10024.5; 330.0; 11763.9; 17722.4; 3303.5; 6696.3; 1379.4; 9165.7; 12469.2; 446.1; -2511.3; -912.8; 0.0; 5253.2; 17722.4
2018-09-30; 1443.6; 2015.4; 1857.5; 279.6; 6612.4; 12208.5; 916.9; 0.0; 8745.0; 321.6; 10189.6; 22398.1; 4096.7; 9296.8; 1414.7; 12275.2; 16371.9; 490.1; -2694.8; -1037.1; 0.0; 6026.2; 22398.1
2018-06-30; 2279.4; 1928.7; 1860.3; 310.7; 7368.3; 13747.4; 929.0; 0.0; 16931.1; 367.8; 18443.8; 32191.2; 4342.9; 9300.7; 1458.5; 13857.1; 18200.0; 509.3; 4624.5; -990.2; 0.0; 13991.2; 32191.2
2018-03-31; 459.0; 2346.0; 2584.9; 427.3; 2654.1; 8471.3; 1564.7; 0.0; 22815.3; 393.2; 24998.1; 33469.4; 4917.9; 9623.5; 1479.6; 14384.2; 19302.1; 508.8; 4542.5; -711.7; 0.0; 14167.3; 33469.4
2017-12-31; 485.7; 1879.3; 1662.4; 327.9; 6370.4; 10725.7; 972.4; 0.0; 17072.6; 4220.0; 22409.8; 33135.5; 4907.7; 9889.2; 1604.6; 14046.5; 18954.2; 508.1; 4611.2; -763.1; 0.0; 14181.3; 33135.5
