Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 1458.0; 1473.0; 373.0; 0.0; 450.0; 3754.0; 1971.0; 470.0; 7604.0; 1357.0; 12633.0; 16387.0; 3013.0; 2977.0; 614.0; 4646.0; 7659.0; 6.0; -2253.0; -1465.0; 0.0; 8728.0; 16387.0
2022-06-30; 1822.0; 1502.0; 311.0; 0.0; 458.0; 4093.0; 2103.0; 488.0; 7840.0; 1384.0; 13128.0; 17221.0; 3519.0; 2776.0; 638.0; 4559.0; 8078.0; 6.0; -2293.0; -1270.0; 0.0; 9143.0; 17221.0
2022-03-31; 1865.0; 1532.0; 308.0; 0.0; 457.0; 4162.0; 2167.0; 564.0; 7825.0; 1452.0; 13257.0; 17419.0; 3527.0; 2496.0; 710.0; 4476.0; 8003.0; 6.0; -2403.0; -1001.0; 0.0; 9416.0; 17419.0
2021-12-31; 2184.0; 1665.0; 248.0; 0.0; 502.0; 4599.0; 2134.0; 505.0; 6639.0; 1385.0; 11921.0; 16520.0; 3233.0; 1968.0; 696.0; 3940.0; 7173.0; 6.0; -2482.0; -1089.0; 0.0; 9347.0; 16520.0
2021-09-30; 2100.0; 1499.0; 308.0; 0.0; 465.0; 4372.0; 2162.0; 499.0; 6674.0; 1358.0; 12046.0; 16418.0; 3272.0; 1964.0; 706.0; 3998.0; 7270.0; 6.0; -2715.0; -1061.0; 0.0; 9148.0; 16418.0
2021-06-30; 2236.0; 1498.0; 253.0; 0.0; 469.0; 4456.0; 2272.0; 351.0; 6832.0; 1447.0; 12315.0; 16771.0; 3234.0; 2285.0; 730.0; 4391.0; 7625.0; 6.0; -2911.0; -941.0; 0.0; 9146.0; 16771.0
2021-03-31; 1974.0; 1335.0; 246.0; 0.0; 388.0; 3943.0; 2261.0; 391.0; 6219.0; 1219.0; 11454.0; 15397.0; 3169.0; 1000.0; 619.0; 3099.0; 6268.0; 6.0; -2897.0; -965.0; 0.0; 9129.0; 15397.0
2020-12-31; 1562.0; 1444.0; 203.0; 0.0; 387.0; 3596.0; 2315.0; 353.0; 6226.0; 1193.0; 11498.0; 15094.0; 2861.0; 1044.0; 616.0; 3159.0; 6020.0; 6.0; -2976.0; -990.0; 0.0; 9074.0; 15094.0
2020-09-30; 1539.0; 1240.0; 203.0; 0.0; 453.0; 3435.0; 2225.0; 314.0; 5866.0; 1175.0; 10965.0; 14400.0; 2738.0; 1206.0; 604.0; 3208.0; 5946.0; 6.0; -3207.0; -1235.0; 0.0; 8454.0; 14400.0
2020-06-30; 1517.0; 1203.0; 348.0; 0.0; 393.0; 3461.0; 2256.0; 297.0; 5815.0; 1039.0; 10800.0; 14261.0; 2682.0; 1183.0; 603.0; 3190.0; 5872.0; 6.0; -3241.0; -1331.0; 0.0; 8389.0; 14261.0
2020-03-31; 1388.0; 1237.0; 363.0; 0.0; 753.0; 3741.0; 2225.0; 325.0; 5677.0; 963.0; 10687.0; 14428.0; 2689.0; 1115.0; 569.0; 3171.0; 5860.0; 6.0; -2845.0; -1466.0; 0.0; 8568.0; 14428.0
2019-12-31; 1272.0; 1570.0; 358.0; 0.0; 518.0; 3718.0; 2476.0; 325.0; 7233.0; 948.0; 12564.0; 16282.0; 2727.0; 1201.0; 616.0; 3428.0; 6155.0; 6.0; -2114.0; -1117.0; 0.0; 10127.0; 16282.0
2019-09-30; 1441.0; 1540.0; 402.0; 0.0; 416.0; 3799.0; 2433.0; 329.0; 7124.0; 953.0; 12434.0; 16233.0; 3492.0; 707.0; 602.0; 2912.0; 6404.0; 6.0; -2200.0; -1266.0; 0.0; 9829.0; 16233.0
2019-06-30; 1643.0; 1544.0; 348.0; 0.0; 515.0; 4050.0; 2554.0; 335.0; 7573.0; 930.0; 11661.0; 15711.0; 3340.0; 1004.0; 761.0; 2060.0; 5400.0; 6.0; -1979.0; -1126.0; 0.0; 10311.0; 15711.0
2019-03-31; 1648.0; 1631.0; 404.0; 0.0; 564.0; 4247.0; 2557.0; 347.0; 7737.0; 913.0; 11811.0; 16058.0; 3679.0; 868.0; 732.0; 1921.0; 5600.0; 6.0; -1927.0; -1019.0; 0.0; 10458.0; 16058.0
2018-12-31; 1618.0; 1853.0; 400.0; 0.0; 558.0; 4429.0; 2517.0; 345.0; 7796.0; 912.0; 11798.0; 16227.0; 3712.0; 936.0; 761.0; 2081.0; 5793.0; 6.0; -1937.0; -1076.0; 0.0; 10434.0; 16227.0
2018-09-30; 1886.0; 1648.0; 388.0; 0.0; 547.0; 4469.0; 2512.0; 390.0; 7760.0; 897.0; 11819.0; 16288.0; 3545.0; 1186.0; 726.0; 2313.0; 5858.0; 6.0; -2032.0; -970.0; 0.0; 10430.0; 16288.0
2018-06-30; 2034.0; 1612.0; 376.0; 0.0; 372.0; 4394.0; 2560.0; 393.0; 7889.0; 831.0; 11952.0; 16346.0; 3295.0; 1490.0; 675.0; 2574.0; 5869.0; 6.0; -2163.0; -874.0; 0.0; 10477.0; 16346.0
2018-03-31; 2112.0; 1328.0; 0.0; 0.0; 546.0; 3986.0; 1642.0; 957.0; 5950.0; 467.0; 9386.0; 13372.0; 2467.0; 184.0; 655.0; 894.0; 3361.0; 6.0; -1792.0; -829.0; 0.0; 10011.0; 13372.0
2017-12-31; 1856.0; 1379.0; 0.0; 0.0; 483.0; 3718.0; 1631.0; 2019.0; 6198.0; 444.0; 10641.0; 14359.0; 2270.0; 187.0; 665.0; 931.0; 3201.0; 6.0; -664.0; -832.0; 0.0; 11158.0; 14359.0
2017-09-30; 1877.0; 1365.0; 0.0; 0.0; 526.0; 3768.0; 1636.0; 2044.0; 6223.0; 438.0; 10894.0; 14662.0; 2417.0; 281.0; 675.0; 1049.0; 3466.0; 6.0; -581.0; -852.0; 0.0; 11196.0; 14662.0
2017-06-30; 2016.0; 1276.0; 208.0; 0.0; 315.0; 3815.0; 1624.0; 2027.0; 6119.0; 442.0; 10737.0; 14552.0; 2452.0; 276.0; 670.0; 1007.0; 3459.0; 6.0; -648.0; -964.0; 0.0; 11093.0; 14552.0
2017-03-31; 1850.0; 1326.0; 0.0; 0.0; 586.0; 3762.0; 1961.0; 2010.0; 6175.0; 442.0; 11124.0; 14886.0; 2461.0; 273.0; 633.0; 1008.0; 3469.0; 6.0; -219.0; -1045.0; 0.0; 11417.0; 14886.0
2016-12-31; 1564.0; 1528.0; 0.0; 0.0; 499.0; 3591.0; 1981.0; 1932.0; 6089.0; 385.0; 10936.0; 14527.0; 2325.0; 268.0; 646.0; 974.0; 3299.0; 6.0; -213.0; -1289.0; 0.0; 11228.0; 14527.0
2016-09-30; 1499.0; 1294.0; 0.0; 0.0; 535.0; 3328.0; 2367.0; 2269.0; 6270.0; 407.0; 11941.0; 15269.0; 2287.0; 377.0; 668.0; 1236.0; 3523.0; 6.0; 76.0; -986.0; 0.0; 11746.0; 15269.0
2016-06-30; 2147.0; 1229.0; 0.0; 0.0; 513.0; 3889.0; 2405.0; 2270.0; 5921.0; 396.0; 11594.0; 15483.0; 2442.0; 369.0; 699.0; 1239.0; 3681.0; 6.0; 150.0; -1026.0; 0.0; 11802.0; 15483.0
2016-03-31; 1972.0; 1254.0; 0.0; 0.0; 679.0; 3905.0; 2499.0; 2264.0; 5910.0; 472.0; 11811.0; 15716.0; 2648.0; 369.0; 634.0; 1223.0; 3871.0; 6.0; 60.0; -845.0; 0.0; 11845.0; 15716.0
2015-12-31; 1883.0; 1409.0; 0.0; 0.0; 503.0; 3795.0; 2554.0; 2288.0; 5254.0; 984.0; 11080.0; 14875.0; 2096.0; 0.0; 635.0; 800.0; 2896.0; 6.0; 268.0; -923.0; 0.0; 11979.0; 14875.0
2015-09-30; 1898.0; 1361.0; 0.0; 0.0; 630.0; 3889.0; 2553.0; 2196.0; 5155.0; 963.0; 10867.0; 14756.0; 2166.0; 0.0; 618.0; 809.0; 2975.0; 6.0; 204.0; -1025.0; 0.0; 11781.0; 14756.0
2015-06-30; 1951.0; 1283.0; 0.0; 0.0; 780.0; 4014.0; 2690.0; 2379.0; 5266.0; 467.0; 11021.0; 15035.0; 2110.0; 0.0; 623.0; 789.0; 2899.0; 6.0; 88.0; -582.0; 0.0; 12136.0; 15035.0
2015-03-31; 2027.0; 1360.0; 0.0; 0.0; 701.0; 4088.0; 2699.0; 2382.0; 5823.0; 694.0; 11598.0; 15686.0; 2273.0; 0.0; 572.0; 867.0; 3140.0; 6.0; 467.0; -554.0; 0.0; 12546.0; 15686.0
2014-12-31; 1918.0; 1505.0; 0.0; 0.0; 629.0; 4052.0; 2809.0; 2466.0; 5926.0; 717.0; 11918.0; 15970.0; 2329.0; 0.0; 580.0; 854.0; 3183.0; 6.0; 444.0; -261.0; 0.0; 12787.0; 15970.0
2014-09-30; 2735.0; 1471.0; 0.0; 0.0; 659.0; 4865.0; 2910.0; 2497.0; 5155.0; 696.0; 11258.0; 16123.0; 2293.0; 0.0; 583.0; 828.0; 3121.0; 6.0; 302.0; 152.0; 0.0; 13002.0; 16123.0
2014-06-30; 3145.0; 1454.0; 0.0; 0.0; 671.0; 5270.0; 3009.0; 2609.0; 4919.0; 682.0; 11219.0; 16489.0; 2264.0; 0.0; 582.0; 806.0; 3070.0; 6.0; 237.0; 610.0; 0.0; 13419.0; 16489.0
2014-03-31; 3207.0; 1485.0; 0.0; 0.0; 678.0; 5370.0; 2959.0; 2551.0; 4879.0; 784.0; 11173.0; 16543.0; 2498.0; 0.0; 562.0; 857.0; 3355.0; 6.0; 225.0; 482.0; 0.0; 13188.0; 16543.0
2013-12-31; 2908.0; 1628.0; 0.0; 0.0; 576.0; 5112.0; 2927.0; 2431.0; 4848.0; 665.0; 10871.0; 15983.0; 2292.0; 0.0; 561.0; 800.0; 3092.0; 6.0; 177.0; 257.0; 0.0; 12891.0; 15983.0
2013-09-30; 2688.0; 2010.0; 0.0; 0.0; 532.0; 5230.0; 3012.0; 2571.0; 4913.0; 617.0; 11113.0; 16343.0; 2645.0; 0.0; 554.0; 739.0; 3384.0; 6.0; 27.0; 489.0; 0.0; 12959.0; 16343.0
2013-06-30; 2381.0; 1582.0; 0.0; 0.0; 680.0; 4643.0; 2992.0; 2499.0; 4911.0; 598.0; 11000.0; 15643.0; 2171.0; 0.0; 624.0; 776.0; 2947.0; 6.0; 0.0; 271.0; 0.0; 12696.0; 15643.0
2013-03-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2012-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2012-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2012-06-30; 1133.0; 1369.0; 0.0; 0.0; 613.0; 3115.0; 0.0; 1126.0; 5049.0; 526.0; 6701.0; 13090.0; 2467.0; 0.0; 778.0; 1704.0; 4171.0; 0.0; 0.0; 0.0; 8919.0; 8919.0; 13090.0
2011-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
