Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 317.16; 30.06; 1.47; 39.72; 1749.12; 2228.36; 383.86; 0.0; 106.88; 58.52; 1086.21; 3314.57; 1897.76; 29.0; 77.6; 340.44; 2238.19; 0.62; 1117.02; -3.81; 0.0; 1076.38; 3314.57
2022-06-30; 279.04; 20.3; 1.65; 37.78; 3423.18; 3847.99; 374.94; 0.0; 107.86; 48.96; 1043.71; 4891.7; 3568.47; 29.0; 73.85; 329.09; 3897.56; 0.62; 1064.86; -1.6; 0.0; 994.14; 4891.7
2022-03-31; 360.59; 17.95; 0.73; 28.59; 3944.36; 4434.3; 362.5; 0.0; 108.89; 45.35; 1010.28; 5444.57; 4112.53; 26.95; 73.63; 323.02; 4435.55; 0.62; 1007.51; -1.12; 0.0; 1009.02; 5444.57
2021-12-31; 277.98; 25.9; 1.13; 23.73; 1846.57; 2252.04; 348.95; 0.0; 109.92; 42.38; 963.11; 3215.14; 1990.41; 27.38; 72.99; 331.02; 2321.43; 0.62; 915.58; 0.0; 0.0; 893.71; 3215.14
2021-09-30; 230.93; 23.21; 0.87; 26.64; 2959.97; 3313.18; 329.3; 0.0; 110.95; 33.85; 904.86; 4218.04; 3086.27; 27.82; 71.68; 306.42; 3392.7; 0.62; 866.89; 0.0; 0.0; 825.34; 4218.04
2021-06-30; 202.36; 27.9; 0.88; 32.28; 2025.37; 2356.52; 321.0; 0.0; 111.98; 443.59; 876.57; 3233.09; 2145.21; 28.25; 70.78; 295.62; 2440.83; 0.62; 836.51; 0.0; 0.0; 792.26; 3233.09
2021-03-31; 215.09; 19.79; 1.09; 24.11; 2299.68; 2624.21; 301.58; 0.0; 51.89; 34.23; 782.57; 3406.77; 2425.57; 28.68; 16.9; 235.72; 2661.3; 0.62; 784.24; 0.0; 0.0; 745.48; 3406.77
2020-12-31; 151.71; 19.58; 1.15; 17.85; 1613.49; 1864.61; 285.22; 0.0; 52.21; 34.52; 743.31; 2607.91; 1718.03; 29.12; 19.26; 234.24; 1952.27; 0.62; 719.62; 0.0; 0.0; 655.64; 2607.91
2020-09-30; 156.4; 21.64; 0.92; 20.76; 1522.36; 1778.32; 275.62; 0.0; 51.89; 36.93; 706.88; 2485.2; 1627.8; 29.55; 21.52; 225.0; 1852.8; 0.62; 695.25; 0.0; 0.0; 632.4; 2485.2
2020-06-30; 113.52; 13.62; 1.38; 24.99; 1033.54; 1240.06; 266.83; 0.0; 51.89; 34.34; 681.44; 1921.5; 1117.25; 29.99; 21.26; 218.4; 1335.65; 0.62; 667.77; 0.0; 0.0; 585.85; 1921.5
2020-03-31; 181.83; 8.06; 0.93; 17.85; 1392.38; 1651.56; 254.42; 0.0; 51.89; 35.08; 658.16; 2309.72; 1497.91; 30.42; 22.2; 212.02; 1709.94; 0.61; 639.18; 0.0; 0.0; 599.79; 2309.72
